,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-10,7.647B,7.647B,2.705B,4.942B,2.60B,639.00M,443.00M,-181.00M,470.00M,,-470.00M,149.00M,3.831B,1.111B,,470.00M,-470.00M,-116.00M,-470.00M,525.00M,31.00M,494.00M,,,-5.00M,489.00M,659.32M,1.666B,671.00M,995.00M,,0.36,,,0.4867,0.36,,0.36,,,0.4860,0.36,,1.344B,1.352B,0.58,,AOR,
2020-07,6.507B,6.507B,2.505B,4.002B,2.417B,621.00M,440.00M,35.00M,171.00M,,-171.00M,-114.00M,3.364B,638.00M,,171.00M,-171.00M,117.00M,-171.00M,584.00M,93.00M,491.00M,,,-4.00M,487.00M,457.56M,1.424B,669.00M,755.00M,,0.36,,,0.3381,0.36,,0.36,,,0.3382,0.36,,1.342B,1.35B,0.58,,AOR,
2020-04,5.997B,5.997B,2.264B,3.733B,2.359B,568.00M,439.00M,-68.00M,162.00M,,-162.00M,-17.00M,3.349B,384.00M,,162.00M,-162.00M,-17.00M,-162.00M,205.00M,-434.00M,639.00M,,,7.00M,646.00M,695.64M,1.039B,672.00M,367.00M,,0.48,,,0.5170,0.48,,0.48,,,0.5168,0.48,,1.341B,1.350B,0.54,,AOR,
2020-01,7.717B,7.717B,2.40B,5.317B,2.587B,573.00M,436.00M,-121.00M,156.00M,,-156.00M,-39.00M,3.557B,1.76B,,156.00M,-156.00M,-25.00M,-156.00M,1.579B,-340.00M,1.919B,,,-4.00M,1.915B,2.003B,2.398B,663.00M,1.735B,,1.43,,,1.496,1.43,,1.42,,,1.485,1.42,,1.340B,1.352B,0.54,,AOR,
2019-10,7.706B,7.706B,2.394B,5.312B,2.62B,603.00M,441.00M,-148.00M,165.00M,,-165.00M,149.00M,3.813B,1.499B,,165.00M,-165.00M,-40.00M,-165.00M,1.294B,-77.00M,1.371B,,,-7.00M,1.364B,1.472B,2.13B,671.00M,1.459B,,1.02,,,1.101,1.02,,1.01,,,1.090,1.01,,1.341B,1.351B,0.54,,AOR,Restated
2019-07,7.493B,7.493B,2.366B,5.127B,2.543B,587.00M,440.00M,-94.00M,609.00M,,-609.00M,-22.00M,3.548B,1.579B,,609.00M,-609.00M,7.00M,-609.00M,977.00M,100.00M,877.00M,,,-13.00M,864.00M,948.41M,2.243B,657.00M,1.586B,,0.64,,,0.7030,0.64,,0.64,,,0.7024,0.64,,1.341B,1.352B,0.54,,AOR,Restated
2019-04,8.146B,8.146B,2.483B,5.663B,2.62B,594.00M,437.00M,-86.00M,718.00M,,-718.00M,-20.00M,3.631B,2.032B,,718.00M,-718.00M,-22.00M,-718.00M,1.292B,110.00M,1.182B,,,-10.00M,1.172B,1.251B,2.677B,667.00M,2.01B,,0.87,,,0.9287,0.87,,0.87,,,0.9282,0.87,,1.341B,1.352B,0.50,,AOR,Restated
2019-01,7.546B,7.546B,2.265B,5.281B,2.596B,561.00M,436.00M,-89.00M,243.00M,,-243.00M,57.00M,3.65B,1.631B,,243.00M,-243.00M,-18.00M,-243.00M,1.37B,99.00M,1.271B,,,-2.00M,1.269B,1.352B,2.288B,675.00M,1.613B,,0.95,,,1.012,0.95,,0.94,,,1.001,0.94,,1.343B,1.353B,0.50,,AOR,Restated
2018-10,7.481B,7.481B,2.203B,5.278B,2.605B,590.00M,445.00M,-24.00M,241.00M,,-241.00M,70.00M,3.71B,1.568B,,241.00M,-241.00M,28.00M,-241.00M,1.355B,235.00M,1.12B,,,-5.00M,1.115B,1.135B,2.247B,651.00M,1.596B,,0.83,,,0.8447,0.83,,0.82,,,0.8346,0.82,,1.349B,1.361B,0.50,,AOR,Restated
2018-07,7.384B,7.384B,2.204B,5.18B,2.597B,585.00M,446.00M,-165.00M,242.00M,,-242.00M,151.00M,3.779B,1.401B,,242.00M,-242.00M,21.00M,-242.00M,1.18B,103.00M,1.077B,,,-2.00M,1.075B,1.226B,2.088B,666.00M,1.422B,,0.79,,,0.9014,0.79,,0.79,,,0.9003,0.79,,1.353B,1.365B,0.50,,AOR,Restated
2018-04,8.144B,8.144B,2.398B,5.746B,2.596B,592.00M,448.00M,-7.00M,317.00M,,-317.00M,175.00M,3.811B,1.935B,,317.00M,-317.00M,107.00M,-317.00M,1.725B,260.00M,1.465B,,,-5.00M,1.46B,1.466B,2.706B,664.00M,2.042B,,1.08,,,1.084,1.08,,1.07,,,1.074,1.07,,1.355B,1.366B,0.46,,AOR,Restated
2018-01,7.369B,7.369B,2.194B,5.175B,2.523B,559.00M,461.00M,-68.00M,270.00M,,-270.00M,128.00M,3.671B,1.504B,,270.00M,-270.00M,-207.00M,-270.00M,1.027B,2.419B,-1.392B,,,3.00M,-1.389B,-1.339B,1.963B,666.00M,1.297B,,-1.03,,,-0.9933,-1.03,,-1.03,,,-0.9933,-1.03,,1.354B,1.354B,0.46,,AOR,Restated
2017-10,7.05B,7.05B,2.123B,4.927B,2.539B,556.00M,460.00M,689.00M,,,-273.00M,167.00M,3.722B,1.205B,,,-273.00M,796.00M,-273.00M,1.728B,-285.00M,2.013B,,,4.00M,2.017B,1.604B,1.883B,678.00M,1.205B,,1.49,,,1.185,1.49,,1.48,,,1.177,1.48,,1.355B,1.366B,0.46,,AOR,Restated
2017-07,7.39B,7.39B,2.352B,5.038B,2.58B,549.00M,454.00M,-8.00M,,,-286.00M,65.00M,3.648B,1.39B,,,-286.00M,91.00M,-286.00M,1.195B,186.00M,1.009B,,,7.00M,1.016B,1.023B,2.026B,636.00M,1.39B,,0.75,,,0.7550,0.75,,0.74,,,0.7449,0.74,,1.362B,1.376B,0.46,,AOR,Restated
2017-04,7.916B,7.916B,2.439B,5.477B,2.786B,553.00M,496.00M,107.00M,290.00M,,-562.00M,65.00M,3.90B,1.577B,,290.00M,-562.00M,420.00M,-562.00M,1.435B,271.00M,1.164B,,,-1.00M,1.163B,1.076B,2.443B,718.00M,1.725B,,0.85,,,0.7866,0.85,,0.84,,,0.7772,0.84,,1.370B,1.382B,0.43,,AOR,Restated
2017-01,7.283B,7.283B,2.268B,5.015B,2.388B,530.00M,497.00M,-407.00M,268.00M,88.00M,-180.00M,46.00M,3.461B,1.554B,88.00M,268.00M,-180.00M,-407.00M,-180.00M,967.00M,147.00M,820.00M,,,1.00M,821.00M,1.159B,1.965B,730.00M,1.235B,,0.60,,,0.8462,0.60,,0.59,,,0.8342,0.59,,1.372B,1.383B,0.43,,AOR,Restated
2016-10,7.345B,7.345B,2.326B,5.019B,2.416B,554.00M,500.00M,-75.00M,264.00M,91.00M,-173.00M,89.00M,3.559B,1.46B,91.00M,264.00M,-173.00M,-75.00M,-173.00M,1.212B,101.00M,1.111B,,,4.00M,1.115B,1.179B,2.208B,732.00M,1.476B,,0.81,,,0.8564,0.81,,0.80,,,0.8459,0.80,,1.38B,1.392B,0.43,,AOR,Restated
2016-07,7.166B,7.166B,2.261B,4.905B,2.428B,556.00M,487.00M,-228.00M,272.00M,93.00M,-179.00M,39.00M,3.51B,1.395B,93.00M,272.00M,-179.00M,-228.00M,-179.00M,988.00M,59.00M,929.00M,,,0.00,929.00M,1.143B,1.997B,737.00M,1.26B,,0.67,,,0.8239,0.67,,0.66,,,0.8123,0.66,,1.392B,1.407B,0.43,,AOR,Restated
2016-04,7.567B,7.567B,2.363B,5.204B,2.36B,575.00M,483.00M,-231.00M,481.00M,110.00M,-371.00M,-20.00M,3.398B,1.806B,110.00M,481.00M,-371.00M,-301.00M,-371.00M,1.134B,31.00M,1.103B,,,0.00,1.103B,1.328B,2.323B,708.00M,1.615B,,0.79,,,0.9504,0.79,,0.78,,,0.9387,0.78,,1.401B,1.416B,0.38,,AOR,Restated
