,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-10,6.42B,7.857B,14.28B,5.348B,,5.348B,893.00M,647.00M,2.944B,4.484B,,,1.927B,26.04B,,,,,,12.20B,-7.26B,4.938B,41.21B,18.41B,59.62B,,3.176B,,2.112B,69.85B,95.89B,,1.902B,406.00M,2.308B,3.589B,5.897B,,,4.041B,,4.041B,,,,12.07B,25.91B,56.00M,25.97B,1.251B,1.251B,2.024B,,152.00M,1.688B,33.50B,45.57B,,0.00,27.53B,26.48B,,,-3.843B,50.16B,,AOR,
2020-07,6.499B,6.513B,13.01B,4.876B,,4.876B,874.00M,653.00M,3.024B,4.551B,,,2.07B,24.51B,,,,,,11.95B,-7.07B,4.882B,40.71B,18.67B,59.38B,,2.988B,,2.143B,69.40B,93.91B,,1.72B,390.00M,2.11B,3.338B,5.448B,,,5.823B,,5.823B,,,,13.09B,22.82B,45.00M,22.87B,1.231B,1.231B,1.962B,,147.00M,1.598B,30.38B,43.46B,,0.00,27.82B,26.26B,,,-3.782B,50.30B,,AOR,
2020-04,4.14B,6.808B,10.95B,4.645B,,4.645B,747.00M,608.00M,2.874B,4.229B,,,2.209B,22.03B,0.00,175.00M,2.277B,7.99B,1.202B,11.64B,-6.816B,4.828B,39.84B,19.06B,58.90B,,2.832B,,2.094B,68.66B,90.69B,,1.996B,502.00M,2.498B,2.993B,5.491B,,2.771B,2.771B,5.00M,2.776B,,,,10.37B,21.98B,45.00M,22.02B,1.174B,1.174B,1.91B,,135.00M,1.664B,29.45B,39.82B,,0.00,28.13B,26.16B,,,-3.56B,50.74B,,AOR,
2020-01,3.709B,7.919B,11.63B,6.248B,,6.248B,786.00M,643.00M,2.693B,4.122B,,,2.045B,24.04B,,,,,,11.51B,-6.743B,4.764B,40.09B,19.46B,59.55B,,2.272B,,2.196B,68.78B,92.82B,,1.945B,457.00M,2.402B,3.58B,5.982B,,,844.00M,,844.00M,,,,8.735B,24.68B,47.00M,24.73B,1.282B,1.282B,1.598B,0.00,145.00M,1.784B,32.13B,40.87B,,0.00,28.21B,26.14B,,,-2.546B,51.81B,,AOR,
2019-10,3.962B,6.436B,10.40B,6.118B,,6.118B,762.00M,594.00M,2.686B,4.042B,,,2.095B,22.65B,,,,,,11.36B,-6.608B,4.756B,39.95B,19.78B,59.73B,,1.804B,,2.113B,68.40B,91.05B,,1.965B,442.00M,2.407B,3.115B,5.522B,,,875.00M,,875.00M,,,,8.17B,24.72B,27.00M,24.75B,1.376B,1.376B,1.573B,,141.00M,1.758B,32.16B,40.33B,,0.00,27.02B,26.17B,,,-2.611B,50.58B,,AOR,Restated
2019-07,5.08B,5.603B,10.68B,5.894B,,5.894B,735.00M,569.00M,2.628B,3.932B,,,2.196B,22.70B,,,,,,11.14B,-6.425B,4.711B,40.08B,20.23B,60.32B,,1.545B,,1.991B,68.56B,91.27B,,1.906B,500.00M,2.406B,3.147B,5.553B,,,1.458B,,1.458B,,,,8.518B,24.77B,32.00M,24.80B,1.346B,1.346B,1.64B,,134.00M,1.59B,32.25B,40.77B,,0.00,26.38B,26.47B,,,-2.484B,50.36B,,AOR,Restated
2019-04,4.393B,5.455B,9.848B,6.222B,,6.222B,705.00M,572.00M,2.476B,3.753B,,,2.144B,21.97B,0.00,181.00M,2.267B,7.361B,1.111B,10.92B,-6.245B,4.675B,39.96B,20.56B,60.52B,,1.519B,,1.014B,67.73B,89.69B,,1.953B,567.00M,2.52B,2.925B,5.445B,,832.00M,832.00M,6.00M,838.00M,,,,8.472B,24.47B,10.00M,24.48B,1.278B,1.278B,1.651B,9.00M,121.00M,757.00M,31.01B,39.48B,,0.00,26.27B,26.53B,,,-2.711B,50.09B,,AOR,Restated
2019-01,3.703B,5.439B,9.142B,5.854B,,5.854B,761.00M,560.00M,2.545B,3.866B,,,2.015B,20.88B,,,,,,10.75B,-6.153B,4.593B,40.00B,20.84B,60.84B,,1.496B,,926.00M,67.85B,88.73B,,1.706B,648.00M,2.354B,3.347B,5.701B,,,1.356B,,1.356B,,,,8.853B,23.65B,21.00M,23.67B,1.356B,1.356B,1.313B,0.00,112.00M,719.00M,29.94B,38.79B,,0.00,25.77B,26.52B,,,-2.458B,49.83B,,AOR,Restated
2018-10,3.911B,6.222B,10.13B,5.743B,,5.743B,722.00M,562.00M,2.479B,3.763B,,,2.014B,21.65B,,,,,,10.51B,-5.976B,4.536B,38.60B,20.82B,59.42B,,1.414B,,1.123B,66.50B,88.15B,,1.742B,536.00M,2.278B,3.179B,5.457B,,,1.343B,,1.343B,,,,8.463B,23.66B,21.00M,23.68B,1.325B,1.325B,1.301B,-11.00M,107.00M,724.00M,29.97B,38.44B,,0.00,25.17B,27.05B,,,-2.612B,49.61B,,AOR,Restated
2018-07,4.38B,6.624B,11.00B,5.674B,,5.674B,719.00M,542.00M,2.42B,3.681B,,,2.101B,22.46B,,,,,,10.34B,-5.812B,4.524B,38.96B,21.27B,60.22B,,1.413B,,1.099B,67.26B,89.72B,,1.789B,784.00M,2.573B,3.623B,6.196B,,,1.545B,,1.545B,,,,9.112B,23.67B,20.00M,23.69B,1.347B,1.347B,1.412B,-10.00M,105.00M,801.00M,30.28B,39.39B,,0.00,24.73B,27.82B,,,-2.323B,50.22B,,AOR,Restated
