,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,625.00M,3.107B,3.461B,6.568B,1.414B,1.414B,180.00M,964.00M,811.00M,1.955B,302.00M,,,10.24B,0.00,125.00M,2.571B,3.085B,5.781B,-2.512B,3.269B,4.362B,274.00M,4.636B,49.00M,343.00M,569.00M,9.112B,19.35B,,415.00M,134.00M,549.00M,524.00M,1.073B,,550.00M,550.00M,550.00M,,,,2.39B,6.248B,249.00M,6.497B,90.00M,,440.00M,131.00M,249.00M,7.774B,10.16B,,1.741B,42.05B,2.333B,36.58B,,-360.00M,9.187B,,AOR,
2020-09,523.00M,2.822B,2.696B,5.518B,1.392B,1.392B,192.00M,959.00M,921.00M,2.072B,277.00M,,,9.259B,,,,,5.698B,-2.508B,3.19B,4.362B,322.00M,4.684B,47.00M,299.00M,501.00M,8.948B,18.21B,,411.00M,44.00M,455.00M,524.00M,979.00M,,550.00M,550.00M,550.00M,,,,2.185B,6.247B,,6.247B,69.00M,,69.00M,103.00M,1.278B,7.697B,9.882B,,1.741B,41.30B,2.257B,36.64B,,-335.00M,8.325B,,AOR,
2020-06,468.00M,4.294B,666.00M,4.96B,1.176B,1.176B,182.00M,977.00M,977.00M,2.136B,216.00M,,,8.488B,,,,,5.741B,-2.54B,3.201B,4.362B,381.00M,4.743B,36.00M,236.00M,518.00M,8.957B,17.44B,,409.00M,179.00M,588.00M,519.00M,1.107B,,551.00M,551.00M,551.00M,,,,2.163B,6.245B,,6.245B,60.00M,,60.00M,99.00M,1.234B,7.638B,9.801B,,1.741B,40.78B,2.182B,36.72B,,-334.00M,7.644B,,AOR,
2020-03,354.00M,2.518B,2.224B,4.742B,1.316B,1.316B,175.00M,915.00M,913.00M,2.003B,249.00M,,,8.31B,,,,,5.736B,-2.503B,3.233B,4.362B,428.00M,4.79B,34.00M,208.00M,493.00M,8.973B,17.28B,,363.00M,62.00M,425.00M,552.00M,977.00M,,1.051B,1.051B,1.051B,,,,2.381B,5.499B,,5.499B,64.00M,,64.00M,95.00M,1.51B,7.168B,9.549B,,1.741B,40.23B,2.096B,36.00B,,-328.00M,7.734B,,AOR,
2019-12,446.00M,2.437B,2.95B,5.387B,1.074B,1.074B,176.00M,916.00M,909.00M,2.001B,299.00M,,,8.761B,0.00,126.00M,2.504B,3.11B,5.74B,-2.437B,3.303B,4.362B,409.00M,4.771B,300.00M,197.00M,468.00M,9.257B,18.02B,,388.00M,46.00M,434.00M,475.00M,909.00M,,500.00M,500.00M,500.00M,,,,2.123B,5.303B,259.00M,5.562B,78.00M,,376.00M,93.00M,451.00M,6.988B,9.111B,,1.741B,39.90B,2.11B,34.50B,,-347.00M,8.907B,,AOR,Restated
2019-09,458.00M,3.893B,1.174B,5.067B,1.342B,1.342B,175.00M,955.00M,910.00M,2.04B,264.00M,,,8.713B,,,,,5.683B,-2.365B,3.318B,4.362B,467.00M,4.829B,298.00M,257.00M,471.00M,9.279B,17.99B,,397.00M,58.00M,455.00M,444.00M,899.00M,,499.00M,499.00M,499.00M,,,,2.007B,5.302B,,5.302B,49.00M,,49.00M,123.00M,1.526B,7.00B,9.007B,,1.741B,39.67B,2.058B,34.04B,,-443.00M,8.985B,,AOR,Restated
2019-06,412.00M,3.813B,405.00M,4.218B,1.419B,1.419B,176.00M,958.00M,945.00M,2.079B,240.00M,,,7.956B,,,,,5.706B,-2.341B,3.365B,4.362B,557.00M,4.919B,300.00M,261.00M,479.00M,9.428B,17.38B,,412.00M,87.00M,499.00M,422.00M,921.00M,,1.249B,1.249B,1.249B,,,,2.646B,4.558B,,4.558B,49.00M,,49.00M,121.00M,1.524B,6.252B,8.898B,,1.741B,38.97B,2.003B,33.78B,,-457.00M,8.486B,,AOR,Restated
2019-03,285.00M,3.72B,366.00M,4.086B,1.44B,1.44B,191.00M,1.016B,924.00M,2.131B,294.00M,,,7.951B,,,,,5.642B,-2.324B,3.318B,4.362B,647.00M,5.009B,281.00M,290.00M,498.00M,9.492B,17.44B,,477.00M,113.00M,590.00M,477.00M,1.067B,,750.00M,750.00M,750.00M,,,,2.159B,5.057B,,5.057B,43.00M,,43.00M,120.00M,1.545B,6.765B,8.924B,,1.741B,38.40B,1.927B,33.08B,,-465.00M,8.519B,,AOR,Restated
2018-12,230.00M,2.438B,1.795B,4.233B,1.207B,1.207B,181.00M,1.07B,966.00M,2.217B,440.00M,,,8.097B,0.00,128.00M,2.497B,2.80B,5.425B,-2.242B,3.183B,4.362B,717.00M,5.079B,251.00M,295.00M,140.00M,9.04B,17.14B,,478.00M,103.00M,581.00M,420.00M,1.001B,,749.00M,749.00M,749.00M,,,,2.474B,4.319B,0.00,4.319B,42.00M,,288.00M,118.00M,438.00M,5.669B,8.143B,,1.741B,37.91B,1.95B,32.13B,,-473.00M,8.994B,,AOR,Restated
2018-09,150.00M,1.502B,3.611B,5.113B,1.585B,1.585B,171.00M,1.058B,887.00M,2.116B,654.00M,,,9.468B,,,,,5.25B,-2.199B,3.051B,4.362B,801.00M,5.163B,278.00M,243.00M,150.00M,9.105B,18.57B,,492.00M,104.00M,596.00M,424.00M,1.02B,,749.00M,749.00M,749.00M,,,,2.382B,4.318B,,4.318B,43.00M,,43.00M,86.00M,1.228B,5.675B,8.057B,,1.741B,37.38B,1.918B,30.17B,,-354.00M,10.52B,,AOR,Restated
