,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,603.00M,,-12.00M,-12.00M,546.00M,546.00M,546.00M,45.00M,,,19.00M,-79.00M,-100.00M,-52.00M,63.00M,-75.00M,187.00M,-143.00M,-120.00M,,1.026B,2020-09,-1.112B,,,684.00M,-5.00M,-8.00M,-441.00M,,-208.00M,-910.00M,-1.118B,5.00M,,5.00M,-217.00M,-217.00M,,-4.00M,-1.334B,,1.634B,-749.00M,,885.00M,2020-09,,5.00M,493.00M,-796.00M,,7.00M,,2020-09,AOR,
2020-06,287.00M,,-6.00M,-6.00M,508.00M,508.00M,508.00M,-34.00M,,,15.00M,-106.00M,-40.00M,-18.00M,41.00M,38.00M,-164.00M,-78.00M,-221.00M,,479.00M,2020-06,-962.00M,,,,-5.00M,-7.00M,-974.00M,,2.447B,-355.00M,2.092B,,,,-217.00M,-217.00M,,10.00M,1.885B,,244.00M,1.39B,,1.634B,2020-06,,,1.277B,0.00,,10.00M,,2020-06,AOR,
2020-03,295.00M,,-11.00M,-11.00M,499.00M,499.00M,499.00M,34.00M,,,26.00M,-9.00M,156.00M,33.00M,-201.00M,-31.00M,-77.00M,-56.00M,-176.00M,,669.00M,2020-03,-1.607B,,,,-5.00M,6.00M,-1.606B,,0.00,1.17B,1.17B,,,,-204.00M,-204.00M,,-33.00M,933.00M,,248.00M,-4.00M,,244.00M,2020-03,,,1.17B,0.00,,0.00,,2020-03,AOR,
2019-12,292.00M,,-10.00M,35.00M,483.00M,483.00M,483.00M,13.00M,,,11.00M,-101.00M,-119.00M,-24.00M,44.00M,22.00M,85.00M,-57.00M,-49.00M,,706.00M,2019-12,-1.207B,,,,-10.00M,3.00M,-1.214B,,433.00M,-338.00M,95.00M,1.00M,,1.00M,-204.00M,-204.00M,,0.00,-108.00M,,864.00M,-616.00M,,248.00M,2019-12,,1.00M,983.00M,-445.00M,,,,2019-12,AOR,
2019-09,527.00M,,-10.00M,-10.00M,482.00M,482.00M,482.00M,83.00M,,,12.00M,120.00M,-79.00M,-85.00M,101.00M,-16.00M,95.00M,-30.00M,-14.00M,,1.223B,2019-09,-1.329B,,,0.00,0.00,-92.00M,-1.421B,,1.119B,-664.00M,455.00M,457.00M,,457.00M,-200.00M,-200.00M,,-3.00M,709.00M,,353.00M,511.00M,,864.00M,2019-09,,457.00M,1.118B,-104.00M,,,,2019-09,AOR,Restated
2019-06,238.00M,,-10.00M,-10.00M,470.00M,470.00M,470.00M,21.00M,,,16.00M,-14.00M,242.00M,-59.00M,-161.00M,52.00M,-159.00M,-122.00M,-207.00M,,541.00M,2019-06,-845.00M,,,,-5.00M,-6.00M,-856.00M,,427.00M,345.00M,772.00M,,,,-200.00M,-200.00M,,2.00M,574.00M,,94.00M,259.00M,,353.00M,2019-06,,,213.00M,0.00,,,,2019-06,AOR,Restated
2019-03,315.00M,,-9.00M,-9.00M,469.00M,469.00M,469.00M,26.00M,,,19.00M,-42.00M,-22.00M,84.00M,4.00M,-33.00M,-36.00M,8.00M,5.00M,,793.00M,2019-03,-844.00M,,,,-5.00M,-3.00M,-852.00M,,-8.00M,214.00M,206.00M,,,,-187.00M,-187.00M,,-13.00M,6.00M,,147.00M,-53.00M,,94.00M,2019-03,,,606.00M,-400.00M,,0.00,,2019-03,AOR,Restated
2018-12,214.00M,,-10.00M,12.00M,476.00M,476.00M,476.00M,34.00M,,,20.00M,-45.00M,-162.00M,-102.00M,53.00M,-34.00M,97.00M,14.00M,-134.00M,,629.00M,2018-12,-1.276B,,,,-5.00M,1.00M,-1.28B,,143.00M,601.00M,744.00M,27.00M,,27.00M,-186.00M,-186.00M,,0.00,585.00M,,213.00M,-66.00M,,147.00M,2018-12,,27.00M,294.00M,225.00M,,-4.00M,,2018-12,AOR,Restated
2018-09,491.00M,,-9.00M,-9.00M,474.00M,474.00M,474.00M,74.00M,,,15.00M,-65.00M,-38.00M,-64.00M,38.00M,13.00M,89.00M,29.00M,67.00M,,1.056B,2018-09,-827.00M,,,,-5.00M,-9.00M,-841.00M,,-105.00M,-244.00M,-349.00M,203.00M,,203.00M,-185.00M,-185.00M,,-3.00M,-334.00M,,332.00M,-119.00M,,213.00M,2018-09,,203.00M,195.00M,-676.00M,,1.00M,,2018-09,AOR,Restated
2018-06,265.00M,,-10.00M,-10.00M,413.00M,413.00M,413.00M,51.00M,,,4.00M,-30.00M,16.00M,-17.00M,41.00M,38.00M,-230.00M,0.00,-152.00M,,550.00M,2018-06,-994.00M,,,,-4.00M,5.00M,-993.00M,,1.185B,-343.00M,842.00M,,,,-184.00M,-184.00M,,1.00M,659.00M,,116.00M,216.00M,,332.00M,2018-06,,,1.186B,-1.00M,,3.00M,,2018-06,AOR,Restated
