,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,474.91M,474.91M,18.03M,456.88M,,,64.22M,15.49M,-12.56M,,356.04M,100.84M,15.49M,-12.56M,-4.894M,-12.56M,83.39M,18.06M,65.33M,,,65.33M,65.33M,210.63M,111.75M,98.88M,0.53,,,0.53,0.53,0.53,,,0.53,0.53,124.10M,124.10M,0.575
2020-06,493.00M,493.00M,26.07M,466.92M,,,71.32M,19.58M,-19.58M,,327.89M,139.04M,19.58M,-19.58M,7.235M,-19.58M,126.69M,8.899M,117.79M,,,117.79M,117.79M,253.37M,107.10M,146.27M,0.96,,,0.96,0.96,0.96,,,0.96,0.96,123.03M,123.03M,0.575
2020-03,977.66M,977.66M,317.88M,659.78M,,,74.60M,22.17M,-22.17M,,328.34M,331.44M,22.17M,-22.17M,-2.989M,-22.17M,306.28M,66.63M,239.65M,,,239.65M,239.65M,434.36M,105.92M,328.45M,1.95,,,1.95,1.95,1.95,,,1.95,1.95,122.92M,123.00M,0.575
2019-12,875.56M,875.56M,296.87M,578.70M,,,68.61M,27.23M,-27.23M,,325.91M,252.78M,27.23M,-27.23M,4.887M,-27.23M,230.44M,51.77M,178.67M,,,178.67M,178.67M,362.73M,105.06M,257.67M,1.47,,,1.47,1.47,1.47,,,1.47,1.47,121.11M,121.36M,0.575
2019-09,443.68M,443.68M,13.67M,430.01M,,,61.64M,28.76M,-24.60M,,340.30M,89.72M,28.76M,-24.60M,5.09M,-24.60M,70.20M,11.80M,58.41M,,,58.41M,58.41M,199.88M,100.92M,98.96M,0.49,,,0.49,0.49,0.49,,,0.49,0.49,119.34M,119.82M,0.525
2019-06,485.74M,485.74M,31.33M,454.41M,,,69.96M,19.59M,-19.59M,,332.21M,122.20M,19.59M,-19.59M,1.645M,-19.59M,104.26M,23.79M,80.47M,,,80.47M,80.47M,221.55M,97.70M,123.85M,0.68,,,0.68,0.68,0.68,,,0.68,0.68,118.08M,118.43M,0.525
2019-03,1.095B,1.095B,471.68M,622.97M,,,79.09M,26.95M,-26.95M,,325.29M,297.68M,26.95M,-26.95M,4.232M,-26.95M,274.96M,60.07M,214.89M,,,214.89M,214.89M,398.68M,96.77M,301.91M,1.83,,,1.83,1.83,1.82,,,1.82,1.82,117.58M,117.76M,0.525
2018-12,877.78M,877.78M,342.16M,535.62M,,,64.49M,27.85M,-27.85M,,299.15M,236.46M,27.85M,-27.85M,-7.723M,-27.85M,200.89M,43.25M,157.65M,,,157.65M,157.65M,324.81M,96.06M,228.74M,1.38,,,1.38,1.38,1.38,,,1.38,1.38,113.80M,113.83M,0.525
2018-09,444.70M,444.70M,43.08M,401.62M,,,55.49M,24.48M,-23.03M,,310.99M,90.63M,24.48M,-23.03M,-3.54M,-23.03M,64.06M,25.31M,38.75M,,,38.75M,38.75M,181.20M,92.66M,88.54M,0.35,,,0.35,0.35,0.35,,,0.35,0.35,111.93M,111.93M,0.485
2018-06,562.24M,562.24M,130.89M,431.36M,,,72.62M,23.35M,-23.35M,,307.04M,124.32M,23.35M,-23.35M,-3.33M,-23.35M,97.64M,26.45M,71.19M,,,71.19M,71.19M,211.66M,90.67M,120.99M,0.64,,,0.64,0.64,0.64,,,0.64,0.64,111.85M,111.85M,0.485
2018-03,1.219B,1.219B,626.96M,592.45M,,,73.01M,27.30M,-27.30M,,321.55M,270.90M,27.30M,-27.30M,-2.167M,-27.30M,241.43M,62.44M,178.99M,,,178.99M,178.99M,358.12M,89.38M,268.74M,1.6,,,1.6,1.6,1.6,,,1.6,1.6,111.71M,111.71M,0.485
2017-12,889.19M,889.19M,366.92M,522.28M,,,62.77M,31.51M,-31.51M,,280.19M,242.08M,31.51M,-31.51M,-2.557M,-31.51M,208.02M,-106.12M,314.13M,,,314.13M,314.13M,327.90M,88.37M,239.53M,2.89,,,2.89,2.89,2.89,,,2.89,2.89,108.56M,108.56M,0.485
2017-09,464.88M,464.88M,72.56M,392.32M,,,54.80M,33.71M,-32.32M,,292.44M,99.87M,33.71M,-32.32M,-12.29M,-32.32M,55.26M,19.41M,35.85M,0.00,,35.85M,35.85M,173.77M,84.80M,88.97M,0.34,0.0,,0.34,0.34,0.34,0.0,,0.34,0.34,106.81M,106.81M,0.45
2017-06,526.50M,526.50M,114.18M,412.32M,,,62.95M,28.50M,-28.50M,,271.66M,140.66M,28.50M,-28.50M,-0.289M,-28.50M,111.88M,41.07M,70.81M,,,70.81M,70.81M,220.40M,80.02M,140.38M,0.67,0.0,,0.67,0.67,0.67,0.0,,0.67,0.67,106.36M,106.36M,0.45
2017-03,988.19M,988.19M,427.49M,560.69M,,,65.61M,26.94M,-26.94M,,275.52M,285.17M,26.94M,-26.94M,0.833M,-26.94M,259.06M,97.05M,162.01M,2.716M,,164.73M,162.01M,363.67M,77.67M,286.00M,1.52,0.03,,1.52,1.55,1.52,0.03,,1.52,1.55,105.94M,105.94M,0.45
2016-12,780.17M,780.17M,311.30M,468.86M,,,57.05M,31.03M,-31.03M,,258.94M,209.92M,31.03M,-31.03M,-0.994M,-31.03M,177.89M,63.86M,114.04M,10.99M,,125.03M,114.04M,286.07M,77.14M,208.92M,1.08,0.11,,1.08,1.19,1.08,0.11,,1.08,1.19,105.28M,105.28M,0.45
2016-09,433.64M,433.64M,63.93M,369.72M,,,49.88M,30.04M,-30.04M,,285.27M,84.45M,30.04M,-30.04M,-0.144M,-30.04M,54.27M,19.42M,34.85M,-0.61M,,34.24M,34.85M,160.73M,76.43M,84.30M,0.33,0.0,,0.33,0.33,0.33,0.0,,0.33,0.33,104.68M,104.68M,0.42
2016-06,456.21M,456.21M,64.58M,391.63M,,,58.96M,27.68M,-27.68M,,263.23M,128.40M,27.68M,-27.68M,1.118M,-27.68M,101.84M,35.69M,66.14M,5.05M,,71.19M,66.14M,202.97M,73.46M,129.51M,0.64,0.05,,0.64,0.69,0.64,0.05,,0.64,0.69,103.75M,103.75M,0.42
2016-03,890.04M,890.04M,377.36M,512.68M,,,61.78M,27.56M,-27.56M,,261.03M,251.66M,27.56M,-27.56M,-0.329M,-27.56M,223.77M,80.76M,143.00M,-1.193M,,141.81M,143.00M,323.30M,71.97M,251.33M,1.39,-0.01,,1.39,1.38,1.39,-0.01,,1.39,1.38,102.95M,102.95M,0.42
2015-12,674.75M,674.75M,240.33M,434.43M,,,51.21M,29.54M,-29.54M,,241.70M,192.73M,29.54M,-29.54M,-0.879M,-29.54M,162.31M,60.77M,101.55M,1.315M,,102.86M,101.55M,263.09M,71.24M,191.85M,0.9886,0.0128,,0.9886,1.0,0.9886,0.01,,0.9886,1.0,102.71M,102.71M,0.42
2015-09,-558.25M,-558.25M,-863.86M,305.61M,,,48.66M,31.08M,-31.08M,,248.92M,56.69M,31.08M,-31.08M,1.815M,-31.08M,27.43M,13.37M,14.06M,,,23.52M,14.06M,128.39M,69.88M,58.50M,0.23,,,0.23,0.23,0.23,,,0.23,0.23,102.24M,102.24M,0.39
2015-06,686.40M,686.40M,304.73M,381.67M,,,63.18M,27.96M,-27.96M,,264.07M,117.61M,27.96M,-27.96M,0.634M,-27.96M,90.29M,34.00M,56.28M,,,56.28M,56.28M,186.97M,68.73M,118.24M,0.55,,,0.55,0.55,0.55,,,0.55,0.55,102.00M,102.00M,0.39
2015-03,1.540B,1.540B,1.019B,520.74M,,,69.05M,27.45M,-27.45M,,270.53M,250.21M,27.45M,-27.45M,-1.561M,-27.45M,221.20M,83.52M,137.68M,,,137.68M,137.68M,316.96M,68.31M,248.65M,1.35,,,1.35,1.35,1.35,,,1.35,1.35,101.75M,101.75M,0.39
2014-12,1.259B,1.259B,835.48M,423.28M,,,49.38M,29.76M,-29.76M,,235.56M,187.72M,29.76M,-29.76M,-1.707M,-29.76M,156.25M,58.66M,97.60M,,,97.60M,97.60M,253.89M,67.87M,186.02M,0.96,,,0.96,0.96,0.96,,,0.96,0.96,101.58M,101.58M,0.39
2014-09,789.03M,789.03M,451.38M,337.66M,,,46.30M,33.74M,-33.74M,,253.72M,83.94M,33.74M,-33.74M,-1.213M,-33.74M,48.99M,25.28M,23.71M,,,23.71M,23.71M,150.99M,67.59M,82.73M,0.2,,,0.2,0.2,0.2,,,0.2,0.2,101.25M,101.25M,0.37
2014-06,943.17M,943.17M,583.64M,359.53M,,,63.41M,31.84M,-31.84M,,252.93M,106.60M,31.84M,-31.84M,-0.374M,-31.84M,74.39M,28.67M,45.72M,,,45.72M,45.72M,170.41M,64.18M,106.23M,0.45,,,0.45,0.45,0.45,,,0.45,0.45,101.16M,101.16M,0.37
