,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,168.65M,,,-61.82M,29.46M,339.84M,339.84M,,1.279M,10.06M,-1.346M,124.92M,,,-87.62M,35.95M,617.31M,-58.54M,,,-109.12M,-5.504M,7.688M,-111.53M,-2.268B,-2.268B,,-0.103M,-0.103M,,,,-60.53M,-398.98M,-459.50M,-1.658M,-2.730B,3.306B,-2.224B,1.082B,,3.408B,-5.677B,-0.103M
2020-06,290.55M,,,-44.32M,-36.48M,337.41M,337.41M,,-0.202M,5.181M,-668.52M,61.84M,,,31.08M,-575.60M,73.00M,-124.25M,,,-21.93M,29.15M,-5.758M,-134.88M,-355.05M,-355.05M,,-0.936M,-0.936M,,,,-0.024M,-1.313M,-1.337M,0.44M,-356.88M,3.725B,-418.75M,3.306B,,1.504B,-1.859B,-0.936M
2020-03,505.40M,,,-50.46M,-51.43M,340.26M,340.26M,,19.05M,-8.706M,44.76M,-146.05M,,,-30.49M,-131.78M,741.31M,-213.21M,,,-149.34M,-24.07M,0.423M,-213.68M,3.445B,3.445B,,-168.74M,-168.74M,,,,-98.10M,-645.74M,-743.84M,-4.52M,2.528B,669.37M,3.055B,3.725B,,6.451B,-3.006B,-168.74M
2019-12,590.42M,,,-127.66M,-13.46M,339.06M,339.06M,,3.366M,-17.46M,-25.88M,5.441M,,,-16.00M,-36.43M,959.64M,-253.32M,,,-21.44M,-239.86M,9.516M,-490.64M,-2.565B,-2.565B,,-2.379M,-2.379M,,,,-98.28M,-645.76M,-744.04M,-135.56M,-3.447B,3.647B,-2.978B,669.37M,,2.419B,-4.983B,-2.379M
2019-09,628.72M,,,-119.70M,-129.85M,343.36M,343.36M,,-2.154M,-17.32M,-22.25M,115.20M,,,-67.14M,25.81M,960.63M,-219.34M,,,-31.20M,-113.52M,7.625M,-284.34M,3.421B,3.421B,,-183.01M,-183.01M,,,,-98.28M,-646.24M,-744.51M,-2.056M,2.491B,479.78M,3.167B,3.647B,,5.871B,-2.450B,-183.01M
2019-06,572.10M,,,-106.54M,-109.22M,371.83M,371.83M,,12.32M,-20.38M,11.12M,18.98M,,,53.82M,83.93M,1.050B,-186.56M,,,-11.97M,-13.94M,1.181M,-188.16M,89.44M,89.44M,,-176.42M,-176.42M,,,,-95.98M,-634.16M,-730.14M,-1.966M,-819.08M,436.80M,42.97M,479.78M,,2.435B,-2.346B,-176.42M
2019-03,631.95M,,,-90.44M,-90.44M,339.92M,339.92M,,-5.317M,-11.98M,36.84M,-126.52M,,,-20.01M,-109.69M,837.35M,-216.78M,,,-11.98M,-6.905M,1.757M,-113.56M,-60.71M,-60.71M,,-8.094M,-8.094M,,,,-96.01M,-634.70M,-730.71M,-1.803M,-801.32M,514.34M,-77.53M,436.80M,,2.587B,-2.648B,-8.094M
2018-12,833.19M,,,-149.99M,-293.86M,340.10M,340.10M,,16.42M,-3.402M,-45.19M,52.15M,,,-0.516M,6.449M,999.63M,-195.95M,,,-62.57M,26.71M,186.16M,-27.05M,-253.68M,-253.68M,,-120.78M,-120.78M,,,,-94.13M,-619.94M,-714.07M,-65.44M,-1.154B,695.72M,-181.38M,514.34M,,2.078B,-2.332B,-120.78M
2018-09,642.21M,,,-134.41M,-279.36M,335.60M,335.60M,,5.452M,140.59M,-32.07M,52.11M,,,-46.92M,-26.88M,914.38M,-251.28M,,,-22.59M,-14.02M,16.16M,-190.67M,-27.25M,-27.25M,,-0.082M,-0.082M,,,,-93.58M,-619.92M,-713.50M,-1.412M,-742.24M,714.25M,-18.53M,695.72M,,2.175B,-2.202B,-0.082M
2018-06,631.41M,,,-136.45M,-136.45M,339.40M,339.40M,,-9.693M,-13.96M,-12.12M,45.11M,,,34.83M,67.82M,993.30M,-161.92M,,,-18.44M,-1.716M,-2.808M,104.89M,29.90M,29.90M,,-83.46M,-83.46M,,,,-91.43M,-604.56M,-695.99M,-1.599M,-751.15M,367.21M,347.04M,714.25M,,1.965B,-1.935B,-83.46M
