,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.082B,,1.082B,1.452B,,1.452B,,2.535B,,,,,515.00M,515.00M,,515.00M,,,,4.091B,,1.139B,,29.13B,31.66B,1.299B,2.024B,3.323B,,3.323B,,,,,3.323B,25.14B,517.45M,25.66B,263.36M,187.19M,478.18M,26.32B,29.65B,42.20M,-5.953B,9.762B,1.918B,42.17M,,,-180.47M,1.753B
2020-06,3.306B,,3.306B,1.458B,,1.458B,,4.764B,,,,,517.06M,517.06M,,517.06M,,,,4.030B,,1.133B,,29.26B,34.03B,1.217B,2.035B,3.252B,,3.252B,,,,,3.252B,27.27B,519.42M,27.79B,306.10M,187.39M,463.38M,28.44B,31.69B,42.29M,-5.703B,9.763B,1.918B,42.26M,,,-155.13M,2.029B
2020-03,3.725B,,3.725B,793.49M,,793.49M,,4.518B,,,,,519.18M,519.18M,,519.18M,,,,4.043B,,1.228B,,29.60B,34.12B,1.254B,1.612B,2.866B,,2.866B,,,,,2.866B,27.55B,521.38M,28.07B,329.35M,212.19M,457.62M,28.74B,31.61B,42.37M,-5.583B,9.768B,1.926B,42.34M,,,-119.30M,2.182B
2019-12,669.37M,,669.37M,832.15M,,832.15M,492.58M,1.994B,,,,,514.66M,514.66M,,514.66M,20.10M,75.75M,95.85M,4.519B,,209.28M,,29.24B,31.23B,1.391B,1.566B,2.957B,,2.957B,1.327B,1.327B,1.327B,,4.284B,22.77B,584.06M,23.35B,384.85M,219.06M,464.30M,24.04B,28.32B,42.45M,-5.380B,9.756B,1.774B,42.42M,,,-118.60M,2.526B
2019-09,3.647B,,3.647B,775.62M,,775.62M,,4.423B,,,,,,,,,,,,3.736B,,1.803B,,29.42B,33.84B,1.324B,1.568B,2.892B,,2.892B,,,,,2.892B,26.64B,,26.64B,407.62M,226.89M,1.001B,27.87B,30.76B,42.53M,-5.223B,9.748B,1.774B,42.50M,,,-121.60M,2.673B
2019-06,479.78M,,479.78M,736.36M,,736.36M,,1.216B,,,,,,,,,,,,3.860B,,1.642B,,29.52B,30.73B,1.228B,1.567B,2.795B,,2.795B,,,,,2.795B,23.32B,,23.32B,444.01M,231.32M,1.018B,24.57B,27.37B,42.62M,-5.122B,9.723B,1.595B,42.58M,,,-128.74M,2.920B
2019-03,436.80M,,436.80M,733.16M,,733.16M,,1.170B,,,,,,,,,,,,3.874B,,1.724B,,29.67B,30.84B,1.157B,1.560B,2.717B,,2.717B,,,,,2.717B,23.19B,,23.19B,486.98M,225.88M,1.013B,24.42B,27.14B,42.70M,-4.979B,9.706B,1.435B,42.67M,,,-120.96M,3.213B
2018-12,514.34M,,514.34M,763.82M,,763.82M,516.46M,1.795B,,,,,,0.00,,0.00,20.10M,130.64M,150.74M,4.284B,,249.01M,,28.89B,30.69B,1.317B,1.536B,2.853B,,2.853B,758.68M,758.68M,758.68M,,3.612B,22.48B,67.26M,22.55B,500.28M,230.16M,500.60M,23.28B,26.89B,42.78M,-4.893B,9.700B,1.427B,42.75M,,,-126.02M,3.297B
2018-09,695.72M,,695.72M,722.73M,,722.73M,,1.418B,,,,,,,,,,,,4.058B,,1.298B,,29.66B,31.08B,1.268B,1.535B,2.803B,,2.803B,,,,,2.803B,23.68B,,23.68B,513.88M,197.94M,503.34M,24.38B,27.18B,42.86M,-4.897B,9.737B,1.381B,42.83M,,,-118.59M,3.384B
2018-06,714.25M,,714.25M,681.55M,,681.55M,,1.396B,,,,,,,,,,,,4.075B,,1.298B,,29.45B,30.84B,1.231B,1.531B,2.762B,,2.762B,,,,,2.762B,23.51B,,23.51B,507.60M,198.00M,499.60M,24.20B,26.96B,42.94M,-4.834B,9.658B,1.381B,42.91M,,,-115.28M,3.371B
2018-03,367.21M,,367.21M,686.16M,,686.16M,,1.053B,,,,,,,,,,,,4.281B,,1.375B,,29.96B,31.02B,1.181B,1.422B,2.603B,,2.603B,,,,,2.603B,23.65B,,23.65B,527.43M,201.68M,532.49M,24.38B,26.98B,43.03M,-4.774B,9.647B,1.307B,42.99M,,,-102.75M,3.506B
2017-12,1.482B,,1.482B,742.67M,,742.67M,584.19M,2.809B,,,,,,,,,20.10M,188.46M,208.56M,4.532B,,250.44M,,29.45B,32.26B,1.269B,1.406B,2.676B,,2.676B,978.47M,978.47M,978.47M,,3.654B,23.59B,68.42M,23.65B,552.60M,190.48M,520.36M,24.36B,28.02B,43.11M,-4.782B,9.615B,1.079B,43.08M,,,-110.45M,3.686B
2017-09,508.40M,,508.40M,686.62M,,686.62M,,1.195B,,,,,,,,,,,,4.239B,,1.339B,,29.84B,31.03B,1.290B,1.388B,2.679B,,2.679B,,,,,2.679B,23.41B,,23.41B,557.46M,186.73M,514.20M,24.11B,26.79B,43.19M,-4.777B,9.598B,1.068B,43.16M,,,-111.04M,3.685B
2017-06,488.61M,,488.61M,640.08M,,640.08M,,1.129B,,,,,,,,,,,,4.152B,,1.369B,,29.84B,30.97B,1.205B,1.370B,2.576B,,2.576B,,,,,2.576B,23.42B,,23.42B,564.44M,184.38M,492.14M,24.10B,26.67B,43.27M,-4.731B,9.587B,1.068B,43.24M,,,-103.87M,3.727B
2017-03,513.40M,,513.40M,621.60M,,621.60M,,1.135B,,,,,,,,,,,,4.197B,,1.385B,,29.81B,30.95B,1.081B,1.360B,2.441B,,2.441B,,,,,2.441B,23.15B,,23.15B,621.74M,166.85M,459.93M,23.78B,26.22B,43.36M,-4.559B,9.558B,834.54M,43.32M,,,-100.84M,4.107B
2016-12,560.06M,,560.06M,664.62M,,664.62M,451.46M,1.676B,,,,,,,,,20.10M,265.04M,285.14M,4.532B,,250.26M,,29.43B,31.10B,1.214B,1.360B,2.574B,,2.574B,953.66M,953.66M,953.66M,,3.527B,22.02B,,22.02B,649.46M,137.76M,455.04M,22.62B,26.14B,43.44M,-4.459B,9.523B,682.56M,43.40M,,,-114.13M,4.310B
2016-09,814.75M,,814.75M,626.42M,,626.42M,,1.441B,,,,,,,,,,,,4.337B,,1.360B,,30.23B,31.67B,1.241B,1.370B,2.611B,,2.611B,,,,,2.611B,23.08B,,23.08B,697.82M,159.35M,493.62M,23.73B,26.34B,43.52M,-4.350B,9.478B,427.29M,43.49M,,,-115.83M,4.629B
2016-06,884.28M,,884.28M,600.82M,,600.82M,,1.485B,,,,,,,,,,,,4.570B,,1.337B,,29.89B,31.38B,1.210B,1.402B,2.612B,,2.612B,,,,,2.612B,22.92B,,22.92B,696.29M,157.44M,369.28M,23.45B,26.06B,43.60M,-4.341B,9.466B,427.14M,43.57M,,,-119.92M,4.621B
2016-03,805.08M,,805.08M,573.26M,,573.26M,,1.378B,,,,,,,,,,,,4.469B,,1.468B,,30.02B,31.40B,1.167B,1.372B,2.539B,,2.539B,,,,,2.539B,22.98B,,22.98B,771.96M,155.53M,365.76M,23.50B,26.04B,43.68M,-4.289B,9.391B,438.00M,43.65M,,,-117.72M,4.591B
