,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.015B,1.061B,222.52M,838.16M,14.75M,3.016M,17.77M,,-91.28M,,,201.86M,-201.86M,82.61M,434.13M,404.02M,201.86M,-201.86M,-30.74M,-201.86M,171.42M,2.779M,168.65M,,,-21.89M,0.834M,146.76M,237.82M,713.12M,339.84M,373.28M,0.48,,,,0.7777,0.48,0.48,,,,0.7777,0.48,305.91M,305.91M,1.3
2020-06,1.035B,1.062B,201.92M,860.12M,12.69M,7.296M,19.98M,,-7.845M,,,197.06M,-197.06M,65.13M,409.25M,450.87M,197.06M,-197.06M,36.68M,-197.06M,290.49M,-0.062M,290.55M,,,-35.50M,0.834M,255.05M,260.63M,824.96M,337.41M,487.55M,0.83,,,,0.8482,0.83,0.83,,,,0.8482,0.83,305.88M,305.88M,0.0
2020-03,1.291B,1.353B,247.60M,1.106B,33.53M,6.894M,40.42M,,0.962M,,,187.63M,-187.63M,82.21M,450.89M,654.87M,187.63M,-187.63M,32.38M,-187.63M,499.62M,-5.783M,505.40M,,,-66.96M,0.834M,438.44M,451.64M,1.028B,340.26M,687.25M,1.43,,,,1.473,1.43,1.43,,,,1.473,1.43,306.50M,306.50M,2.1
2019-12,1.385B,1.489B,259.08M,1.230B,41.22M,7.332M,48.55M,,-114.20M,,,189.81M,-189.81M,79.80M,452.66M,776.88M,189.81M,-189.81M,10.10M,-189.81M,597.16M,6.745M,590.42M,,,-79.39M,0.834M,511.03M,627.26M,1.126B,339.06M,786.97M,1.66,,,,2.039,1.66,1.66,,,,2.039,1.66,306.86M,306.86M,2.1
2019-09,1.337B,1.417B,263.74M,1.153B,36.58M,8.032M,44.62M,,10.14M,,,202.38M,-202.38M,67.95M,447.51M,705.30M,202.38M,-202.38M,132.00M,-202.38M,634.92M,6.197M,628.72M,,,-83.64M,0.834M,545.09M,532.91M,1.181B,343.36M,837.30M,1.77,,,,1.73,1.77,1.77,,,,1.73,1.77,307.28M,307.28M,2.1
2019-06,1.327B,1.397B,243.88M,1.153B,35.42M,10.36M,45.78M,,2.681M,,,198.42M,-198.42M,74.29M,472.67M,680.63M,198.42M,-198.42M,96.91M,-198.42M,579.11M,7.01M,572.10M,,,-75.94M,0.834M,496.16M,505.68M,1.149B,371.83M,777.54M,1.6,,,,1.631,1.6,1.6,,,,1.631,1.6,308.71M,308.71M,2.05
2019-03,1.308B,1.453B,254.93M,1.198B,37.12M,9.136M,46.26M,,0.00,,,198.73M,-198.73M,77.98M,452.88M,745.02M,198.73M,-198.73M,95.76M,-198.73M,642.05M,10.10M,631.95M,,,-82.64M,0.834M,549.31M,544.08M,1.181B,339.92M,840.78M,1.78,,,,1.7630000000000001,1.78,1.78,,,,1.7630000000000001,1.78,308.98M,308.98M,2.05
2018-12,1.378B,1.462B,254.09M,1.208B,43.26M,10.83M,54.09M,,143.88M,,,204.34M,-204.34M,54.19M,437.43M,770.51M,204.34M,-204.34M,277.44M,-204.34M,843.62M,10.42M,833.19M,,,-119.56M,0.834M,713.63M,587.75M,1.388B,340.10M,1.048B,2.3,,,,1.893,2.3,2.3,,,,1.893,2.3,309.29M,309.29M,2.0
2018-09,1.313B,1.404B,261.97M,1.142B,36.69M,12.17M,48.86M,,0.00,,,199.47M,-199.47M,54.18M,419.21M,722.84M,199.47M,-199.47M,128.96M,-199.47M,652.33M,10.12M,642.21M,,,-85.11M,0.834M,557.10M,562.47M,1.187B,335.60M,851.80M,1.8,,,,1.817,1.8,1.8,,,,1.817,1.8,309.29M,309.29M,2.0
2018-06,1.287B,1.385B,236.59M,1.148B,36.49M,10.91M,47.40M,,9.672M,,,206.62M,-206.62M,52.88M,420.48M,727.98M,206.62M,-206.62M,120.19M,-206.62M,641.55M,10.14M,631.41M,,,-83.58M,0.834M,547.84M,528.78M,1.188B,339.40M,848.18M,1.77,,,,1.7080000000000002,1.77,1.77,,,,1.7080000000000002,1.77,309.36M,309.36M,1.95
