,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,2.745B,195.00M,2.94B,566.00M,,566.00M,3.979B,,175.00M,7.66B,,,,856.00M,856.00M,,856.00M,6.85B,2.255B,9.105B,,,358.00M,10.32B,17.98B,,175.00M,224.00M,399.00M,227.00M,626.00M,,,,,,,,235.00M,235.00M,,4.063B,4.924B,5.541B,389.00M,5.93B,502.00M,,502.00M,,3.00M,,187.00M,6.619B,,,2.00M,5.628B,2.547B,376.00M,,,,-1.368B,6.433B,,AOR,
2020-09,584.00M,177.00M,761.00M,504.00M,,504.00M,3.411B,,134.00M,4.81B,,,,822.00M,822.00M,,822.00M,6.60B,2.218B,8.818B,,,381.00M,10.02B,14.83B,,145.00M,63.00M,208.00M,184.00M,392.00M,,0.00,,,0.00,,0.00,290.00M,290.00M,,3.479B,4.161B,3.571B,397.00M,3.968B,513.00M,,513.00M,,3.00M,,175.00M,6.277M,,,2.00M,5.484B,2.524B,367.00M,,,,-1.632B,6.011B,,AOR,
2020-06,711.00M,206.00M,917.00M,523.00M,,523.00M,3.128B,,148.00M,4.716B,,,,801.00M,801.00M,,801.00M,6.488B,2.215B,8.703B,,,339.00M,9.843B,14.56B,,129.00M,318.00M,447.00M,149.00M,596.00M,,0.00,,,0.00,,0.00,351.00M,351.00M,,3.302B,4.249B,3.482B,403.00M,3.885B,506.00M,,506.00M,,3.00M,,162.00M,6.273M,,,2.00M,5.301B,2.533B,367.00M,,,,-1.715B,5.754B,,AOR,
2020-03,1.015B,254.00M,1.269B,568.00M,,568.00M,3.27B,,163.00M,5.27B,,,,699.00M,699.00M,,699.00M,6.326B,2.20B,8.526B,,,303.00M,9.528B,14.80B,,183.00M,161.00M,344.00M,132.00M,476.00M,,349.00M,797.00M,,1.146B,,1.146B,416.00M,416.00M,,3.412B,5.45B,2.962B,310.00M,3.272B,507.00M,,507.00M,,2.00M,,171.00M,6.252M,,,2.00M,5.14B,2.527B,364.00M,,,,-1.909B,5.396B,,AOR,
2019-12,332.00M,291.00M,623.00M,422.00M,,422.00M,3.026B,,219.00M,4.29B,,,870.00M,346.00M,1.216B,-486.00M,730.00M,6.366B,2.249B,8.615B,,,289.00M,9.634B,13.92B,,148.00M,132.00M,280.00M,188.00M,468.00M,,391.00M,,,391.00M,,391.00M,211.00M,211.00M,,3.157B,4.227B,2.996B,331.00M,3.327B,552.00M,,552.00M,,,,179.00M,5.981M,,,2.00M,5.027B,2.632B,336.00M,,,,-1.686B,5.639B,,AOR,
2019-09,304.00M,201.00M,505.00M,399.00M,,399.00M,2.451B,,144.00M,3.499B,,,,707.00M,707.00M,,707.00M,6.232B,2.239B,8.471B,,,303.00M,9.481B,12.98B,,146.00M,34.00M,180.00M,137.00M,317.00M,0.00,539.00M,,,539.00M,,539.00M,267.00M,267.00M,,2.569B,3.692B,2.939B,327.00M,3.266B,525.00M,,525.00M,,,,170.00M,5.908M,,,2.00M,4.901B,2.585B,328.00M,,,,-1.833B,5.327B,,AOR,Restated
2019-06,333.00M,259.00M,592.00M,415.00M,,415.00M,3.191B,,165.00M,4.363B,,,,755.00M,755.00M,,755.00M,6.382B,2.304B,8.686B,,,328.00M,9.769B,14.13B,,149.00M,170.00M,319.00M,119.00M,438.00M,0.00,467.00M,,,467.00M,,467.00M,333.00M,333.00M,,3.293B,4.531B,3.022B,343.00M,3.365B,510.00M,,510.00M,,,,175.00M,5.899M,,,2.00M,4.829B,2.713B,327.00M,,,,-1.666B,5.551B,,AOR,Restated
2019-03,472.00M,220.00M,692.00M,447.00M,,447.00M,3.341B,,256.00M,4.736B,,,,748.00M,748.00M,,748.00M,6.38B,2.329B,8.709B,,,310.00M,9.767B,14.50B,,218.00M,69.00M,287.00M,118.00M,405.00M,599.00M,540.00M,,100.00M,1.239B,,1.239B,402.00M,402.00M,,3.595B,5.641B,2.328B,357.00M,2.685B,503.00M,,503.00M,,,,180.00M,5.891M,,,2.00M,4.732B,2.732B,327.00M,,,,-1.645B,5.494B,,AOR,Restated
2018-12,545.00M,268.00M,813.00M,384.00M,,384.00M,4.783B,,390.00M,6.37B,,,800.00M,,800.00M,-424.00M,376.00M,6.363B,2.30B,8.663B,,,291.00M,9.33B,15.70B,,198.00M,109.00M,307.00M,199.00M,506.00M,500.00M,275.00M,,100.00M,875.00M,,875.00M,194.00M,194.00M,,4.995B,6.57B,2.956B,0.00,2.956B,501.00M,,501.00M,,,,224.00M,5.544M,,,2.00M,4.558B,2.716B,297.00M,,,,-1.53B,5.449B,,AOR,Restated
2018-09,324.00M,202.00M,526.00M,356.00M,,356.00M,4.271B,,304.00M,5.457B,,,,,,,371.00M,6.369B,2.328B,8.697B,,,330.00M,9.398B,14.86B,,176.00M,21.00M,197.00M,145.00M,342.00M,499.00M,309.00M,,,808.00M,,808.00M,257.00M,257.00M,,4.392B,5.799B,3.072B,,3.072B,137.00M,91.00M,228.00M,,,,154.00M,5.475M,,,2.00M,4.399B,2.676B,291.00M,,,,-1.184B,5.602B,,AOR,Restated
2018-06,322.00M,313.00M,635.00M,405.00M,,405.00M,4.475B,,212.00M,5.727B,,,,,,,370.00M,6.355B,2.351B,8.706B,,,338.00M,9.414B,15.14B,,174.00M,225.00M,399.00M,115.00M,514.00M,499.00M,269.00M,,,768.00M,,768.00M,310.00M,310.00M,,4.556B,6.148B,3.079B,,3.079B,99.00M,96.00M,195.00M,,,,177.00M,5.465M,,,2.00M,4.309B,2.712B,290.00M,,,,-1.191B,5.542B,,AOR,Restated
