,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,264.00M,0.00,,-54.00M,-54.00M,,,51.00M,51.00M,22.00M,,,24.00M,,13.00M,18.00M,-210.00M,33.00M,-105.00M,-60.00M,-324.00M,,-4.00M,,-60.00M,,-60.00M,0.00,35.00M,13.00M,-12.00M,,0.00,0.00,0.00,,-34.00M,-34.00M,-81.00M,-81.00M,1.00M,0.00,-114.00M,,741.00M,-130.00M,6.00M,617.00M,,,0.00,0.00,-34.00M,138.00M,0.00,,AOR,
2020-06,241.00M,0.00,,-26.00M,-26.00M,,,50.00M,50.00M,-2.00M,,,23.00M,,14.00M,47.00M,113.00M,-59.00M,114.00M,-74.00M,141.00M,,441.00M,,-42.00M,,-42.00M,0.00,63.00M,-12.00M,9.00M,,-314.00M,-349.00M,-663.00M,,-30.00M,-30.00M,-80.00M,-80.00M,13.00M,-2.00M,-762.00M,,1.044B,-312.00M,9.00M,741.00M,,,485.00M,-799.00M,-30.00M,39.00M,36.00M,,AOR,
2020-03,203.00M,0.00,,-17.00M,19.00M,,,48.00M,48.00M,-1.00M,,,17.00M,,-1.00M,-174.00M,4.00M,69.00M,-8.00M,204.00M,95.00M,,380.00M,,-26.00M,,-26.00M,-157.00M,22.00M,7.00M,-154.00M,,772.00M,-42.00M,730.00M,,-122.00M,-122.00M,-78.00M,-78.00M,,-62.00M,468.00M,,362.00M,694.00M,-12.00M,1.044B,,,1.443B,-671.00M,-122.00M,41.00M,33.00M,,AOR,
2019-12,203.00M,0.00,,-13.00M,-24.00M,,,47.00M,47.00M,56.00M,,,22.00M,,12.00M,-35.00M,134.00M,-45.00M,36.00M,-67.00M,23.00M,,339.00M,,-39.00M,,-39.00M,11.00M,-70.00M,-11.00M,-109.00M,,0.00,-148.00M,-148.00M,,0.00,0.00,-77.00M,-77.00M,25.00M,-8.00M,-208.00M,,333.00M,22.00M,7.00M,362.00M,,,0.00,0.00,0.00,16.00M,23.00M,,AOR,
2019-09,150.00M,0.00,,-16.00M,-16.00M,,,47.00M,47.00M,-20.00M,,,21.00M,,28.00M,13.00M,-115.00M,58.00M,-5.00M,-60.00M,-109.00M,,101.00M,,-25.00M,,-25.00M,0.00,47.00M,10.00M,32.00M,,0.00,72.00M,72.00M,,-150.00M,-150.00M,-78.00M,-78.00M,1.00M,-1.00M,-156.00M,,363.00M,-23.00M,-7.00M,333.00M,,,0.00,0.00,-150.00M,60.00M,12.00M,,AOR,Restated
2019-06,174.00M,0.00,,-10.00M,1.00M,,,48.00M,48.00M,15.00M,,,20.00M,,-12.00M,30.00M,31.00M,102.00M,-165.00M,-74.00M,-76.00M,,186.00M,,-43.00M,,-43.00M,0.00,-39.00M,-7.00M,-89.00M,,-35.00M,-73.00M,-108.00M,,-50.00M,-50.00M,-77.00M,-77.00M,11.00M,-47.00M,-271.00M,,539.00M,-174.00M,-2.00M,363.00M,,,665.00M,-700.00M,-50.00M,107.00M,62.00M,,AOR,Restated
2019-03,247.00M,-27.00M,,-45.00M,-72.00M,,,48.00M,48.00M,-16.00M,,,16.00M,,16.00M,-50.00M,-85.00M,-288.00M,351.00M,186.00M,114.00M,,337.00M,,-20.00M,,-20.00M,-85.00M,37.00M,-6.00M,-74.00M,,-500.00M,265.00M,-235.00M,,0.00,0.00,-73.00M,-73.00M,,6.00M,-302.00M,,586.00M,-39.00M,-8.00M,539.00M,,,15.00M,-515.00M,0.00,22.00M,23.00M,,AOR,Restated
2018-12,-44.00M,0.00,,-5.00M,-123.00M,,,51.00M,51.00M,313.00M,,,18.00M,,5.00M,-24.00M,174.00M,-17.00M,74.00M,-67.00M,140.00M,,360.00M,,-39.00M,,-39.00M,-75.00M,103.00M,-20.00M,-31.00M,,0.00,-35.00M,-35.00M,,0.00,0.00,-72.00M,-72.00M,7.00M,-21.00M,-121.00M,,376.00M,208.00M,2.00M,586.00M,,,0.00,0.00,0.00,26.00M,27.00M,,AOR,Restated
2018-09,163.00M,8.00M,,-6.00M,2.00M,,,53.00M,53.00M,24.00M,,,18.00M,,1.00M,41.00M,-178.00M,-63.00M,10.00M,-57.00M,-247.00M,,14.00M,,-27.00M,,-27.00M,-8.00M,111.00M,0.00,76.00M,,0.00,42.00M,42.00M,,-54.00M,-54.00M,-73.00M,-73.00M,0.00,14.00M,-71.00M,,356.00M,19.00M,1.00M,376.00M,,,0.00,212.00M,-54.00M,96.00M,32.00M,,AOR,Restated
2018-06,162.00M,-41.00M,,-5.00M,-46.00M,,,53.00M,53.00M,14.00M,,,18.00M,,6.00M,75.00M,49.00M,-28.00M,53.00M,-77.00M,72.00M,,279.00M,,-29.00M,,-29.00M,294.00M,-100.00M,-6.00M,159.00M,,0.00,-194.00M,-194.00M,,-241.00M,-241.00M,-72.00M,-72.00M,10.00M,-1.00M,-498.00M,,429.00M,-60.00M,-13.00M,356.00M,,,0.00,-194.00M,-241.00M,72.00M,56.00M,,AOR,Restated
