,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2007-12,664.49M,664.49M,452.94M,211.55M,7.575M,92.87M,100.44M,,18.20M,,,,,,110.04M,101.51M,,,,18.20M,,132.14M,53.18M,78.96M,,,0.00,,78.96M,68.04M,111.11M,9.594M,101.51M,,0.57,0.00,,0.4832,0.57,,0.52,0.00,,0.4557,0.52,,125.86M,169.82M,,,,
2007-09,651.96M,651.96M,442.02M,209.94M,4.146M,112.29M,116.43M,,466.64M,,,,,,126.10M,83.85M,,,,466.64M,,536.58M,171.59M,364.99M,,,,,364.99M,47.58M,93.51M,9.661M,83.85M,,3.23,0.00,,0.4210,3.23,,2.41,0.00,,0.1928,2.41,,113.00M,143.16M,,,,
2007-06,558.20M,558.20M,359.52M,198.68M,4.227M,85.72M,89.95M,,11.29M,,,,,,99.74M,98.94M,,,,11.29M,,94.33M,38.20M,56.13M,,,,,56.13M,48.79M,108.73M,9.796M,98.94M,,0.50,0.00,,0.4346,0.50,,0.39,0.00,,0.3390,0.39,,112.26M,143.92M,,,,
2007-03,561.95M,561.95M,369.88M,192.07M,4.875M,95.99M,100.86M,,-32.77M,,,,,,110.70M,81.36M,,,,-32.77M,,30.85M,12.53M,18.32M,,,0.096M,,18.32M,39.62M,91.20M,9.839M,81.36M,,0.16,0.00,,0.3461,0.16,,0.14,0.00,,0.3028,0.14,,114.48M,130.83M,,,,
2006-12,447.85M,447.44M,264.39M,183.05M,8.184M,121.98M,130.16M,,80.77M,,,,,,114.96M,68.09M,,,,80.77M,,105.52M,42.49M,63.04M,,,0.315M,5.807M,63.04M,14.57M,78.68M,10.58M,68.09M,,0.59,0.00,,0.0667,0.59,,0.44,0.00,,0.0779,0.44,,92.61M,133.85M,,,,
2006-09,402.78M,402.86M,231.71M,171.15M,3.487M,76.92M,80.41M,,-8.487M,,,,,8.567M,103.29M,67.86M,,,,-8.487M,,49.90M,19.68M,30.23M,,,0.134M,,30.23M,35.37M,82.17M,14.31M,67.86M,,0.27,0.00,,0.3159,0.27,,0.22,0.00,,0.2574,0.22,,111.95M,137.39M,,,,
2006-06,411.03M,411.03M,239.88M,171.15M,3.82M,100.42M,104.24M,,0.118M,,,,,9.105M,134.82M,36.33M,,,,0.118M,,27.74M,11.10M,16.64M,,,0.317M,,16.64M,16.57M,57.80M,21.47M,36.33M,,0.16,0.00,,0.1593,0.16,,0.13,0.00,,0.1294,0.13,,104.02M,128.03M,,,,
2006-03,396.24M,396.24M,234.22M,162.02M,5.031M,82.51M,87.54M,,-8.117M,,,,,8.117M,120.21M,41.81M,,,,-8.117M,,29.98M,11.99M,17.99M,,,0.136M,0.69M,17.99M,22.86M,66.36M,24.55M,41.81M,,0.20,0.00,,0.2563,0.20,,0.16,0.00,,0.2050,0.16,,86.49M,108.11M,,,,
2005-12,259.78M,259.58M,120.95M,138.63M,4.194M,70.52M,74.72M,,-10.67M,,,,,10.47M,105.41M,33.22M,,,,-10.67M,,29.46M,12.32M,17.15M,,,0.158M,1.044M,17.15M,23.55M,53.49M,20.27M,33.22M,,0.19,0.00,,0.2650,0.19,,0.15,0.00,,0.2092,0.15,,85.36M,108.11M,,,,
2005-09,220.43M,220.46M,89.82M,130.64M,1.47M,73.67M,75.14M,,-10.46M,,,,,10.50M,99.28M,31.36M,,,,-10.46M,,30.69M,12.89M,17.80M,,,0.044M,1.376M,17.80M,24.08M,46.31M,14.95M,31.36M,,0.20,0.00,,0.2765,0.20,,0.16,0.00,,0.2212,0.16,,82.13M,102.66M,,,,
2005-06,219.69M,219.69M,89.22M,130.46M,2.026M,76.74M,78.76M,,-10.44M,,,,,10.44M,104.14M,26.32M,,,,-10.44M,,24.79M,10.82M,13.97M,,,,2.244M,13.97M,20.24M,41.26M,14.62M,26.32M,,0.15,0.00,,0.2301,0.15,,0.13,0.00,,0.1994,0.13,,78.18M,90.21M,,,,
2005-03,180.19M,180.19M,53.92M,126.28M,1.346M,73.61M,74.96M,,-10.37M,,,,,10.37M,103.52M,22.76M,,,,-10.37M,,21.32M,8.55M,12.77M,,,,1.927M,12.77M,18.99M,41.27M,18.51M,22.76M,,0.14,0.00,,0.2203,0.14,,0.13,0.00,,0.2046,0.13,,77.46M,83.42M,,,,
2004-12,168.05M,168.05M,46.67M,121.39M,3.794M,84.98M,88.77M,,-11.30M,,,,,11.30M,121.40M,-0.018M,,,,-11.30M,,-1.613M,0.514M,-2.127M,,,,5.838M,7.431M,4.65M,21.32M,20.93M,-0.018M,,-0.10,0.12,,-0.0377,0.02,,-0.10,,,-0.0377,0.02,,108.78M,108.78M,,,,
2004-09,123.97M,123.97M,9.177M,114.79M,2.819M,90.95M,93.77M,,-11.12M,,,,,11.12M,123.76M,-8.966M,,,,-11.12M,,-10.32M,-4.835M,-5.485M,,,,1.004M,-5.485M,1.187M,10.09M,19.05M,-8.966M,,-0.08,0.00,,0.0023,-0.08,,-0.08,0.00,,0.0023,-0.08,,81.11M,81.11M,,,,
2004-06,120.01M,120.01M,,,3.537M,79.64M,83.18M,,-11.76M,,,,,11.76M,111.45M,8.563M,,,,-11.76M,,7.361M,2.576M,4.785M,,,,3.547M,4.785M,12.43M,25.38M,16.82M,8.563M,,0.02,0.00,,0.1435,0.02,,0.02,0.00,,0.1435,0.02,,61.90M,61.90M,,,,
2004-03,128.40M,128.40M,,,2.64M,86.14M,88.78M,,-11.41M,,,,,11.41M,119.80M,8.604M,,,,-11.41M,,7.125M,2.494M,4.631M,,,,2.799M,4.631M,12.05M,28.22M,19.53M,8.604M,,0.02,0.00,,0.1010,0.02,,0.02,0.00,,0.1010,0.02,,91.60M,91.60M,,,,
2003-12,138.01M,138.01M,,,5.695M,82.58M,88.28M,,-41.44M,,,,,41.44M,150.66M,-12.65M,,,,-41.44M,,-13.92M,-3.108M,-10.81M,-10.19M,,,2.543M,-21.00M,21.38M,8.287M,20.77M,-12.65M,,-0.17,-0.13,,0.2403,-0.30,,-0.17,-0.13,,0.2403,-0.30,,78.46M,78.46M,,,,
2003-09,141.90M,141.90M,,,3.549M,90.75M,94.30M,,-39.25M,,,,,39.25M,154.71M,-12.81M,,,,-39.25M,,-15.50M,-7.758M,-7.743M,-30.26M,,,2.542M,-38.01M,15.81M,8.351M,20.99M,-12.81M,,-0.13,-0.39,,0.1720,-0.52,,-0.13,-0.39,,0.1689,-0.52,,77.98M,78.79M,,,,
2003-06,147.57M,147.57M,,,5.352M,102.54M,107.89M,,-56.52M,,,,,56.52M,189.52M,-41.95M,,,,-56.52M,,-44.56M,-12.18M,-32.38M,-16.63M,,,2.544M,-49.01M,8.691M,-16.84M,24.83M,-41.95M,,-0.45,-0.21,,0.0758,-0.66,,-0.45,-0.21,,0.0758,-0.66,,78.11M,78.11M,,,,
2003-03,162.36M,162.36M,,,4.919M,107.38M,112.30M,,-17.19M,,,,,17.19M,152.27M,10.09M,,,,-17.19M,,7.628M,1.808M,5.82M,-3.254M,,,0.65M,2.566M,18.94M,33.44M,23.35M,10.09M,,0.06,-0.04,,0.1969,0.02,,0.06,-0.04,,0.1969,0.02,,95.80M,95.80M,,,,
2002-12,200.31M,200.31M,,,12.77M,98.98M,111.75M,,-42.58M,,,,,42.58M,167.60M,32.70M,,,,-42.58M,,22.39M,0.18M,22.21M,,,,2.442M,0.32M,64.45M,46.29M,13.59M,32.70M,,0.24,-0.26,,0.7668,-0.02,,0.24,-0.26,,0.7668,-0.02,,80.17M,80.17M,,,,
2002-09,187.19M,187.19M,,,6.121M,119.24M,125.36M,,-11.23M,,,,,11.23M,161.72M,25.47M,,,,-11.23M,,24.94M,12.23M,12.71M,,,2.953M,2.441M,12.71M,19.45M,51.08M,25.61M,25.47M,,0.13,0.00,,0.2153,0.13,,0.13,0.00,,0.2153,0.13,,79.00M,79.00M,,,,
2002-06,205.14M,205.14M,,,4.216M,128.16M,132.38M,,-32.88M,,,,,,157.17M,47.96M,,,,-32.88M,,17.08M,8.308M,8.77M,,,2.656M,2.441M,8.77M,28.50M,73.82M,25.85M,47.96M,,0.08,0.00,,0.3294,0.08,,0.08,0.00,,0.3294,0.08,,79.11M,79.11M,,,,
2002-03,211.33M,211.33M,,,3.822M,125.54M,129.37M,,-17.67M,,,,,,154.67M,56.66M,,,,-17.67M,,41.53M,20.21M,21.33M,,,2.942M,,21.33M,31.93M,83.28M,26.61M,56.66M,,0.19,0.00,,0.3259,0.19,,0.18,0.00,,0.3159,0.18,,78.04M,78.04M,,,,
2001-12,215.45M,215.45M,,,,,,,,,,,,,719.98M,-20.45M,,,,,,-19.22M,-5.965M,-8.023M,,,0.47M,,-13.26M,-13.26M,14.28M,34.72M,-20.45M,,0.07,-0.17,,0.07,-0.10,,0.07,-0.17,,0.07,-0.10,,119.38M,122.09M,,,,
2001-09,197.71M,197.71M,166.54M,31.17M,,,,,,,,,,,24.41M,6.754M,,,,,,13.68M,5.736M,4.693M,,,3.252M,,7.945M,7.945M,29.65M,22.89M,6.754M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,113.50M,113.50M,,,AOR,Restated
2001-06,221.31M,221.31M,163.28M,58.03M,,,,,,,,,,,25.30M,32.73M,,,,,,36.34M,16.75M,17.82M,,,1.765M,,19.58M,19.58M,54.62M,21.89M,32.73M,,0.17,0.00,,0.17,0.17,,0.16,0.00,,0.16,0.16,,115.19M,122.39M,,,AOR,Restated
2001-03,222.77M,222.77M,154.26M,68.50M,,,,,,,,,,,26.41M,42.09M,,,,,,48.00M,21.81M,25.98M,,,0.217M,,26.19M,26.19M,62.87M,20.78M,42.09M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,124.73M,124.73M,,,AOR,Restated
2000-12,211.47M,211.47M,,,,,,,,,,,,,546.49M,7.601M,,,,,,17.21M,6.489M,10.72M,,0.00,0.872M,,10.72M,10.72M,27.63M,20.03M,7.601M,,0.06,0.03,0.00,0.06,0.09,,0.06,0.03,0.0528,0.06,0.09,,129.22M,129.22M,,,AOR,
2000-09,202.72M,202.72M,,,9.161M,29.81M,9.161M,,,1.219M,,,,134.39M,161.84M,40.88M,,,,,,45.68M,23.65M,22.03M,,,0.00,,22.03M,22.03M,57.95M,17.08M,40.88M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,122.38M,122.38M,,,AOR,
2000-06,211.50M,211.50M,,,5.615M,33.53M,5.615M,,,1.057M,,,,117.39M,139.75M,71.75M,,,,,,74.41M,29.18M,45.30M,,,0.00,,45.30M,45.30M,87.44M,15.26M,71.75M,,0.45,0.00,,0.45,0.45,,0.45,0.00,,0.45,0.45,,100.66M,100.66M,,,AOR,
2000-03,207.02M,207.02M,,,17.26M,28.59M,17.26M,,,1.093M,,,,100.02M,131.22M,75.79M,,,,,,46.35M,31.16M,46.35M,,-101.09M,0.00,,-54.74M,46.35M,89.06M,13.27M,75.79M,,0.46,-1.01,-0.0000,0.46,-0.55,,0.46,-1.01,-1.016,0.46,-0.55,,99.53M,99.53M,,,AOR,
