,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,926.00M,1.019B,569.00M,450.00M,9.00M,120.00M,129.00M,25.00M,-24.00M,,34.00M,1.00M,-35.00M,8.00M,185.00M,265.00M,1.00M,34.00M,-35.00M,-19.00M,-35.00M,211.00M,-35.00M,246.00M,,,,,246.00M,260.40M,293.00M,48.00M,245.00M,,1.47,,,1.556,1.47,,1.45,,,1.535,1.45,,166.87M,169.64M,0.38,,AOR,Restated
2017-09,919.00M,965.00M,529.00M,436.00M,7.00M,108.00M,115.00M,23.00M,-3.00M,,32.00M,2.00M,-32.00M,9.00M,171.00M,265.00M,2.00M,32.00M,-32.00M,1.00M,-32.00M,234.00M,64.00M,170.00M,,,,,170.00M,172.18M,314.00M,48.00M,266.00M,,1.02,,,1.033,1.02,,1.00,,,1.013,1.00,,166.69M,170.00M,0.38,,AOR,Restated
2017-06,944.00M,994.00M,559.00M,435.00M,8.00M,119.00M,127.00M,23.00M,-11.00M,,34.00M,2.00M,-34.00M,8.00M,182.00M,253.00M,2.00M,34.00M,-34.00M,-8.00M,-34.00M,211.00M,65.00M,146.00M,,,,,146.00M,152.92M,292.00M,47.00M,245.00M,,0.88,,,0.9218,0.88,,0.87,,,0.9111,0.87,,165.42M,168.49M,0.38,,AOR,Restated
2017-03,969.00M,969.00M,549.00M,420.00M,7.00M,108.00M,115.00M,23.00M,-6.00M,,35.00M,2.00M,-35.00M,8.00M,168.00M,252.00M,2.00M,35.00M,-35.00M,-2.00M,-35.00M,215.00M,47.00M,168.00M,,,,,168.00M,172.69M,295.00M,45.00M,250.00M,,1.01,,,1.038,1.01,,0.99,,,1.018,0.99,,166.47M,170.25M,0.32,,AOR,Restated
2016-12,781.00M,972.00M,555.00M,417.00M,8.00M,120.00M,128.00M,24.00M,-598.00M,,31.00M,1.00M,-36.00M,14.00M,187.00M,230.00M,1.00M,31.00M,-36.00M,-602.00M,-36.00M,-408.00M,-181.00M,-227.00M,,,,,-227.00M,131.80M,-332.00M,45.00M,-377.00M,,-1.35,,,0.8139,-1.35,,-1.35,,,0.7703,-1.35,,165.82M,169.22M,0.32,,AOR,Restated
2016-09,929.00M,929.00M,512.00M,417.00M,8.00M,110.00M,118.00M,23.00M,-12.00M,,37.00M,1.00M,-36.00M,8.00M,172.00M,245.00M,1.00M,37.00M,-36.00M,-10.00M,-36.00M,199.00M,68.00M,131.00M,,,,,131.00M,138.90M,282.00M,46.00M,236.00M,,0.79,,,0.8377,0.79,,0.77,,,0.8166,0.77,,165.61M,169.50M,0.32,,AOR,Restated
2016-06,897.00M,897.00M,502.00M,395.00M,8.00M,98.00M,106.00M,19.00M,-68.00M,,32.00M,1.00M,-31.00M,6.00M,153.00M,242.00M,1.00M,32.00M,-31.00M,-65.00M,-31.00M,146.00M,76.00M,70.00M,,,,,70.00M,109.60M,219.00M,41.00M,178.00M,,0.42,,,0.6600,0.42,,0.42,,,0.6554,0.42,,165.02M,168.21M,0.32,,AOR,Restated
2016-03,905.00M,905.00M,523.00M,382.00M,6.00M,94.00M,100.00M,20.00M,-18.00M,,28.00M,1.00M,-27.00M,7.00M,145.00M,237.00M,1.00M,28.00M,-27.00M,-15.00M,-27.00M,195.00M,63.00M,132.00M,,,,,132.00M,143.51M,261.00M,38.00M,223.00M,,0.80,,,0.8701,0.80,,0.78,,,0.8484,0.78,,164.28M,168.37M,0.25,,AOR,Restated
2015-12,865.00M,865.00M,478.00M,387.00M,8.00M,76.00M,84.00M,22.00M,-15.00M,,23.00M,1.00M,-27.00M,7.00M,127.00M,260.00M,1.00M,23.00M,-27.00M,-14.00M,-27.00M,219.00M,71.00M,148.00M,,,0.00,,148.00M,158.14M,278.00M,36.00M,242.00M,,0.90,,,0.9616,0.90,,0.88,,,0.9400,0.88,,164.53M,168.98M,0.25,,AOR,Restated
2015-09,871.00M,871.00M,492.00M,379.00M,6.00M,89.00M,95.00M,22.00M,-12.00M,,28.00M,1.00M,-27.00M,7.00M,136.00M,243.00M,1.00M,28.00M,-27.00M,-10.00M,-27.00M,206.00M,68.00M,138.00M,,,,,138.00M,146.04M,269.00M,35.00M,234.00M,,0.83,,,0.8782,0.83,,0.80,,,0.8469,0.80,,166.90M,171.45M,0.25,,AOR,Restated
