,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2017-09,285.54M,0.00,-0.256M,3.591M,13.78M,17.11M,59.96M,56.15M,116.11M,116.11M,10.22M,,43.21M,43.21M,23.43M,-142.74M,-13.05M,-90.85M,,,-10.97M,-234.19M,,238.00M,-79.34M,12.45M,12.45M,0.00,-57.75M,7.329M,-117.31M,-5.594M,35.20M,29.61M,,-78.71M,-78.71M,-88.10M,-88.10M,1.795M,,-135.41M,884.89M,-14.73M,4.606M,874.77M,,36.13M,-6.522M,-78.71M
2017-06,293.36M,1.709M,0.981M,1.856M,0.00,4.546M,59.91M,58.78M,118.69M,118.69M,-6.506M,,19.42M,19.42M,-49.90M,17.50M,3.739M,77.58M,,,32.85M,81.76M,,511.27M,-58.51M,6.196M,6.196M,-1.442M,0.492M,-1.615M,-54.88M,-6.577M,-217.30M,-223.88M,,-73.74M,-73.74M,-88.22M,-88.22M,0.107M,,-385.72M,819.56M,70.66M,-5.342M,884.89M,,-217.59M,-6.284M,-73.74M
2017-03,238.85M,1.936M,0.203M,7.057M,-0.802M,8.394M,50.32M,37.13M,87.46M,87.46M,-27.45M,,13.76M,13.76M,-205.94M,6.27M,29.71M,188.20M,,,45.88M,64.11M,,385.12M,-73.88M,3.461M,3.461M,-4.038B,700.43M,-2.831M,-3.411B,2.244B,221.30M,2.465B,,-68.34M,-68.34M,-88.17M,-88.17M,0.205M,,2.309B,1.521B,-716.51M,15.33M,819.56M,,2.836B,-370.72M,-68.34M
2016-12,241.40M,-44.93M,0.991M,-5.857M,-0.063M,-49.86M,45.64M,28.12M,73.75M,73.75M,-19.72M,,11.34M,11.34M,14.84M,-32.69M,9.07M,7.588M,,,34.52M,33.33M,,290.24M,-38.83M,0.493M,0.493M,85.61M,11.02M,-1.209M,57.08M,-2.952M,-6.571M,-9.523M,,-63.47M,-63.47M,-84.24M,-84.24M,1.102M,,-156.14M,1.394B,191.19M,-64.30M,1.521B,,-6.571M,-2.952M,-63.47M
2016-09,210.24M,,-0.681M,5.004M,-0.167M,4.156M,47.00M,28.34M,75.33M,75.33M,90.70M,,35.82M,35.82M,145.66M,-64.75M,-40.11M,-134.26M,,,-208.85M,-302.31M,,113.93M,-32.53M,4.498M,4.498M,-29.93M,101.72M,1.45M,45.21M,-1.122M,233.07M,231.95M,,-132.53M,-132.53M,-84.75M,-84.75M,0.788M,,15.46M,1.222B,174.61M,-2.409M,1.394B,,233.07M,-1.122M,-132.53M
2016-06,241.91M,0.002M,0.338M,-2.913M,-0.188M,-2.761M,46.64M,28.42M,75.07M,75.07M,-39.76M,,17.56M,17.56M,-3.618M,67.12M,18.83M,85.93M,,,45.93M,214.20M,,506.21M,-38.60M,4.709M,4.709M,0.00,163.35M,0.369M,129.82M,0.00,-219.71M,-219.71M,,-122.91M,-122.91M,-85.07M,-85.07M,0.037M,,-427.66M,1.035B,208.38M,-21.70M,1.222B,,-219.71M,0.00,-122.91M
2016-03,187.14M,-10.67M,0.412M,17.49M,-0.377M,6.861M,46.99M,28.70M,75.68M,75.68M,-5.026M,,14.71M,14.71M,-152.42M,49.77M,17.69M,108.46M,,,39.05M,62.55M,,341.92M,-35.38M,5.606M,5.606M,24.32M,-166.81M,1.086M,-171.18M,-0.073M,-50.96M,-51.04M,,-54.33M,-54.33M,-85.18M,-85.18M,0.009M,,-190.54M,1.047B,-19.80M,7.276M,1.035B,,-50.36M,-0.671M,-54.33M
2015-12,183.14M,0.00,0.735M,13.42M,-0.104M,14.05M,48.14M,29.73M,77.87M,77.87M,-23.87M,,3.645M,3.645M,107.24M,29.04M,54.99M,-111.60M,,,8.197M,87.87M,,342.71M,-36.74M,4.659M,4.659M,0.00,11.40M,-1.177M,-21.85M,-215.70M,167.50M,-48.20M,,-90.64M,-90.64M,-85.72M,-85.72M,0.024M,,-224.53M,974.27M,96.32M,-23.10M,1.047B,,168.79M,-216.99M,-90.64M
2015-09,195.03M,,-1.071M,-5.254M,-0.054M,-6.379M,48.53M,29.69M,78.22M,78.22M,2.97M,,35.38M,35.38M,66.36M,-25.70M,44.52M,-195.95M,,,-174.50M,-285.28M,,19.94M,-38.68M,3.847M,3.847M,-67.55M,-58.77M,-40.27M,-201.43M,-2.012M,406.80M,404.79M,,-319.49M,-319.49M,-85.99M,-85.99M,0.056M,,-0.635M,1.181B,-182.12M,-24.19M,974.27M,,407.19M,-2.407M,-319.49M
2015-06,179.58M,-1.688M,4.705M,1.788M,,8.622M,49.89M,30.37M,80.26M,80.26M,48.23M,,21.26M,21.26M,103.87M,71.73M,-52.10M,37.59M,,,73.14M,234.23M,,572.18M,-58.11M,4.13M,4.13M,1.71M,271.82M,-1.275M,218.28M,0.364M,-450.40M,-450.04M,,-87.86M,-87.86M,-87.64M,-87.64M,0.527M,-19.10M,-644.11M,1.017B,146.35M,17.22M,1.181B,,0.41M,-815.22M,-87.86M
