,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2009-12,104.96M,,7.776M,2.96M,,10.74M,64.75M,32.22M,96.97M,96.97M,-23.15M,,10.62M,10.62M,76.52M,27.00M,1.966M,13.83M,,,26.73M,146.05M,,346.20M,-31.13M,1.243M,1.243M,0.00,,-12.98M,-42.87M,-15.46M,-187.19M,-202.65M,,-5.00M,-5.00M,,-40.19M,1.67M,0.603M,-245.57M,189.85M,57.76M,-13.71M,233.90M,,1.258M,-203.91M,-5.00M
2009-09,73.97M,,-2.194M,-4.096M,,-6.29M,64.16M,28.80M,92.96M,92.96M,-16.01M,,26.44M,26.44M,-2.682M,17.86M,42.96M,-16.41M,,,47.25M,88.98M,,260.05M,-30.10M,4.422M,4.422M,0.00,,-1.334M,-27.01M,-6.296M,-190.98M,-197.28M,,-5.00M,-5.00M,,-40.17M,2.868M,0.886M,-238.70M,187.61M,-5.654M,7.892M,189.85M,,0.679M,-197.96M,-5.00M
2009-06,48.39M,,3.216M,1.09M,,4.306M,63.84M,29.56M,93.40M,93.40M,-10.60M,,11.93M,11.93M,165.71M,125.38M,11.69M,-60.66M,,,23.55M,265.68M,,413.10M,-44.54M,3.087M,3.087M,-2.082M,,0.865M,-42.67M,-658.03M,,-311.95M,,-5.00M,-5.00M,,-40.12M,1.375M,0.192M,-355.50M,166.55M,14.93M,6.133M,187.61M,,-312.10M,0.147M,-5.00M
2009-03,53.16M,,-6.499M,0.704M,,-5.795M,61.59M,26.86M,88.45M,88.45M,-9.513M,,6.835M,6.835M,102.72M,148.07M,-82.89M,-53.00M,,,23.54M,138.44M,,271.58M,-51.80M,15.35M,15.35M,-15.42M,,5.659M,-46.22M,-271.70M,,-271.70M,,-8.84M,-8.84M,,-40.13M,1.213M,0.589M,-318.86M,261.99M,-93.51M,-1.935M,166.55M,,-276.97M,5.268M,-8.84M
2008-12,158.42M,,2.947M,-0.008M,,1.015M,63.12M,26.60M,89.72M,89.72M,-0.552M,,28.45M,7.796M,210.85M,34.80M,3.767M,-375.86M,,12.05M,-4.823M,-119.23M,,137.17M,-76.12M,3.113M,101.39M,-693.04M,,5.031M,-761.01M,911.43M,,349.87M,-0.532M,-20.00M,-20.53M,,-40.22M,0.969M,0.074M,290.16M,608.33M,-333.69M,-12.65M,261.99M,-0.532M,937.51M,-26.09M,-20.00M
2008-09,250.18M,,,,,1.924M,64.06M,22.11M,86.17M,86.17M,7.622M,,,20.66M,118.79M,-89.65M,5.783M,-83.24M,,-12.05M,1.168M,-59.20M,,307.35M,-98.27M,7.437M,-90.84M,-12.09M,,-8.004M,-110.93M,,,561.56M,0.532M,-413.96M,-413.43M,,-41.11M,,2.837M,109.86M,326.05M,306.28M,-24.00M,608.33M,0.532M,,,-413.96M
2008-06,260.61M,,,,,1.359M,71.24M,23.80M,95.04M,95.04M,-18.48M,,,7.013M,-25.95M,30.45M,-8.451M,107.82M,,-21.02M,24.44M,107.29M,,452.84M,-92.16M,13.88M,202.05M,-453.33M,,4.098M,-527.51M,,,252.68M,,-63.34M,-63.34M,,-35.18M,,27.64M,215.20M,182.13M,140.53M,3.386M,326.05M,,,,-63.34M
2008-03,255.44M,,,,,-5.431M,60.92M,15.61M,76.53M,76.53M,-0.81M,,,7.848M,-176.42M,7.05M,-4.79M,95.70M,,114.97M,20.07M,56.59M,,390.17M,-69.43M,2.549M,-66.88M,-4.635M,,-0.853M,-72.37M,,,-255.98M,,-521.26M,-521.26M,,-35.21M,,475.94M,-336.51M,197.65M,-18.71M,3.192M,182.13M,,,,-521.26M
2007-12,211.86M,,,,,-1.44M,64.14M,14.83M,78.97M,78.97M,-11.19M,,,6.532M,84.81M,-37.11M,7.399M,-58.24M,,-71.94M,-4.95M,-80.03M,,204.70M,-62.26M,12.03M,-50.23M,-429.50M,,5.487M,-474.24M,,,296.32M,,496.04M,496.04M,,-35.32M,,-475.94M,281.10M,187.92M,11.56M,-1.822M,197.65M,,,,496.04M
2007-09,229.60M,,,,,-4.177M,61.26M,14.91M,76.18M,76.18M,-3.452M,,,23.55M,2.975M,-53.94M,1.808M,-28.64M,,-22.01M,47.02M,-52.80M,,268.90M,-56.48M,1.544M,-54.94M,-33.55M,,-8.188M,-96.68M,,,374.02M,,-496.04M,-496.04M,,-36.54M,,,-158.56M,172.71M,13.66M,1.554M,187.92M,,,,-496.04M
2007-06,217.19M,,,,,-0.261M,59.13M,13.42M,72.55M,72.55M,10.56M,,,4.686M,13.50M,40.93M,-4.342M,38.58M,,30.11M,-5.384M,113.40M,,418.13M,-62.88M,10.44M,-52.44M,-190.30M,,-9.121M,-249.02M,,,-147.12M,,-2.688M,-2.688M,,-30.08M,,,-179.89M,183.73M,-10.78M,-0.237M,172.71M,,,,-2.688M
2007-03,209.31M,,,,,-6.082M,59.54M,14.28M,73.82M,73.82M,-12.12M,,,4.299M,-181.95M,51.89M,-14.50M,27.97M,,104.48M,-27.89M,-40.00M,,229.23M,-59.50M,11.70M,-47.81M,-27.91M,,1.771M,-76.79M,,,260.63M,,-361.65M,-361.65M,,-30.00M,,,-131.02M,157.10M,21.43M,5.202M,183.73M,,,,-361.65M
2006-12,192.97M,,,,,-25.35M,63.49M,10.47M,73.96M,73.96M,-17.00M,,,4.836M,84.14M,-38.26M,13.11M,-39.32M,,-49.02M,-6.912M,-36.26M,,193.15M,-56.95M,14.63M,-42.33M,-127.75M,,4.465M,-165.61M,,,-193.36M,,173.71M,173.71M,,-30.16M,,,-49.81M,175.85M,-22.27M,3.513M,157.10M,,,,173.71M
2006-09,210.58M,,,,,-4.217M,62.90M,11.34M,74.24M,74.24M,-10.10M,,,19.38M,29.60M,-69.58M,-1.347M,-44.18M,,-12.09M,-77.80M,-175.39M,,114.50M,-58.49M,9.068M,-49.42M,-32.68M,,-6.236M,-88.34M,,,186.93M,,-173.71M,-173.71M,,-31.04M,,,-17.82M,171.55M,8.343M,-4.042M,175.85M,,,,-173.71M
2006-06,193.89M,,,,,-56.56M,64.90M,6.804M,71.70M,71.70M,-31.73M,,,,-32.16M,21.74M,-11.10M,79.79M,,40.64M,0.05M,98.96M,34.89M,344.60M,-45.46M,17.33M,-28.13M,-26.42M,,13.12M,-62.28M,,,-318.86M,-10.59M,,-10.59M,,-27.54M,,,-356.99M,250.74M,-74.66M,-4.524M,171.55M,-10.59M,,,
2006-03,177.52M,,,,,33.67M,59.18M,13.41M,72.59M,72.59M,11.71M,,,,-172.00M,34.89M,3.458M,26.21M,-52.99M,98.63M,-14.95M,-76.76M,-28.78M,189.95M,-46.80M,-75.35M,-122.15M,101.18M,,-13.60M,-34.57M,,,-217.42M,25.70M,,25.70M,,-27.43M,,,-219.14M,313.34M,-63.76M,1.166M,250.74M,25.70M,,,
2005-12,129.02M,,,,,14.88M,61.78M,9.547M,71.32M,71.32M,-16.60M,,,,73.07M,-26.96M,0.034M,2.534M,21.71M,-56.56M,,13.82M,0.00,212.45M,-62.20M,95.91M,33.71M,-664.90M,,-91.72M,-722.92M,,,613.91M,-5.615M,,-5.615M,,-27.31M,,,580.98M,242.93M,70.52M,-0.11M,313.34M,-5.615M,,,
2005-09,172.73M,,,,,-3.373M,59.82M,5.531M,65.35M,65.35M,-13.93M,,,,21.12M,-12.16M,5.573M,-52.33M,31.28M,2.742M,,-3.782M,-9.366M,207.63M,-43.66M,3.213M,-40.45M,-153.13M,,92.10M,-101.48M,,,-179.11M,7.428M,,7.428M,,-27.36M,,,-199.04M,336.08M,-92.89M,-0.263M,242.93M,7.428M,,,
2005-06,161.41M,,,,,3.451M,59.72M,7.204M,66.93M,66.93M,27.93M,,,,17.06M,19.32M,-8.081M,55.10M,,3.218M,-10.22M,76.39M,19.00M,355.11M,-43.24M,-118.07M,-161.31M,92.33M,,-9.40M,-68.16M,,,-0.027M,-5.946M,-23.72M,-29.67M,,-23.73M,,,-53.43M,104.28M,233.52M,-1.725M,336.08M,-5.946M,,,-23.72M
2005-03,139.37M,,,,,70.09M,60.82M,3.835M,64.65M,64.65M,-13.33M,,,,-137.90M,38.45M,0.428M,47.32M,-41.08M,77.70M,-11.22M,-26.30M,-71.44M,163.04M,-33.37M,5.374M,-27.99M,-43.92M,,-0.135M,-72.05M,,,-64.06M,-14.31M,,-14.31M,,-23.82M,,,-102.18M,116.86M,-11.20M,-1.378M,104.28M,-14.31M,,,
2004-12,171.13M,,,,,-62.30M,63.82M,3.875M,67.70M,67.70M,13.70M,,,,86.37M,-1.467M,-2.087M,-36.93M,6.096M,-44.89M,,7.091M,-21.44M,175.88M,-38.53M,125.81M,87.29M,-484.88M,,-0.306M,-397.90M,,,46.39M,20.26M,0.096M,20.35M,,-22.58M,,,44.16M,290.72M,-177.86M,4.007M,116.86M,20.26M,,,0.096M
2004-09,132.78M,,,,,1.726M,60.84M,2.57M,63.41M,63.41M,-12.20M,,,,27.94M,-39.22M,7.004M,-27.88M,34.99M,-31.42M,,-28.59M,2.357M,159.48M,-39.77M,7.163M,-32.60M,-2.10M,,7.425M,-27.28M,,,-3.502M,,-0.096M,-0.096M,,-22.48M,,,-26.08M,183.85M,106.13M,0.744M,290.72M,,,,-0.096M
2004-06,125.47M,,,,,10.21M,56.68M,4.126M,60.81M,60.81M,27.30M,,,,-30.36M,-14.80M,-7.566M,31.04M,41.40M,-44.37M,,-33.96M,-22.43M,167.40M,-36.58M,11.10M,-25.47M,34.00M,,-13.10M,5.21M,,,-137.56M,13.78M,,13.78M,,-22.44M,,,-146.22M,169.96M,26.38M,-3.759M,183.85M,13.78M,,,
2004-03,107.85M,,,,,-13.19M,59.22M,1.989M,61.21M,61.21M,-28.49M,,,,-220.28M,59.51M,4.546M,49.24M,-58.22M,145.94M,,-19.28M,8.735M,116.84M,-30.98M,8.71M,-22.27M,-201.10M,,14.28M,-209.09M,,,131.10M,9.892M,,9.892M,,-22.41M,,,118.58M,138.05M,26.34M,-3.164M,169.96M,9.892M,,,
2003-12,55.77M,,,,,-0.271M,62.28M,2.002M,64.28M,64.28M,1.901M,,,,71.70M,19.10M,0.247M,18.02M,22.89M,-19.53M,,112.44M,,234.12M,-33.94M,3.235M,-30.70M,,,-4.316M,-35.02M,,,-263.32M,18.88M,,18.88M,,-22.31M,,,-266.74M,205.41M,-67.63M,0.271M,138.05M,18.88M,,,
2003-09,56.69M,,,,,0.794M,60.92M,2.463M,63.38M,63.38M,-6.285M,,,,39.02M,10.51M,12.99M,-23.06M,-6.067M,-3.939M,,29.45M,,144.03M,-36.80M,4.148M,-32.65M,,,1.074M,-31.58M,,,-145.65M,13.67M,,13.67M,,-22.13M,,,-154.11M,245.85M,-41.66M,1.214M,205.41M,13.67M,,,
2003-06,49.08M,,,,,-6.272M,65.65M,1.998M,67.65M,67.65M,-24.64M,,,,18.08M,54.90M,-8.88M,32.08M,-0.083M,49.48M,,145.58M,,230.89M,-45.21M,24.87M,-20.34M,-14.65M,,-0.271M,-35.26M,,,14.33M,6.295M,,6.295M,,-22.09M,,,-1.467M,52.70M,194.16M,-1.004M,245.85M,6.295M,,,
2003-03,48.66M,,,,,2.169M,59.51M,1.679M,61.19M,61.19M,40.60M,,,,-82.11M,41.59M,-1.916M,-86.59M,-73.68M,115.80M,,-86.91M,,65.72M,-33.81M,2.466M,-31.34M,0.00,,0.854M,-30.49M,,,2.596M,0.869M,,0.869M,,-22.04M,,,-18.58M,35.36M,16.65M,0.68M,52.70M,0.869M,,,
2002-12,37.55M,,,,,1.758M,61.92M,3.834M,65.75M,65.75M,-5.859M,,,,68.84M,6.95M,4.473M,56.70M,-23.55M,-97.32M,,16.09M,,115.30M,-40.44M,5.913M,-34.53M,-0.012M,,-0.444M,-34.98M,,,-72.43M,1.377M,,1.377M,,-20.85M,,,-91.91M,45.73M,-11.59M,1.228M,35.36M,1.377M,,,
2002-09,60.98M,,,,,3.839M,60.90M,3.171M,64.07M,64.07M,11.73M,,,,55.26M,1.373M,3.879M,-29.81M,23.55M,-49.72M,,4.54M,,145.15M,-38.61M,2.216M,-36.40M,-1.987M,,2.717M,-35.67M,,,-90.21M,0.845M,,0.845M,,-20.84M,,,-110.21M,46.38M,-0.726M,0.072M,45.73M,0.845M,,,
2002-06,-11.85M,,,,,12.48M,59.05M,41.59M,100.64M,100.64M,22.40M,,,,-14.38M,51.20M,-17.59M,53.98M,-6.887M,-16.93M,,49.40M,,173.06M,-49.11M,7.587M,-41.52M,-5.171M,,13.81M,-29.66M,,,-128.42M,16.32M,,16.32M,,-20.78M,,,-132.88M,31.92M,10.52M,3.948M,46.38M,16.32M,,,
2002-03,52.36M,,,,,2.208M,56.50M,1.937M,58.44M,58.44M,4.708M,,,,-124.60M,60.77M,1.441M,8.404M,-24.78M,68.70M,,-10.07M,,107.65M,-44.33M,3.99M,-40.34M,-72.97M,,-28.27M,-141.58M,,,48.92M,3.93M,4.71M,8.64M,,-20.63M,,,36.93M,28.88M,2.993M,0.041M,31.92M,3.93M,,,4.71M
2001-12,29.06M,,,,,1.831M,56.52M,4.235M,60.75M,60.75M,10.74M,,,,141.10M,-3.452M,1.526M,-62.92M,-3.933M,-27.48M,,44.85M,,147.24M,-53.82M,2.593M,-51.23M,-174.63M,,-7.057M,-232.92M,,,105.37M,,-4.71M,-4.71M,,-20.70M,,0.149M,80.11M,35.38M,-5.568M,-0.933M,28.88M,,,,-4.71M
2001-09,60.58M,,,,,1.238M,59.16M,2.604M,61.76M,61.76M,-8.75M,,,,68.87M,2.522M,10.17M,-10.43M,41.54M,-24.41M,,88.26M,,203.10M,-59.30M,5.679M,-53.62M,-135.54M,,-15.39M,-204.55M,,,35.84M,,,,,-20.73M,,-0.149M,14.96M,23.56M,13.51M,-1.688M,35.38M,,,,
2001-06,49.36M,,,,,1.85M,46.06M,17.69M,63.74M,63.74M,8.365M,,,,-1.746M,17.78M,-0.06M,20.34M,-17.21M,81.45M,,100.56M,,223.87M,-70.94M,13.55M,-57.39M,-70.54M,,-21.01M,-148.94M,,,-83.13M,6.147M,,6.147M,,-20.62M,,,-97.60M,45.21M,-22.67M,1.025M,23.56M,6.147M,,,
2001-03,88.07M,,,,,5.614M,154.22M,46.57M,67.23M,67.23M,6.584M,,,,-30.22M,41.89M,4.859M,-43.44M,-6.491M,-0.52M,,-33.93M,,133.58M,-94.24M,7.683M,-86.56M,-27.48M,,-2.818M,-116.86M,,,-27.33M,5.932M,,5.932M,,-20.57M,,,-41.97M,71.53M,-25.24M,-1.075M,45.21M,5.932M,,,
2000-12,78.31M,,,,,1.866M,-51.42M,-16.02M,66.12M,66.12M,-4.997M,,,,89.78M,-27.88M,-7.967M,15.39M,21.79M,-77.66M,,13.45M,,154.75M,-103.49M,1.327M,-102.16M,0.688M,,27.49M,-73.99M,,,-47.46M,2.167M,,2.167M,,-19.37M,,,-64.66M,55.19M,16.10M,0.238M,71.53M,2.167M,,,
2000-09,125.05M,,,,,-57.71M,51.42M,16.02M,67.43M,67.43M,22.56M,,,,-64.53M,-23.92M,7.967M,-35.99M,-21.40M,0.508M,,-137.36M,,19.96M,-66.08M,67.49M,1.403M,-485.92M,,4.472M,-480.05M,,,466.01M,1.725M,,1.725M,,-19.36M,,,448.37M,68.46M,-11.71M,-1.557M,55.19M,1.725M,,,
2000-06,112.97M,,,,,2.249M,,,49.40M,49.40M,-7.042M,,,,9.392M,-3.147M,,37.70M,-47.24M,18.84M,,15.54M,,173.12M,-62.35M,9.024M,-53.33M,-229.54M,,-9.677M,-292.54M,,,140.65M,1.202M,4.41M,5.612M,,-19.30M,,,126.96M,60.72M,7.54M,0.205M,68.46M,1.202M,,,4.41M
2000-03,106.66M,,,,,1.045M,,,50.01M,50.01M,-1.825M,,,,-96.08M,19.70M,,43.19M,-20.14M,49.07M,,-4.27M,,151.62M,-54.03M,2.827M,-51.20M,-115.77M,,9.51M,-157.47M,,,19.67M,-3.60M,-4.41M,-8.01M,,-18.56M,,-0.10M,-6.997M,74.40M,-12.85M,-0.913M,60.72M,-3.60M,,,-4.41M
1999-12,75.00M,,,,,0.50M,,,53.80M,53.80M,-0.90M,,,0.10M,39.20M,-1.20M,,-32.70M,0.10M,-38.40M,,-33.00M,,95.50M,-64.00M,2.40M,-61.60M,-2.70M,,-0.30M,-64.60M,,,-2.20M,1.70M,,1.70M,,-18.60M,,0.20M,-18.90M,64.40M,12.00M,-1.90M,74.40M,1.70M,,,
1999-09,73.60M,,,,,-4.00M,,,53.20M,53.20M,-2.10M,,,-0.10M,5.10M,1.90M,,-26.40M,6.30M,10.30M,,-2.80M,,117.80M,-50.10M,17.80M,-32.30M,-3.00M,,-29.80M,-65.10M,,,-3.50M,1.90M,,1.90M,,-18.50M,,-0.10M,-20.20M,33.30M,32.50M,-1.40M,64.40M,1.90M,,,
1999-06,92.30M,,,,,1.30M,,,48.00M,48.00M,2.40M,,,0.10M,-25.80M,18.40M,,46.30M,-35.30M,32.00M,,35.60M,,179.70M,-63.30M,1.80M,-61.50M,,,2.40M,-59.10M,,,-119.60M,9.50M,,9.50M,,-18.40M,,0.10M,-128.40M,41.10M,-7.80M,-0.10M,33.30M,9.50M,,,
1999-03,76.60M,,,,,1.10M,,,49.20M,49.20M,7.80M,,,-0.20M,-73.70M,52.10M,,-10.00M,-9.60M,63.30M,,22.10M,,156.60M,-52.20M,2.20M,-50.00M,,,-2.90M,-52.90M,,,-195.10M,64.60M,47.90M,112.50M,,-18.40M,,-0.10M,-101.10M,0.00,2.60M,-1.40M,41.10M,64.60M,,,47.90M
1998-12,63.50M,,,,,-3.50M,,,55.20M,55.20M,-2.40M,,,0.10M,54.30M,-1.60M,,-3.10M,-8.00M,-50.90M,,-9.30M,,103.60M,-58.40M,1.50M,-56.90M,,,-3.30M,-60.20M,,,-13.70M,,-18.30M,-18.30M,,-16.30M,,,-48.30M,0.00,-4.90M,0.50M,0.00,,,,-18.30M
1998-09,78.10M,,,,,0.50M,,,49.60M,49.60M,-2.10M,,,,13.80M,-38.30M,,-66.30M,-2.00M,-14.10M,,-106.90M,,19.20M,-146.10M,0.90M,-145.20M,,,4.30M,-140.90M,,,180.00M,,-29.60M,-29.60M,,-16.40M,,,134.00M,30.50M,12.30M,1.50M,0.00,,,,-29.60M
1998-06,90.40M,,,,,13.20M,,,44.60M,44.60M,25.60M,,,-0.20M,-9.80M,-57.40M,,47.30M,-11.20M,-20.00M,,-51.10M,,122.50M,-134.10M,3.00M,-131.10M,,,0.50M,-130.60M,,,38.40M,,-25.90M,-25.90M,,-16.60M,,,-4.10M,0.00,-12.20M,0.30M,30.50M,,,,-25.90M
