,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,353.00M,,73.00M,282.00M,355.00M,355.00M,-121.00M,-4.621B,964.00M,173.00M,,5.872B,-702.00M,-26.00M,-54.00M,57.00M,,,,-725.00M,2.25B,-155.00M,,-1.00B,884.00M,0.00,-271.00M,5.189B,,5.189B,36.00M,-201.00M,-165.00M,-861.00M,-861.00M,,-39.00M,4.124B,6.746B,6.103B,37.00M,12.89B,36.00M,7.189B,-2.00B,-201.00M
2020-06,-3.346B,,68.00M,281.00M,349.00M,349.00M,53.00M,4.621B,-201.00M,168.00M,,-40.00M,744.00M,-37.00M,30.00M,225.00M,,,,962.00M,2.566B,-143.00M,,-4.804B,-125.00M,49.00M,-5.023B,0.00,,0.00,35.00M,-54.00M,-19.00M,-856.00M,-856.00M,,1.00M,-874.00M,10.05B,-3.331B,26.00M,6.746B,35.00M,,0.00,-54.00M
2020-03,1.538B,,68.00M,281.00M,349.00M,349.00M,56.00M,,283.00M,141.00M,,170.00M,-376.00M,15.00M,46.00M,-786.00M,,,,-1.101B,1.436B,-171.00M,,,-61.00M,-112.00M,-344.00M,-500.00M,,-500.00M,177.00M,-1.328B,-1.151B,-874.00M,-874.00M,,-86.00M,-2.611B,11.63B,-1.519B,-61.00M,10.05B,177.00M,,-500.00M,-1.328B
2019-12,2.689B,,69.00M,281.00M,350.00M,350.00M,-1.302B,547.00M,-929.00M,157.00M,,880.00M,-251.00M,-60.00M,-82.00M,581.00M,,,,188.00M,2.58B,-203.00M,,4.251B,840.00M,-4.457B,431.00M,0.00,,0.00,27.00M,-105.00M,-78.00M,-801.00M,-801.00M,,-17.00M,-896.00M,9.474B,2.115B,42.00M,11.63B,27.00M,0.00,0.00,-105.00M
2019-09,-1.168B,,66.00M,281.00M,347.00M,347.00M,-824.00M,-291.00M,-58.00M,162.00M,,4.369B,101.00M,-23.00M,-191.00M,221.00M,,,,108.00M,2.645B,-200.00M,,-4.012B,2.386B,-15.00M,-1.841B,-1.50B,,-1.50B,41.00M,-222.00M,-181.00M,-804.00M,-804.00M,,-30.00M,-2.515B,11.24B,-1.711B,-55.00M,9.474B,41.00M,0.00,-1.50B,-222.00M
2019-06,1.875B,,60.00M,288.00M,348.00M,348.00M,4.00M,291.00M,-57.00M,174.00M,,-92.00M,-100.00M,3.00M,9.00M,-113.00M,,,,-201.00M,2.342B,-185.00M,,-239.00M,-5.841B,102.00M,-6.163B,-500.00M,,-500.00M,38.00M,-588.00M,-550.00M,-800.00M,-800.00M,,-7.00M,-1.857B,16.93B,-5.678B,-9.00M,11.24B,38.00M,,-500.00M,-588.00M
2019-03,1.968B,,60.00M,299.00M,359.00M,359.00M,24.00M,,-197.00M,143.00M,,173.00M,32.00M,-15.00M,-43.00M,-867.00M,,,,-893.00M,1.577B,-237.00M,,,308.00M,-315.00M,-244.00M,-750.00M,,-750.00M,103.00M,-834.00M,-731.00M,-817.00M,-817.00M,,-68.00M,-2.366B,17.94B,-1.033B,20.00M,16.93B,103.00M,,-750.00M,-834.00M
2018-12,3.00M,,57.00M,301.00M,358.00M,358.00M,279.00M,,34.00M,175.00M,,828.00M,113.00M,-119.00M,154.00M,80.00M,,,,228.00M,2.345B,-248.00M,,,3.165B,-182.00M,2.735B,0.00,,0.00,50.00M,-962.00M,-912.00M,-736.00M,-736.00M,,-22.00M,-1.67B,14.57B,3.41B,-39.00M,17.94B,50.00M,,0.00,-962.00M
2018-09,2.099B,,57.00M,301.00M,358.00M,358.00M,12.00M,,-168.00M,198.00M,,33.00M,90.00M,-157.00M,127.00M,-380.00M,,,,-320.00M,2.212B,-167.00M,,,2.098B,94.00M,2.025B,-1.75B,,-1.75B,80.00M,-449.00M,-369.00M,-742.00M,-742.00M,,-40.00M,-2.901B,13.23B,1.336B,-1.00M,14.57B,80.00M,,-1.75B,-449.00M
2018-06,1.819B,,56.00M,300.00M,356.00M,356.00M,-37.00M,,19.00M,252.00M,,81.00M,176.00M,-20.00M,93.00M,-1.166B,,,,-917.00M,1.573B,-297.00M,,,5.62B,-82.00M,5.241B,0.00,,0.00,48.00M,-450.00M,-402.00M,-740.00M,-740.00M,,-10.00M,-1.152B,7.643B,5.662B,-71.00M,13.23B,48.00M,,0.00,-450.00M
