,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,12.89B,11.09B,23.98B,3.913B,,3.913B,,,,1.008B,2.03B,,,30.93B,,,,,,,,4.81B,4.117B,12.94B,17.06B,2.074B,,6.012B,29.95B,60.88B,527.00M,943.00M,1.47B,5.893B,7.363B,,1.498B,,1.498B,,,,,9.509B,27.79B,,27.79B,,,,26.00M,,1.086B,33.90B,43.41B,1.00M,13.71B,3.712B,,,,23.00M,17.44B
2020-06,6.746B,12.17B,18.91B,3.194B,,3.194B,,,,1.052B,1.483B,,,24.64B,,,,,,,,4.653B,4.117B,13.22B,17.34B,2.276B,,7.02B,31.29B,55.93B,532.00M,911.00M,1.443B,5.617B,7.06B,2.999B,2.999B,,2.999B,,,,,10.56B,21.10B,,21.10B,,,,115.00M,,1.018B,27.23B,37.79B,1.00M,14.44B,3.511B,,,,70.00M,18.03B
2020-03,10.05B,10.73B,20.78B,3.907B,,3.907B,,,,986.00M,1.272B,,,26.95B,,,,,,,,4.564B,4.117B,13.50B,17.62B,3.529B,,7.079B,32.79B,59.74B,590.00M,645.00M,1.235B,5.265B,6.50B,,1.999B,,1.999B,,,,,8.879B,22.10B,,22.10B,,,,112.00M,,990.00M,28.68B,37.56B,1.00M,18.71B,3.311B,,,,46.00M,22.07B
2019-12,11.63B,12.72B,24.35B,3.582B,,3.582B,,,,922.00M,1.44B,,,30.30B,0.0,404.00M,3.358B,1.439B,723.00M,5.924B,-1.422B,4.502B,4.117B,13.79B,17.90B,1.488B,,7.438B,31.33B,61.63B,713.00M,287.00M,1.00B,5.661B,6.661B,,2.499B,,2.499B,,,,,9.759B,22.09B,,22.09B,,,,125.00M,,1.009B,29.22B,38.98B,1.00M,19.39B,3.051B,,,,85.00M,22.52B
2019-09,9.474B,13.38B,22.86B,3.315B,,3.315B,,,,882.00M,1.308B,,,28.36B,,,,,,,,4.377B,4.117B,14.86B,18.98B,2.195B,,5.232B,30.78B,59.15B,632.00M,,632.00M,5.945B,6.577B,,2.498B,,2.498B,,,,,9.567B,22.09B,,22.09B,,,,132.00M,,901.00M,28.84B,38.41B,1.00M,17.62B,2.87B,,,,117.00M,20.60B
2019-06,11.24B,15.94B,27.18B,3.396B,,3.396B,,,,884.00M,2.264B,,,33.73B,,,,,,,,4.249B,4.117B,15.15B,19.27B,3.051B,,2.914B,29.48B,63.21B,617.00M,,617.00M,5.912B,6.529B,,1.999B,,1.999B,,,,,8.961B,24.08B,,24.08B,,,,135.00M,,1.577B,31.50B,40.46B,1.00M,19.83B,2.684B,,,,102.00M,22.62B
2019-03,16.93B,10.98B,27.90B,3.283B,,3.283B,,,,898.00M,1.939B,,,34.02B,,,,,,,,4.116B,4.117B,15.44B,19.56B,2.221B,,2.921B,28.81B,62.84B,577.00M,,577.00M,5.997B,6.574B,,2.498B,,2.498B,,,,,9.397B,24.08B,,24.08B,,,,140.00M,,1.46B,31.35B,40.75B,1.00M,19.33B,2.494B,,,,130.00M,21.95B
2018-12,17.94B,12.15B,30.09B,3.327B,,3.327B,,,,814.00M,1.606B,,,35.84B,0.0,404.00M,2.344B,1.255B,1.194B,5.197B,-1.191B,4.006B,4.117B,15.74B,19.86B,1.423B,,2.555B,27.84B,63.68B,790.00M,190.00M,980.00M,6.322B,7.302B,,2.748B,,2.748B,,,,,10.60B,24.57B,,24.57B,,,,147.00M,,1.04B,31.54B,42.14B,1.00M,19.02B,2.282B,,,,80.00M,21.39B
2018-09,14.57B,13.90B,28.47B,3.465B,,3.465B,,,,816.00M,2.171B,,,34.92B,,,,,,,,3.791B,4.117B,16.32B,20.43B,2.378B,,2.787B,29.39B,64.30B,580.00M,17.00M,597.00M,6.336B,6.933B,,2.747B,,2.747B,,,,,10.12B,24.57B,,24.57B,,,,146.00M,,594.00M,31.18B,41.30B,1.00M,20.71B,2.118B,,,,36.00M,22.86B
2018-06,13.23B,12.68B,25.92B,3.541B,,3.541B,,,,859.00M,2.411B,,,32.73B,,,,,,,,3.659B,4.124B,16.50B,20.62B,5.739B,,2.609B,32.63B,65.36B,623.00M,17.00M,640.00M,6.85B,7.49B,,2.998B,,2.998B,,,,,10.91B,26.06B,,26.06B,,,,62.00M,,646.00M,32.71B,43.62B,1.00M,19.82B,1.844B,,,,2.00M,21.67B
2018-03,7.643B,16.36B,24.00B,3.775B,,3.775B,,,,885.00M,1.60B,,,30.26B,,,,,,,,3.415B,4.159B,16.80B,20.96B,8.104B,,2.642B,35.12B,65.38B,711.00M,66.00M,777.00M,7.072B,7.849B,,2.497B,,2.497B,,,,,10.67B,26.56B,,26.56B,,,,60.00M,,671.00M,34.06B,44.73B,1.00M,19.20B,1.564B,,,,-170.00M,20.59B
2017-12,7.588B,17.92B,25.51B,3.851B,,3.851B,,,,801.00M,1.661B,,,31.82B,0.0,396.00M,2.176B,1.027B,690.00M,4.289B,-994.00M,3.295B,4.159B,17.10B,21.26B,11.18B,,2.722B,38.46B,70.28B,814.00M,713.00M,1.527B,6.906B,8.433B,,2.747B,,2.747B,,,,,11.64B,30.80B,,30.80B,,,,59.00M,,558.00M,38.15B,49.78B,1.00M,19.01B,1.264B,,,,165.00M,20.44B
2017-09,11.51B,16.88B,28.39B,4.122B,,4.122B,,,,1.144B,1.664B,,,35.32B,,,,,,,,3.10B,1.172B,8.342B,9.514B,12.97B,1.147B,2.611B,29.34B,64.66B,696.00M,,696.00M,6.815B,7.511B,,1.747B,,1.747B,,,,,9.597B,27.52B,,27.52B,,,,409.00M,,259.00M,29.81B,39.41B,1.00M,23.69B,906.00M,,,,249.00M,24.84B
2017-06,8.712B,12.38B,21.10B,4.478B,,4.478B,,,,1.408B,1.61B,,,28.59B,,,,,,,,3.012B,1.172B,8.551B,9.723B,15.48B,1.137B,2.319B,31.67B,60.26B,819.00M,,819.00M,7.355B,8.174B,,,,,,,,,8.492B,26.30B,,26.30B,,,,414.00M,,442.00M,28.68B,37.17B,1.00M,21.82B,733.00M,,,,120.00M,22.68B
2017-03,10.28B,3.83B,14.12B,4.034B,,4.034B,,,,1.474B,1.801B,,,21.42B,,,,,,,,2.922B,1.172B,8.761B,9.933B,19.90B,1.208B,2.312B,36.28B,57.70B,944.00M,,944.00M,6.849B,7.793B,,,,,245.00M,245.00M,,,8.282B,26.32B,,26.32B,,,,476.00M,,333.00M,28.50B,36.78B,1.00M,19.56B,616.00M,,,,260.00M,20.44B
2016-12,8.229B,3.666B,11.90B,4.514B,,4.514B,,,,1.587B,1.592B,,,19.59B,0.0,394.00M,1.713B,935.00M,641.00M,3.683B,-818.00M,2.865B,1.172B,8.971B,10.14B,20.48B,,3.896B,37.39B,56.98B,1.206B,186.00M,1.392B,7.428B,8.82B,,,,,,,,,9.218B,26.35B,,26.35B,,,,476.00M,,297.00M,28.40B,37.61B,1.00M,18.15B,454.00M,,,,278.00M,18.89B
2016-09,9.809B,2.457B,12.27B,5.075B,,5.075B,,,,1.90B,602.00M,762.00M,820.00M,21.42B,,,,,,,,2.714B,1.172B,9.386B,10.56B,19.34B,481.00M,1.647B,35.18B,56.61B,1.052B,989.00M,2.041B,7.971B,10.01B,,700.00M,,700.00M,361.00M,361.00M,,,11.07B,26.37B,,26.37B,,,,492.00M,,184.00M,28.18B,39.25B,1.00M,16.65B,321.00M,,,,-108.00M,16.87B
2016-06,6.485B,2.267B,8.752B,5.752B,,5.752B,,,,1.862B,635.00M,835.00M,517.00M,18.35B,,,,,,,,2.599B,1.172B,9.713B,10.88B,15.86B,433.00M,1.481B,31.63B,49.98B,1.122B,368.00M,1.49B,7.617B,9.107B,,700.00M,,700.00M,345.00M,345.00M,,,10.44B,21.43B,,21.43B,,,,579.00M,0.00,467.00M,23.42B,33.86B,1.00M,14.95B,632.00M,,,,-46.00M,15.54B
2016-03,6.315B,2.004B,8.319B,6.163B,,6.163B,,,,1.88B,1.024B,830.00M,259.00M,19.27B,,,,,,,,2.431B,1.172B,9.923B,11.10B,13.00B,292.00M,1.294B,28.50B,47.76B,945.00M,51.00M,996.00M,7.405B,8.401B,,1.745B,,1.745B,529.00M,529.00M,,,10.91B,21.08B,,21.08B,,,,621.00M,0.00,374.00M,22.84B,33.75B,1.00M,13.04B,516.00M,,,,-164.00M,13.40B
