,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,6.577B,6.577B,1.141B,5.436B,1.106B,2.329B,,236.00M,,-236.00M,3.435B,2.001B,,236.00M,-236.00M,-940.00M,-236.00M,825.00M,472.00M,353.00M,,7.00M,360.00M,360.00M,1.416B,355.00M,1.061B,0.29,,,0.29,0.29,0.29,,,0.29,0.29,1.255B,1.261B,0.68
2020-06,5.143B,5.143B,1.064B,4.079B,1.239B,5.823B,,240.00M,,-240.00M,7.062B,-2.983B,,240.00M,-240.00M,250.00M,-240.00M,-2.973B,373.00M,-3.346B,,7.00M,-3.339B,-3.339B,-2.384B,349.00M,-2.733B,-2.66,,,-2.66,-2.66,-2.66,,,-2.66,-2.66,1.255B,1.255B,0.68
2020-03,5.548B,5.548B,969.00M,4.579B,1.076B,1.101B,,241.00M,,-241.00M,2.177B,2.402B,,241.00M,-241.00M,-158.00M,-241.00M,2.003B,465.00M,1.538B,,13.00M,1.551B,1.551B,2.593B,349.00M,2.244B,1.23,,,1.23,1.23,1.22,,,1.22,1.22,1.262B,1.27B,0.68
2019-12,5.879B,5.879B,1.683B,4.196B,1.204B,1.899B,,243.00M,,-243.00M,3.103B,1.093B,,243.00M,-243.00M,1.051B,-243.00M,1.901B,-788.00M,2.689B,,7.00M,2.696B,2.696B,2.494B,350.00M,2.144B,2.13,,,2.13,2.13,2.12,,,2.12,2.12,1.267B,1.274B,0.63
2019-09,5.604B,5.604B,1.035B,4.569B,1.052B,4.99B,,250.00M,,-250.00M,6.042B,-1.473B,,250.00M,-250.00M,222.00M,-250.00M,-1.501B,-333.00M,-1.168B,,3.00M,-1.165B,-1.165B,-904.00M,347.00M,-1.251B,-0.92,,,-0.92,-0.92,-0.92,,,-0.92,-0.92,1.267B,1.267B,0.63
2019-06,5.685B,5.685B,1.00B,4.685B,1.095B,1.16B,,248.00M,,-248.00M,2.255B,2.43B,,248.00M,-248.00M,228.00M,-248.00M,2.41B,535.00M,1.875B,,5.00M,1.88B,1.88B,3.006B,348.00M,2.658B,1.48,,,1.48,1.48,1.47,,,1.47,1.47,1.27B,1.277B,0.63
2019-03,5.281B,5.281B,957.00M,4.324B,1.03B,1.057B,,254.00M,,-254.00M,2.087B,2.237B,,254.00M,-254.00M,367.00M,-254.00M,2.35B,382.00M,1.968B,,7.00M,1.975B,1.975B,2.963B,359.00M,2.604B,1.55,,,1.55,1.55,1.54,,,1.54,1.54,1.276B,1.283B,0.63
2018-12,5.795B,5.795B,1.57B,4.225B,1.131B,1.95B,,257.00M,,-257.00M,3.081B,1.144B,,257.00M,-257.00M,129.00M,-257.00M,1.016B,1.013B,3.00M,,0.00,3.00M,3.00M,1.631B,358.00M,1.273B,0.0023,,,0.0023,0.0023,0.0023,,,0.0023,0.0023,1.286B,1.293B,0.57
2018-09,5.596B,5.596B,1.086B,4.51B,948.00M,939.00M,,264.00M,,-264.00M,1.887B,2.623B,,264.00M,-264.00M,305.00M,-264.00M,2.664B,565.00M,2.099B,,-2.00M,2.097B,2.097B,3.286B,358.00M,2.928B,1.62,,,1.62,1.62,1.6,,,1.6,1.6,1.296B,1.307B,0.57
2018-06,5.648B,5.648B,1.196B,4.452B,980.00M,1.192B,,266.00M,,-266.00M,2.172B,2.28B,,266.00M,-266.00M,72.00M,-266.00M,2.086B,267.00M,1.819B,,-2.00M,1.817B,1.817B,2.708B,356.00M,2.352B,1.4,,,1.4,1.4,1.39,,,1.39,1.39,1.298B,1.308B,0.57
