,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,283.28M,283.28M,144.62M,138.67M,62.74M,22.41M,,5.486M,,,,,90.63M,48.04M,,,0.376M,,48.41M,-5.682M,54.09M,,,54.09M,54.09M,68.95M,20.91M,48.04M,,1.34,,,1.34,1.34,,1.29,,,1.29,1.29,,40.40M,41.92M,0.00,,AOR,
2020-09,285.75M,285.75M,142.24M,143.51M,66.82M,21.64M,,5.392M,,,,,93.85M,49.66M,,,0.28M,,49.94M,10.65M,39.28M,,,39.28M,39.28M,70.13M,20.48M,49.66M,,0.98,,,0.98,0.98,,0.94,,,0.94,0.94,,40.26M,41.61M,0.00,,AOR,
2020-06,271.09M,271.09M,139.89M,131.20M,62.52M,21.95M,,5.392M,,,,,89.86M,41.34M,,,0.47M,,41.81M,-12.08M,53.89M,,,53.89M,53.89M,61.63M,20.28M,41.34M,,1.35,,,1.35,1.35,,1.30,,,1.30,1.30,,39.96M,41.42M,0.00,,AOR,
2020-03,276.54M,276.54M,147.41M,129.13M,67.48M,22.36M,,5.392M,,0.99M,0.99M,,95.24M,33.89M,0.99M,0.99M,,0.99M,34.88M,-12.67M,47.55M,,,47.55M,47.55M,53.88M,19.98M,33.89M,,1.20,,,1.20,1.20,,1.16,,,1.16,1.16,,39.50M,41.14M,0.00,,AOR,
2019-12,288.84M,288.84M,146.56M,142.28M,70.26M,21.17M,,5.683M,,,,,97.12M,45.16M,,,2.633M,,47.79M,1.00M,46.79M,,,46.79M,46.79M,65.28M,20.12M,45.16M,,1.20,,,1.20,1.20,,1.15,,,1.15,1.15,,38.72M,40.38M,0.00,,AOR,
2019-09,275.40M,275.40M,144.68M,130.72M,63.89M,21.13M,,5.646M,,,,,90.66M,40.05M,,,0.499M,,40.55M,0.162M,40.39M,,,40.39M,40.39M,59.86M,19.80M,40.05M,,1.04,,,1.04,1.04,,1.00,,,1.00,1.00,,38.76M,40.28M,0.00,,AOR,Restated
2019-06,275.12M,275.12M,147.26M,127.86M,65.83M,20.10M,,5.266M,,,,,91.19M,36.67M,,,-0.247M,,36.42M,4.42M,32.00M,,,32.00M,32.00M,56.10M,19.44M,36.67M,,0.83,,,0.83,0.83,,0.80,,,0.80,0.80,,38.40M,39.81M,0.00,,AOR,Restated
2019-03,247.07M,247.07M,131.02M,116.05M,57.77M,18.94M,,4.85M,,0.586M,0.586M,,81.56M,34.49M,0.586M,0.586M,,0.586M,35.08M,7.729M,27.35M,,,27.35M,27.35M,51.80M,17.31M,34.49M,,0.71,,,0.71,0.71,,0.69,,,0.69,0.69,,38.31M,39.58M,0.00,,AOR,Restated
2018-12,241.98M,241.98M,126.11M,115.87M,55.13M,17.34M,,4.475M,,,,,76.94M,38.93M,,,1.18M,,40.11M,8.555M,31.55M,,,31.55M,31.55M,55.06M,16.13M,38.93M,,0.82,,,0.82,0.82,,0.79,,,0.79,0.79,,38.18M,39.46M,0.00,,AOR,Restated
2018-09,236.07M,236.07M,124.44M,111.63M,52.60M,17.05M,,4.386M,,,,,74.04M,37.58M,,,1.041M,,38.63M,-0.298M,38.92M,,,38.92M,38.92M,53.56M,15.98M,37.58M,,1.00,,,1.00,1.00,,0.96,,,0.96,0.96,,38.76M,40.53M,0.00,,AOR,Restated
