,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,54.09M,,20.91M,20.91M,-5.478M,13.25M,,1.549M,4.876M,,7.333M,-2.372M,,5.121M,-23.93M,0.915M,,88.76M,,-5.086M,,-3.626M,4.316M,3.969M,-29.34M,0.301M,-30.16M,,0.00,,0.00,,0.00,0.00,,26.33M,0.00,26.33M,,518.68M,84.94M,603.62M,,,,,0.00,,AOR,
2020-09,39.28M,,20.48M,20.48M,1.271M,18.42M,,1.39M,46.91M,,2.537M,27.85M,,-1.746M,13.42M,88.96M,,169.81M,,-4.417M,,-2.796M,-1.621M,0.00,-9.808M,0.341M,-13.88M,,0.00,,0.00,,-0.002M,-0.002M,,11.43M,0.00,11.42M,,351.34M,167.35M,518.68M,,,0.00,,-0.002M,,AOR,
2020-06,53.89M,,20.28M,20.28M,-1.061M,18.39M,,1.386M,-98.59M,,1.316M,-11.24M,,-1.632M,57.08M,-53.07M,,39.81M,,-8.299M,,-6.919M,-1.38M,0.00,-30.69M,-0.28M,-39.27M,,0.00,,0.00,,0.00,0.00,,48.81M,0.00,48.81M,,301.98M,49.35M,351.34M,,,,,0.00,,AOR,
2020-03,47.55M,,19.98M,19.98M,-2.668M,17.30M,,1.457M,46.81M,,-11.19M,-14.23M,,-1.743M,-46.57M,-26.92M,,56.71M,,-10.66M,,-9.349M,-1.315M,-0.261M,-4.034M,-0.048M,-15.01M,,0.00,,0.00,,-15.48M,-15.48M,,48.70M,-5.619M,27.60M,,232.68M,69.30M,301.98M,,,0.00,,-15.48M,,AOR,
2019-12,46.79M,,20.12M,20.12M,4.241M,15.60M,,1.418M,-36.67M,,-1.346M,8.75M,,-1.583M,17.24M,-13.62M,,76.19M,,-9.667M,,-8.403M,3.54M,-18.86M,-13.48M,0.198M,-41.81M,,0.00,,0.00,,0.00,0.00,,36.86M,,36.86M,,161.44M,71.24M,232.68M,,,,,0.00,,AOR,
2019-09,40.39M,,19.80M,19.80M,-2.889M,14.89M,,1.428M,33.26M,,2.357M,-1.227M,,-1.664M,23.73M,56.45M,,130.07M,,-6.089M,,-4.781M,-1.308M,-0.65M,-0.039M,-0.925M,-7.703M,,-15.00M,,-15.00M,,0.00,0.00,,42.88M,,27.88M,,11.19M,150.25M,161.44M,,,0.00,,0.00,,AOR,Restated
2019-06,32.00M,,19.44M,19.44M,-2.655M,15.07M,,1.386M,-86.30M,,-6.125M,6.657M,,-1.594M,46.63M,-40.74M,,24.50M,,-13.27M,,-11.73M,-1.542M,-0.09M,12.88M,-0.132M,-0.611M,,-70.00M,,-70.00M,,0.00,0.00,,17.86M,,-52.14M,,39.44M,-28.25M,11.19M,,,-85.00M,,0.00,,AOR,Restated
2019-03,27.35M,,17.31M,17.31M,-4.785M,14.42M,,1.165M,22.05M,,-3.862M,-5.261M,,-1.272M,-43.15M,-31.50M,,23.96M,,-13.01M,,-12.32M,-0.69M,-199.13M,16.69M,0.564M,-194.89M,,85.00M,,85.00M,,-17.79M,-17.79M,,8.877M,,76.09M,,134.28M,-94.84M,39.44M,,,85.00M,,-17.79M,,AOR,Restated
2018-12,31.55M,,16.13M,16.13M,-0.035M,14.77M,,14.77M,-12.88M,,-1.571M,0.287M,,0.00,23.16M,8.996M,,70.85M,,-3.964M,,-3.964M,,-10.78M,-1.99M,0.825M,-15.91M,,0.00,,0.00,,-146.55M,-146.55M,,6.444M,,-140.11M,,219.45M,-85.17M,134.28M,,,,,-146.55M,,AOR,Restated
2018-09,38.92M,,15.98M,15.98M,0.162M,14.48M,,14.48M,17.48M,,1.798M,13.40M,,0.00,9.91M,42.58M,,112.12M,,-8.508M,,-8.508M,0.00,-10.16M,3.266M,1.043M,-14.36M,,,,,,0.00,0.00,,28.44M,,28.44M,,93.25M,126.20M,219.45M,,,,,0.00,,AOR,Restated
