,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,4.222B,4.222B,2.616B,1.606B,1.056B,259.00M,-104.00M,185.00M,4.00M,-181.00M,,1.315B,291.00M,4.00M,185.00M,-181.00M,-103.00M,-181.00M,6.00M,18.00M,-12.00M,,,38.00M,-12.00M,63.92M,744.00M,553.00M,191.00M,-0.19,,,0.094,-0.19,-0.19,,,0.094,-0.19,267.34M,267.34M,0.75
2017-12,3.08B,3.08B,1.527B,1.553B,773.00M,191.00M,-354.00M,158.00M,44.00M,-114.00M,,964.00M,589.00M,44.00M,158.00M,-114.00M,-370.00M,-114.00M,105.00M,241.00M,-136.00M,,,38.00M,-136.00M,76.40M,554.00M,291.00M,263.00M,-0.76,,,0.1633,-0.76,-0.76,,,0.1633,-0.76,230.04M,230.04M,0.75
2017-09,3.166B,3.166B,1.589B,1.577B,802.00M,216.00M,-114.00M,157.00M,45.00M,-112.00M,5.00M,1.023B,554.00M,45.00M,157.00M,-112.00M,-118.00M,-112.00M,326.00M,-1.00M,327.00M,,,38.00M,327.00M,395.40M,769.00M,286.00M,483.00M,1.27,,,1.57,1.27,1.24,,,1.5330000000000001,1.24,228.32M,233.13M,0.73
2017-06,3.035B,3.035B,1.532B,1.503B,719.00M,186.00M,-112.00M,184.00M,19.00M,-165.00M,741.00M,1.646B,-143.00M,19.00M,184.00M,-165.00M,-97.00M,-165.00M,-404.00M,-271.00M,-132.00M,,,32.00M,-132.00M,-75.60M,59.00M,279.00M,-220.00M,-0.75,,,-0.4946,-0.75,-0.75,,,-0.4946,-0.75,220.81M,220.81M,0.73
2017-03,2.969B,2.969B,1.537B,1.432B,724.00M,187.00M,-76.00M,86.00M,7.00M,-79.00M,,911.00M,521.00M,7.00M,86.00M,-79.00M,-81.00M,-79.00M,362.00M,18.00M,344.00M,,,,344.00M,415.32M,709.00M,261.00M,448.00M,1.61,,,1.944,1.61,1.58,,,1.9069999999999998,1.58,213.58M,217.87M,0.73
2016-12,2.922B,2.922B,1.47B,1.452B,709.00M,182.00M,-129.00M,95.00M,5.00M,-90.00M,-336.00M,555.00M,897.00M,5.00M,95.00M,-90.00M,-116.00M,-90.00M,692.00M,131.00M,562.00M,,,,562.00M,669.86M,1.049B,262.00M,787.00M,2.64,,,3.1460000000000004,2.64,2.58,,,3.075,2.58,213.06M,217.74M,0.73
2016-09,3.231B,3.231B,1.679B,1.552B,796.00M,253.00M,-407.00M,95.00M,7.00M,-88.00M,,1.049B,503.00M,7.00M,95.00M,-88.00M,-406.00M,-88.00M,9.00M,-10.00M,18.00M,,,,18.00M,263.40M,377.00M,273.00M,104.00M,0.09,,,1.239,0.09,0.09,,,1.212,0.09,213.58M,218.71M,0.66
2016-06,3.198B,3.198B,1.651B,1.547B,728.00M,207.00M,-96.00M,97.00M,5.00M,-92.00M,,935.00M,612.00M,5.00M,97.00M,-92.00M,-97.00M,-92.00M,422.00M,32.00M,390.00M,,,,390.00M,482.40M,791.00M,272.00M,519.00M,1.83,,,2.2640000000000002,1.83,1.8,,,2.225,1.8,213.08M,217.37M,0.66
2016-03,3.067B,3.067B,1.584B,1.483B,732.00M,182.00M,-104.00M,99.00M,3.00M,-96.00M,,914.00M,569.00M,3.00M,99.00M,-96.00M,-98.00M,-96.00M,376.00M,38.00M,338.00M,,,,338.00M,428.90M,755.00M,280.00M,475.00M,1.59,,,2.0180000000000002,1.59,1.56,,,1.98,1.56,212.47M,216.54M,0.66
2015-12,2.986B,2.986B,1.578B,1.408B,748.00M,187.00M,-121.00M,97.00M,6.00M,-91.00M,,935.00M,473.00M,6.00M,97.00M,-91.00M,-115.00M,-91.00M,266.00M,37.00M,229.00M,,,,229.00M,333.06M,652.00M,289.00M,363.00M,1.08,,,1.5719999999999998,1.08,1.06,,,1.541,1.06,211.69M,216.29M,0.66
