,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-06,1.243B,1.243B,615.61M,627.10M,332.74M,58.50M,-100.60M,,,,100.00M,491.24M,135.86M,,,,-100.60M,,131.14M,20.98M,110.16M,-0.766M,,0.52M,109.40M,194.67M,221.43M,85.57M,135.86M,0.43,0.0,,0.7638,0.43,0.41,0.0,,0.7282,0.41,253.20M,265.55M,0.15
2004-03,1.254B,1.254B,629.52M,624.12M,334.36M,60.16M,-3.119M,,,,,394.52M,229.60M,,,,-3.119M,,218.52M,54.44M,164.08M,1.077M,,0.535M,165.16M,166.43M,320.71M,91.11M,229.60M,0.65,0.0,,0.6592,0.65,0.62,0.0,,0.6288,0.62,253.27M,265.52M,0.15
2003-12,1.185B,1.185B,634.26M,550.86M,324.10M,58.29M,-0.911M,,,,,382.38M,168.48M,,,,-0.911M,,158.64M,33.72M,124.92M,0.477M,,0.55M,125.40M,125.64M,258.80M,90.32M,168.48M,0.49,0.0,,0.4929,0.5,0.48,0.0,,0.4828,0.48,249.70M,260.11M,0.15
2003-09,1.112B,1.112B,545.78M,566.67M,289.95M,44.32M,1.074M,,,,,334.26M,232.40M,,,,1.074M,,223.87M,54.64M,169.23M,,,0.565M,161.36M,168.42M,308.53M,76.13M,232.40M,0.66,-0.03,,0.6568,0.63,0.64,-0.03,,0.6369,0.61,255.40M,263.71M,0.1
2003-06,1.165B,1.165B,622.39M,542.98M,308.48M,60.04M,-2.036M,,,,,368.52M,174.46M,,,,-2.036M,,162.77M,32.75M,130.02M,,,0.578M,130.02M,131.64M,265.97M,91.50M,174.46M,0.51,0.0,,0.5164,0.51,0.49,0.0,,0.4962,0.49,253.80M,264.16M,0.1
2003-03,1.134B,1.134B,578.43M,555.61M,298.80M,60.03M,-1.847M,,,,,358.83M,196.78M,,,,-1.847M,,186.28M,44.24M,142.04M,,,0.595M,142.04M,143.45M,282.83M,86.05M,196.78M,0.56,0.0,,0.5656,0.56,0.54,0.0,,0.5454,0.54,252.58M,261.94M,0.1
2002-12,1.052B,1.052B,550.04M,501.61M,284.18M,59.84M,0.084M,,,,,344.03M,157.58M,,,,0.084M,,149.03M,35.40M,113.64M,,,0.606M,113.64M,113.57M,239.66M,82.08M,157.58M,0.44,0.0,,0.4398,0.44,0.43,0.0,,0.4298,0.43,256.89M,262.87M,0.1
2002-09,1.004B,1.004B,512.51M,491.47M,257.88M,42.62M,-13.96M,,,,0.00,300.50M,190.97M,,,,-13.96M,,170.86M,40.10M,130.77M,,,0.619M,131.40M,141.45M,263.06M,72.09M,190.97M,0.51,0.0,,0.5517,0.51,0.5,0.0,,0.541,0.5,256.19M,260.71M,0.0975
2002-06,998.46M,998.46M,514.07M,484.39M,253.86M,53.04M,-10.26M,,,,11.57M,318.46M,165.92M,,,,-10.26M,,158.56M,38.83M,119.72M,,,0.634M,119.72M,127.47M,244.73M,78.80M,165.92M,0.46,0.0,,0.4899,0.46,0.44,0.0,,0.4686,0.44,258.89M,270.66M,0.0975
2002-03,1.013B,1.013B,523.13M,489.84M,247.66M,56.31M,-9.445M,,,,9.937M,313.91M,175.93M,,,,-9.445M,,167.58M,38.39M,129.19M,,,0.646M,129.19M,136.47M,248.65M,72.72M,175.93M,0.5,0.0,,0.5283,0.5,0.48,0.0,,0.5072,0.48,257.08M,267.80M,0.0975
2001-12,944.95M,944.95M,499.76M,445.18M,248.29M,55.24M,-1.616M,,,,,303.53M,141.65M,,,,-1.616M,,130.47M,30.79M,99.67M,,,0.654M,99.67M,100.91M,214.61M,72.96M,141.65M,0.38,0.0,,0.3847,0.38,0.37,0.0,,0.3746,0.37,260.58M,267.62M,0.0975
2001-09,995.64M,995.64M,497.74M,497.90M,257.38M,51.50M,-8.09M,,,,,308.89M,189.01M,,,,-8.09M,,173.22M,40.82M,132.41M,,0.00,0.663M,132.41M,138.59M,262.28M,73.26M,189.01M,0.51,-0.14,0.0,0.5338,0.37,0.49,-0.14,0.0005,0.5133,0.35,259.96M,265.88M,0.095
2001-06,943.29M,943.29M,474.89M,468.40M,248.71M,53.10M,-0.367M,,,,,301.81M,166.58M,,,,-0.367M,,153.06M,34.93M,118.13M,,,0.672M,118.13M,118.41M,243.96M,77.38M,166.58M,0.46,0.0,,0.4611,0.46,0.44,0.0,,0.441,0.44,258.09M,269.65M,0.095
2001-03,961.18M,961.18M,487.62M,473.56M,241.91M,54.50M,-5.418M,,,,,296.41M,177.16M,,,,-5.418M,,155.74M,37.38M,118.36M,,,0.685M,118.36M,122.48M,256.89M,79.74M,177.16M,0.46,0.0,,0.4761,0.46,0.44,0.0,,0.4554,0.44,255.82M,267.45M,0.095
2000-12,864.42M,864.42M,453.92M,410.50M,235.29M,52.73M,-2.059M,,,,,288.02M,122.48M,,,,-2.059M,,101.86M,28.16M,73.70M,,-36.75M,0.701M,36.95M,75.19M,197.80M,75.32M,122.48M,0.24,0.0,0.0,0.2459,0.24,0.23,0.0,-0.1444,0.2356,0.23,254.46M,266.24M,0.0925
2000-09,919.90M,919.90M,397.06M,522.84M,247.23M,52.66M,-44.00M,,,,,373.39M,149.45M,,,,-44.00M,,91.57M,7.556M,84.01M,,,0.713M,84.01M,124.39M,222.95M,73.50M,149.45M,0.32,0.0,,0.47600000000000003,0.32,0.32,0.0,,0.4749,0.32,258.81M,260.57M,0.0925
2000-06,914.14M,914.14M,380.55M,533.59M,248.77M,60.20M,27.74M,,,,,382.26M,151.33M,,,,27.74M,,161.51M,47.09M,114.42M,,,0.725M,114.42M,94.76M,224.61M,73.29M,151.33M,0.45,0.0,,0.3722,0.45,0.43,0.0,,0.3557,0.43,252.65M,264.40M,0.0925
2000-03,925.13M,925.13M,398.67M,526.46M,244.06M,57.18M,36.40M,,,,,376.56M,149.91M,,,,36.40M,,165.11M,45.94M,119.17M,,,0.732M,119.17M,92.90M,225.22M,69.07M,149.91M,0.47,0.0,,0.3658,0.47,0.45,0.0,,0.3502,0.45,252.06M,263.38M,0.0925
1999-12,859.20M,859.20M,377.60M,481.60M,233.80M,53.70M,1.70M,,,,,359.90M,121.70M,,,,1.70M,,101.80M,26.50M,75.30M,,,0.70M,75.30M,74.04M,194.10M,72.40M,121.70M,0.3,0.0,,0.2949,0.3,0.29,0.0,,0.2851,0.29,248.67M,257.24M,0.0925
1999-09,902.47M,902.47M,367.80M,534.67M,243.90M,86.70M,-1.70M,,,,,398.20M,136.47M,,,,-1.70M,,116.10M,39.80M,76.30M,,,0.70M,76.30M,77.42M,204.07M,67.60M,136.47M,0.3,0.0,,0.3044,0.3,0.29,0.0,,0.2943,0.29,252.27M,260.46M,0.085
1999-06,873.00M,873.00M,398.50M,474.50M,231.90M,50.70M,-76.90M,,,,,345.40M,129.10M,,,,-76.90M,,35.30M,2.20M,33.10M,,,0.80M,33.10M,105.21M,191.90M,62.80M,129.10M,0.13,0.0,,0.4202,0.13,0.12,0.0,,0.3879,0.12,248.46M,269.17M,0.085
1999-03,874.10M,874.10M,363.50M,510.60M,233.00M,67.30M,1.50M,,,,,366.10M,144.50M,,,,1.50M,,127.10M,37.00M,90.10M,,,0.80M,90.10M,89.04M,210.30M,65.80M,144.50M,0.36,0.0,,0.3557,0.36,0.34,0.0,,0.336,0.34,248.06M,262.65M,0.085
1998-12,769.00M,769.00M,323.00M,446.00M,223.10M,49.30M,1.00M,,,,,335.10M,110.90M,,,,1.00M,,94.00M,17.80M,76.20M,,,0.80M,76.20M,75.39M,173.60M,62.70M,110.90M,0.3,0.0,,0.2968,0.3,0.29,0.0,,0.2869,0.29,251.33M,260.00M,0.085
1998-09,843.30M,843.30M,343.30M,500.00M,242.00M,48.60M,-1.10M,,,,,350.40M,149.60M,,,,-1.10M,,131.20M,41.30M,89.90M,,,0.80M,89.90M,90.65M,209.40M,59.80M,149.60M,0.36,0.0,,0.363,0.36,0.34,0.0,,0.3429,0.34,249.01M,264.30M,0.0725
1998-06,833.60M,833.60M,358.80M,474.80M,234.40M,80.90M,-92.70M,,,,,375.50M,99.30M,,,,-92.70M,,-11.00M,-1.00M,-10.00M,,,0.80M,-10.00M,74.27M,159.50M,60.20M,99.30M,-0.04,0.0,,0.2721,-0.04,-0.04,0.0,,0.2721,-0.04,270.00M,270.00M,0.0725
