,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,945.18M,287.79M,1.233B,587.24M,,587.24M,117.50M,28.41M,45.41M,,191.32M,232.10M,,,2.244B,,,,,440.89M,,,440.89M,,440.89M,435.25M,103.67M,538.92M,108.25M,78.24M,3.437B,,2020-09,150.43M,,79.27M,229.70M,117.11M,346.80M,,,,20.31M,20.31M,129.44M,129.44M,,671.84M,406.18M,42.14M,448.32M,11.46M,20.14M,134.65M,22.53M,771.13M,1.443B,20.76M,207.71M,1.757B,,,,8.248M,1.994B,,2020-09,AOR,
2020-06,725.43M,229.79M,955.22M,694.52M,,694.52M,106.61M,29.71M,69.77M,,206.09M,238.18M,,,2.094B,,,,,409.77M,,,409.77M,,409.77M,422.00M,107.56M,529.57M,106.97M,79.21M,3.249B,,2020-06,184.16M,,89.22M,273.38M,119.73M,393.11M,,,,20.00M,20.00M,124.22M,124.22M,16.79M,729.71M,402.30M,43.58M,445.89M,12.00M,22.70M,130.83M,32.95M,774.92M,1.505B,20.72M,1.61M,1.731B,,,,-8.50M,1.745B,,2020-06,AOR,
2020-03,593.49M,211.00M,804.50M,487.36M,,487.36M,102.11M,39.85M,41.02M,,182.98M,227.74M,,,1.703B,,,,,391.05M,,,391.05M,,391.05M,409.93M,114.32M,524.25M,100.51M,74.49M,2.820B,,2020-03,129.63M,,58.76M,188.39M,87.27M,275.67M,,,,19.59M,19.59M,98.82M,98.82M,0.662M,513.96M,398.47M,46.33M,444.79M,11.63M,19.94M,125.97M,19.81M,755.75M,1.270B,20.74M,-164.32M,1.721B,,,,-27.11M,1.551B,,2020-03,AOR,
2019-12,773.92M,137.30M,911.23M,362.37M,,362.37M,118.60M,32.70M,45.40M,,196.69M,188.60M,,,1.659B,0.00,16.56M,107.28M,864.13M,57.54M,2.537M,59.38M,1.107B,-729.67M,377.76M,416.43M,125.48M,541.91M,104.49M,75.18M,2.787B,,2019-12,126.62M,,44.20M,170.82M,70.87M,241.69M,,,,19.48M,19.48M,104.88M,104.88M,9.106M,539.03M,394.69M,45.85M,440.54M,14.07M,19.54M,134.47M,30.60M,767.83M,1.307B,20.80M,-241.92M,1.720B,,,,-18.85M,1.480B,,2019-12,AOR,
2019-09,593.94M,342.54M,936.48M,357.89M,,357.89M,114.16M,28.46M,35.58M,,178.20M,182.01M,,,1.655B,,,,,365.16M,,,365.16M,,365.16M,370.72M,96.57M,467.29M,103.56M,69.12M,2.699B,,2019-09,117.94M,,33.51M,151.44M,93.74M,245.18M,,,,18.39M,18.39M,95.94M,95.94M,6.297M,493.71M,390.94M,46.81M,437.76M,15.39M,9.803M,121.34M,11.78M,722.44M,1.216B,21.06M,-226.39M,1.712B,,,,-24.22M,1.483B,,2019-09,AOR,Restated
2019-06,495.11M,400.23M,895.33M,372.20M,,372.20M,96.82M,31.68M,35.96M,,164.46M,184.83M,,,1.617B,,,,,352.21M,,,352.21M,,352.21M,383.94M,109.49M,493.43M,99.00M,67.89M,2.672B,,2019-06,103.45M,,44.93M,148.38M,77.05M,225.43M,,,,18.04M,18.04M,89.84M,89.84M,11.75M,467.00M,387.24M,46.46M,433.70M,17.80M,9.66M,122.60M,15.09M,725.10M,1.192B,21.30M,-222.51M,1.688B,,,,-7.591M,1.479B,,2019-06,AOR,Restated
2019-03,483.73M,421.09M,904.82M,333.84M,,333.84M,94.86M,29.72M,36.76M,,161.34M,194.04M,,,1.594B,,,,,334.03M,,,334.03M,,334.03M,379.51M,119.37M,498.88M,91.93M,69.69M,2.617B,,2019-03,118.82M,,41.90M,160.71M,67.42M,228.14M,,,,17.18M,17.18M,84.76M,84.76M,22.80M,441.97M,383.59M,38.06M,421.65M,19.61M,9.732M,121.20M,15.51M,704.45M,1.146B,21.54M,-215.61M,1.680B,,,,-15.71M,1.470B,,2019-03,AOR,Restated
2018-12,926.75M,190.10M,1.117B,291.27M,,291.27M,89.36M,31.01M,33.16M,,153.54M,170.83M,,,1.732B,0.00,16.56M,105.94M,780.15M,,6.276M,52.54M,961.46M,-681.64M,279.82M,381.85M,125.48M,507.33M,87.73M,70.85M,2.707B,,2018-12,100.69M,,36.18M,136.87M,78.27M,215.14M,,,,0.00,0.00,77.71M,77.71M,34.86M,476.29M,379.98M,0.00,379.98M,20.66M,37.55M,117.46M,35.68M,707.96M,1.184B,21.94M,-158.19M,1.672B,,,,-13.04M,1.522B,,2018-12,AOR,Restated
2018-09,814.02M,418.41M,1.232B,352.48M,,352.48M,87.12M,33.79M,33.79M,,154.70M,139.78M,,,1.879B,,,,,278.07M,,,278.07M,,278.07M,393.00M,139.96M,532.96M,91.98M,70.77M,2.882B,,2018-09,107.89M,,24.60M,132.49M,95.89M,228.38M,,,,,,77.95M,77.95M,35.53M,458.41M,376.42M,,376.42M,21.75M,28.96M,127.04M,25.41M,756.32M,1.215B,22.91M,-23.24M,1.665B,,,,3.524M,1.668B,,2018-09,AOR,Restated
2018-06,480.38M,712.31M,1.193B,454.12M,,454.12M,76.89M,26.38M,32.28M,,135.55M,111.82M,,,1.894B,,,,,285.30M,,,285.30M,,285.30M,388.62M,148.17M,536.80M,111.42M,73.57M,2.932B,,2018-06,102.74M,,32.23M,134.96M,83.68M,218.64M,,,,,,82.49M,82.49M,35.91M,452.31M,372.90M,,372.90M,22.28M,22.30M,124.26M,25.00M,739.47M,1.192B,23.50M,74.27M,1.646B,,,,-3.504M,1.740B,,2018-06,AOR,Restated
