,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,2.867B,412.40M,3.279B,2.119B,2.119B,,,3.261B,306.76M,8.966B,,,,,16.70B,-9.87B,6.830B,2.196B,678.56M,2.874B,849.35M,10.55B,19.52B,1.211B,,1.211B,1.088B,2.299B,,74.25M,,74.25M,,,,2.373B,5.452B,,5.452B,,,976.72M,414.65M,,6.429B,8.802B,152.06M,11.07B,2.118B,2.721B,,,-315.47M,10.30B
2020-06,2.789B,247.47M,3.037B,1.889B,1.889B,,,3.373B,336.12M,8.635B,,,,,16.27B,-9.71B,6.556B,2.190B,698.44M,2.889B,685.97M,10.13B,18.77B,902.07M,,902.07M,968.79M,1.871B,,94.17M,,94.17M,,,,1.965B,5.279B,,5.279B,,,898.34M,428.66M,,6.177B,8.142B,152.06M,11.00B,2.107B,2.722B,,,-340.84M,10.19B
2020-03,1.245B,146.00M,1.391B,2.273B,2.273B,,,3.876B,307.35M,7.847B,,,,,15.98B,-9.56B,6.417B,2.183B,718.01M,2.901B,700.85M,10.02B,17.87B,1.190B,,1.190B,946.28M,2.136B,,82.66M,,82.66M,,,,2.219B,4.243B,,4.243B,,,808.24M,427.86M,,5.051B,7.270B,152.06M,11.01B,2.119B,2.748B,,,-367.63M,10.17B
2019-12,1.535B,300.04M,1.835B,2.160B,2.160B,,,3.842B,389.53M,8.226B,719.74M,1.414B,11.63B,1.108B,15.59B,-9.416B,6.179B,2.201B,742.19M,2.943B,996.49M,10.12B,18.34B,1.202B,,1.202B,1.170B,2.372B,82.44M,82.44M,9.264M,91.71M,,,,2.464B,4.215B,75.96M,4.291B,,,798.42M,433.31M,,5.090B,7.553B,152.06M,11.12B,2.108B,2.714B,,,-302.97M,10.36B
2019-09,1.686B,249.62M,1.936B,2.312B,2.312B,,,4.072B,363.48M,8.684B,,,,,15.43B,-9.54B,5.887B,2.186B,764.27M,2.951B,984.48M,9.822B,18.51B,1.311B,,1.311B,1.199B,2.509B,,76.60M,,76.60M,,,,2.586B,4.288B,,4.288B,,,771.64M,411.99M,,5.059B,7.645B,152.06M,11.13B,2.109B,2.628B,,,-313.77M,10.45B
2019-06,1.432B,50.00M,1.482B,2.399B,2.399B,,,4.269B,317.37M,8.467B,,,,,15.26B,-9.46B,5.798B,2.188B,786.41M,2.974B,887.54M,9.659B,18.13B,1.220B,,1.220B,1.101B,2.320B,,60.09M,,60.09M,,,,2.380B,4.234B,,4.234B,,,813.75M,397.29M,,5.048B,7.428B,152.06M,10.98B,2.099B,2.630B,,,-297.76M,10.30B
2019-03,1.551B,50.00M,1.601B,2.483B,2.483B,,,4.445B,121.17M,8.650B,,,,,14.89B,-9.32B,5.573B,2.184B,806.89M,2.991B,872.55M,9.436B,18.09B,1.430B,,1.430B,1.067B,2.497B,,71.44M,,71.44M,,,,2.568B,4.234B,,4.234B,,,782.22M,388.48M,,5.016B,7.584B,152.06M,10.71B,2.083B,2.527B,,,-308.79M,10.11B
2018-12,1.399B,0.00,1.399B,2.506B,2.506B,,,4.554B,178.31M,8.636B,654.79M,1.283B,11.10B,762.88M,14.53B,-9.190B,5.335B,2.184B,828.50M,3.013B,936.74M,9.284B,17.92B,1.428B,,1.428B,1.320B,2.748B,57.87M,57.87M,,57.87M,,,,2.806B,4.233B,,4.233B,,,679.04M,409.89M,,4.912B,7.719B,152.06M,10.34B,2.074B,2.467B,,,-304.13M,9.792B
2018-09,1.932B,0.00,1.932B,2.636B,2.636B,,,4.106B,170.34M,8.844B,,,,,14.29B,-9.14B,5.151B,2.194B,847.57M,3.042B,925.54M,9.119B,17.96B,1.448B,,1.448B,1.307B,2.755B,,52.83M,,52.83M,,,,2.808B,4.233B,,4.233B,,,748.02M,382.28M,,4.981B,7.788B,152.06M,9.814B,2.065B,1.965B,,,-274.61M,9.792B
2018-06,1.486B,0.00,1.486B,2.638B,2.638B,,,4.133B,143.57M,8.401B,,,,,14.01B,-8.89B,5.122B,2.186B,867.90M,3.054B,874.36M,9.050B,17.45B,1.558B,,1.558B,1.133B,2.691B,,59.17M,,59.17M,,,,2.750B,4.232B,,4.232B,,,733.70M,362.02M,,4.966B,7.716B,152.06M,9.258B,2.051B,1.792B,,,-296.03M,9.373B
