,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,222.63M,-0.479M,-0.479M,176.00M,20.71M,196.71M,196.71M,50.09M,6.604M,17.02M,23.62M,-226.88M,126.43M,361.43M,,,101.04M,362.03M,855.62M,-401.76M,1.84M,1.84M,-27.95M,-153.30M,-34.67M,-615.84M,142.64M,-0.874M,141.77M,0.00,0.00,0.00,-123.02M,-123.02M,-45.99M,-27.24M,2.789B,212.53M,-3.522M,2.998B,0.00,162.64M,-20.00M,0.00
2020-06,133.15M,14.08M,14.08M,173.92M,20.66M,194.58M,194.58M,74.96M,5.00M,29.08M,34.08M,388.46M,506.00M,-170.53M,,,-26.02M,697.91M,1.149B,-360.76M,7.396M,7.396M,-5.81M,-101.47M,0.597M,-460.05M,1.013B,11.39M,1.024B,0.00,0.00,0.00,-122.68M,-122.68M,-49.13M,852.43M,1.245B,1.541B,2.895M,2.789B,0.00,1.043B,-30.15M,0.00
2020-03,54.38M,0.823M,0.823M,175.77M,21.51M,197.28M,197.28M,15.56M,287.85M,10.02M,297.86M,-124.04M,-41.99M,-244.77M,,,44.11M,-366.69M,201.21M,-416.56M,10.26M,10.26M,-3.152M,154.04M,0.535M,-254.88M,-15.00M,-9.183M,-24.18M,,-39.50M,-39.50M,-122.94M,-122.94M,-41.99M,-228.61M,1.535B,-282.28M,-7.163M,1.245B,,32.00M,-47.00M,-39.50M
2019-12,134.25M,-0.852M,-0.852M,170.95M,21.09M,192.04M,192.04M,22.42M,66.92M,16.05M,82.96M,163.56M,235.88M,-102.50M,,,-48.62M,248.32M,689.20M,-492.65M,8.696M,8.696M,-91.83M,-50.42M,0.697M,-625.51M,0.00,14.72M,14.72M,10.25M,-101.03M,-90.78M,-122.79M,-122.79M,-17.02M,-215.87M,1.686B,-152.18M,0.425M,1.535B,10.25M,0.00,0.00,-101.03M
2019-09,293.59M,1.585M,1.585M,155.98M,21.91M,177.88M,177.88M,19.68M,0.00,13.05M,13.05M,85.77M,195.64M,131.90M,,,13.25M,426.57M,932.36M,-334.70M,14.53M,14.53M,-16.44M,-199.62M,0.00,-536.23M,0.00,-12.36M,-12.36M,0.00,0.00,0.00,-122.80M,-122.80M,-6.33M,-141.49M,1.432B,254.64M,-0.066M,1.686B,0.00,0.00,0.00,0.00
2019-06,412.28M,-1.138M,-1.138M,163.81M,21.25M,185.06M,185.06M,37.10M,0.00,48.77M,48.77M,90.06M,173.21M,-132.35M,,,-277.21M,-146.29M,537.15M,-361.16M,5.486M,5.486M,-11.14M,0.00,0.00,-366.82M,-3.137M,-11.35M,-14.49M,5.892M,-124.68M,-118.79M,-123.07M,-123.07M,-33.46M,-289.81M,1.551B,-119.48M,0.464M,1.432B,5.892M,-3.137M,0.00,-124.68M
2019-03,530.79M,-2.906M,-2.906M,158.17M,21.50M,179.67M,179.67M,19.95M,0.00,12.49M,12.49M,21.96M,107.91M,-337.26M,,,92.07M,-115.32M,650.71M,-288.79M,12.91M,12.91M,58.07M,-50.00M,2.176M,-265.63M,3.137M,13.57M,16.70M,,-72.83M,-72.83M,-123.40M,-123.40M,-53.71M,-233.24M,1.399B,151.84M,0.084M,1.551B,,3.137M,0.00,-72.83M
2018-12,681.07M,-6.083M,-6.083M,156.55M,22.07M,178.62M,178.62M,-51.14M,0.00,7.825M,7.825M,129.68M,-447.24M,37.08M,,,-38.20M,-318.67M,492.49M,-357.79M,3.625M,3.625M,-42.94M,0.00,0.001M,-397.10M,0.00,5.042M,5.042M,-0.001M,-502.60M,-502.61M,-120.39M,-120.39M,-9.162M,-627.12M,1.932B,-531.73M,-1.541M,1.399B,-0.001M,0.00,0.00,-502.60M
2018-09,706.29M,-13.63M,-13.63M,157.93M,22.11M,180.04M,180.04M,5.981M,110.00M,13.69M,123.69M,-12.70M,31.40M,33.70M,,,-25.77M,26.63M,1.031B,-263.25M,10.67M,10.67M,-38.11M,0.00,23.97M,-266.73M,0.00,-6.339M,-6.339M,11.82M,-181.08M,-169.26M,-121.33M,-121.33M,-13.35M,-310.28M,1.486B,453.86M,-8.16M,1.932B,11.82M,0.00,0.00,-181.08M
2018-06,713.62M,-10.94M,-10.94M,157.74M,22.12M,179.86M,179.86M,18.19M,,41.44M,41.44M,-258.43M,-429.33M,383.37M,,,102.60M,-201.80M,742.67M,-189.28M,11.33M,11.33M,-17.53M,0.00,0.403M,-195.08M,495.71M,-14.87M,480.84M,-3.032M,-141.12M,-144.15M,-121.86M,-121.86M,-40.08M,174.75M,760.25M,722.34M,3.854M,1.486B,-3.032M,995.71M,-500.00M,-141.12M
2018-03,380.11M,-9.58M,-9.58M,158.66M,22.45M,181.12M,181.12M,29.99M,,10.46M,10.46M,-343.98M,-246.93M,-13.79M,,,115.38M,-489.33M,127.92M,-172.20M,5.967M,5.967M,-55.90M,50.00M,0.975M,-171.16M,,21.20M,21.20M,15.31M,-29.19M,-13.88M,-121.79M,-121.79M,-31.07M,-145.53M,949.10M,-188.77M,-0.077M,760.25M,15.31M,,,-29.19M
