,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,11.20B,0.00,11.20B,859.00M,,859.00M,527.00M,,,,12.58B,,,1.312B,,,1.312B,,1.312B,1.865B,1.838B,3.703B,3.672B,,875.00M,9.562B,22.14B,1.114B,,1.114B,1.388B,2.502B,979.00M,979.00M,979.00M,487.00M,487.00M,,3.968B,10.83B,401.00M,11.23B,1.006B,1.006B,,,107.00M,13.26B,17.23B,0.00,23.45B,5.779B,24.12B,,,,-196.00M,4.913B
2020-06,10.40B,0.00,10.40B,566.00M,,566.00M,483.00M,,,,11.45B,,,1.313B,,,1.313B,,1.313B,2.412B,1.865B,4.277B,2.946B,,923.00M,9.459B,20.91B,581.00M,,581.00M,1.445B,2.026B,973.00M,973.00M,973.00M,910.00M,910.00M,,3.909B,10.63B,417.00M,11.05B,931.00M,931.00M,,,101.00M,13.00B,16.91B,0.00,22.65B,5.699B,24.12B,,,,-233.00M,3.999B
2020-03,6.363B,826.00M,7.189B,667.00M,,667.00M,1.404B,,,,9.26B,,,1.316B,,,1.316B,,1.316B,2.391B,1.897B,4.288B,2.056B,,942.00M,8.602B,17.86B,926.00M,,926.00M,1.255B,2.181B,995.00M,995.00M,995.00M,960.00M,960.00M,,4.136B,7.553B,438.00M,7.991B,786.00M,786.00M,,,93.00M,9.891B,14.03B,0.00,22.53B,5.758B,24.12B,,,,-342.00M,3.835B
2019-12,6.312B,998.00M,7.31B,1.68B,,1.68B,843.00M,,,,9.833B,0.0,1.239B,620.00M,161.00M,265.00M,2.285B,-927.00M,1.358B,2.913B,1.954B,4.867B,4.477B,,867.00M,11.57B,21.40B,1.239B,,1.239B,1.578B,2.817B,988.00M,988.00M,988.00M,1.561B,1.561B,,5.366B,7.64B,462.00M,8.102B,876.00M,876.00M,,,104.00M,10.10B,15.47B,0.00,23.23B,5.756B,22.86B,,,,-191.00M,5.933B
2019-09,6.466B,973.00M,7.439B,1.788B,,1.788B,829.00M,,,,10.06B,,,1.316B,,,1.316B,,1.316B,2.885B,1.985B,4.87B,4.319B,,885.00M,11.39B,21.45B,1.275B,,1.275B,1.704B,2.979B,982.00M,982.00M,982.00M,1.567B,1.567B,,5.528B,7.512B,466.00M,7.978B,868.00M,868.00M,,,94.00M,9.967B,15.50B,0.00,22.06B,5.678B,21.52B,,,,-265.00M,5.951B
2019-06,5.256B,1.553B,6.809B,1.973B,,1.973B,1.238B,,,,10.02B,,,1.355B,,,1.355B,,1.355B,2.915B,2.041B,4.956B,4.618B,,545.00M,11.47B,21.49B,1.291B,,1.291B,1.74B,3.031B,975.00M,975.00M,975.00M,2.343B,2.343B,,6.349B,7.686B,495.00M,8.181B,504.00M,504.00M,,,90.00M,9.838B,16.19B,0.00,20.11B,5.599B,20.17B,,,,-230.00M,5.307B
2019-03,2.334B,1.981B,4.315B,1.491B,,1.491B,1.271B,,,,7.077B,,,1.33B,,,1.33B,,1.33B,2.907B,2.078B,4.985B,8.445B,,529.00M,15.29B,22.37B,934.00M,,934.00M,1.877B,2.811B,968.00M,968.00M,968.00M,1.797B,1.797B,,5.576B,7.619B,488.00M,8.107B,513.00M,513.00M,,,89.00M,9.875B,15.45B,0.00,19.13B,5.519B,17.57B,,,,-169.00M,6.915B
2018-12,2.624B,3.66B,6.284B,1.523B,,1.523B,600.00M,,,,8.407B,0.0,1.019B,,88.00M,242.00M,1.349B,-693.00M,656.00M,2.91B,2.125B,5.035B,8.408B,,181.00M,14.28B,22.69B,1.134B,,1.134B,1.399B,2.533B,,,,1.022B,1.022B,,3.555B,8.649B,0.00,8.649B,370.00M,370.00M,,,162.00M,10.35B,13.90B,0.00,18.37B,5.445B,14.71B,,,,-316.00M,8.785B
2018-09,2.973B,4.158B,7.131B,1.719B,,1.719B,617.62M,,,,9.468B,,,,,,,,642.86M,2.845B,2.117B,4.962B,9.114B,,183.15M,14.90B,24.37B,1.175B,,1.175B,1.654B,2.829B,,,,1.101B,1.101B,,3.930B,8.704B,,8.704B,491.16M,491.16M,,,148.70M,10.49B,14.42B,0.489M,17.72B,5.344B,12.88B,,,,-233.81M,9.952B
2018-06,3.187B,4.146B,7.332B,1.715B,,1.715B,985.90M,,,,10.03B,,,,,,,,613.46M,2.850B,2.163B,5.013B,9.445B,,191.35M,15.26B,25.30B,1.054B,,1.054B,1.419B,2.472B,948.19M,948.19M,948.19M,1.802B,1.802B,,5.222B,7.765B,,7.765B,502.58M,502.58M,,,143.65M,9.555B,14.78B,0.489M,15.95B,5.226B,10.63B,,,,-76.28M,10.52B
