,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,924.20M,952.40M,83.70M,868.70M,359.30M,98.80M,458.10M,233.00M,9.60M,0.00,14.60M,,-14.60M,,700.70M,168.00M,,14.60M,-14.60M,2.70M,-14.60M,156.10M,23.90M,132.20M,132.20M,133.30M,202.90M,32.20M,170.70M,0.6,,0.605,0.6,0.59,,0.595,0.59,219.60M,222.30M,0.0
2020-07,892.40M,913.10M,80.90M,832.20M,350.90M,93.20M,444.10M,232.50M,9.50M,0.00,8.00M,,-8.00M,,686.10M,146.10M,,8.00M,-8.00M,-9.10M,-8.00M,129.00M,30.80M,98.20M,98.20M,105.51M,167.00M,30.00M,137.00M,0.45,,0.4833,0.45,0.44,,0.4729,0.44,219.20M,222.20M,0.0
2020-04,865.10M,885.70M,81.90M,803.80M,341.30M,104.80M,446.10M,217.40M,9.70M,0.00,22.30M,,-22.30M,,673.20M,130.60M,,22.30M,-22.30M,-17.80M,-22.30M,90.50M,24.00M,66.50M,66.50M,80.02M,142.80M,30.00M,112.80M,0.3,,0.3617,0.3,0.3,,0.3611,0.3,219.20M,221.30M,0.0
2020-01,857.30M,899.30M,83.20M,816.10M,349.50M,106.00M,455.50M,217.10M,9.70M,0.00,11.70M,,-11.70M,,682.30M,133.80M,,11.70M,-11.70M,1.20M,-11.70M,123.30M,-8.50M,131.80M,131.80M,130.78M,165.90M,30.90M,135.00M,0.6,,0.5954,0.6,0.59,,0.5854,0.59,220.00M,223.70M,0.0
2019-10,806.20M,842.70M,79.50M,763.20M,330.70M,99.10M,429.80M,213.00M,9.70M,-0.10M,13.90M,,-13.90M,,652.50M,110.70M,,13.90M,-13.90M,-0.40M,-13.90M,96.40M,29.70M,66.70M,66.70M,67.46M,141.90M,31.60M,110.30M,0.3,,0.3035,0.3,0.3,,0.3034,0.3,219.70M,221.90M,0.0
2019-07,767.20M,796.80M,79.50M,717.30M,316.80M,101.40M,418.20M,215.40M,9.70M,-0.20M,15.40M,,-15.40M,,643.30M,74.00M,,15.40M,-15.40M,7.90M,-15.40M,66.50M,26.30M,40.20M,40.20M,37.60M,114.00M,32.10M,81.90M,0.18,,0.1682,0.18,0.18,,0.1683,0.18,219.60M,222.40M,0.0
2019-04,707.80M,735.50M,82.70M,652.80M,313.30M,99.10M,412.40M,205.60M,9.80M,-0.20M,13.00M,,-13.00M,,627.80M,25.00M,,13.00M,-13.00M,-3.40M,-13.00M,8.60M,32.80M,-24.20M,-24.20M,-20.92M,54.30M,32.70M,21.60M,-0.11,,-0.095,-0.11,-0.11,,-0.095,-0.11,219.60M,219.60M,0.0
2019-01,687.40M,737.30M,77.00M,660.30M,320.80M,100.70M,421.50M,190.40M,6.20M,-1.90M,15.50M,,-15.50M,,618.10M,42.20M,,15.50M,-15.50M,6.30M,-15.50M,33.00M,-31.70M,64.70M,64.70M,63.97M,73.90M,25.40M,48.50M,0.3,,0.2967,0.3,0.29,,0.2867,0.29,219.50M,219.50M,0.0
2018-10,631.40M,660.90M,72.30M,588.60M,297.60M,87.40M,385.00M,181.00M,4.20M,-3.70M,14.70M,,-14.70M,,570.20M,18.40M,,14.70M,-14.70M,7.80M,-14.70M,11.50M,35.20M,-23.70M,-23.70M,-23.99M,49.70M,23.50M,26.20M,-0.11,,-0.1113,-0.11,-0.11,,-0.1113,-0.11,218.90M,218.90M,0.0
2018-07,587.00M,611.70M,69.80M,541.90M,289.10M,79.10M,368.20M,180.80M,3.80M,-13.80M,8.70M,,-8.70M,,552.80M,-10.90M,,8.70M,-8.70M,-3.80M,-8.70M,-23.40M,16.00M,-39.40M,-39.40M,-33.56M,7.50M,22.20M,-14.70M,-0.18,,-0.1533,-0.18,-0.18,,-0.1533,-0.18,219.00M,219.00M,0.0
