,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2013-10,1.473B,587.10M,2.060B,304.10M,,304.10M,,,,99.80M,53.50M,,2.518B,162.30M,,,289.40M,,,451.70M,-317.60M,134.10M,922.30M,100.10M,1.022B,418.50M,118.30M,110.30M,1.804B,4.322B,75.30M,37.20M,112.50M,70.10M,182.60M,,,,,,610.80M,610.80M,,948.10M,746.20M,,746.20M,,154.90M,154.90M,,101.40M,1.212B,2.160B,1.535B,630.90M,,,,-4.10M,2.162B
2013-07,1.401B,596.90M,1.998B,303.90M,,303.90M,,,,83.10M,51.60M,,2.436B,176.20M,,,308.80M,,,485.00M,-351.60M,133.40M,903.20M,114.60M,1.018B,410.10M,125.30M,100.20M,1.787B,4.223B,74.40M,42.50M,116.90M,76.40M,193.30M,,,,,,636.90M,636.90M,,955.90M,746.00M,,746.00M,,168.60M,168.60M,,98.30M,1.216B,2.172B,1.456B,602.80M,,,,-7.50M,2.051B
2013-04,1.656B,432.10M,2.088B,285.80M,,285.80M,,,,81.40M,56.00M,,2.511B,169.30M,,,300.60M,,,469.90M,-340.90M,129.00M,895.70M,128.70M,1.024B,392.00M,134.30M,98.90M,1.779B,4.290B,86.10M,35.40M,121.50M,71.40M,192.90M,,,,,,663.70M,663.70M,,979.80M,745.80M,,745.80M,,187.70M,187.70M,,98.60M,1.225B,2.205B,1.500B,587.00M,,,,-2.00M,2.084B
2013-01,1.612B,342.10M,1.954B,495.10M,,495.10M,,,,60.80M,42.20M,,2.552B,152.40M,,,293.40M,,,445.80M,-330.90M,114.90M,871.50M,144.20M,1.016B,411.10M,122.80M,91.50M,1.756B,4.308B,94.20M,13.90M,108.10M,99.00M,207.10M,,,,,,647.00M,647.00M,,1.044B,745.60M,,745.60M,,187.60M,187.60M,,94.10M,1.222B,2.265B,1.450B,599.10M,,,,-5.70M,2.043B
2012-10,827.00M,502.10M,1.329B,293.30M,,293.30M,,,,53.80M,48.40M,,1.725B,0.00,,,352.80M,,158.70M,511.50M,-396.90M,114.60M,824.60M,75.90M,900.50M,408.30M,128.30M,152.90M,1.705B,3.429B,75.90M,14.20M,90.10M,71.50M,161.60M,110.00M,,110.00M,,110.00M,558.10M,558.10M,,985.30M,,,,,155.60M,155.60M,,86.00M,426.00M,1.411B,0.00,585.40M,1.439B,,,-6.40M,2.018B
2012-07,930.20M,500.50M,1.431B,361.40M,,361.40M,,,,65.80M,44.80M,,1.903B,0.00,,,346.40M,,149.80M,496.20M,-387.20M,109.00M,739.20M,71.40M,810.60M,286.10M,136.80M,130.70M,1.473B,3.376B,82.90M,17.00M,99.90M,74.00M,173.90M,,,,,,590.90M,590.90M,,901.40M,,,,,161.10M,161.10M,,83.10M,423.20M,1.325B,0.00,593.40M,1.457B,,,0.60M,2.051B
2012-04,1.074B,437.50M,1.512B,300.60M,,300.60M,,,,60.80M,38.70M,,1.912B,0.00,,,339.80M,,142.80M,482.60M,-378.60M,104.00M,682.90M,74.80M,757.70M,284.10M,129.30M,129.80M,1.405B,3.317B,88.90M,17.40M,106.30M,56.70M,163.00M,,,,,,584.70M,584.70M,,875.50M,,,,,142.20M,142.20M,,82.30M,396.20M,1.272B,0.00,545.40M,1.496B,,,3.70M,2.045B
2012-01,1.157B,254.40M,1.411B,395.10M,,395.10M,,,,59.40M,30.10M,,1.896B,139.50M,,,334.50M,,,474.00M,-369.50M,104.50M,682.40M,202.40M,884.80M,192.80M,135.80M,14.00M,1.332B,3.228B,89.30M,14.40M,103.70M,84.20M,187.90M,,,,,,582.30M,582.30M,,954.10M,,,,,136.90M,136.90M,,79.10M,390.80M,1.345B,1.365B,511.60M,,,,5.90M,1.883B
2011-10,1.103B,240.30M,1.344B,259.20M,,259.20M,,,,61.60M,34.20M,,1.699B,0.00,,,330.00M,,136.20M,466.20M,-364.10M,102.10M,653.90M,90.40M,744.30M,190.60M,138.70M,130.70M,1.306B,3.005B,81.90M,22.30M,104.20M,55.20M,159.40M,,,,,,499.90M,499.90M,,813.60M,,,,,120.00M,120.00M,,82.60M,363.90M,1.178B,1.360B,464.20M,,,,3.40M,1.828B
2011-07,1.132B,241.80M,1.373B,297.00M,,297.00M,,,,73.20M,35.30M,,1.779B,0.00,,,324.90M,,135.50M,460.40M,-355.20M,105.20M,607.40M,69.40M,676.80M,179.20M,118.80M,114.90M,1.195B,2.974B,89.80M,15.30M,105.10M,75.20M,180.30M,,,,,,525.30M,525.30M,,827.10M,,,,,117.10M,117.10M,,83.00M,357.50M,1.185B,1.356B,418.30M,,,,14.30M,1.789B
2011-04,1.091B,258.40M,1.350B,271.00M,,271.00M,,,,72.50M,39.10M,,1.732B,0.00,,,309.80M,,133.90M,443.70M,-343.90M,99.80M,605.70M,62.80M,668.50M,175.90M,102.70M,122.90M,1.170B,2.902B,101.70M,24.20M,125.90M,174.70M,300.60M,,,,,,518.90M,518.90M,,819.50M,,,,,103.50M,103.50M,,84.00M,331.50M,1.151B,1.364B,382.90M,,,,4.80M,1.751B
2011-01,1.075B,199.20M,1.274B,318.40M,,318.40M,,,,64.80M,56.80M,,1.714B,0.00,,,296.70M,,121.30M,418.00M,-333.50M,84.50M,554.10M,57.20M,611.30M,192.60M,90.70M,94.20M,1.073B,2.788B,76.80M,28.60M,105.40M,268.20M,373.60M,,,,,,496.20M,496.20M,,869.80M,,,,,91.70M,91.70M,,77.70M,308.50M,1.178B,1.267B,342.70M,,,,-0.60M,1.609B
2010-10,904.30M,232.50M,1.137B,240.10M,,240.10M,,,,49.20M,44.70M,,1.471B,0.00,,,290.40M,,117.20M,407.60M,-322.80M,84.80M,549.70M,65.30M,615.00M,199.80M,107.70M,103.00M,1.110B,2.581B,86.10M,28.30M,114.40M,190.30M,304.70M,,,,,,430.00M,430.00M,,734.70M,,,,,77.10M,77.10M,,74.00M,290.30M,1.025B,1.242B,318.00M,,,,-4.00M,1.556B
2010-07,850.00M,236.60M,1.087B,231.00M,,231.00M,,,,56.20M,43.60M,,1.417B,0.00,,,243.70M,42.40M,113.20M,399.30M,-310.80M,88.50M,545.70M,73.60M,619.30M,184.10M,113.10M,102.60M,1.108B,2.525B,79.00M,23.00M,102.00M,166.90M,268.90M,,,,,,454.20M,454.20M,,723.10M,,,,,71.90M,71.90M,,69.10M,276.10M,999.20M,1.225B,303.60M,,,,-2.90M,1.526B
2010-04,938.10M,121.70M,1.060B,218.10M,,218.10M,,,,72.30M,43.80M,,1.394B,0.00,,,282.50M,,113.60M,396.10M,-300.60M,95.50M,540.30M,80.10M,620.40M,179.50M,112.40M,99.90M,1.108B,2.502B,90.40M,15.30M,105.70M,134.70M,240.40M,,,,,,470.60M,470.60M,,711.00M,,,,,73.10M,73.10M,,203.50M,276.60M,987.60M,1.238B,277.60M,,,,-1.10M,1.514B
2010-01,838.70M,161.90M,1.001B,277.40M,,277.40M,,,,57.40M,44.20M,,1.380B,0.00,,,278.70M,,113.70M,392.40M,-290.80M,101.60M,542.90M,88.00M,630.90M,125.60M,101.90M,107.60M,1.068B,2.447B,67.80M,8.40M,76.20M,183.20M,259.40M,,,,,,444.60M,444.60M,,704.00M,,,,,71.90M,71.90M,,70.60M,269.70M,973.70M,1.204B,272.70M,,,,-3.50M,1.474B
2009-10,698.50M,263.10M,961.60M,215.70M,,215.70M,,,,60.00M,49.80M,,1.287B,0.00,,,279.70M,,111.20M,390.90M,-279.00M,111.90M,530.50M,88.90M,619.40M,92.00M,92.70M,112.30M,1.028B,2.315B,60.00M,9.80M,69.80M,156.30M,226.10M,0.00,,0.00,,0.00,401.20M,401.20M,,627.30M,,,,0.00,68.30M,68.30M,,188.10M,256.40M,883.70M,1.194B,233.80M,,,,3.70M,1.432B
2009-07,668.50M,267.90M,936.40M,223.90M,,223.90M,,,,58.70M,48.30M,,1.267B,0.00,,,276.60M,,107.40M,384.00M,-265.70M,118.30M,525.50M,96.70M,622.20M,92.30M,92.70M,118.30M,1.044B,2.311B,56.70M,17.90M,74.60M,162.70M,237.30M,0.00,,0.00,,0.00,424.40M,424.40M,,661.70M,,,,0.00,77.50M,77.50M,,186.80M,264.30M,926.00M,1.167B,219.90M,,,,-1.40M,1.385B
2009-04,880.50M,78.40M,958.90M,228.60M,,228.60M,,,,67.70M,47.00M,,1.302B,0.00,,,279.40M,,107.00M,386.40M,-265.70M,120.70M,520.70M,105.00M,625.70M,7.60M,88.30M,125.00M,967.30M,2.270B,65.00M,19.10M,84.10M,142.50M,226.60M,2.10M,,2.10M,,2.10M,453.10M,453.10M,,681.80M,,,,0.00,80.90M,80.90M,,178.30M,259.20M,941.00M,1.129B,209.40M,,,,-9.70M,1.328B
2009-01,917.60M,63.50M,981.10M,316.50M,,316.50M,,,,59.30M,31.10M,,1.388B,0.00,,,279.70M,,115.00M,394.70M,-274.10M,120.60M,542.50M,113.30M,655.80M,7.60M,125.70M,123.00M,1.033B,2.421B,62.40M,16.70M,79.10M,230.10M,309.20M,52.10M,,52.10M,,52.10M,438.80M,438.80M,,800.10M,,,,22.70M,113.30M,136.00M,,173.90M,309.90M,1.11B,1.080B,241.50M,,,,-11.20M,1.311B
2008-10,796.40M,136.80M,933.20M,291.40M,,291.40M,,,,51.20M,34.60M,,1.310B,0.00,,109.90M,139.10M,134.00M,,383.00M,-266.40M,116.60M,632.30M,107.70M,740.00M,,86.20M,120.50M,1.063B,2.374B,76.00M,,76.00M,196.90M,272.90M,,,3.90M,,3.90M,387.50M,387.50M,,664.30M,,,,27.70M,,27.70M,,281.60M,309.30M,973.60M,0.00,346.90M,1.059B,,,-6.00M,1.400B
2008-07,929.60M,32.60M,962.20M,325.20M,,325.20M,,,,56.90M,58.20M,,1.402B,0.00,,78.10M,163.30M,131.10M,,372.50M,-263.30M,109.20M,626.90M,106.20M,733.10M,,67.50M,131.20M,1.041B,2.444B,78.10M,,78.10M,230.20M,308.30M,,,120.00M,,120.00M,440.70M,440.70M,,869.00M,,,,29.20M,,29.20M,,285.40M,314.60M,1.184B,0.00,242.40M,997.60M,,,19.90M,1.260B
2008-04,909.10M,32.90M,942.00M,333.50M,,333.50M,,,,51.20M,96.70M,,1.423B,0.00,,71.80M,265.80M,,,337.60M,-253.30M,84.30M,447.60M,60.60M,508.20M,,39.80M,84.30M,716.60M,2.14B,73.70M,,73.70M,189.50M,263.20M,,,40.00M,,40.00M,431.30M,431.30M,,734.50M,,,,,,,,,270.10M,1.005B,0.00,152.60M,962.70M,,,20.10M,1.135B
2008-01,917.90M,31.40M,949.30M,386.50M,,386.50M,,,,47.90M,98.10M,,1.482B,0.00,,70.10M,120.80M,128.20M,,319.10M,-238.90M,80.20M,443.40M,64.40M,507.80M,,54.60M,87.80M,730.40M,2.212B,79.30M,,79.30M,250.30M,329.60M,,,,,,400.70M,400.70M,,730.30M,,,,3.30M,,3.30M,,248.10M,251.40M,981.70M,0.00,218.40M,998.30M,,,13.80M,1.230B
2007-10,828.30M,44.30M,872.60M,299.20M,,299.20M,,,,48.70M,99.80M,,1.320B,0.00,,55.40M,244.60M,,,300.00M,-231.30M,68.70M,390.80M,60.00M,450.80M,,69.30M,81.90M,670.70M,1.991B,77.20M,,77.20M,187.00M,264.20M,,,,,,343.90M,343.90M,,608.10M,,,,,,,,,204.10M,812.20M,0.00,179.10M,987.90M,,,11.80M,1.179B
2007-07,774.90M,52.00M,826.90M,278.40M,,278.40M,,,,47.00M,112.60M,,1.265B,0.00,,50.80M,236.40M,,,287.20M,-220.70M,66.50M,365.70M,51.20M,416.90M,,51.80M,78.00M,613.20M,1.878B,77.10M,,77.10M,184.90M,262.00M,,,,,,335.50M,335.50M,,597.50M,,,,,,,,,167.90M,765.40M,0.00,180.70M,927.50M,,,4.50M,1.113B
2007-04,762.30M,201.70M,964.00M,260.40M,,260.40M,,,,43.30M,116.80M,,1.384B,0.00,,45.00M,229.80M,,,274.80M,-210.90M,63.90M,356.10M,47.90M,404.00M,,61.90M,75.10M,604.90M,1.989B,76.80M,,76.80M,180.50M,257.30M,,,,,,327.70M,327.70M,,585.00M,,,,,,,,,160.20M,745.20M,0.00,320.00M,921.80M,,,2.40M,1.244B
2007-01,665.90M,112.00M,777.90M,301.30M,,301.30M,,,,32.40M,78.10M,,1.190B,0.00,,43.00M,224.40M,,,267.40M,-201.80M,65.60M,355.30M,51.30M,406.60M,,59.80M,75.80M,607.80M,1.798B,61.00M,,61.00M,201.80M,262.80M,,,,,,311.40M,311.40M,,574.20M,,,,,,,,,108.30M,682.50M,0.00,210.30M,908.30M,,,-3.60M,1.115B
2006-10,514.90M,82.40M,597.30M,256.00M,,256.00M,5.80M,1.70M,7.50M,27.50M,80.30M,,968.60M,0.00,,42.10M,225.70M,,,267.80M,-203.70M,64.10M,364.00M,54.80M,418.80M,,70.00M,78.80M,631.70M,1.600B,70.90M,,70.90M,176.50M,247.40M,,,,,,264.80M,264.80M,,512.20M,,,,,,,,,87.50M,599.70M,890.00M,113.90M,,,,-3.30M,1.001B
2006-07,439.10M,29.10M,468.20M,258.70M,,258.70M,4.70M,2.30M,7.00M,25.20M,76.80M,,835.90M,0.00,,40.70M,219.90M,,,260.60M,-195.80M,64.80M,366.50M,48.80M,415.30M,,79.50M,80.00M,639.60M,1.476B,47.80M,,47.80M,184.50M,232.30M,,,,,,264.50M,264.50M,,496.80M,,,,,,,,,83.70M,580.50M,842.10M,55.90M,,,,-3.00M,895.00M
2006-04,257.30M,128.50M,385.80M,276.40M,,276.40M,11.60M,1.60M,13.20M,25.60M,85.90M,,786.90M,0.00,,38.10M,216.10M,,,254.20M,-188.30M,65.90M,354.30M,51.90M,406.20M,,99.00M,81.60M,652.70M,1.440B,59.80M,,59.80M,174.30M,234.10M,,,,,,285.90M,285.90M,,520.00M,,,,,,,,,73.30M,593.30M,809.10M,42.90M,,,,-5.70M,846.30M
2006-01,287.20M,90.30M,377.50M,261.40M,,261.40M,11.90M,2.30M,14.20M,29.30M,64.40M,,746.80M,0.00,,35.00M,208.00M,,,243.00M,-181.60M,61.40M,318.20M,49.80M,368.00M,,124.20M,55.40M,609.00M,1.356B,56.40M,,56.40M,200.70M,257.10M,,,,,,230.70M,230.70M,,487.80M,,,,,,,,,65.00M,552.80M,803.80M,16.70M,,,,-17.50M,803.00M
2005-10,390.88M,157.06M,547.94M,201.77M,,201.77M,12.67M,2.445M,15.11M,26.07M,68.90M,,859.79M,0.00,,33.36M,203.10M,,,236.46M,-176.33M,60.13M,,210.93M,210.93M,,141.42M,18.35M,430.84M,1.291B,62.48M,,62.48M,190.26M,252.74M,,,,,,210.68M,210.68M,,463.42M,,,,,,,,,50.10M,513.53M,752.75M,32.32M,,,,-7.968M,777.10M
2005-07,478.66M,42.81M,521.47M,202.42M,,202.42M,11.60M,2.704M,14.30M,24.56M,43.26M,,806.01M,0.00,,32.22M,200.03M,,,232.25M,-171.17M,61.08M,,204.94M,204.94M,,92.99M,16.88M,375.88M,1.182B,62.66M,,62.66M,166.12M,228.78M,,,,,,206.32M,206.32M,,435.10M,,,,,,,,,34.51M,469.61M,689.94M,31.27M,,,,-8.927M,712.28M
2005-04,518.08M,19.70M,537.78M,190.22M,,190.22M,11.41M,3.317M,14.72M,28.39M,25.61M,,796.71M,0.00,,32.49M,196.41M,,,228.90M,-163.32M,65.58M,,182.72M,182.72M,,116.79M,15.79M,380.90M,1.178B,61.19M,,61.19M,173.62M,234.81M,,,,,,202.09M,202.09M,,436.90M,,,,,,,,,29.91M,466.81M,664.74M,49.50M,,,,-3.449M,710.79M
2005-01,517.65M,15.04M,532.69M,196.83M,,196.83M,8.256M,4.289M,12.54M,25.48M,14.25M,,781.80M,0.00,,32.59M,191.66M,,,224.24M,-154.68M,69.57M,,175.95M,175.95M,,105.06M,9.833M,360.41M,1.142B,46.23M,,46.23M,243.40M,289.64M,,,,,,178.70M,178.70M,,468.34M,,,,,,,,,25.79M,494.13M,625.22M,25.96M,,,,-3.112M,648.08M
2004-10,377.15M,56.92M,434.06M,168.04M,,168.04M,8.80M,3.73M,12.53M,25.90M,56.98M,,697.52M,0.00,,32.62M,193.84M,,,226.47M,-158.57M,67.90M,,166.67M,166.67M,,44.05M,105.99M,384.61M,1.082B,50.91M,,50.91M,199.54M,250.45M,,,,,,157.10M,157.10M,,407.56M,,,,,,,,,1.293M,408.85M,600.94M,77.19M,,,,-4.844M,673.28M
2004-07,345.97M,76.39M,422.36M,156.27M,,156.27M,13.22M,3.097M,16.31M,25.95M,21.50M,,642.40M,0.00,,34.07M,214.62M,,,248.69M,-184.27M,64.42M,,183.72M,183.72M,,,158.86M,407.00M,1.049B,44.32M,,44.32M,191.55M,235.86M,,,,,,149.39M,149.39M,,385.25M,,,,2.097M,,2.097M,,0.992M,3.089M,388.34M,531.00M,140.07M,,,,-10.01M,661.06M
2004-04,304.15M,49.78M,353.93M,142.63M,,142.63M,13.58M,3.108M,16.69M,27.83M,24.17M,,565.24M,0.00,,34.29M,208.61M,,,242.90M,-179.35M,63.55M,,182.43M,182.43M,,3.76M,175.31M,425.06M,990.30M,46.64M,,46.64M,166.46M,213.10M,,,,,,137.22M,137.22M,,350.32M,,,,,,,,,2.756M,353.08M,519.30M,127.10M,,,,-9.174M,637.22M
2004-01,282.25M,81.28M,363.52M,166.82M,,166.82M,13.88M,3.49M,17.36M,24.14M,25.41M,,597.25M,0.00,,34.53M,206.32M,,,240.84M,-174.37M,66.47M,,179.47M,179.47M,,,173.96M,419.91M,1.017B,52.31M,,52.31M,205.34M,257.65M,,,,,,127.28M,127.28M,,384.92M,,,,7.849M,,7.849M,,2.746M,10.60M,395.52M,473.67M,153.18M,,,,-5.205M,621.64M
2003-10,234.71M,66.12M,300.84M,131.62M,24.13M,155.75M,9.398M,2.375M,11.77M,28.20M,28.62M,,525.18M,0.00,,33.71M,210.57M,,,244.29M,-174.97M,69.32M,,160.16M,160.16M,,,180.17M,409.65M,934.83M,50.82M,,50.82M,177.15M,227.96M,,,,,,107.25M,107.25M,,335.21M,,,,1.461M,,1.461M,,1.669M,3.13M,338.34M,468.90M,136.13M,,,,-8.548M,596.49M
