,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,190.20M,,-1.00M,1.90M,1.30M,,2.20M,,89.20M,89.20M,-15.80M,5.10M,,-7.60M,-32.00M,3.30M,34.20M,25.60M,,,31.10M,,2020-09,-106.90M,1.30M,1.30M,-2.00M,,-3.00M,-114.00M,2020-09,-7.10M,,-7.10M,,-111.20M,-111.20M,,-37.80M,2.10M,0.00,-154.00M,2020-09,620.10M,26.40M,-0.50M,,2020-09,,0.00,-7.10M,-111.20M,,,2020-09,AOR,
2020-06,110.30M,,-1.40M,-31.70M,-0.20M,,-33.30M,,89.30M,89.30M,14.50M,3.20M,,14.00M,47.00M,13.40M,21.80M,-40.40M,,,41.80M,,2020-06,-95.90M,4.70M,4.70M,-0.60M,,-3.10M,-110.60M,2020-06,543.20M,,543.20M,,-100.00M,-100.00M,,-38.30M,0.10M,-6.60M,398.40M,2020-06,91.00M,530.10M,-1.00M,,2020-06,,545.60M,-2.40M,-100.00M,,,2020-06,AOR,
2020-03,152.30M,,25.80M,30.00M,-1.00M,,54.80M,,89.40M,89.40M,19.80M,10.30M,,-1.70M,-2.90M,5.90M,-38.00M,-6.70M,,,-41.70M,,2020-03,-177.00M,3.30M,-74.90M,-4.30M,,-6.30M,-188.60M,2020-03,-2.40M,,-2.40M,,-111.70M,-111.70M,,-38.60M,4.40M,,-148.30M,2020-03,148.80M,-53.70M,-4.10M,,2020-03,,,-2.40M,-111.70M,,,2020-03,AOR,
2019-12,127.90M,,-0.80M,-28.50M,2.60M,,-26.70M,,88.00M,88.00M,64.50M,6.70M,,41.50M,-1.90M,5.20M,-2.20M,-62.30M,,,-61.20M,,2019-12,-119.40M,3.70M,3.30M,-9.70M,,-8.70M,-136.00M,2019-12,570.30M,,570.30M,,242.50M,242.50M,,-35.70M,2.20M,-9.10M,-22.30M,2019-12,61.60M,86.40M,0.80M,,2019-12,,847.50M,-277.20M,-550.00M,,,2019-12,AOR,
2019-09,180.60M,,2.80M,6.60M,-2.10M,,7.30M,,86.50M,86.50M,-23.60M,4.40M,,9.70M,22.30M,-9.20M,19.10M,20.50M,,,52.70M,,2019-09,-155.50M,6.10M,-31.60M,-11.70M,,-1.80M,-166.20M,2019-09,-2.30M,,-2.30M,,-99.80M,-99.80M,,-36.00M,1.50M,0.00,-136.60M,2019-09,47.60M,14.80M,-0.80M,,2019-09,,0.00,-2.30M,-99.80M,,,2019-09,AOR,Restated
2019-06,129.10M,,-1.00M,-3.20M,0.20M,,-4.00M,,87.70M,87.70M,5.30M,6.00M,,56.00M,-17.80M,13.20M,9.20M,-19.20M,,,-14.60M,,2019-06,-171.40M,10.10M,9.20M,-6.90M,,1.40M,-184.40M,2019-06,-2.80M,,-2.80M,,-92.40M,-92.40M,,-36.20M,3.10M,-0.90M,-129.20M,2019-06,92.70M,-45.10M,0.00,,2019-06,,0.00,-2.80M,-92.40M,,,2019-06,AOR,Restated
2019-03,103.20M,,-1.00M,-2.90M,-1.70M,,-5.60M,,88.50M,88.50M,6.90M,6.00M,,60.00M,33.80M,-8.70M,-15.60M,4.20M,,,13.70M,,2019-03,-179.90M,2.20M,2.20M,-8.40M,,1.10M,-189.70M,2019-03,-2.70M,,-2.70M,,-50.30M,-50.30M,,-36.40M,0.20M,-1.60M,-90.80M,2019-03,100.50M,-7.80M,0.00,,2019-03,,,-2.70M,-50.30M,,,2019-03,AOR,Restated
2018-12,161.80M,,,4.10M,-0.80M,,3.30M,,89.60M,89.60M,12.90M,4.40M,,12.30M,-29.20M,-5.80M,4.30M,-16.70M,,,-47.40M,,2018-12,-123.50M,1.50M,1.50M,-8.90M,,6.10M,-126.90M,2018-12,-2.80M,0.00,-2.80M,,163.30M,163.30M,,-36.60M,0.00,0.00,-119.60M,2018-12,107.10M,-6.60M,,,2018-12,,0.00,-2.80M,-80.20M,,,2018-12,AOR,Restated
2018-09,174.00M,,,-4.40M,0.20M,,-4.20M,,87.50M,87.50M,32.60M,4.40M,,-7.20M,-22.00M,-0.50M,18.50M,-3.10M,,,-7.10M,,2018-09,-129.50M,1.50M,1.50M,-4.00M,,-5.20M,-140.80M,2018-09,-2.70M,0.00,-2.70M,,-54.80M,-54.80M,,-36.80M,1.10M,0.00,-93.20M,2018-09,61.10M,46.00M,,,2018-09,,0.00,-2.70M,-54.80M,,,2018-09,AOR,Restated
2018-06,148.70M,,,12.30M,-1.00M,,11.30M,,86.30M,86.30M,12.80M,5.80M,,9.50M,20.00M,9.30M,-21.80M,0.80M,,,8.30M,,2018-06,-245.00M,4.30M,-83.40M,-6.10M,,3.30M,-260.00M,2018-06,432.10M,-344.00M,88.10M,,-54.50M,-54.50M,,-37.00M,0.30M,-8.00M,-11.10M,2018-06,47.00M,14.10M,,,2018-06,,499.40M,-63.20M,-54.50M,,,2018-06,AOR,Restated
