,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,628.00M,,659.60M,387.60M,272.00M,,,,-0.50M,39.50M,-39.50M,,0.00,272.00M,39.50M,-39.50M,6.20M,-39.50M,238.70M,48.50M,190.20M,,,-0.40M,0.10M,367.40M,89.20M,278.20M,,2020-09,,,1.959,2.02,,,,,,2020-09,93.88M,94.38M,0.40,,2020-09,AOR,
2020-06,511.90M,,547.90M,357.00M,190.90M,,,,-10.50M,38.10M,-38.10M,,0.00,190.90M,38.10M,-38.10M,-1.70M,-38.10M,151.10M,40.80M,110.30M,,,-0.60M,,278.50M,89.30M,189.20M,,2020-06,,,1.181,1.16,,,,,,2020-06,94.48M,94.89M,0.40,,2020-06,AOR,
2020-03,691.00M,,731.70M,436.90M,294.80M,,,,-6.00M,34.20M,-34.20M,,0.00,294.80M,34.20M,-34.20M,-63.10M,-34.20M,197.50M,45.20M,152.30M,,,-0.50M,0.10M,321.10M,89.40M,231.70M,,2020-03,,,2.118,1.59,,,,,,2020-03,95.66M,96.17M,0.40,,2020-03,AOR,
2019-12,690.00M,,729.50M,455.20M,274.30M,,,,-38.80M,31.80M,-31.80M,,0.00,274.30M,31.80M,-31.80M,-35.00M,-31.80M,207.50M,79.60M,127.90M,,,-0.70M,0.00,327.30M,88.00M,239.30M,,2019-12,,,1.507,1.31,,,,,,2019-12,97.45M,97.96M,0.40,,2019-12,AOR,
2019-09,714.10M,,747.70M,453.70M,294.00M,,,,-12.00M,27.90M,-27.90M,,0.00,294.00M,27.90M,-27.90M,-11.30M,-27.90M,254.80M,74.20M,180.60M,,,-0.40M,0.10M,369.20M,86.50M,282.70M,,2019-09,,,1.920,1.81,,,,,,2019-09,99.30M,99.70M,0.36,,2019-09,AOR,Restated
2019-06,678.40M,,714.00M,455.00M,259.00M,,,,-51.00M,28.00M,-28.00M,,0.00,259.00M,28.00M,-28.00M,-42.80M,-28.00M,188.20M,59.10M,129.10M,,,-0.40M,,303.90M,87.70M,216.20M,,2019-06,,,1.583,1.29,,,,,,2019-06,100.03M,100.42M,0.36,,2019-06,AOR,Restated
2019-03,643.40M,,674.80M,447.00M,227.80M,,,,-68.10M,28.20M,-28.20M,,0.00,227.80M,28.20M,-28.20M,-61.70M,-28.20M,137.90M,34.70M,103.20M,,,-0.40M,0.10M,254.60M,88.50M,166.10M,,2019-03,,,1.493,1.02,,,,,,2019-03,100.50M,100.92M,0.36,,2019-03,AOR,Restated
2018-12,658.60M,-11.10M,705.10M,457.20M,247.90M,,,,8.50M,28.20M,-28.20M,,0.00,247.90M,28.20M,-28.20M,2.40M,-28.20M,222.10M,60.30M,161.80M,,,-0.70M,0.00,339.90M,89.60M,250.30M,,2018-12,,,1.59,1.59,,,,,,2018-12,101.09M,101.51M,0.36,,2018-12,AOR,Restated
2018-09,668.70M,-9.40M,708.40M,452.40M,256.00M,,,,9.40M,28.30M,-28.30M,,0.00,256.00M,28.30M,-28.30M,19.30M,-28.30M,247.00M,73.00M,174.00M,,,-0.40M,0.10M,362.80M,87.50M,275.30M,,2018-09,,,1.579,1.71,,,,,,2018-09,101.66M,102.11M,0.36,,2018-09,AOR,Restated
2018-06,653.10M,-8.00M,690.40M,444.60M,245.80M,,,,-2.20M,28.00M,-28.00M,,0.00,245.80M,28.00M,-28.00M,-21.70M,-28.00M,196.10M,47.40M,148.70M,,,-0.50M,,310.40M,86.30M,224.10M,,2018-06,,,1.622,1.45,,,,,,2018-06,102.09M,102.49M,0.36,,2018-06,AOR,Restated
