,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,646.00M,,646.00M,256.00M,,256.00M,127.90M,127.90M,,,,63.90M,1.094B,8.088B,227.50M,,2.746B,431.20M,227.00M,11.72B,-2.818B,8.902B,,141.10M,141.10M,44.10M,,184.60M,9.272B,10.37B,,,,,,,466.30M,,,,10.90M,,10.90M,,,,477.20M,3.765B,49.80M,3.815B,1.177B,1.177B,5.094B,5.572B,,2020-09,6.50M,,5.50M,-16.30M,4.468B,,2020-09,AOR,
2020-06,620.10M,,620.10M,222.80M,,222.80M,131.20M,131.20M,,,,142.10M,1.116B,7.998B,225.60M,,2.758B,433.00M,228.50M,11.64B,-2.755B,8.887B,,141.10M,141.10M,44.00M,,99.70M,9.172B,10.29B,,,,,,,440.60M,,,,16.30M,,16.30M,,,,456.90M,3.765B,53.30M,3.819B,1.165B,1.165B,5.086B,5.543B,,2020-06,6.60M,,5.60M,-19.60M,4.420B,,2020-06,AOR,
2020-03,91.00M,,91.00M,269.80M,,269.80M,143.60M,143.60M,,,,117.50M,621.90M,7.969B,225.20M,,2.763B,430.20M,203.50M,11.59B,-2.727B,8.864B,,141.10M,141.10M,45.90M,,92.50M,9.144B,9.766B,,,,,,,453.60M,,,,17.10M,,17.10M,,,,470.70M,3.227B,51.40M,3.278B,1.149B,1.149B,4.533B,5.004B,,2020-03,6.60M,,5.60M,-25.50M,4.438B,,2020-03,AOR,
2019-12,148.80M,,148.80M,274.20M,,341.50M,150.60M,150.60M,68.30M,,,19.40M,728.60M,7.962B,224.90M,,2.653B,503.50M,170.20M,11.51B,-2.660B,8.853B,,111.70M,111.70M,47.60M,,45.90M,9.058B,9.787B,157.10M,38.70M,34.40M,,230.20M,128.70M,358.90M,38.50M,,18.00M,18.00M,45.40M,63.40M,30.50M,30.50M,,491.30M,3.228B,85.70M,3.314B,1.128B,1.128B,4.550B,5.041B,,2019-12,6.60M,,5.60M,-29.10M,4.422B,,2019-12,AOR,
2019-09,61.60M,,61.60M,273.40M,,273.40M,161.80M,161.80M,,,,117.10M,613.90M,7.830B,222.70M,,2.686B,496.90M,244.20M,11.48B,-2.636B,8.843B,,141.20M,141.20M,53.50M,,47.00M,9.084B,9.698B,,,,,,,497.40M,,,,288.80M,,288.80M,,,,786.20M,2.395B,93.10M,2.488B,1.100B,1.100B,3.715B,4.501B,,2019-09,6.60M,,5.60M,-30.60M,4.874B,,2019-09,AOR,Restated
2019-06,47.60M,,47.60M,296.30M,,296.30M,154.50M,154.50M,,,,111.30M,609.70M,7.806B,219.00M,,2.699B,507.00M,188.00M,11.42B,-2.622B,8.797B,,141.20M,141.20M,48.00M,,42.60M,9.028B,9.638B,,,,,,,483.40M,,,,283.90M,,283.90M,,,,767.30M,2.401B,103.80M,2.505B,1.088B,1.088B,3.719B,4.487B,,2019-06,6.60M,,5.60M,-23.30M,4.829B,,2019-06,AOR,Restated
2019-03,92.70M,,92.70M,277.90M,,277.90M,166.20M,166.20M,,,,117.60M,654.40M,7.756B,219.00M,,2.700B,510.00M,135.20M,11.32B,-2.567B,8.752B,,141.20M,141.20M,47.80M,,42.10M,8.983B,9.638B,,,,,,,470.90M,,,,9.70M,,9.70M,,,,480.60M,2.678B,105.60M,2.783B,1.085B,1.085B,4.007B,4.488B,,2019-03,6.70M,,5.70M,-15.80M,4.828B,,2019-03,AOR,Restated
2018-12,100.50M,,100.50M,301.20M,,343.30M,160.30M,160.30M,28.00M,,,3.30M,635.40M,7.712B,219.30M,,2.740B,305.60M,152.50M,11.13B,-2.550B,8.578B,,113.20M,113.20M,44.90M,,98.40M,8.834B,9.470B,180.50M,36.40M,35.20M,,252.10M,108.40M,360.50M,44.00M,,10.10M,10.10M,0.00,10.10M,32.40M,32.40M,,447.00M,2.679B,0.00,2.679B,1.080B,1.080B,3.890B,4.337B,,2018-12,6.70M,,5.70M,-10.90M,4.813B,,2018-12,AOR,Restated
2018-09,107.10M,,107.10M,272.00M,,272.00M,155.20M,155.20M,,,,81.60M,615.90M,7.507B,360.60M,,2.726B,297.60M,196.20M,11.09B,-2.443B,8.644B,,,,46.50M,,102.20M,8.793B,9.409B,,,,,,,455.40M,,0.00,10.50M,10.50M,,10.50M,,,,465.90M,2.681B,,2.681B,1.069B,1.069B,3.852B,4.318B,,2018-09,6.90M,,5.90M,-3.40M,4.772B,,2018-09,AOR,Restated
2018-06,61.10M,,61.10M,250.00M,,250.00M,154.00M,154.00M,,,,62.70M,527.80M,7.489B,359.90M,,2.696B,260.40M,223.40M,11.03B,-2.433B,8.596B,,,,45.60M,,94.00M,8.735B,9.263B,,,,,,,430.10M,,,,10.80M,,10.80M,,,,440.90M,2.682B,,2.682B,1.021B,1.021B,3.826B,4.267B,,2018-06,7.10M,,6.10M,-7.60M,4.678B,,2018-06,AOR,Restated
2018-03,47.00M,,47.00M,271.20M,,271.20M,160.80M,160.80M,,,,86.90M,565.90M,7.566B,359.80M,,2.548B,233.50M,232.00M,10.94B,-2.509B,8.431B,,,,46.50M,,85.10M,8.562B,9.128B,,,,,,,445.00M,,342.80M,36.00M,378.80M,,378.80M,,,,823.80M,2.230B,,2.230B,1.013B,1.013B,3.373B,4.197B,,2018-03,7.10M,,6.10M,-7.90M,4.614B,,2018-03,AOR,Restated
2017-12,134.10M,,134.10M,237.80M,,354.50M,150.80M,150.80M,18.30M,,,22.40M,680.10M,6.356B,359.80M,775.00M,2.535B,229.10M,223.70M,10.48B,-2.075B,8.404B,,,,44.60M,,70.20M,8.519B,9.199B,225.10M,37.20M,111.80M,,374.10M,165.70M,539.80M,48.00M,345.10M,38.80M,383.90M,,383.90M,,,,971.70M,2.236B,,2.236B,987.20M,987.20M,3.362B,4.333B,,2017-12,7.10M,,6.10M,-12.90M,4.549B,,2017-12,AOR,Restated
2017-09,88.40M,,88.40M,237.20M,,237.20M,151.20M,151.20M,,,,163.70M,640.50M,7.438B,359.90M,,2.531B,209.70M,388.40M,10.93B,-2.592B,8.336B,,,,51.90M,,72.30M,8.460B,9.100B,,,,,,,528.40M,,355.90M,40.50M,396.40M,,396.40M,,,,924.80M,2.238B,,2.238B,1.432B,1.432B,3.769B,4.694B,,2017-09,7.10M,,6.10M,-7.90M,4.091B,,2017-09,AOR,Restated
2017-06,166.30M,,166.30M,232.90M,,232.90M,155.40M,155.40M,,,,156.80M,711.40M,7.369B,359.90M,,2.497B,191.70M,382.90M,10.80B,-2.553B,8.247B,,,,36.20M,,72.70M,8.356B,9.068B,,,,,,,476.30M,,302.80M,42.20M,345.00M,,345.00M,,,,821.30M,2.244B,,2.244B,1.385B,1.385B,3.738B,4.560B,,2017-06,7.20M,,6.10M,-7.20M,4.193B,,2017-06,AOR,Restated
2017-03,123.10M,,123.10M,208.50M,,208.50M,154.90M,154.90M,,,,146.50M,633.00M,7.288B,359.90M,,2.456B,189.00M,312.60M,10.61B,-2.473B,8.132B,,,,38.00M,,74.70M,8.245B,8.878B,,,,,,,415.80M,,,,292.40M,,292.40M,,,,708.20M,2.264B,,2.264B,1.332B,1.332B,3.701B,4.409B,,2017-03,7.20M,,6.10M,-5.40M,4.154B,,2017-03,AOR,Restated
2016-12,170.60M,,170.60M,191.00M,,304.20M,152.60M,152.60M,18.20M,,,2.40M,648.00M,6.002B,360.40M,739.40M,2.440B,182.20M,293.40M,10.02B,-1.947B,8.070B,,,,32.90M,,66.90M,8.170B,8.818B,247.80M,35.20M,36.00M,,319.00M,138.40M,457.40M,39.20M,181.30M,25.40M,206.70M,,206.70M,,,41.10M,744.40M,2.272B,,2.272B,1.289B,1.289B,3.669B,4.413B,,2016-12,7.20M,,6.10M,-6.20M,4.090B,,2016-12,AOR,Restated
2016-09,293.10M,,293.10M,193.70M,,193.70M,146.00M,146.00M,,,,136.20M,769.00M,7.084B,360.80M,,2.402B,171.20M,245.40M,10.26B,-2.313B,7.951B,,,,37.90M,,71.20M,8.060B,8.830B,,,,,,,477.00M,,,,275.10M,,275.10M,,,,752.10M,2.276B,,2.276B,1.308B,1.308B,3.692B,4.444B,,2016-09,7.20M,,6.10M,-5.70M,4.072B,,2016-09,AOR,Restated
2016-06,293.60M,,293.60M,176.90M,,176.90M,141.20M,141.20M,,,,112.10M,723.80M,7.015B,358.40M,,2.355B,163.60M,189.40M,10.08B,-2.233B,7.848B,,,,34.70M,,71.10M,7.954B,8.677B,,,,,,,405.20M,,,,275.50M,,275.50M,,,,680.70M,2.282B,,2.282B,1.269B,1.269B,3.665B,4.346B,,2016-06,7.20M,,6.10M,-5.40M,4.021B,,2016-06,AOR,Restated
