,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,9.87B,9.87B,70.00M,3.457B,3.527B,,3.995B,0.00,1.084B,4.299B,932.00M,3.367B,134.00M,3.367B,3.367B,468.00M,6.147B,9.07,,9.07,9.07,8.98,,8.98,8.98,355.90M,359.90M,1.25
2020-06,12.35B,12.35B,89.00M,4.823B,4.912B,,5.411B,0.00,944.00M,1.291B,918.00M,373.00M,176.00M,373.00M,373.00M,499.00M,3.381B,0.53,,0.53,0.53,0.53,,0.53,0.53,355.70M,355.70M,1.25
2020-03,7.768B,7.768B,153.00M,3.556B,3.709B,,4.146B,0.00,1.313B,1.348B,135.00M,1.213B,90.00M,1.213B,1.213B,437.00M,4.785B,3.12,,3.12,3.12,3.11,,3.11,3.11,358.00M,361.10M,1.25
2019-12,9.141B,9.141B,200.00M,3.354B,3.554B,,4.018B,0.00,1.065B,2.321B,404.00M,1.917B,193.00M,1.917B,1.917B,464.00M,6.178B,4.74,,4.74,4.74,4.69,,4.69,4.69,362.30M,367.40M,1.25
2019-09,7.47B,7.47B,169.00M,3.014B,3.183B,,3.656B,0.00,1.008B,2.416B,539.00M,1.877B,84.00M,1.877B,1.877B,473.00M,6.867B,4.83,,4.83,4.83,4.79,,4.79,4.79,370.00M,374.30M,1.25
2019-06,8.638B,8.638B,186.00M,3.607B,3.793B,,4.192B,0.00,1.071B,3.127B,706.00M,2.421B,223.00M,2.421B,2.421B,399.00M,7.816B,5.86,,5.86,5.86,5.81,,5.81,5.81,374.50M,378.00M,0.85
2019-03,8.045B,8.045B,184.00M,3.545B,3.729B,,4.097B,0.00,1.218B,2.719B,468.00M,2.251B,69.00M,2.251B,2.251B,368.00M,7.098B,5.73,,5.73,5.73,5.71,,5.71,5.71,379.80M,382.40M,0.8
2018-12,7.25B,7.25B,208.00M,2.119B,2.327B,,2.704B,0.00,991.00M,2.708B,170.00M,2.538B,216.00M,2.538B,2.538B,377.00M,7.185B,6.11,,6.11,6.11,6.04,,6.04,6.04,379.40M,383.90M,0.8
2018-09,8.106B,8.106B,167.00M,3.269B,3.436B,,3.753B,0.00,856.00M,3.078B,554.00M,2.524B,71.00M,2.524B,2.524B,317.00M,7.283B,6.35,,6.35,6.35,6.28,,6.28,6.28,385.40M,390.50M,0.8
2018-06,8.824B,8.824B,183.00M,3.655B,3.838B,,4.173B,0.00,1.002B,3.276B,711.00M,2.565B,217.00M,2.565B,2.565B,335.00M,7.194B,6.04,,6.04,6.04,5.98,,5.98,5.98,387.80M,392.60M,0.8
2018-03,9.236B,9.236B,182.00M,4.308B,4.49B,,4.789B,0.00,918.00M,3.419B,587.00M,2.832B,95.00M,2.832B,2.832B,299.00M,6.731B,7.02,,7.02,7.02,6.95,,6.95,6.95,389.10M,393.80M,0.75
2017-12,7.759B,7.759B,175.00M,2.187B,2.362B,,2.712B,0.00,898.00M,3.108B,5.036B,-1.928B,215.00M,-1.928B,-1.928B,350.00M,5.946B,-5.51,,-5.51,-5.51,-5.51,,-5.51,-5.51,389.60M,397.40M,0.75
2017-09,7.615B,7.615B,138.00M,3.392B,3.53B,,3.81B,0.00,730.00M,2.976B,848.00M,2.128B,93.00M,2.128B,2.128B,280.00M,5.657B,5.09,,5.09,5.09,5.02,,5.02,5.02,398.20M,405.70M,0.75
2017-06,7.146B,7.146B,141.00M,3.457B,3.598B,,3.863B,0.00,788.00M,2.509B,678.00M,1.831B,200.00M,1.831B,1.831B,265.00M,4.941B,4.0,,4.0,4.0,3.95,,3.95,3.95,406.10M,413.30M,0.75
2017-03,7.334B,7.334B,134.00M,3.514B,3.648B,,3.905B,0.00,516.00M,2.539B,284.00M,2.255B,93.00M,2.255B,2.255B,257.00M,4.769B,5.23,,5.23,5.23,5.15,,5.15,5.15,412.50M,420.10M,0.65
2016-12,7.458B,7.458B,131.00M,2.448B,2.579B,,2.846B,0.00,336.00M,3.397B,1.05B,2.347B,194.00M,2.347B,2.347B,267.00M,5.485B,5.17,,5.17,5.17,5.08,,5.08,5.08,415.10M,424.00M,0.65
2016-09,7.555B,7.555B,92.00M,3.414B,3.506B,,3.753B,0.00,614.00M,2.868B,774.00M,2.094B,-6.00M,2.094B,2.094B,247.00M,4.643B,4.96,,4.96,4.96,4.88,,4.88,4.88,422.40M,430.20M,0.65
