,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,314.00M,,0.00,-1.00M,-1.00M,103.00M,0.00,103.00M,103.00M,-43.00M,,,11.00M,82.00M,-506.00M,270.00M,-236.00M,658.00M,,53.00M,,,,0.00,156.00M,32.00M,2.10B,,9.00M,-25.00M,-16.00M,0.00,0.00,0.00,0.00,-168.00M,-28.00M,-196.00M,-79.00M,-988.00M,,7.446B,1.77B,9.216B,,0.00,14.00M,-5.00M,0.00,,,,AOR,
2020-06,253.00M,,0.00,-3.00M,-3.00M,109.00M,3.00M,112.00M,112.00M,-74.00M,,,2.00M,123.00M,-1.432B,469.00M,-963.00M,-86.00M,,-37.00M,,,,0.00,840.00M,-55.00M,1.169B,,-7.244B,-798.00M,-8.042B,0.00,0.00,395.00M,395.00M,-168.00M,-22.00M,-190.00M,-1.00M,2.305B,,4.058B,3.388B,7.446B,,395.00M,1.509B,-8.753B,0.00,,,,AOR,
2020-03,34.00M,,0.00,0.00,0.00,201.00M,3.00M,204.00M,204.00M,-134.00M,,,21.00M,-860.00M,-1.022B,-170.00M,-1.192B,-1.327B,,-16.00M,,,,-3.00M,-1.081B,-55.00M,-8.768B,,2.30B,780.00M,3.08B,-270.00M,-270.00M,0.00,0.00,-168.00M,-23.00M,-191.00M,-14.00M,10.77B,,3.386B,672.00M,4.058B,,0.00,6.80B,-4.50B,-270.00M,,,,AOR,
2019-12,450.00M,,0.00,-4.00M,-2.00M,-432.00M,-8.00M,193.00M,193.00M,105.00M,,,-3.00M,25.00M,-350.00M,198.00M,-152.00M,727.00M,,-319.00M,,,,0.00,993.00M,145.00M,-2.089B,,1.249B,87.00M,1.336B,-400.00M,-400.00M,437.00M,437.00M,-158.00M,-17.00M,-175.00M,0.00,906.00M,,3.842B,-456.00M,3.386B,,437.00M,5.55B,-4.301B,-400.00M,,,,AOR,
2019-09,449.00M,,1.00M,-5.00M,-4.00M,162.00M,3.00M,165.00M,165.00M,-31.00M,,,12.00M,-226.00M,-285.00M,212.00M,-73.00M,393.00M,,-37.00M,,,,0.00,300.00M,-61.00M,-498.00M,,1.249B,-367.00M,882.00M,-500.00M,-500.00M,0.00,0.00,-162.00M,-18.00M,-180.00M,0.00,912.00M,,3.035B,807.00M,3.842B,,0.00,2.80B,-1.551B,-500.00M,,,,AOR,Restated
2019-06,453.00M,,-1.00M,-8.00M,-9.00M,138.00M,3.00M,141.00M,141.00M,-9.00M,,,12.00M,-587.00M,-125.00M,132.00M,7.00M,105.00M,,-10.00M,,,,0.00,44.00M,-58.00M,183.00M,,-253.00M,761.00M,508.00M,-120.00M,-120.00M,1.00M,1.00M,-148.00M,-15.00M,-163.00M,-3.00M,311.00M,,2.436B,599.00M,3.035B,,1.00M,1.75B,-2.003B,-120.00M,,,,AOR,Restated
2019-03,439.00M,,-6.00M,-8.00M,-14.00M,132.00M,2.00M,134.00M,134.00M,-1.00M,,,20.00M,116.00M,-96.00M,-211.00M,-307.00M,472.00M,,,,,,-129.00M,-238.00M,-53.00M,-1.471B,,-4.252B,-638.00M,-4.89B,-200.00M,-200.00M,292.00M,292.00M,-149.00M,-15.00M,-164.00M,-18.00M,-639.00M,,4.074B,-1.638B,2.436B,,292.00M,2.75B,-7.002B,-200.00M,,,,AOR,Restated
2018-12,465.00M,,0.00,-6.00M,-6.00M,,,132.00M,132.00M,74.00M,,0.00,1.00M,144.00M,-299.00M,-36.00M,-335.00M,560.00M,,-137.00M,0.00,-75.00M,-62.00M,0.00,301.00M,-5.00M,-2.014B,,496.00M,-2.104B,-1.608B,-300.00M,-300.00M,297.00M,297.00M,-127.00M,-7.00M,-134.00M,0.00,1.537B,,3.991B,83.00M,4.074B,,297.00M,5.00B,-4.504B,-300.00M,,,,AOR,Restated
2018-09,443.00M,,0.00,-3.00M,-2.00M,,,114.00M,114.00M,13.00M,,0.00,12.00M,-113.00M,-1.201B,448.00M,-753.00M,-208.00M,,-122.00M,0.00,-63.00M,-59.00M,-533.00M,295.00M,-16.00M,-1.69B,,3.254B,-751.00M,2.503B,-400.00M,-400.00M,0.00,0.00,-129.00M,0.00,-129.00M,0.00,2.024B,,3.865B,126.00M,3.991B,,0.00,6.003B,-2.749B,-400.00M,,,,AOR,Restated
2018-06,425.00M,,0.00,-2.00M,-1.00M,,,121.00M,121.00M,2.00M,,0.00,10.00M,-29.00M,-48.00M,146.00M,98.00M,711.00M,,-137.00M,0.00,-62.00M,-75.00M,0.00,-166.00M,-8.00M,-2.255B,,916.00M,-752.00M,164.00M,-150.00M,-150.00M,296.00M,296.00M,-107.00M,-7.00M,-114.00M,0.00,1.55B,,3.859B,6.00M,3.865B,,296.00M,5.25B,-4.334B,-150.00M,,,,AOR,Restated
