,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,DerivativeContractLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,12.73B,13.04B,22.94B,35.98B,,,37.90B,,,,,,,759.00M,7.05B,7.05B,127.09B,2.443B,124.65B,26.18B,166.64B,183.35B,,,,,,243.00M,243.00M,243.00M,243.00M,8.346B,8.346B,629.00M,629.00M,147.16B,128.00M,156.27B,160.68B,,1.971B,6.445B,18.94B,4.623B,1.965B,-60.00M,22.67B,,AOR,
2020-09,9.216B,9.544B,22.88B,32.43B,,,34.46B,,,,,,,747.00M,7.05B,7.05B,127.78B,2.542B,125.24B,26.12B,165.90B,179.23B,,,,,,252.00M,252.00M,252.00M,252.00M,9.109B,9.109B,638.00M,638.00M,142.92B,100.00M,152.77B,156.76B,,1.971B,6.189B,18.92B,4.623B,1.965B,10.00M,22.47B,,AOR,
2020-06,7.446B,7.921B,22.14B,30.06B,51.00M,51.00M,32.18B,,,,,,,751.00M,7.05B,7.05B,130.71B,2.448B,128.26B,25.66B,168.09B,179.87B,,155.00M,155.00M,155.00M,297.00M,255.00M,552.00M,552.00M,707.00M,8.905B,8.905B,709.00M,709.00M,143.62B,198.00M,153.43B,157.46B,,1.971B,6.068B,18.91B,4.623B,1.965B,94.00M,22.42B,,AOR,
2020-03,4.058B,4.338B,22.31B,26.64B,,,28.61B,,,,,,,746.00M,7.05B,7.05B,130.79B,2.171B,128.62B,26.35B,168.68B,176.72B,,,,,298.00M,1.059B,1.357B,1.357B,1.357B,16.14B,16.14B,782.00M,782.00M,133.48B,234.00M,150.63B,154.77B,,1.576B,6.011B,18.90B,4.623B,1.57B,85.00M,21.95B,,AOR,
2019-12,3.386B,3.683B,20.61B,24.30B,,,25.10B,102.00M,848.00M,535.00M,368.00M,1.853B,-1.092B,761.00M,7.044B,7.044B,122.42B,1.252B,121.17B,24.67B,159.52B,165.73B,,,,,0.00,9.00M,9.00M,9.00M,274.00M,14.05B,14.05B,866.00M,866.00M,125.31B,120.00M,140.35B,143.53B,,1.576B,6.498B,18.89B,4.353B,1.57B,-411.00M,22.20B,,AOR,
2019-09,3.842B,4.00B,21.50B,25.50B,257.00M,257.00M,26.79B,,,,,,,747.00M,7.044B,7.044B,119.90B,1.263B,118.63B,25.60B,157.36B,164.36B,,206.00M,206.00M,206.00M,749.00M,210.00M,959.00M,959.00M,2.032B,12.06B,12.06B,752.00M,752.00M,124.71B,161.00M,137.68B,142.51B,,1.139B,6.229B,18.88B,3.953B,1.133B,-440.00M,21.85B,,AOR,Restated
2019-06,3.035B,3.221B,21.70B,24.92B,249.00M,249.00M,26.00B,,,,,,,740.00M,7.04B,7.04B,119.04B,1.227B,117.82B,25.90B,156.74B,162.75B,,257.00M,257.00M,257.00M,747.00M,309.00M,1.056B,1.056B,2.445B,10.79B,10.79B,767.00M,767.00M,124.00B,106.00M,135.67B,140.73B,,1.139B,5.959B,18.86B,3.453B,1.133B,-488.00M,22.02B,,AOR,Restated
2019-03,2.436B,2.603B,21.50B,24.11B,92.00M,92.00M,24.66B,,,,,,,746.00M,7.04B,7.04B,118.87B,1.245B,117.62B,25.65B,156.48B,161.34B,,93.00M,93.00M,93.00M,,11.00M,11.00M,11.00M,772.00M,11.72B,11.72B,676.00M,676.00M,123.92B,173.00M,136.49B,139.81B,,1.138B,5.672B,18.85B,3.333B,1.132B,-793.00M,21.53B,,AOR,Restated
2018-12,4.074B,4.222B,19.90B,24.12B,,,24.43B,112.00M,852.00M,1.019B,292.00M,2.275B,-1.484B,791.00M,6.923B,6.923B,117.98B,1.242B,116.74B,25.08B,154.28B,160.52B,,,,,1.492B,161.00M,1.653B,1.653B,2.809B,14.43B,14.43B,573.00M,573.00M,119.58B,292.00M,134.87B,139.70B,,846.00M,5.385B,18.82B,3.133B,840.00M,-1.096B,20.82B,,AOR,Restated
2018-09,3.991B,4.133B,20.15B,24.28B,,0.00,24.46B,,,,,,,753.00M,6.946B,6.946B,116.05B,1.242B,114.81B,25.48B,152.60B,158.60B,,381.00M,381.00M,381.00M,,2.006B,2.006B,2.006B,2.761B,15.64B,15.64B,430.00M,430.00M,117.08B,449.00M,133.59B,138.32B,,549.00M,5.062B,18.82B,2.833B,543.00M,-1.318B,20.28B,,AOR,Restated
