,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.559B,1.559B,,537.00M,537.00M,,,537.00M,,1.129B,571.00M,115.00M,456.00M,,456.00M,456.00M,,691.00M,,0.99,0.99,0.99,,0.99,0.99,0.99,,427.07M,428.88M,0.39,,AOR,
2020-09,1.652B,1.652B,24.00M,524.00M,548.00M,,,548.00M,1.00M,1.137B,375.00M,61.00M,314.00M,25.00M,314.00M,314.00M,103.00M,518.00M,,0.68,0.68,0.68,,0.68,0.68,0.68,,426.85M,427.99M,0.39,,AOR,
2020-06,1.619B,1.619B,27.00M,513.00M,540.00M,,,540.00M,3.00M,1.16B,307.00M,54.00M,253.00M,28.00M,253.00M,253.00M,112.00M,497.00M,,0.53,0.53,0.53,,0.53,0.53,0.53,,426.61M,427.57M,0.39,,AOR,
2020-03,1.522B,1.522B,24.00M,549.00M,573.00M,,,573.00M,0.00,1.16B,45.00M,11.00M,34.00M,22.00M,34.00M,34.00M,204.00M,363.00M,,0.03,0.03,0.03,,0.03,0.03,0.03,,427.72M,429.39M,0.39,,AOR,
2019-12,1.495B,1.495B,26.00M,564.00M,590.00M,,,590.00M,4.00M,1.143B,541.00M,91.00M,450.00M,23.00M,450.00M,450.00M,193.00M,899.00M,,0.98,0.98,0.98,,0.98,0.98,0.98,,434.52M,436.20M,0.36,,AOR,
2019-09,1.51B,1.51B,31.00M,508.00M,539.00M,,,539.00M,2.00M,1.145B,564.00M,115.00M,449.00M,17.00M,449.00M,449.00M,165.00M,957.00M,,0.97,0.97,0.97,,0.97,0.97,0.97,,445.70M,447.13M,0.36,,AOR,Restated
2019-06,1.51B,1.51B,28.00M,507.00M,535.00M,,,535.00M,4.00M,1.166B,580.00M,127.00M,453.00M,18.00M,453.00M,453.00M,141.00M,994.00M,,0.95,0.95,0.95,,0.95,0.95,0.95,,458.15M,459.30M,0.32,,AOR,Restated
2019-03,1.478B,1.478B,27.00M,509.00M,536.00M,,,536.00M,7.00M,1.16B,566.00M,127.00M,439.00M,15.00M,439.00M,439.00M,134.00M,976.00M,,0.92,0.92,0.92,,0.92,0.92,0.92,,460.71M,462.52M,0.32,,AOR,Restated
2018-12,1.458B,1.458B,34.00M,464.00M,498.00M,,,498.00M,6.00M,1.172B,557.00M,92.00M,465.00M,15.00M,465.00M,465.00M,132.00M,927.00M,,0.96,0.96,0.96,,0.96,0.96,0.96,,467.21M,468.97M,0.27,,AOR,Restated
2018-09,1.457B,1.457B,36.00M,514.00M,550.00M,,,550.00M,2.00M,1.148B,576.00M,133.00M,443.00M,7.00M,443.00M,443.00M,114.00M,905.00M,,0.92,0.92,0.92,,0.91,0.91,0.91,,475.96M,477.60M,0.27,,AOR,Restated
2018-06,1.403B,1.403B,34.00M,493.00M,527.00M,,,527.00M,1.00M,1.121B,549.00M,124.00M,425.00M,,425.00M,425.00M,121.00M,839.00M,,0.88,0.88,0.88,,0.88,0.88,0.88,,484.74M,486.14M,0.22,,AOR,Restated
2018-03,1.363B,1.363B,25.00M,513.00M,538.00M,,,538.00M,7.00M,1.091B,501.00M,113.00M,388.00M,7.00M,388.00M,388.00M,122.00M,738.00M,,0.78,0.78,0.78,,0.78,0.78,0.78,,487.50M,489.27M,0.22,,AOR,Restated
2017-12,1.366B,1.366B,23.00M,442.00M,465.00M,,,465.00M,1.00M,1.08B,503.00M,-163.00M,666.00M,0.00,666.00M,666.00M,116.00M,714.00M,,1.35,1.35,1.35,,1.35,1.35,1.35,,492.04M,493.55M,0.18,,AOR,Restated
2017-09,1.344B,1.344B,27.00M,490.00M,517.00M,45.00M,,562.00M,1.00M,1.062B,513.00M,165.00M,348.00M,7.00M,348.00M,348.00M,113.00M,715.00M,,0.68,0.68,0.68,,0.68,0.68,0.68,,500.86M,502.16M,0.18,,AOR,Restated
2017-06,1.30B,1.30B,29.00M,480.00M,509.00M,45.00M,,554.00M,-1.00M,1.026B,462.00M,144.00M,318.00M,,318.00M,318.00M,134.00M,641.00M,,0.63,0.63,0.63,,0.63,0.63,0.63,,506.37M,507.41M,0.14,,AOR,Restated
2017-03,1.293B,1.293B,26.00M,491.00M,517.00M,44.00M,,561.00M,3.00M,1.005B,434.00M,114.00M,320.00M,7.00M,320.00M,320.00M,124.00M,589.00M,,0.61,0.61,0.61,,0.61,0.61,0.61,,509.45M,511.35M,0.14,,AOR,Restated
2016-12,1.265B,1.265B,25.00M,480.00M,505.00M,44.00M,,549.00M,2.00M,986.00M,414.00M,132.00M,282.00M,0.00,282.00M,282.00M,128.00M,550.00M,,0.55,0.55,0.55,,0.55,0.55,0.55,,511.94M,513.94M,0.12,,AOR,Restated
2016-09,1.278B,1.278B,24.00M,482.00M,506.00M,46.00M,,552.00M,-3.00M,945.00M,427.00M,130.00M,297.00M,7.00M,297.00M,297.00M,142.00M,561.00M,,0.56,0.56,0.56,,0.56,0.56,0.56,,519.46M,521.12M,0.12,,AOR,Restated
2016-06,1.192B,1.192B,25.00M,475.00M,500.00M,41.00M,,541.00M,-3.00M,923.00M,361.00M,118.00M,243.00M,,243.00M,243.00M,133.00M,484.00M,,0.46,0.46,0.46,,0.46,0.46,0.46,,528.97M,530.37M,0.12,,AOR,Restated
2016-03,1.143B,1.143B,24.00M,459.00M,483.00M,39.00M,,522.00M,8.00M,904.00M,332.00M,109.00M,223.00M,7.00M,223.00M,223.00M,112.00M,447.00M,,0.41,0.41,0.41,,0.41,0.41,0.41,,528.07M,530.45M,0.10,,AOR,Restated
