,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,131.00M,,-218.00M,61.00M,,-157.00M,681.00M,-149.00M,910.00M,80.00M,-105.00M,22.00M,-99.00M,205.00M,,,155.00M,178.00M,1.674B,-1.494B,,-1.494B,,-111.00M,-30.00M,109.00M,-1.526B,986.00M,1.942B,2.928B,11.00M,-2.385B,-2.374B,,,-785.00M,,-785.00M,-101.00M,-332.00M,742.00M,-184.00M,558.00M,11.00M,3.264B,-336.00M,-2.385B,,
2020-06,-1.132B,,-409.00M,2.315B,,1.906B,738.00M,-166.00M,529.00M,0.00,151.00M,-64.00M,-231.00M,-106.00M,,,-122.00M,-372.00M,1.503B,-1.453B,,-1.453B,,-207.00M,-21.00M,-12.00M,-1.693B,2.127B,-1.579B,548.00M,70.00M,,70.00M,,,-789.00M,,-789.00M,-164.00M,-335.00M,1.267B,-525.00M,742.00M,70.00M,2.451B,-1.903B,,,
2020-03,-239.00M,,526.00M,,,526.00M,759.00M,-65.00M,768.00M,4.00M,245.00M,71.00M,38.00M,-398.00M,,,-76.00M,-120.00M,1.633B,-1.462B,,-1.462B,,-197.00M,-29.00M,47.00M,-1.641B,18.00M,1.779B,1.797B,78.00M,,78.00M,,,-788.00M,,-788.00M,-81.00M,1.006B,269.00M,998.00M,1.267B,78.00M,2.729B,-932.00M,,,
2019-12,1.01B,,-208.00M,0.00,,-375.00M,742.00M,104.00M,351.00M,-61.00M,-425.00M,16.00M,-256.00M,266.00M,,,259.00M,-140.00M,1.495B,-1.573B,,-1.573B,,-171.00M,-18.00M,300.00M,-1.462B,1.555B,-4.509B,-2.954B,713.00M,,713.00M,,,-759.00M,,-759.00M,2.005B,-204.00M,440.00M,-171.00M,269.00M,1.504B,567.00M,-3.521B,,,
2019-09,985.00M,,-47.00M,0.00,,-47.00M,763.00M,5.00M,-30.00M,-58.00M,-138.00M,-92.00M,9.00M,141.00M,,,-125.00M,-205.00M,1.396B,-1.295B,,-1.295B,,-86.00M,-13.00M,67.00M,-1.327B,-3.717B,2.873B,-844.00M,1.477B,0.00,1.477B,,,-755.00M,,-755.00M,-67.00M,-189.00M,560.00M,-120.00M,440.00M,1.477B,4.373B,-5.217B,0.00,,
2019-06,58.00M,,-100.00M,0.00,,-100.00M,738.00M,1.00M,177.00M,424.00M,339.00M,-67.00M,-67.00M,-97.00M,,,-229.00M,-121.00M,1.142B,-1.11B,,-1.11B,,-186.00M,-18.00M,33.00M,-1.281B,-963.00M,135.00M,-828.00M,1.66B,,1.66B,,,-736.00M,,-736.00M,-24.00M,72.00M,627.00M,-67.00M,560.00M,1.66B,333.00M,-1.161B,,,
2019-03,-677.00M,,-271.00M,,,-271.00M,734.00M,106.00M,835.00M,-124.00M,153.00M,53.00M,89.00M,-613.00M,,,-102.00M,-420.00M,1.171B,-1.002B,,-1.002B,,-98.00M,12.00M,536.00M,-552.00M,-1.617B,1.792B,175.00M,247.00M,,247.00M,,,-733.00M,,-733.00M,-72.00M,-383.00M,391.00M,236.00M,627.00M,247.00M,2.505B,-2.33B,,,
2018-12,662.00M,,310.00M,,,-500.00M,574.00M,31.00M,256.00M,19.00M,-239.00M,8.00M,30.00M,236.00M,,,-15.00M,20.00M,1.062B,-1.143B,,-1.143B,,-153.00M,-27.00M,2.334B,1.011B,-566.00M,-2.601B,-3.167B,1.728B,,1.728B,,,-550.00M,,-550.00M,-80.00M,-2.069B,387.00M,4.00M,391.00M,1.728B,2.325B,-5.492B,,,
2018-09,883.00M,,-168.00M,,,-364.00M,600.00M,257.00M,10.00M,46.00M,-29.00M,-68.00M,-66.00M,60.00M,,,95.00M,-8.00M,1.286B,-1.065B,,-1.065B,,-205.00M,-17.00M,154.00M,-1.133B,1.686B,-1.26B,426.00M,75.00M,,75.00M,,,-546.00M,,-546.00M,-75.00M,-120.00M,354.00M,33.00M,387.00M,75.00M,2.19B,-1.764B,,,
2018-06,478.00M,,-65.00M,,,-65.00M,534.00M,98.00M,129.00M,91.00M,111.00M,-73.00M,-12.00M,-81.00M,,,-17.00M,-72.00M,1.193B,-943.00M,,-943.00M,,-91.00M,-12.00M,-7.00M,-1.053B,-137.00M,532.00M,395.00M,81.00M,,81.00M,,,-545.00M,,-545.00M,-51.00M,-120.00M,334.00M,20.00M,354.00M,81.00M,2.055B,-1.66B,,,
2018-03,526.00M,,25.00M,,,25.00M,572.00M,131.00M,0.00,-56.00M,47.00M,104.00M,-3.00M,-160.00M,,,-169.00M,-181.00M,1.232B,-1.103B,,-1.103B,,-94.00M,-34.00M,48.00M,-1.183B,-230.00M,365.00M,135.00M,581.00M,,581.00M,,,-544.00M,,-544.00M,-72.00M,100.00M,185.00M,149.00M,334.00M,581.00M,1.315B,-1.18B,,,
2017-12,1.333B,,-16.00M,,,55.00M,553.00M,-655.00M,,19.00M,-350.00M,49.00M,-96.00M,72.00M,,,-165.00M,-490.00M,830.00M,-1.382B,,-1.382B,-5.00M,186.00M,-50.00M,177.00M,-1.074B,357.00M,238.00M,595.00M,87.00M,,87.00M,,,-496.00M,,-496.00M,-58.00M,128.00M,301.00M,-116.00M,185.00M,87.00M,543.00M,52.00M,,,
2017-09,696.00M,,-101.00M,,,-162.00M,561.00M,246.00M,,78.00M,-60.00M,-55.00M,2.00M,187.00M,,,-181.00M,-107.00M,1.312B,-1.374B,0.00,-1.374B,5.00M,-154.00M,-22.00M,-2.00M,-1.547B,-289.00M,-23.00M,-312.00M,1.077B,,1.077B,,,-486.00M,,-486.00M,-67.00M,212.00M,324.00M,-23.00M,301.00M,1.077B,750.00M,-1.062B,,,
2017-06,417.00M,,,,,,540.00M,156.00M,,20.00M,171.00M,-40.00M,14.00M,-125.00M,,,-153.00M,-133.00M,1.00B,-1.313B,,-1.313B,,-292.00M,-7.00M,-8.00M,-1.62B,691.00M,206.00M,897.00M,77.00M,,77.00M,,,-475.00M,,-475.00M,-95.00M,404.00M,540.00M,-216.00M,324.00M,77.00M,780.00M,117.00M,,,
2017-03,674.00M,,,,,,548.00M,250.00M,,-68.00M,136.00M,61.00M,18.00M,-159.00M,,,-100.00M,-44.00M,1.36B,-1.435B,,-1.435B,,-240.00M,-30.00M,4.00M,-1.701B,1.549B,-528.00M,1.021B,79.00M,,79.00M,,,-474.00M,,-474.00M,-67.00M,559.00M,322.00M,218.00M,540.00M,79.00M,1.95B,-929.00M,,,
2016-12,491.00M,,,,,-96.00M,524.00M,32.00M,,283.00M,-305.00M,11.00M,-50.00M,184.00M,,,-313.00M,-473.00M,765.00M,-1.549B,,-1.549B,,-100.00M,-26.00M,3.00M,-1.662B,1.551B,-1.141B,410.00M,1.045B,,1.045B,,,-440.00M,,-440.00M,-72.00M,943.00M,251.00M,46.00M,322.00M,1.045B,1.992B,-1.582B,,,
2016-09,728.00M,,,,,-5.00M,472.00M,206.00M,,-51.00M,-63.00M,-7.00M,16.00M,162.00M,,,-90.00M,18.00M,1.368B,-1.386B,,-1.386B,,-4.431B,-13.00M,526.00M,-5.304B,3.131B,559.00M,3.69B,621.00M,,621.00M,,,-438.00M,,-438.00M,-63.00M,3.81B,377.00M,-126.00M,251.00M,621.00M,5.00B,-1.31B,,,
2016-06,462.00M,,,,,-45.00M,429.00M,144.00M,,-1.00M,42.00M,-47.00M,14.00M,-77.00M,,,-95.00M,-163.00M,826.00M,-1.653B,,-1.653B,,-63.00M,-18.00M,-466.00M,-2.20B,676.00M,-91.00M,585.00M,1.383B,,1.383B,,,-432.00M,,-432.00M,-3.00M,1.533B,218.00M,159.00M,377.00M,1.383B,680.00M,-95.00M,,,
2016-03,531.00M,,,,,,424.00M,131.00M,,-26.00M,40.00M,44.00M,41.00M,31.00M,,,-24.00M,132.00M,1.192B,-1.497B,,-1.497B,,-23.00M,-25.00M,20.00M,-1.525B,754.00M,-581.00M,173.00M,75.00M,,75.00M,,,-417.00M,,-417.00M,113.00M,-56.00M,607.00M,-389.00M,218.00M,75.00M,1.25B,-1.077B,,,
2015-12,366.00M,,,,,0.00,419.00M,151.00M,,58.00M,65.00M,-23.00M,-70.00M,-16.00M,,,72.00M,28.00M,1.022B,-1.943B,,-1.943B,-1.00M,-175.00M,-2.00M,-32.00M,-2.153B,483.00M,1.154B,1.637B,69.00M,,69.00M,,,-386.00M,,-386.00M,180.00M,1.50B,238.00M,369.00M,607.00M,69.00M,2.034B,-397.00M,,,
2015-09,599.00M,,,,,-52.00M,428.00M,304.00M,,17.00M,15.00M,-50.00M,-2.00M,-21.00M,,,55.00M,-3.00M,1.293B,-1.262B,,-1.262B,52.00M,-48.00M,-11.00M,3.00M,-1.266B,395.00M,-67.00M,328.00M,70.00M,,70.00M,,,-385.00M,,-385.00M,-73.00M,-60.00M,271.00M,-33.00M,238.00M,70.00M,1.062B,-734.00M,,,
2015-06,418.00M,,,,,-1.00M,408.00M,122.00M,,22.00M,279.00M,-101.00M,47.00M,-114.00M,,,-51.00M,60.00M,1.029B,-1.356B,,-1.356B,28.00M,-232.00M,-6.00M,-19.00M,-1.585B,1.195B,-578.00M,617.00M,352.00M,,352.00M,,,-384.00M,,-384.00M,-33.00M,552.00M,275.00M,-4.00M,271.00M,352.00M,775.00M,-158.00M,,,
2015-03,540.00M,,,,,-70.00M,414.00M,277.00M,,-40.00M,-65.00M,148.00M,,-100.00M,,,27.00M,10.00M,1.131B,-1.014B,,-1.014B,,-495.00M,33.00M,-23.00M,-1.499B,-3.00M,425.00M,422.00M,295.00M,,295.00M,,,-381.00M,,-381.00M,-11.00M,325.00M,318.00M,-43.00M,275.00M,295.00M,425.00M,-3.00M,,,
2014-12,249.00M,,,,,-60.00M,389.00M,5.00M,,440.00M,-169.00M,-4.00M,10.00M,57.00M,,,112.00M,6.00M,1.029B,-1.603B,,-1.603B,60.00M,-55.00M,32.00M,-82.00M,-1.648B,667.00M,146.00M,813.00M,459.00M,,459.00M,-134.00M,-134.00M,-350.00M,-2.00M,-352.00M,-67.00M,719.00M,218.00M,100.00M,318.00M,459.00M,4.481B,-3.668B,-134.00M,,
2014-09,531.00M,,,,,-1.00M,423.00M,143.00M,,-6.00M,147.00M,-41.00M,48.00M,8.00M,,,-289.00M,-127.00M,963.00M,-1.353B,,-1.353B,0.00,-8.00M,-21.00M,35.00M,-1.347B,935.00M,-450.00M,485.00M,67.00M,,67.00M,0.00,0.00,-350.00M,-3.00M,-353.00M,-16.00M,183.00M,419.00M,-201.00M,218.00M,67.00M,550.00M,-65.00M,0.00,,
