,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,413.00M,,413.00M,2.002B,177.00M,2.176B,,1.565B,632.00M,,,895.00M,19.83B,,,81.73B,-24.94B,56.79B,7.395B,,7.395B,6.89B,,4.184B,84.71B,104.54B,738.00M,,,738.00M,1.146B,1.884B,228.00M,225.00M,5.028B,5.253B,5.253B,,10.20B,17.56B,,32.26B,,32.26B,5.812B,5.812B,,537.00M,1.73B,,10.13B,58.91B,76.47B,24.32B,4.035B,,2.387B,,,-2.016B,26.34B
2020-06,675.00M,,675.00M,2.04B,236.00M,2.273B,,1.735B,589.00M,,,852.00M,6.124B,96.53B,,96.53B,-28.55B,67.98B,8.946B,,8.946B,6.984B,,4.256B,97.60B,103.73B,797.00M,,,797.00M,1.011B,1.808B,538.00M,225.00M,3.185B,3.41B,3.41B,,3.781B,9.537B,,36.70B,444.00M,37.15B,5.921B,5.921B,,748.00M,2.013B,,8.812B,63.31B,72.84B,26.37B,4.48B,,2.387B,,,-1.98B,28.87B
2020-03,1.192B,,1.192B,2.177B,251.00M,2.425B,,1.677B,,,,1.242B,6.536B,95.34B,,95.34B,-27.94B,67.40B,8.946B,,8.946B,7.575B,,4.109B,97.59B,104.13B,842.00M,,,842.00M,1.089B,1.931B,560.00M,,5.109B,5.109B,5.109B,,2.848B,10.45B,,34.50B,111.00M,34.62B,6.158B,6.158B,,853.00M,2.026B,,8.711B,60.93B,71.37B,26.29B,6.455B,,2.387B,,,-2.018B,30.73B
2019-12,166.00M,,166.00M,2.278B,370.00M,2.645B,549.00M,1.742B,328.00M,,,1.207B,6.088B,11.18B,5.005B,97.47B,-28.38B,69.08B,8.946B,791.00M,9.737B,8.217B,,1.304B,97.74B,103.82B,1.115B,,,1.115B,1.323B,2.438B,696.00M,,4.073B,4.073B,4.073B,,2.732B,9.939B,4.866B,33.72B,105.00M,33.82B,6.277B,6.277B,2.366B,,2.039B,,1.517B,59.85B,69.79B,26.21B,7.576B,,2.387B,,,-1.793B,31.99B
2019-09,378.00M,,378.00M,1.972B,366.00M,2.335B,,1.80B,338.00M,,,1.135B,6.269B,96.58B,,96.58B,-28.14B,68.43B,8.986B,773.00M,9.759B,7.757B,,862.00M,96.09B,102.36B,791.00M,,,791.00M,1.263B,2.054B,,,7.244B,7.244B,7.244B,,2.893B,12.19B,5.02B,33.64B,394.00M,34.03B,6.198B,6.198B,2.571B,,671.00M,,1.467B,60.21B,72.40B,23.73B,7.336B,,1.596B,,,-1.777B,29.29B
2019-06,382.00M,,382.00M,1.908B,191.00M,2.096B,,1.724B,,,,1.525B,5.727B,95.34B,,95.34B,-27.73B,67.61B,8.985B,878.00M,9.863B,7.596B,,903.00M,95.10B,100.82B,787.00M,,,787.00M,1.123B,1.91B,,,4.911B,4.911B,4.911B,,2.682B,9.503B,4.984B,36.65B,404.00M,37.05B,6.185B,6.185B,2.612B,,684.00M,,1.297B,62.94B,72.44B,22.26B,7.124B,,1.596B,,,-1.683B,27.70B
2019-03,422.00M,,422.00M,2.236B,207.00M,2.439B,,1.657B,,,,1.457B,5.975B,93.97B,,93.97B,-26.92B,67.05B,8.96B,887.00M,9.847B,7.37B,,2.234B,94.08B,100.05B,920.00M,,,920.00M,957.00M,1.877B,,,5.492B,5.492B,5.492B,,2.407B,9.776B,4.985B,36.86B,418.00M,37.28B,6.108B,6.108B,,,690.00M,,3.508B,62.68B,72.46B,20.83B,7.806B,,,,,-1.731B,26.91B
2018-12,268.00M,,268.00M,1.749B,335.00M,2.08B,379.00M,1.418B,265.00M,,,1.13B,5.161B,10.54B,3.864B,76.58B,-22.02B,54.56B,6.41B,670.00M,7.08B,6.56B,,598.00M,72.75B,77.91B,914.00M,,,914.00M,836.00M,1.75B,,,4.031B,4.031B,4.031B,,1.866B,7.647B,2.25B,31.11B,35.00M,31.14B,5.116B,5.116B,2.328B,,1.941B,,541.00M,48.22B,55.87B,12.59B,9.219B,,,,,-1.70B,20.11B
2018-09,310.00M,,310.00M,1.539B,134.00M,1.671B,,1.455B,,,,1.237B,5.702B,76.19B,,76.19B,-22.00B,54.18B,6.41B,,6.41B,7.627B,,2.842B,73.38B,79.08B,587.00M,,,587.00M,,587.00M,,,6.036B,6.036B,6.036B,,2.589B,9.212B,,32.19B,,32.19B,5.079B,5.079B,,,1.956B,,5.031B,49.44B,58.66B,10.86B,9.128B,,,,,-1.52B,18.47B
2018-06,190.00M,,190.00M,1.51B,136.00M,1.643B,,1.429B,,,,1.348B,4.61B,76.46B,,76.46B,-21.85B,54.60B,6.405B,,6.405B,7.208B,,2.853B,73.46B,78.08B,660.00M,,,660.00M,,660.00M,,,5.695B,5.695B,5.695B,,2.563B,8.918B,,32.12B,,32.12B,4.844B,4.844B,,,1.972B,,5.097B,49.12B,58.04B,10.78B,8.82B,,,,,-1.538B,18.06B
2018-03,189.00M,,189.00M,1.615B,138.00M,1.751B,,1.367B,,,,974.00M,4.281B,75.63B,,75.63B,-21.50B,54.13B,6.405B,,6.405B,7.032B,,2.809B,73.07B,77.35B,702.00M,,,702.00M,,702.00M,,,6.316B,6.316B,6.316B,,2.321B,9.339B,,31.12B,,31.12B,4.719B,4.719B,,,2.353B,,5.157B,47.97B,57.31B,10.32B,8.924B,,,,,-1.551B,17.69B
2017-12,120.00M,,120.00M,1.66B,128.00M,1.786B,428.00M,1.477B,260.00M,,,691.00M,4.334B,8.042B,8.497B,74.82B,-21.06B,53.76B,6.405B,685.00M,7.09B,6.964B,,581.00M,72.25B,76.58B,875.00M,,,875.00M,848.00M,1.723B,,,6.376B,6.376B,6.376B,,1.537B,9.636B,2.169B,30.95B,,30.95B,4.523B,4.523B,2.16B,,2.228B,,863.00M,47.58B,57.22B,9.865B,7.936B,,,,,-659.00M,17.14B
2017-09,227.00M,,227.00M,1.292B,215.00M,1.504B,,1.527B,,,,736.00M,3.994B,73.61B,,73.61B,-20.80B,52.81B,6.405B,,6.405B,7.096B,,2.582B,71.40B,75.39B,757.00M,,,757.00M,843.00M,1.60B,,,5.848B,5.848B,5.848B,,1.111B,8.559B,,30.89B,,30.89B,9.379B,9.379B,,,2.222B,,5.159B,48.33B,56.89B,9.789B,7.119B,,,,,-628.00M,16.28B
2017-06,260.00M,,260.00M,1.242B,155.00M,1.395B,,1.469B,,,,787.00M,3.911B,72.16B,,72.16B,-20.42B,51.75B,6.399B,,6.399B,6.858B,,2.499B,69.99B,73.90B,695.00M,,,695.00M,725.00M,1.42B,,,6.883B,6.883B,6.883B,,1.199B,9.502B,,30.16B,,30.16B,9.099B,9.099B,,,2.232B,,5.138B,47.20B,56.70B,8.717B,6.938B,,,,,-682.00M,14.97B
2017-03,486.00M,,486.00M,1.361B,211.00M,1.57B,,1.453B,,,,776.00M,4.285B,70.73B,,70.73B,-20.01B,50.72B,6.399B,,6.399B,6.674B,,2.339B,68.57B,72.85B,724.00M,,,724.00M,779.00M,1.503B,,,5.018B,5.018B,5.018B,,1.321B,7.842B,,31.10B,,31.10B,8.897B,8.897B,,,2.264B,,5.091B,47.83B,55.67B,8.629B,7.023B,,,,,-735.00M,14.92B
2016-12,261.00M,,261.00M,1.523B,185.00M,1.706B,437.00M,1.524B,194.00M,,,563.00M,4.248B,7.084B,6.96B,69.56B,-19.59B,49.96B,6.399B,618.00M,7.017B,6.343B,,487.00M,67.36B,71.61B,1.00B,,,1.00B,798.00M,1.798B,,,4.864B,4.864B,4.864B,,1.453B,8.115B,2.236B,30.23B,,30.23B,8.602B,8.602B,2.112B,,2.235B,,852.00M,46.66B,54.77B,8.55B,6.854B,,,,,-799.00M,14.60B
2016-09,251.00M,,251.00M,1.259B,136.00M,1.392B,,1.516B,147.00M,,,493.00M,3.799B,68.28B,,68.28B,-19.39B,48.89B,6.405B,,6.405B,6.224B,,1.045B,65.80B,69.60B,685.00M,,,685.00M,800.00M,1.485B,,,6.028B,6.028B,6.028B,,1.514B,9.027B,2.153B,28.71B,,28.71B,8.675B,8.675B,,,1.234B,,2.248B,44.38B,53.41B,8.592B,6.837B,,,,,-471.00M,14.96B
