,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-06,2.666B,2.813B,1.977B,836.00M,,,134.00M,227.00M,-227.00M,,442.00M,394.00M,227.00M,-227.00M,57.00M,-227.00M,224.00M,63.00M,161.00M,,,-2.00M,,159.00M,159.00M,821.00M,370.00M,451.00M,0.27,,,,0.27,0.27,0.27,,,,0.27,0.27,581.90M,583.90M,0.6
2014-03,3.513B,3.63B,2.387B,1.243B,,,167.00M,237.00M,-237.00M,,475.00M,768.00M,237.00M,-237.00M,40.00M,-237.00M,571.00M,186.00M,385.00M,,,-6.00M,,379.00M,379.00M,1.186B,378.00M,808.00M,0.65,,,,0.65,0.65,0.65,,,,0.65,0.65,581.60M,582.90M,0.6
2013-12,3.661B,3.185B,1.961B,1.224B,,,121.00M,229.00M,-229.00M,,420.00M,804.00M,229.00M,-229.00M,43.00M,-229.00M,618.00M,183.00M,435.00M,0.00,,-4.00M,,431.00M,431.00M,1.146B,286.00M,847.00M,0.74,0.0,,,0.74,0.74,0.74,0.0,,,0.74,0.74,580.50M,581.60M,0.5625
2013-09,3.247B,3.432B,1.955B,1.477B,,,134.00M,217.00M,-217.00M,,443.00M,1.034B,217.00M,-217.00M,86.00M,-217.00M,903.00M,305.00M,598.00M,-23.00M,,-6.00M,,569.00M,592.00M,1.495B,375.00M,1.12B,1.02,-0.04,,,1.02,0.98,1.02,-0.04,,,1.02,0.98,579.40M,580.10M,0.5625
2013-06,2.849B,2.98B,1.988B,992.00M,,,141.00M,203.00M,-203.00M,,444.00M,548.00M,203.00M,-203.00M,49.00M,-203.00M,394.00M,116.00M,278.00M,-70.00M,,-6.00M,,202.00M,272.00M,960.00M,363.00M,597.00M,0.47,-0.12,,,0.47,0.35,0.47,-0.12,,,0.47,0.35,578.10M,578.90M,0.5625
2013-03,3.363B,3.523B,2.129B,1.394B,,,167.00M,228.00M,-228.00M,,464.00M,930.00M,228.00M,-228.00M,87.00M,-228.00M,789.00M,288.00M,501.00M,1.00M,,-7.00M,,495.00M,494.00M,1.383B,366.00M,1.017B,0.86,0.0,,,0.86,0.86,0.86,0.0,,,0.86,0.86,576.60M,577.50M,0.5625
2012-12,2.969B,3.101B,1.923B,1.178B,,,128.00M,198.00M,-198.00M,,417.00M,761.00M,198.00M,-198.00M,49.00M,-198.00M,612.00M,233.00M,379.00M,-1.031B,,-7.00M,,-659.00M,372.00M,1.173B,363.00M,810.00M,0.65,-1.8,,,0.65,-1.15,0.65,-1.8,,,0.65,-1.15,575.30M,576.00M,0.5275
2012-09,3.215B,3.332B,2.372B,960.00M,,,119.00M,197.00M,-197.00M,,409.00M,551.00M,197.00M,-197.00M,56.00M,-197.00M,410.00M,143.00M,267.00M,-52.00M,,-6.00M,,209.00M,261.00M,983.00M,376.00M,607.00M,0.45,-0.09,,,0.45,0.36,0.45,-0.09,,,0.45,0.36,573.80M,574.70M,0.5275
2012-06,2.854B,3.005B,1.961B,1.044B,,,141.00M,209.00M,-209.00M,,416.00M,628.00M,209.00M,-209.00M,44.00M,-209.00M,463.00M,166.00M,297.00M,-32.00M,,-7.00M,,258.00M,290.00M,1.023B,351.00M,672.00M,0.51,-0.06,,,0.51,0.45,0.51,-0.06,,,0.51,0.45,572.00M,573.10M,0.5275
2012-03,3.269B,3.397B,2.044B,1.353B,,,162.00M,212.00M,-212.00M,,435.00M,918.00M,212.00M,-212.00M,74.00M,-212.00M,780.00M,269.00M,511.00M,-10.00M,,-7.00M,,494.00M,504.00M,1.345B,353.00M,992.00M,0.88,-0.02,,,0.88,0.86,0.88,-0.02,,,0.88,0.86,570.50M,571.90M,0.5275
