,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,2.332B,2.332B,745.00M,1.587B,,29.00M,93.00M,,,550.00M,962.00M,625.00M,,,29.00M,,417.00M,145.00M,272.00M,,,-28.00M,,272.00M,253.08M,966.00M,341.00M,625.00M,0.49,0.0,,,0.4559,0.49,0.485,0.0,,,0.4512,0.485,554.60M,559.80M,0.3225
2002-03,2.634B,2.634B,963.00M,1.671B,,22.00M,114.00M,,,528.00M,960.00M,711.00M,,,22.00M,,491.00M,169.00M,322.00M,,,-31.00M,,322.00M,307.57M,1.065B,354.00M,711.00M,0.605,0.0,,,0.578,0.605,0.6,0.0,,,0.5732,0.6,533.60M,538.00M,0.3225
2001-12,2.507B,2.507B,873.00M,1.634B,,55.00M,96.00M,,,1.208B,1.643B,-9.00M,,,55.00M,,-191.00M,-74.00M,-117.00M,,,-23.00M,,-117.00M,-150.69M,340.00M,349.00M,-9.00M,-0.25,0.0,,,-0.3146,-0.25,-0.25,0.0,,,-0.3141,-0.25,521.73M,525.99M,0.3225
2001-09,2.544B,2.544B,794.00M,1.75B,,31.00M,82.00M,,,578.00M,970.00M,780.00M,,,31.00M,,561.00M,217.00M,344.00M,,,-26.00M,,344.00M,324.99M,1.116B,336.00M,780.00M,0.69,0.0,,,0.6517,0.69,0.685,0.0,,,0.647,0.685,496.60M,500.60M,0.3225
2001-06,2.309B,2.309B,797.00M,1.512B,,24.00M,96.00M,,,583.00M,994.00M,518.00M,,,24.00M,,286.00M,131.00M,155.00M,,,-25.00M,,155.00M,140.60M,833.00M,,518.00M,0.315,0.0,,,0.2859,0.315,0.31,0.0,,,0.2812,0.31,494.80M,500.00M,0.3225
2001-03,3.198B,3.198B,1.626B,1.572B,,16.00M,121.00M,,,674.00M,1.076B,496.00M,,,16.00M,,258.00M,96.00M,162.00M,,,-24.00M,,162.00M,151.95M,777.00M,,496.00M,0.33,0.0,,,0.3096,0.33,0.325,0.0,,,0.3048,0.325,492.60M,497.60M,0.3225
2000-12,2.782B,2.782B,1.285B,1.497B,,33.00M,164.00M,,,637.00M,1.131B,366.00M,,,33.00M,,134.00M,28.00M,106.00M,,0.00,,,106.00M,79.90M,710.00M,344.00M,366.00M,0.215,0.0,0.0,,0.1614,0.215,0.215,0.0,-0.0005,,0.1614,0.215,486.81M,486.81M,0.3225
2000-09,2.344B,2.344B,805.00M,1.539B,,33.00M,115.00M,,,467.00M,879.00M,660.00M,,,33.00M,,413.00M,153.00M,260.00M,,,,,260.00M,239.23M,957.00M,,660.00M,0.545,0.0,,,0.5014,0.545,0.545,0.0,,,0.5016,0.545,476.20M,479.00M,0.3225
2000-06,2.051B,2.051B,738.00M,1.313B,,18.00M,108.00M,,,836.00M,1.242B,71.00M,,,18.00M,,-173.00M,-75.00M,-98.00M,,,-17.00M,,-98.00M,-108.80M,369.00M,,71.00M,-0.205,0.0,,,-0.2277,-0.205,-0.205,0.0,,,-0.2277,-0.205,475.60M,475.60M,0.3225
2000-03,2.069B,2.069B,771.00M,1.298B,,27.00M,98.00M,,,531.00M,880.00M,418.00M,,,27.00M,,224.00M,77.00M,147.00M,,21.00M,-20.00M,,168.00M,129.28M,669.00M,,418.00M,0.33,0.045,0.0,,0.2903,0.375,0.33,0.045,0.047,,0.2903,0.375,446.80M,446.80M,0.3225
1999-12,1.249B,1.249B,413.00M,836.00M,,268.00M,,,,307.00M,875.00M,-39.00M,,,268.00M,,75.00M,16.00M,59.00M,,,47.00M,,59.00M,-151.83M,225.00M,204.00M,-39.00M,-0.495,0.66,,-0.0118,-1.077,0.165,-0.53,0.66,,-0.0118,-1.015,0.13,362.41M,434.91M,0.3225
1999-09,1.663B,1.663B,517.00M,1.146B,,-73.00M,,,,375.00M,562.00M,584.00M,,,-73.00M,,358.00M,123.00M,235.00M,,,-21.00M,,235.00M,282.92M,782.00M,198.00M,584.00M,0.615,0.0,,,0.7404,0.615,0.615,0.0,,,0.7404,0.615,382.11M,382.11M,0.3225
1999-06,1.315B,1.315B,441.00M,874.00M,,15.00M,,,,402.00M,574.00M,300.00M,,,15.00M,,175.00M,55.00M,120.00M,,,-4.00M,,120.00M,109.71M,495.00M,195.00M,300.00M,0.315,0.0,,,0.2882,0.315,0.315,0.0,,,0.2882,0.315,384.00M,384.00M,0.3225
1999-03,1.293B,1.293B,430.00M,863.00M,,24.00M,,,,365.00M,541.00M,322.00M,,,24.00M,,204.00M,66.00M,138.00M,,,-6.00M,,-117.00M,121.76M,523.00M,201.00M,322.00M,0.355,-0.66,,-0.6593,0.313,-0.305,0.355,-0.66,,-0.6593,0.313,-0.305,386.80M,386.80M,0.3225
1998-12,1.178B,1.178B,-247.30M,1.425B,,357.50M,63.40M,,,1.304B,1.555B,-129.60M,,,357.50M,,91.40M,36.80M,54.60M,,,-2.50M,,54.60M,-159.90M,58.20M,,-129.60M,0.17,0.0,,,-0.4315,0.17,0.17,0.0,,,-0.4315,0.17,356.59M,356.59M,0.3225
1998-09,1.544B,1.544B,501.80M,1.042B,,40.50M,91.10M,,,-11.70M,274.60M,767.90M,,,40.50M,,659.40M,234.90M,424.50M,,,-6.00M,,424.50M,398.43M,963.10M,,767.90M,1.085,0.0,,,1.018,1.085,1.085,0.0,,,1.018,1.085,391.24M,391.24M,0.3225
1998-06,1.585B,1.585B,741.40M,843.80M,,18.10M,77.30M,,,503.20M,776.70M,67.10M,,,18.10M,,-114.90M,-32.20M,-82.70M,,,-7.00M,,-82.70M,-95.73M,263.30M,,67.10M,-0.21,0.0,,,-0.2431,-0.21,-0.21,0.0,,,-0.2431,-0.21,393.81M,393.81M,0.3225
