,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2010-09,292.00M,,,-18.00M,-129.00M,-147.00M,116.00M,116.00M,,,,-5.00M,11.00M,-3.00M,50.00M,19.00M,-2.00M,75.00M,,331.00M,,-65.00M,18.00M,-47.00M,0.00,36.00M,6.00M,-5.00M,,0.00,7.00M,7.00M,27.00M,-170.00M,-143.00M,,-93.00M,11.00M,-218.00M,,784.00M,108.00M,38.00M,930.00M,,27.00M,0.00,7.00M,-170.00M,,,,AOR,Restated
2010-06,360.00M,,,-14.00M,9.00M,-5.00M,115.00M,115.00M,,,,-147.00M,-176.00M,-15.00M,242.00M,8.00M,39.00M,98.00M,,421.00M,,-48.00M,1.00M,-47.00M,-2.00M,0.00,-5.00M,-54.00M,,0.00,-50.00M,-50.00M,22.00M,-105.00M,-83.00M,,-118.00M,,-251.00M,,689.00M,116.00M,-21.00M,784.00M,,22.00M,-2.00M,-48.00M,-105.00M,,,,AOR,Restated
2010-03,,,,-3.00M,24.00M,21.00M,121.00M,121.00M,,,,105.00M,-230.00M,-83.00M,69.00M,-29.00M,-28.00M,-301.00M,,-54.00M,,-45.00M,8.00M,-37.00M,-16.00M,-40.00M,,-93.00M,,0.00,-155.00M,-155.00M,20.00M,0.00,20.00M,,-90.00M,,-225.00M,,1.057B,-372.00M,4.00M,689.00M,,20.00M,2.00M,-157.00M,0.00,,,,AOR,Restated
2009-12,,,,,,,,,,,,,,,,,,,,585.00M,,-87.00M,21.00M,-66.00M,-2.00M,-19.00M,22.00M,-65.00M,,-232.00M,-178.00M,-810.00M,12.00M,,-47.00M,,-139.00M,634.00M,-362.00M,,898.00M,158.00M,1.00M,1.057B,,12.00M,415.00M,-825.00M,,,,,AOR,Restated
2009-09,,,,,,,,,,,,,,,,,,,,654.00M,,-49.00M,5.00M,-44.00M,-3.00M,0.00,41.00M,-6.00M,,15.00M,-711.00M,-296.00M,,,,,-107.00M,-421.00M,-824.00M,,1.052B,-176.00M,22.00M,898.00M,,,15.00M,-711.00M,,,,,AOR,Restated
2009-06,,,,,,,,,,,,,,,,,,,,397.00M,,-52.00M,16.00M,-36.00M,-10.00M,2.00M,0.00,-44.00M,,-26.00M,-155.00M,-181.00M,,,,,-97.00M,421.00M,143.00M,,531.00M,496.00M,25.00M,1.052B,,,-27.00M,-154.00M,,,,,AOR,Restated
2009-03,,,,,,,,,,,,,,,,,,,,-291.00M,,-51.00M,1.00M,-50.00M,-11.00M,17.00M,-44.00M,-88.00M,,26.00M,-19.00M,7.00M,0.00,,0.00,,-87.00M,,-80.00M,,1.021B,-459.00M,-31.00M,531.00M,,0.00,27.00M,-20.00M,,,,,AOR,Restated
2008-12,,,,,,,,,,,,,,,,,,,,569.00M,,-148.00M,13.00M,-135.00M,-43.00M,-1.667B,,66.00M,,-2.867B,2.855B,-12.00M,0.00,-1.00M,-1.00M,-108.00M,-108.00M,,-121.00M,,516.00M,514.00M,-9.00M,1.021B,,0.00,-18.00M,6.00M,-1.00M,,,,AOR,Restated
2008-09,,,,,,,,,,,,,,,,,,,,466.00M,,-89.00M,3.00M,-86.00M,179.00M,-30.00M,,63.00M,,22.00M,-185.00M,-163.00M,5.00M,0.00,5.00M,-100.00M,-100.00M,,-258.00M,,266.00M,271.00M,-21.00M,516.00M,,5.00M,53.00M,-216.00M,0.00,,,,,Restated
2008-06,,,,,,,,,,,,,,,,,,,,353.00M,,-84.00M,15.00M,-69.00M,-13.00M,0.00,,-82.00M,,-152.00M,-26.00M,-178.00M,1.00M,1.00M,2.00M,-214.00M,-129.00M,,-305.00M,,298.00M,-34.00M,2.00M,266.00M,,1.00M,36.00M,-214.00M,1.00M,,,,,Restated
2008-03,,,,,,,,,,,,,,,,,,,,49.00M,,-62.00M,14.00M,-48.00M,-1.571B,1.697B,,78.00M,,1.323B,-1.611B,-288.00M,7.00M,-7.00M,0.00,,-85.00M,,-373.00M,,526.00M,-246.00M,18.00M,298.00M,,7.00M,2.979B,-3.267B,-7.00M,,,,,Restated
2007-12,222.00M,,,,,,,,,,,,,,,,36.00M,-196.00M,-45.00M,449.00M,,-119.00M,,-51.00M,-21.00M,,-1.70B,-1.721B,,,,1.652B,7.00M,-4.00M,3.00M,,-85.00M,,1.57B,,227.00M,298.00M,1.00M,526.00M,,7.00M,,,-4.00M,,,,,Restated
2007-09,192.00M,,,,,,,,,,,,,,,,83.00M,83.00M,47.00M,322.00M,,-61.00M,,-61.00M,-40.00M,,2.00M,-112.00M,,,,-40.00M,48.00M,-93.00M,-45.00M,,-85.00M,,-170.00M,,181.00M,40.00M,6.00M,227.00M,,48.00M,,,-93.00M,,,,,
2007-06,266.00M,,,,,,,,,,,,,,,,86.00M,86.00M,-27.00M,325.00M,,-90.00M,,-90.00M,-24.00M,,0.00,-114.00M,,,,-77.00M,80.00M,-121.00M,-41.00M,,-83.00M,,-201.00M,,168.00M,10.00M,3.00M,181.00M,,80.00M,,,-121.00M,,,,,
2007-03,176.00M,,,,,,,,,,,,,,,,-302.00M,-302.00M,26.00M,-100.00M,,-94.00M,,-94.00M,-148.00M,,-18.00M,-260.00M,,,,163.00M,59.00M,-56.00M,3.00M,,-82.00M,,84.00M,,443.00M,-276.00M,1.00M,168.00M,,59.00M,,,-56.00M,,,,,
2006-12,157.00M,,,,,,,,,,,,,,,,96.00M,-13.00M,-98.00M,465.00M,,-154.00M,48.00M,-106.00M,-17.00M,0.00,-32.00M,-132.00M,,,,-37.00M,31.00M,-102.00M,-71.00M,,-79.00M,,-191.00M,,309.00M,142.00M,7.00M,455.00M,,31.00M,,,-102.00M,,,,,
2006-09,90.00M,,,,,,,,,,,,,,,,144.00M,144.00M,98.00M,332.00M,,-67.00M,-33.00M,-100.00M,-247.00M,0.00,29.00M,-341.00M,,,,-28.00M,7.00M,-3.00M,4.00M,,-80.00M,,-104.00M,,419.00M,-113.00M,0.00,309.00M,,7.00M,,,-3.00M,,,,,
2006-06,280.00M,,,,,,,,,,,,,,,,18.00M,18.00M,,298.00M,,-72.00M,11.00M,-61.00M,-121.00M,0.00,0.00,-182.00M,,,,-18.00M,21.00M,-48.00M,-27.00M,,-79.00M,,-124.00M,,416.00M,-8.00M,11.00M,419.00M,,21.00M,,,-48.00M,,,,,
2006-03,184.00M,,,,,,,,,,,,,,,,-149.00M,-149.00M,,35.00M,,-79.00M,22.00M,-57.00M,-17.00M,0.00,67.00M,-7.00M,,,,-12.00M,8.00M,,8.00M,,-78.00M,,-82.00M,,466.00M,-54.00M,4.00M,416.00M,,8.00M,,,,,,,,
2005-12,113.00M,,,,,,,,,,,,,,,,-233.00M,-261.00M,,349.00M,,-94.00M,6.00M,-88.00M,-58.00M,0.00,,-213.00M,,,,9.00M,10.00M,-106.00M,-96.00M,,-78.00M,,-155.00M,,489.00M,-19.00M,-4.00M,466.00M,,10.00M,,,-106.00M,,,,,
2005-09,157.00M,,,,,,,,,,,,,,,,289.00M,289.00M,,446.00M,,-64.00M,5.00M,-59.00M,-8.00M,0.00,,-67.00M,,,,-95.00M,2.00M,-189.00M,-187.00M,,-79.00M,,-361.00M,,470.00M,18.00M,1.00M,489.00M,,2.00M,,,-189.00M,,,,,
2005-06,231.00M,,,,,,,,,,,,,,,,-101.00M,-101.00M,,130.00M,,-61.00M,9.00M,-52.00M,-25.00M,38.00M,,-39.00M,,,,29.00M,13.00M,-202.00M,-189.00M,,-81.00M,,-241.00M,,640.00M,-150.00M,-20.00M,470.00M,,13.00M,,,-202.00M,,,,,
2005-03,95.00M,,,,,,,,,,,,,,,,45.00M,45.00M,,140.00M,,-69.00M,11.00M,-58.00M,,12.00M,,-46.00M,,,,-35.00M,123.00M,-110.00M,13.00M,,-78.00M,,-100.00M,,659.00M,-6.00M,-13.00M,640.00M,,123.00M,,,-110.00M,,,,,
2004-12,183.00M,,,,,,,,,,,,,,,,-212.00M,-267.00M,,306.00M,,-87.00M,51.00M,-36.00M,0.00,,-56.00M,-92.00M,,,,-10.00M,69.00M,-92.00M,-23.00M,,-77.00M,,-97.00M,,561.00M,117.00M,31.00M,709.00M,,69.00M,,,-92.00M,,,,,
2004-09,202.00M,,,,,,,,,,,,,,,,159.00M,159.00M,,361.00M,,-47.00M,-39.00M,-86.00M,-2.00M,154.00M,56.00M,122.00M,,,,-301.00M,15.00M,0.00,15.00M,,-77.00M,,-363.00M,,429.00M,120.00M,12.00M,561.00M,,15.00M,,,0.00,,,,,
2004-06,179.00M,,,,,,,,,,,,,,,,42.00M,42.00M,,221.00M,,-57.00M,27.00M,-30.00M,-3.00M,-84.00M,,-117.00M,,,,-5.00M,17.00M,-2.00M,15.00M,,-78.00M,,-68.00M,,396.00M,36.00M,-3.00M,429.00M,,17.00M,,,-2.00M,,,,,
2004-03,119.00M,,,,,,,,,,,,,,,,11.00M,11.00M,,130.00M,,-53.00M,12.00M,-41.00M,-62.00M,-70.00M,,-173.00M,,,,4.00M,20.00M,-6.00M,14.00M,,-75.00M,,-57.00M,,499.00M,-100.00M,-3.00M,396.00M,,20.00M,,,-6.00M,,,,,
2003-12,122.00M,,,,,,,,,,,,,,,,-398.00M,-187.00M,,353.00M,,-71.00M,,-17.00M,,,-42.00M,-62.00M,,,,-69.00M,32.00M,,32.00M,,-75.00M,25.00M,-87.00M,,283.00M,204.00M,12.00M,499.00M,,32.00M,,,,,,,,
2003-09,142.00M,,,,,,,,,,,,,,,,216.00M,216.00M,,358.00M,,-41.00M,,-41.00M,,,29.00M,-12.00M,,,,-170.00M,25.00M,,25.00M,,-73.00M,,-218.00M,,153.00M,128.00M,2.00M,283.00M,,25.00M,,,,,,,,
2003-06,152.00M,,,,,,,,,,,,,,,,147.00M,147.00M,,299.00M,,-44.00M,,-44.00M,,,12.00M,-32.00M,,,,-114.00M,1.00M,,1.00M,,-73.00M,-8.00M,-194.00M,,77.00M,73.00M,3.00M,153.00M,,1.00M,,,,,,,,
2003-03,78.00M,,,,,,,,,,,,,,,,35.00M,35.00M,,113.00M,,-61.00M,,-61.00M,,,1.00M,-60.00M,,,,-32.00M,3.00M,,3.00M,,-73.00M,8.00M,-94.00M,,117.00M,-41.00M,1.00M,77.00M,,3.00M,,,,,,,,
2002-12,94.00M,,,,,,,,,,,,,,,,-755.00M,-775.00M,,280.00M,,-102.00M,,-54.00M,-10.00M,,-40.00M,-104.00M,,,,-158.00M,1.00M,,1.00M,,-72.00M,5.00M,-224.00M,,163.00M,-48.00M,2.00M,117.00M,,1.00M,,,,,,,,
2002-09,148.00M,,,,,,,,,,,,,,,,83.00M,83.00M,,231.00M,,-45.00M,,-45.00M,-3.00M,,34.00M,-14.00M,,,,-132.00M,11.00M,,11.00M,,-73.00M,4.00M,-190.00M,,136.00M,27.00M,0.00,163.00M,,11.00M,,,,,,,,
2002-06,-345.00M,,,,,,,,,,,,,,,,658.00M,658.00M,,313.00M,,-44.00M,,-44.00M,0.00,,5.00M,-39.00M,,,,-163.00M,15.00M,,15.00M,,-71.00M,6.00M,-213.00M,,72.00M,61.00M,3.00M,136.00M,,15.00M,,,,,,,,
2002-03,34.00M,,,,,,,,,,,,,,,,14.00M,14.00M,,48.00M,,-47.00M,,-47.00M,-9.00M,,1.00M,-55.00M,,,,30.00M,5.00M,,5.00M,,-71.00M,8.00M,-28.00M,,108.00M,-35.00M,-1.00M,72.00M,,5.00M,,,,,,,,
2001-12,83.00M,,,,,,,,,,,,,,,,-443.00M,-339.00M,,294.00M,,-68.00M,33.00M,-35.00M,-2.00M,,,-37.00M,,,,-237.00M,6.00M,,1.00M,,-71.00M,,-307.00M,,159.00M,-50.00M,-1.00M,108.00M,,6.00M,,,,,,,,
2001-09,93.00M,,,,,,,,,,,,,,,,282.00M,282.00M,,375.00M,,-97.00M,23.00M,-74.00M,0.00,,-10.00M,-84.00M,,,,-190.00M,-1.00M,,-1.00M,,-71.00M,10.00M,-252.00M,,118.00M,39.00M,2.00M,159.00M,,-1.00M,,,,,,,,
2001-06,155.00M,,,,,,,,,,,,,,,,186.00M,186.00M,,341.00M,,-69.00M,,-69.00M,0.00,,12.00M,-57.00M,,,,-171.00M,8.00M,,8.00M,,-70.00M,-10.00M,-243.00M,,78.00M,41.00M,-1.00M,118.00M,,8.00M,,,,,,,,
2001-03,56.00M,,,,,,,,,,,,,,,,-6.00M,-6.00M,,50.00M,,-57.00M,,-57.00M,-8.00M,,-2.00M,-67.00M,,,,57.00M,,,,,-71.00M,,-14.00M,,111.00M,-31.00M,-2.00M,78.00M,,,,,,,,,,
2000-12,126.00M,,,,,,,,,,,,,,,,-119.00M,-368.00M,,258.00M,,-228.00M,24.00M,-204.00M,-1.00M,,-1.00M,-206.00M,,,,73.00M,48.00M,-129.00M,-81.00M,,-68.00M,,-76.00M,,135.00M,-24.00M,0.00,111.00M,,48.00M,,,-129.00M,,,,,
2000-09,150.00M,,,,,,,,,,,,,,,,99.00M,99.00M,,249.00M,,-101.00M,-7.00M,-108.00M,-5.00M,,1.00M,-112.00M,,,,44.00M,-3.00M,-118.00M,-121.00M,,-69.00M,,-146.00M,,144.00M,-9.00M,0.00,135.00M,,-3.00M,,,-118.00M,,,,,
2000-06,205.00M,,,,,,,,,,,,,,,,68.00M,68.00M,,273.00M,,-114.00M,12.00M,-102.00M,-3.00M,,,-105.00M,,,,-101.00M,1.00M,,1.00M,,-69.00M,,-169.00M,,145.00M,-1.00M,0.00,144.00M,,1.00M,,,,,,,,
2000-03,139.00M,,,,,,,,,,,,,,,,-49.00M,-49.00M,,90.00M,,-118.00M,11.00M,-107.00M,-106.00M,,,-213.00M,,,,181.00M,2.00M,,2.00M,,-70.00M,,113.00M,,158.00M,-10.00M,-3.00M,145.00M,,2.00M,,,,,,,,
1999-12,162.00M,,,,,,,,,,,,,,,,-311.00M,-479.00M,,184.00M,,-154.00M,2.00M,-152.00M,-53.00M,,,-205.00M,,,,79.00M,,-8.00M,1.00M,,-66.00M,,14.00M,,164.00M,-7.00M,1.00M,158.00M,,,,,-8.00M,,,,,
1999-09,99.00M,,,,,,,,,,,,,,,,230.00M,230.00M,,329.00M,,-130.00M,187.00M,57.00M,-1.177B,-16.00M,-19.00M,-1.155B,,,,958.00M,,2.00M,2.00M,,-66.00M,,894.00M,,96.00M,68.00M,0.00,164.00M,,,,,2.00M,,,,,
1999-06,184.00M,,,,,,,,,,,,,,,,80.00M,80.00M,,264.00M,,-86.00M,,-86.00M,-24.00M,4.00M,8.00M,-98.00M,,,,-89.00M,,3.00M,3.00M,,-66.00M,,-152.00M,,82.00M,14.00M,0.00,96.00M,,,,,3.00M,,,,,
1999-03,123.00M,,,,,,,,,,,,,,,,2.00M,2.00M,,125.00M,,-120.00M,,-120.00M,-89.00M,12.00M,11.00M,-186.00M,,,,162.00M,,-79.00M,-79.00M,,-66.00M,,17.00M,,128.00M,-44.00M,-2.00M,82.00M,,,,,-79.00M,,,,,
1998-12,162.00M,,,,,,,,,,,,,,,,-104.00M,-264.00M,,227.00M,,-155.00M,18.00M,-137.00M,-192.00M,-15.00M,-11.00M,-355.00M,,,,180.00M,,-147.00M,-125.00M,,-64.00M,,-9.00M,,264.00M,-137.00M,1.00M,128.00M,,,,,-147.00M,,,,,
1998-09,248.00M,,,,,,,,,,,,,,,,5.00M,5.00M,,253.00M,,-47.00M,278.00M,231.00M,-198.00M,12.00M,4.00M,49.00M,,,,-122.00M,,-3.00M,-3.00M,,-64.00M,,-189.00M,,151.00M,113.00M,0.00,264.00M,,,,,-3.00M,,,,,
1998-06,199.00M,,,,,,,,,,,,,,,,44.00M,44.00M,,243.00M,,-105.00M,,-105.00M,,2.00M,6.00M,-97.00M,,,,-44.00M,,-26.00M,-26.00M,,-64.00M,,-134.00M,,141.00M,12.00M,-2.00M,151.00M,,,,,-26.00M,,,,,
1998-03,192.00M,,,,,,,,,,,,,,,,27.00M,27.00M,,219.00M,,-180.00M,,-180.00M,,1.00M,1.00M,-178.00M,,,,72.00M,,-41.00M,-41.00M,,-60.00M,,-29.00M,,129.00M,12.00M,,141.00M,,,,,-41.00M,,,,,
1997-12,159.00M,,,,,,,,,,,,,,,,-145.00M,-292.00M,,283.00M,,-131.00M,,115.00M,,-22.00M,-3.00M,-273.00M,,,,126.00M,,-49.00M,-35.00M,,-60.00M,,31.00M,,90.00M,41.00M,-2.00M,129.00M,,,,,-49.00M,,,,,
1997-09,171.00M,,,,,,,,,,,,,,,,115.00M,115.00M,,286.00M,,-137.00M,,-137.00M,,0.00,-1.00M,-138.00M,,,,-11.00M,,-92.00M,-92.00M,,-60.00M,,-163.00M,,105.00M,-15.00M,0.00,90.00M,,,,,-92.00M,,,,,
1997-06,218.00M,,,,,,,,,,,,,,,,56.70M,56.70M,,274.70M,,-94.80M,,-94.80M,,19.30M,2.30M,-73.20M,,,,-38.30M,,-108.20M,-108.20M,,-58.80M,,-205.30M,,109.50M,-3.80M,-1.10M,105.00M,,,,,-108.20M,,,,,
1997-03,166.00M,,,,,,,,,,,,,,,,-2.70M,-2.70M,,163.30M,,-103.20M,,-103.20M,,2.70M,1.70M,-98.80M,,,,131.30M,,-93.80M,-93.80M,,-60.20M,,-22.70M,,69.60M,41.80M,-1.90M,109.50M,,,,,-93.80M,,,,,
1996-12,152.10M,,,,,,,,,,,,,,,,-127.70M,-207.70M,,307.40M,,-146.50M,,-126.50M,,-14.30M,-1.80M,-155.60M,,,,69.20M,,-224.30M,-197.30M,,-59.10M,,-187.20M,,104.40M,-35.40M,0.60M,70.00M,,,,,-224.30M,,,,,
1996-09,191.10M,,,,,,,,,,,,,,,,198.80M,198.80M,,389.90M,,-107.30M,,-107.30M,,2.00M,0.80M,-104.50M,,,,-183.30M,,-60.00M,-60.00M,,-59.70M,,-303.00M,,121.90M,-17.60M,0.10M,104.40M,,,,,-60.00M,,,,,
1996-06,228.50M,,,,,,,,,,,,,,,,-57.50M,-57.50M,,171.00M,,-105.60M,,-105.60M,,1.90M,0.70M,-103.00M,,,,184.80M,,-159.30M,-159.30M,,-60.40M,,-34.90M,,89.00M,33.10M,-0.20M,121.90M,,,,,-159.30M,,,,,
1996-03,172.30M,,,,,,,,,,,,,,,,-32.60M,-32.60M,,139.70M,,-116.60M,,-116.60M,,10.40M,0.30M,-105.90M,,,,199.30M,,-191.40M,-191.40M,,-57.80M,,-49.90M,,105.60M,-16.10M,-0.50M,89.00M,,,,,-191.40M,,,,,
1995-12,161.60M,,,,,,,,,,,,,,,,-172.20M,-173.20M,,340.40M,,-163.80M,,15.20M,,-129.10M,-22.80M,-142.70M,,,,40.70M,,-199.70M,-191.70M,,-58.90M,,-209.90M,,118.30M,-12.20M,,106.00M,,,,,-199.70M,,,,,
1995-09,170.40M,,,,,,,,,,,,,,,,99.00M,99.00M,,269.40M,,-119.70M,,-119.70M,,12.10M,9.80M,-97.80M,,,,174.60M,,-269.20M,-269.20M,,-62.30M,,-156.90M,,100.60M,14.70M,3.00M,118.30M,,,,,-269.20M,,,,,
1995-06,216.80M,,,,,,,,,,,,,,,,64.00M,64.00M,,280.80M,,-89.50M,,-89.50M,,18.30M,7.00M,-64.20M,,,,-37.40M,,-89.30M,-89.30M,,-58.00M,,-184.70M,,73.20M,31.90M,-4.50M,100.60M,,,,,-89.30M,,,,,
1995-03,219.20M,,,,,,,,,,,,,,,,-37.80M,-37.80M,,181.40M,,-75.00M,,-75.00M,,98.70M,6.00M,29.70M,,,,-111.90M,,-29.80M,-29.80M,,-59.80M,,-201.50M,,62.10M,9.60M,1.50M,73.20M,,,,,-29.80M,,,,,
1994-12,151.00M,,,,,,,,,,,,,,,,-57.80M,-224.10M,,188.10M,,-97.80M,,12.50M,,,-83.30M,-104.70M,,,,82.70M,,-227.00M,-207.60M,,-61.40M,,-186.30M,,165.70M,-102.90M,-0.70M,62.10M,,,,,-227.00M,,,,,
1994-09,145.50M,,,,,,,,,,,,,,,,116.50M,116.50M,,262.00M,,-87.20M,,-87.20M,,,74.30M,-12.90M,,,,-81.10M,,3.70M,3.70M,,-59.50M,,-136.90M,,52.50M,112.20M,1.00M,165.70M,,,,,3.70M,,,,,
1994-06,96.20M,,,,,,,,,,,,,,,,61.30M,61.30M,,157.50M,,-50.70M,,-50.70M,,,5.60M,-45.10M,,,,-118.70M,,0.40M,0.40M,,-59.50M,,-177.80M,,116.90M,-65.40M,1.00M,52.50M,,,,,0.40M,,,,,
1994-03,121.90M,,,,,,,,,,,,,,,,-38.40M,-38.40M,,83.50M,,-86.10M,,-86.10M,,,3.40M,-82.70M,,,,117.90M,,-57.10M,-57.10M,,-57.40M,,3.40M,,111.90M,4.20M,0.80M,116.90M,,,,,-57.10M,,,,,
1993-12,53.90M,,,,,,99.40M,99.40M,,,,-3.00M,,,,,,,,272.90M,,-36.80M,,15.20M,,,-71.70M,-56.50M,,,,-66.10M,-3.40M,-57.40M,-60.80M,,-57.30M,,-164.50M,,0.00,51.90M,-1.30M,111.90M,,-3.40M,,,-57.40M,,,,,
1993-09,24.80M,,,,,,82.20M,82.20M,,,,112.50M,,,,,,,,219.50M,,-50.40M,,-50.40M,,,-0.20M,-50.60M,,,,-102.20M,3.80M,-5.50M,-1.70M,,-57.30M,,-161.20M,,0.00,7.70M,-0.30M,0.00,,3.80M,,,-5.50M,,,,,
1993-06,106.20M,,,,,,84.00M,84.00M,,,,-45.40M,,,,,,,,144.80M,,-62.60M,,-62.60M,,,39.20M,-23.40M,,,,-100.10M,12.80M,-16.10M,-3.30M,,-53.20M,,-156.60M,,0.00,-35.20M,-0.30M,0.00,,12.80M,,,-16.10M,,,,,
1993-03,110.10M,,,,,,84.60M,84.60M,,,,-91.20M,,,,,,,,103.50M,,-107.80M,,-107.80M,,,1.80M,-106.00M,,,,85.60M,,-2.20M,-2.20M,,-53.00M,,30.40M,,61.40M,27.90M,0.10M,0.00,,,,,-2.20M,,,,,
1992-12,67.90M,,,,,,107.50M,107.50M,,,,34.60M,,,,,,,,208.20M,,-99.40M,,-99.40M,,,4.80M,-94.60M,,,,-111.30M,,-0.80M,27.30M,,-53.20M,6.30M,-130.90M,,0.00,-17.30M,-2.00M,0.00,,,,,-0.80M,,,,,
1992-09,66.00M,,,,,,88.40M,88.40M,,,,-45.20M,,,,,,,,109.20M,,-72.00M,,-72.00M,,,10.30M,-61.70M,,,,-10.40M,,-3.80M,-3.80M,,-48.70M,10.10M,-52.80M,,0.00,-5.30M,0.40M,0.00,,,,,-3.80M,,,,,
1992-06,106.70M,,,,,,88.20M,88.20M,,,,68.80M,,,,,,,,263.70M,,-52.30M,,-52.30M,,,1.70M,-50.60M,,,,-141.10M,,-6.50M,-6.50M,,-48.80M,-2.20M,-198.60M,,0.00,14.50M,-1.00M,0.00,,,,,-6.50M,,,,,
1992-03,78.80M,,,,,,89.10M,89.10M,,,,-78.80M,,,,,,,,89.10M,,-58.60M,,-58.60M,,,9.40M,-49.20M,,,,55.50M,,-15.50M,-15.50M,,-48.90M,2.20M,-6.70M,,37.60M,33.20M,1.30M,0.00,,,,,-15.50M,,,,,
1991-12,31.50M,,,,,,111.80M,111.80M,,,,229.60M,,,,,,,,193.30M,,-96.00M,,-78.20M,,,-51.40M,-86.90M,,,,-90.50M,,-2.10M,7.70M,,-48.80M,5.40M,-126.20M,,0.00,-19.80M,1.90M,0.00,,,,,-2.10M,,,,,
1991-09,68.90M,,,,,,87.00M,87.00M,,,,55.80M,,,,,,,,211.70M,,-60.30M,,-60.30M,,,21.70M,-38.60M,,,,-134.50M,,-5.40M,-5.40M,,-44.60M,4.60M,-179.90M,,0.00,-6.80M,1.30M,0.00,,,,,-5.40M,,,,,
1991-06,79.10M,,,,,,86.80M,86.80M,,,,-65.50M,,,,,,,,100.40M,,-87.60M,,-87.60M,,,19.80M,-67.80M,,,,6.00M,,0.00,0.00,,-44.60M,4.60M,-34.00M,,0.00,-1.40M,-0.60M,0.00,,,,,0.00,,,,,
1991-03,21.90M,,,,,,87.20M,87.20M,,,,-135.60M,,,,,,,,-26.50M,,-91.50M,,-91.50M,,,9.90M,-81.60M,,,,164.30M,,-7.70M,-7.70M,,-44.60M,1.20M,113.20M,,59.30M,5.10M,-1.40M,0.00,,,,,-7.70M,,,,,
1990-12,101.40M,,,,,,104.60M,104.60M,,,,51.60M,,,,,,,,348.30M,,-159.10M,6.90M,-152.20M,,,0.00,-126.70M,,,,-126.10M,,-1.20M,1.60M,,-44.50M,4.60M,-164.40M,,0.00,57.20M,-1.90M,0.00,,,,,-1.20M,,,,,
1990-09,107.10M,,,,,,82.80M,82.80M,,,,33.40M,,,,,,,,223.30M,,-181.10M,5.90M,-175.20M,,,0.00,-175.20M,,,,7.10M,,-59.00M,-59.00M,,-44.80M,5.20M,-91.50M,,0.00,-43.40M,0.00,0.00,,,,,-59.00M,,,,,
1990-06,141.00M,,,,,,79.70M,79.70M,,,,-27.10M,,,,,,,,193.60M,,-86.60M,2.80M,-83.80M,,,0.00,-83.80M,,,,-19.20M,,-35.40M,-35.40M,,-45.30M,5.30M,-94.60M,,0.00,15.20M,-0.80M,0.00,,,,,-35.40M,,,,,
1990-03,125.30M,,,,,,77.70M,77.70M,,,,-54.90M,,,,,,,,148.10M,,-97.20M,7.90M,-89.30M,,,-13.00M,-102.30M,,,,5.10M,,-40.30M,-40.30M,,-41.30M,-1.60M,-78.10M,,64.60M,-32.30M,0.70M,0.00,,,,,-40.30M,,,,,
