,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.826B,96.00M,1.922B,2.726B,,2.726B,,,,,1.735B,,,5.063B,6.798B,,,,,,,,,,,,,,,,,,,,,,,,3.777B,,,,180.00M,180.00M,1.039B,4.816B,,,,,,,,,,,,,,,,,,,,,,AOR,
2020-09,2.008B,87.00M,2.095B,2.843B,,2.843B,475.00M,188.00M,1.009B,,1.672B,,,392.00M,7.002B,,,,,8.007B,,8.007B,-4.281B,3.726B,4.419B,1.93B,6.349B,267.00M,257.00M,699.00M,11.30B,18.30B,,,,,,,3.482B,,675.00M,675.00M,174.00M,849.00M,282.00M,4.613B,4.828B,670.00M,5.498B,436.00M,436.00M,,1.364B,114.00M,965.00M,8.263B,12.88B,,969.00M,19.32B,980.00M,13.18B,,,-2.788B,5.31B,,AOR,
2020-06,2.252B,45.00M,2.297B,2.673B,,2.673B,502.00M,192.00M,1.012B,,1.706B,,,401.00M,7.077B,,,,,7.867B,,7.867B,-4.176B,3.691B,4.307B,1.916B,6.223B,251.00M,188.00M,740.00M,11.09B,18.17B,,,,,,,3.055B,,1.688B,1.688B,171.00M,1.859B,320.00M,5.234B,4.613B,669.00M,5.282B,397.00M,397.00M,,1.383B,106.00M,936.00M,7.998B,13.23B,,969.00M,19.01B,962.00M,13.18B,,,-2.925B,4.832B,,AOR,
2020-03,1.886B,50.00M,1.936B,2.804B,,2.804B,517.00M,204.00M,1.138B,,1.859B,,,467.00M,7.066B,,,,,7.712B,,7.712B,-4.065B,3.647B,4.243B,1.918B,6.161B,245.00M,183.00M,762.00M,11.00B,18.06B,,,,,,,3.367B,,1.456B,1.456B,166.00M,1.622B,206.00M,5.195B,4.751B,627.00M,5.378B,399.00M,399.00M,,1.393B,114.00M,862.00M,8.032B,13.23B,,969.00M,19.03B,954.00M,13.19B,,,-3.042B,4.723B,,AOR,
2019-12,1.216B,57.00M,1.273B,2.479B,274.00M,2.756B,466.00M,197.00M,1.047B,,1.71B,,,431.00M,6.17B,0.00,511.00M,1.573B,3.575B,1.874B,314.00M,7.847B,-4.082B,3.765B,4.47B,2.131B,6.601B,258.00M,220.00M,694.00M,11.54B,17.71B,,2.378B,46.00M,,2.424B,987.00M,3.411B,,513.00M,513.00M,170.00M,683.00M,196.00M,4.375B,4.539B,622.00M,5.161B,452.00M,452.00M,,1.406B,119.00M,911.00M,7.93B,12.30B,,969.00M,18.91B,950.00M,13.19B,,,-2.35B,5.284B,,AOR,
2019-09,1.432B,58.00M,1.49B,3.028B,,3.028B,494.00M,207.00M,1.159B,,1.86B,,,439.00M,6.817B,,,,,7.568B,,7.568B,-3.964B,3.604B,4.335B,2.083B,6.418B,254.00M,194.00M,777.00M,11.25B,18.06B,,,,,,,3.636B,,639.00M,639.00M,162.00M,801.00M,141.00M,4.578B,4.885B,588.00M,5.473B,455.00M,455.00M,,1.243B,108.00M,960.00M,8.131B,12.71B,,969.00M,18.74B,925.00M,13.05B,,,-2.328B,5.247B,,AOR,Restated
2019-06,963.00M,53.00M,1.016B,3.332B,,3.332B,516.00M,213.00M,1.216B,,1.945B,,,414.00M,6.707B,,,,,7.623B,,7.623B,-3.963B,3.66B,4.312B,2.081B,6.393B,251.00M,199.00M,745.00M,11.25B,17.96B,,,,,,,3.746B,,654.00M,654.00M,167.00M,821.00M,139.00M,4.706B,4.845B,572.00M,5.417B,382.00M,382.00M,,1.258B,108.00M,1.005B,8.062B,12.77B,,969.00M,18.49B,913.00M,13.06B,,,-2.23B,5.079B,,AOR,Restated
2019-03,784.00M,55.00M,839.00M,3.197B,,3.197B,520.00M,211.00M,1.234B,,1.965B,,,408.00M,6.409B,,,,,7.489B,,7.489B,-3.897B,3.592B,4.103B,2.02B,6.123B,261.00M,242.00M,744.00M,10.96B,17.37B,,,,,,,3.684B,,653.00M,653.00M,168.00M,821.00M,83.00M,4.588B,4.626B,566.00M,5.192B,447.00M,447.00M,,1.269B,106.00M,865.00M,7.773B,12.36B,,969.00M,18.33B,899.00M,13.07B,,,-2.224B,4.904B,,AOR,Restated
2018-12,902.00M,61.00M,963.00M,2.505B,336.00M,2.845B,485.00M,193.00M,1.105B,,1.783B,,,370.00M,5.961B,0.00,489.00M,1.472B,3.387B,989.00M,296.00M,6.633B,-3.828B,2.805B,4.07B,1.972B,6.042B,251.00M,229.00M,727.00M,10.05B,16.02B,,2.46B,112.00M,,2.572B,971.00M,3.543B,,651.00M,651.00M,0.00,651.00M,99.00M,4.373B,4.365B,0.00,4.365B,429.00M,429.00M,,1.274B,102.00M,842.00M,6.91B,11.28B,,969.00M,18.13B,788.00M,12.96B,,,-2.30B,4.63B,,AOR,Restated
2018-09,1.103B,57.00M,1.16B,3.217B,,3.217B,536.00M,205.00M,1.221B,,1.962B,,,402.00M,6.741B,,,,,,,6.618B,-3.88B,2.738B,3.939B,2.004B,5.943B,266.00M,306.00M,724.00M,9.977B,16.72B,,,,,,,3.806B,,,15.00M,,15.00M,112.00M,3.933B,5.023B,,5.023B,460.00M,460.00M,,1.311B,98.00M,913.00M,7.707B,11.64B,,969.00M,17.99B,772.00M,12.55B,,,-2.197B,4.98B,,AOR,Restated
