,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,121.70M,,,-2.40M,,-2.40M,15.00M,19.20M,34.20M,34.20M,3.70M,,12.80M,,-0.30M,6.50M,-15.60M,,3.90M,-0.80M,,1.20M,-4.80M,167.20M,,-9.70M,,-9.70M,,0.10M,,-1.60M,-11.20M,,0.00,-142.40M,-142.40M,,0.00,0.00,-53.20M,-53.20M,12.50M,-0.80M,-183.90M,,119.80M,-27.90M,-2.60M,89.30M,,,0.00,-142.40M,0.00,72.80M,14.20M,,AOR,Restated
2018-03,157.80M,,,-2.10M,,-2.10M,16.40M,19.30M,35.70M,35.70M,-2.50M,,3.10M,,-1.00M,-11.30M,-23.50M,,1.90M,-4.70M,,,-37.60M,155.50M,,-9.90M,,-9.90M,,-49.90M,,-0.20M,-60.00M,,0.00,-17.40M,-17.40M,,-200.00M,-200.00M,-53.00M,-53.00M,16.40M,-1.60M,-255.60M,,278.90M,-160.10M,1.00M,119.80M,,,,-17.40M,-200.00M,11.00M,23.90M,,AOR,Restated
2017-12,405.60M,,,-2.90M,0.00,-2.90M,15.80M,18.00M,33.80M,33.80M,-269.90M,,3.20M,,-0.90M,30.60M,7.90M,,24.10M,16.70M,,5.00M,84.30M,257.40M,,-24.10M,,-24.10M,,0.00,,-1.00M,-25.10M,,0.00,-46.20M,-46.20M,,-100.00M,-100.00M,-47.20M,-47.20M,4.20M,-0.50M,-189.70M,,236.50M,42.60M,-0.20M,278.90M,,,0.00,-46.20M,-100.00M,55.70M,12.90M,,AOR,Restated
2017-09,133.40M,,,-2.70M,0.00,-2.70M,15.40M,17.00M,32.40M,32.40M,21.00M,,2.60M,,-0.40M,-33.50M,-3.00M,,19.90M,3.90M,,-2.50M,-15.20M,174.80M,,-10.50M,,-10.50M,,-1.025B,,-0.80M,-1.036B,,1.221B,-312.20M,909.10M,,0.00,0.00,-47.50M,-47.50M,10.60M,-16.80M,855.40M,,237.60M,-5.80M,4.70M,236.50M,,,1.219B,-309.60M,0.00,40.40M,3.60M,,AOR,Restated
2017-06,72.90M,,,-3.10M,31.70M,28.60M,14.90M,15.00M,29.90M,29.90M,1.90M,,10.30M,,-0.90M,4.40M,-8.80M,,-16.30M,-6.90M,,0.90M,-26.70M,117.80M,,-7.60M,,-7.60M,,-75.00M,,-0.40M,-83.00M,,200.00M,43.80M,243.80M,,-142.90M,-142.90M,-47.30M,-47.30M,4.60M,-0.60M,57.60M,,139.50M,92.40M,5.70M,237.60M,,,243.80M,,-142.90M,92.10M,12.80M,,AOR,Restated
2017-03,131.50M,,,-2.10M,,-2.10M,14.80M,14.50M,29.30M,29.30M,9.40M,,2.00M,,0.50M,-11.20M,-21.30M,,-8.60M,-3.50M,,3.00M,-41.60M,131.50M,,-2.80M,,-2.80M,,-160.30M,,3.80M,-159.30M,,,158.80M,158.80M,,-157.10M,-157.10M,-48.40M,-48.40M,22.70M,-0.40M,-24.40M,,187.80M,-52.20M,3.90M,139.50M,,,158.80M,,-157.10M,9.90M,4.00M,,AOR,Restated
2016-12,110.40M,,,-2.50M,0.00,-2.50M,14.70M,12.70M,27.40M,27.40M,5.10M,,1.90M,-0.60M,-2.90M,-25.90M,25.70M,,31.10M,-0.90M,,-16.00M,14.00M,160.30M,,-21.70M,,-21.70M,,-129.80M,,-0.30M,-151.80M,,0.00,196.00M,196.00M,,-200.00M,-200.00M,-45.60M,-45.60M,2.50M,0.20M,-46.90M,,232.10M,-38.40M,-5.90M,187.80M,,,68.90M,127.10M,-200.00M,53.70M,10.50M,,AOR,Restated
2016-09,124.00M,,,-2.50M,0.00,-2.50M,14.30M,11.50M,25.80M,25.80M,5.60M,,1.80M,-11.20M,-0.10M,12.90M,2.80M,,31.90M,4.90M,,-1.10M,51.40M,198.50M,,-10.30M,,-10.30M,,0.00,,1.10M,-9.20M,,0.00,-150.90M,-150.90M,,0.00,0.00,-45.70M,-45.70M,18.60M,10.90M,-167.10M,,210.80M,22.20M,-0.90M,232.10M,,,-23.80M,-127.10M,0.00,29.90M,2.10M,,AOR,Restated
2016-06,111.60M,,,-2.50M,0.00,-2.50M,14.70M,11.80M,26.50M,26.50M,6.60M,,6.50M,-10.30M,0.30M,-4.90M,-0.60M,,-16.60M,-0.20M,,0.90M,-21.40M,118.70M,,-9.30M,,-9.30M,,-0.50M,,0.30M,-9.50M,,0.00,-70.00M,-70.00M,,0.00,0.00,-45.60M,-45.60M,16.10M,10.00M,-89.50M,,194.30M,19.70M,-3.20M,210.80M,,,-70.00M,,0.00,94.80M,10.50M,,AOR,Restated
2016-03,113.00M,,,-1.70M,,-1.70M,16.00M,11.90M,27.90M,27.90M,7.60M,,5.80M,-7.90M,0.90M,5.20M,-8.70M,,36.90M,-1.70M,,-1.50M,30.20M,177.80M,,-8.50M,,-8.50M,,-175.00M,,-0.60M,-184.10M,,,93.80M,93.80M,,-200.00M,-200.00M,-46.10M,-46.10M,13.30M,2.90M,-136.10M,,330.00M,-142.40M,6.70M,194.30M,,,93.80M,,-200.00M,10.00M,2.50M,,AOR,Restated
2015-12,109.10M,,,-2.60M,0.00,-2.60M,14.20M,10.50M,24.70M,24.70M,3.60M,1.30M,1.90M,-2.20M,0.60M,53.60M,-2.00M,,12.90M,-4.70M,,-1.10M,58.70M,197.30M,,-17.10M,,-17.10M,,0.00,,-1.50M,-18.60M,,,333.40M,83.40M,,-100.00M,-100.00M,-43.90M,-43.90M,5.20M,0.60M,-54.70M,,210.60M,124.00M,-4.60M,330.00M,,,211.70M,-128.30M,-100.00M,64.10M,13.20M,,AOR,Restated
2015-09,120.40M,,,-3.50M,0.00,-3.50M,14.50M,10.40M,24.90M,24.90M,9.80M,0.50M,1.80M,-2.90M,4.30M,2.80M,-8.90M,,5.90M,1.90M,,-1.00M,0.70M,160.40M,,-10.70M,,-10.70M,,0.00,,-1.00M,-11.70M,,,-98.70M,-98.70M,,0.00,0.00,-43.90M,-43.90M,7.60M,2.60M,-132.40M,,203.20M,16.30M,-8.90M,210.60M,,,,-98.70M,0.00,33.90M,1.30M,,AOR,Restated
