,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,968.90M,983.70M,319.90M,663.80M,309.50M,,9.00M,0.50M,-8.50M,,309.50M,354.30M,0.50M,9.00M,-8.50M,3.80M,-8.50M,349.60M,77.20M,272.40M,,272.40M,272.40M,407.20M,48.60M,358.60M,,0.76,,0.76,0.76,,0.75,,0.75,0.75,,360.00M,362.00M,0.62,,AOR,
2020-08,917.30M,932.20M,307.10M,625.10M,341.10M,,9.00M,0.60M,-8.40M,,341.10M,284.00M,0.60M,9.00M,-8.40M,0.50M,-8.40M,276.10M,64.50M,211.60M,,211.60M,211.60M,334.70M,49.60M,285.10M,,0.59,,0.59,0.59,,0.59,,0.59,0.59,,359.10M,361.30M,0.62,,AOR,
2020-05,889.80M,915.10M,291.70M,623.40M,323.80M,,9.10M,1.40M,-7.70M,,323.80M,299.60M,1.40M,9.10M,-7.70M,-0.30M,-7.70M,291.60M,70.90M,220.70M,,220.70M,220.70M,352.40M,51.70M,300.70M,,0.62,,0.62,0.62,,0.61,,0.61,0.61,,358.50M,360.70M,0.62,,AOR,
2020-02,1.122B,1.143B,340.30M,802.40M,332.30M,,9.30M,3.10M,-6.20M,,332.30M,470.10M,3.10M,9.30M,-6.20M,0.30M,-6.20M,464.20M,109.70M,354.50M,,354.50M,354.50M,523.60M,50.10M,473.50M,,0.99,,0.99,0.99,,0.98,,0.98,0.98,,358.50M,361.00M,0.62,,AOR,
2019-11,970.80M,990.70M,323.40M,667.30M,325.60M,,10.10M,3.30M,-6.80M,,325.60M,341.70M,3.30M,10.10M,-6.80M,2.10M,-6.80M,337.00M,78.30M,258.70M,,258.70M,258.70M,402.10M,55.00M,347.10M,,0.72,,0.72,0.72,,0.72,,0.72,0.72,,358.10M,360.60M,0.62,,AOR,Restated
2019-08,971.50M,992.00M,325.40M,666.60M,317.50M,,10.30M,4.50M,-5.80M,,317.50M,349.10M,4.50M,10.30M,-5.80M,1.00M,-5.80M,344.30M,80.10M,264.20M,,264.20M,264.20M,407.50M,52.90M,354.60M,,0.74,,0.74,0.74,,0.73,,0.73,0.73,,358.60M,361.50M,0.62,,AOR,Restated
2019-05,958.20M,980.40M,322.10M,658.30M,343.80M,,9.20M,4.20M,-5.00M,,343.80M,314.50M,4.20M,9.20M,-5.00M,,-5.00M,310.50M,80.10M,230.40M,,230.40M,230.40M,375.50M,55.80M,319.70M,,0.64,,0.64,0.64,,0.64,,0.64,0.64,,359.50M,362.40M,0.62,,AOR,Restated
2019-02,1.047B,1.070B,325.30M,745.10M,315.80M,,6.70M,3.10M,-3.60M,,315.80M,429.30M,3.10M,6.70M,-3.60M,-0.10M,-3.60M,425.60M,101.00M,324.60M,,324.60M,324.60M,485.30M,53.00M,432.30M,,0.90,,0.90,0.90,,0.90,,0.90,0.90,,359.20M,361.60M,0.56,,AOR,Restated
2018-11,840.60M,858.90M,264.90M,594.00M,286.80M,,0.80M,2.80M,2.00M,,286.80M,307.20M,2.80M,0.80M,2.00M,0.10M,2.00M,309.30M,73.50M,235.80M,,235.80M,235.80M,346.90M,36.80M,310.10M,,0.66,,0.66,0.66,,0.65,,0.65,0.65,,359.10M,361.50M,0.56,,AOR,Restated
2018-08,845.70M,862.80M,265.50M,597.30M,277.00M,,0.90M,3.20M,2.30M,,277.00M,320.30M,3.20M,0.90M,2.30M,,2.30M,322.60M,79.00M,243.60M,,243.60M,243.60M,359.40M,35.90M,323.50M,,0.68,,0.68,0.68,,0.67,,0.67,0.67,,359.10M,361.50M,0.56,,AOR,Restated
2018-05,828.00M,845.70M,265.40M,580.30M,278.20M,,0.70M,3.20M,2.50M,,278.20M,302.10M,3.20M,0.70M,2.50M,0.00,2.50M,304.60M,86.90M,217.70M,,217.70M,217.70M,341.00M,35.70M,305.30M,,0.64,,0.64,0.64,,0.63,,0.63,0.63,,358.70M,361.20M,0.56,,AOR,Restated
2018-02,918.00M,936.10M,272.20M,663.90M,294.90M,,1.10M,3.10M,2.00M,,294.90M,369.00M,3.10M,1.10M,2.00M,0.30M,2.00M,371.30M,4.10M,367.20M,,367.20M,367.20M,409.00M,36.60M,372.40M,,1.02,,1.02,1.02,,1.01,,1.01,1.01,,359.20M,362.00M,0.50,,AOR,Restated
2017-11,789.00M,803.00M,248.60M,554.40M,251.30M,,1.30M,2.70M,1.40M,,251.30M,303.10M,2.70M,1.30M,1.40M,0.30M,1.40M,304.80M,106.00M,198.80M,,198.80M,198.80M,339.80M,33.70M,306.10M,,0.55,,0.55,0.55,,0.55,,0.55,0.55,,359.10M,361.40M,0.50,,AOR,Restated
2017-08,779.20M,792.90M,232.00M,560.90M,243.60M,,0.80M,2.90M,2.10M,,243.60M,317.30M,2.90M,0.80M,2.10M,,2.10M,319.40M,109.00M,210.40M,,210.40M,210.40M,352.20M,32.00M,320.20M,,0.59,,0.59,0.59,,0.58,,0.58,0.58,,358.90M,361.30M,0.50,,AOR,Restated
2017-05,786.30M,800.30M,231.20M,569.10M,255.90M,,0.60M,2.70M,2.10M,,255.90M,313.20M,2.70M,0.60M,2.10M,-0.50M,2.10M,314.80M,110.50M,204.30M,,204.30M,204.30M,351.60M,36.20M,315.40M,,0.54,,0.54,0.54,,0.54,,0.54,0.54,,359.20M,362.00M,0.46,,AOR,Restated
2017-02,782.60M,795.80M,236.80M,559.00M,252.40M,,0.60M,2.40M,1.80M,,252.40M,306.60M,2.40M,0.60M,1.80M,-0.60M,1.80M,307.80M,105.30M,202.50M,,202.50M,202.50M,339.40M,31.00M,308.40M,,0.56,,0.56,0.56,,0.56,,0.56,0.56,,359.00M,361.80M,0.46,,AOR,Restated
2016-11,760.00M,771.40M,226.30M,545.10M,234.00M,,0.60M,2.40M,1.80M,,234.00M,311.10M,2.40M,0.60M,1.80M,-0.90M,1.80M,312.00M,109.90M,202.10M,,202.10M,202.10M,342.60M,30.00M,312.60M,,0.56,,0.56,0.56,,0.56,,0.56,0.56,,360.20M,362.60M,0.46,,AOR,Restated
2016-08,773.50M,785.50M,225.10M,560.40M,237.40M,,0.70M,2.40M,1.70M,,237.40M,323.00M,2.40M,0.70M,1.70M,-0.20M,1.70M,324.50M,107.10M,217.40M,,217.40M,217.40M,354.90M,29.70M,325.20M,,0.60,,0.60,0.60,,0.60,,0.60,0.60,,361.00M,364.10M,0.46,,AOR,Restated
2016-05,741.60M,753.90M,220.30M,533.60M,257.30M,,0.40M,2.30M,1.90M,,257.30M,276.30M,2.30M,0.40M,1.90M,-2.10M,1.90M,276.10M,98.00M,178.10M,,178.10M,178.10M,306.50M,30.00M,276.50M,,0.49,,0.49,0.49,,0.49,,0.49,0.49,,360.40M,362.80M,0.42,,AOR,Restated
2016-02,740.70M,752.60M,225.90M,526.70M,246.70M,,0.20M,2.10M,1.90M,,246.70M,280.00M,2.10M,0.20M,1.90M,-0.20M,1.90M,281.70M,101.30M,180.40M,,180.40M,180.40M,312.30M,30.40M,281.90M,,0.50,,0.50,0.50,,0.50,,0.50,0.50,,360.50M,362.20M,0.42,,AOR,Restated
2015-11,711.30M,722.40M,205.20M,517.20M,223.00M,,0.30M,2.10M,1.80M,,223.00M,294.20M,2.10M,0.30M,1.80M,-0.20M,1.80M,295.80M,106.60M,189.20M,,189.20M,189.20M,323.80M,27.70M,296.10M,,0.52,,0.52,0.52,,0.52,,0.52,0.52,,360.70M,362.30M,0.42,,AOR,Restated
2015-08,712.20M,723.00M,205.70M,517.30M,221.20M,,0.20M,1.90M,1.70M,,221.20M,296.10M,1.90M,0.20M,1.70M,-0.30M,1.70M,297.50M,88.40M,209.10M,,209.10M,209.10M,324.70M,27.00M,297.70M,,0.58,,0.58,0.58,,0.58,,0.58,0.58,,361.10M,362.80M,0.42,,AOR,Restated
2015-05,681.40M,692.20M,203.60M,488.60M,237.00M,,0.00,1.90M,1.90M,,237.00M,251.60M,1.90M,0.00,1.90M,0.10M,1.90M,253.60M,92.40M,161.20M,,161.20M,161.20M,281.10M,27.50M,253.60M,,0.44,,0.44,0.44,,0.44,,0.44,0.44,,362.30M,364.00M,0.38,,AOR,Restated
