,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,693.50M,174.90M,868.40M,519.00M,448.00M,991.80M,,280.10M,3.452B,,,5.592B,,,,,492.00M,,,492.00M,,492.00M,1.799B,297.20M,2.096B,10.10M,367.70M,57.10M,3.023B,8.615B,,70.40M,0.00,70.40M,,70.40M,6.90M,6.90M,6.90M,40.60M,40.60M,,3.594B,4.38B,797.00M,92.20M,889.20M,240.40M,240.40M,,202.50M,1.346B,5.726B,,3.60M,1.419B,1.394B,73.10M,2.890B,,AOR,
2020-08,835.70M,30.60M,866.30M,414.80M,417.50M,855.90M,,252.90M,3.365B,,,5.340B,,,,,492.10M,,,492.10M,,492.10M,1.797B,314.10M,2.111B,10.20M,368.90M,54.60M,3.037B,8.377B,,62.00M,51.80M,113.80M,,113.80M,6.10M,6.10M,6.10M,39.60M,39.60M,,3.502B,4.263B,796.90M,95.10M,892.00M,243.50M,243.50M,,187.70M,1.335B,5.598B,,3.60M,1.370B,1.325B,79.50M,2.779B,,AOR,
2020-05,905.20M,27.20M,932.40M,384.10M,380.00M,790.30M,,261.60M,3.480B,,,5.465B,0.00,10.80M,166.50M,1.030B,114.80M,47.10M,110.60M,1.479B,-957.20M,522.20M,1.791B,330.60M,2.122B,10.20M,372.50M,59.50M,3.086B,8.551B,,79.40M,50.50M,129.90M,,129.90M,5.10M,5.10M,5.10M,39.20M,39.20M,,3.609B,4.427B,796.80M,96.90M,893.70M,240.80M,240.80M,,174.40M,1.342B,5.769B,,3.60M,1.431B,1.290B,56.50M,2.781B,,AOR,
2020-02,780.00M,73.80M,853.80M,436.30M,384.60M,847.00M,,273.60M,4.415B,,,6.389B,0.00,10.80M,166.30M,1.018B,124.30M,37.70M,106.30M,1.463B,-934.80M,528.10M,1.790B,348.00M,2.138B,10.20M,366.50M,34.90M,3.078B,9.467B,,67.70M,,67.70M,,67.70M,51.20M,51.20M,51.20M,38.80M,38.80M,,4.549B,5.390B,796.70M,105.10M,901.80M,232.70M,232.70M,,150.30M,1.317B,6.707B,,3.60M,1.433B,1.278B,45.20M,2.760B,,AOR,
2019-11,600.60M,34.40M,635.00M,464.90M,411.70M,905.60M,,299.50M,3.788B,,,5.628B,0.00,10.80M,165.90M,998.40M,119.20M,30.10M,105.40M,1.430B,-908.90M,520.90M,1.786B,359.70M,2.146B,10.10M,359.70M,37.60M,3.074B,8.702B,,76.30M,,76.30M,,76.30M,51.30M,51.30M,51.30M,42.20M,42.20M,,3.964B,4.824B,796.60M,100.10M,896.70M,226.80M,226.80M,,154.30M,1.308B,6.132B,,3.60M,1.301B,1.253B,11.60M,2.569B,,AOR,Restated
2019-08,586.40M,40.90M,627.30M,425.10M,409.20M,861.40M,,242.30M,3.825B,,,5.556B,0.00,10.80M,162.60M,987.40M,112.80M,29.60M,104.70M,1.408B,-891.70M,516.20M,1.783B,379.50M,2.163B,10.30M,362.70M,30.50M,3.082B,8.638B,,61.70M,49.00M,110.70M,,110.70M,56.50M,56.50M,56.50M,41.30M,41.30M,,3.986B,4.824B,796.50M,93.80M,890.30M,227.60M,227.60M,,147.80M,1.295B,6.119B,,3.60M,1.265B,1.224B,26.50M,2.519B,,AOR,Restated
2019-05,673.60M,39.00M,712.60M,420.50M,406.30M,854.20M,,256.50M,3.854B,,,5.678B,0.00,10.80M,162.90M,965.40M,,30.30M,105.40M,1.275B,-866.10M,408.70M,1.783B,399.10M,2.182B,10.20M,366.30M,31.40M,2.998B,8.676B,,75.90M,0.00,75.90M,,75.90M,0.00,0.00,0.00,40.30M,40.30M,,4.004B,4.845B,796.40M,13.00M,809.40M,223.10M,223.10M,,151.70M,1.212B,6.056B,,3.60M,1.410B,1.206B,0.10M,2.620B,,AOR,Restated
2019-02,696.40M,35.60M,732.00M,821.00M,,844.70M,,240.90M,5.474B,,,7.292B,0.00,10.80M,162.00M,949.20M,,23.50M,106.10M,1.252B,-846.90M,404.70M,1.782B,420.90M,2.202B,20.00M,360.00M,83.90M,3.071B,10.36B,,73.90M,,73.90M,,73.90M,53.60M,53.60M,53.60M,39.40M,39.40M,,5.542B,6.550B,800.00M,,800.00M,229.20M,229.20M,,165.70M,1.215B,7.765B,,3.60M,1.426B,1.188B,-19.30M,2.598B,,AOR,Restated
2018-11,510.60M,248.40M,759.00M,562.60M,,591.20M,,267.50M,3.672B,,,5.29B,0.00,10.70M,162.20M,910.90M,,30.30M,107.30M,1.221B,-827.40M,394.00M,810.60M,128.00M,938.60M,10.00M,354.00M,15.80M,1.712B,7.002B,,70.60M,,70.60M,,70.60M,57.30M,57.30M,57.30M,42.50M,42.50M,,3.828B,4.307B,,,,161.60M,161.60M,,89.80M,271.10M,4.578B,,3.60M,1.303B,1.166B,-47.40M,2.424B,,AOR,Restated
2018-08,440.10M,82.90M,523.00M,535.20M,,564.30M,,225.10M,3.764B,,,5.076B,0.00,10.60M,128.00M,888.50M,,61.20M,109.30M,1.198B,-808.50M,389.10M,813.30M,135.50M,948.80M,264.60M,355.60M,15.70M,1.974B,7.05B,,62.60M,51.60M,114.20M,,114.20M,56.70M,56.70M,56.70M,36.60M,36.60M,,3.907B,4.397B,,,,155.50M,155.50M,,91.00M,265.60M,4.663B,,3.60M,1.268B,1.151B,-35.80M,2.387B,,AOR,Restated
