,FCF,PricePerShare,ROE,Prediction
2021-03,6.416,141.4499969482422,51.83955739972339,141.4499969482422
2020-12,6.3729999999999976,147.12522888183594,51.27835794022327,141.4499969482422
2020-09,6.362,136.5294189453125,50.98479362780594,147.12522888183594
2020-06,5.469999999999999,129.35395812988278,50.967261904761905,136.5294189453125
2020-03,4.971000000000001,116.55645751953124,51.41335227272725,129.35395812988278
2019-12,5.416999999999999,131.74797058105472,57.909738717339685,116.55645751953124
2019-09,6.0829999999999975,131.24320983886722,101.48936170212768,131.74797058105472
2019-06,6.2120000000000015,124.66674041748048,102.31814548361315,131.24320983886722
2019-03,7.0070000000000014,115.66278839111328,99.56487341772151,124.66674041748048
2018-12,6.133000000000001,103.43238830566406,89.36094252052837,115.66278839111328
2018-09,5.602,103.84363555908205,43.20244328097733,103.43238830566406
2018-06,5.83,100.29257202148438,41.981735159817354,103.84363555908205
2018-03,5.910000000000003,99.63417053222656,44.001802613790005,100.29257202148438
2017-12,7.060999999999999,108.6621551513672,40.98734177215189,99.63417053222656
2017-09,6.978,100.27352905273438,54.057408844065186,108.6621551513672
2017-06,6.808,103.20481872558594,57.373737373737384,100.27352905273438
2017-03,7.196999999999999,99.27909088134766,56.65120202446224,103.20481872558594
2016-12,7.6229999999999976,92.22875213623048,51.081517352703784,99.27909088134766
2016-09,8.052,95.17398071289062,45.55174777244686,92.22875213623048
2016-06,8.365000000000002,92.0466537475586,36.5925925925926,95.17398071289062
2016-03,8.022000000000002,88.37770080566406,35.87213342599027,92.0466537475586
2015-12,8.106000000000002,85.55864715576172,30.959681998864284,88.37770080566406
2015-09,7.806000000000001,80.18470001220703,27.13824636901559,85.55864715576172
2015-06,7.824999999999997,78.75748443603516,33.138500635324014,80.18470001220703
2015-03,7.820999999999999,80.09075164794922,32.29130542482041,78.75748443603516
2014-12,7.6469999999999985,78.67568969726562,32.60575719649561,80.09075164794922
2014-09,6.881000000000001,76.94728088378906,30.22415669205657,78.67568969726562
2014-06,6.540000000000001,73.32452392578125,29.733014977208594,76.94728088378906
2014-03,6.32,68.02261352539061,30.386398763523964,73.32452392578125
2013-12,6.8930000000000025,67.09172821044922,29.31709438886473,68.02261352539061
2013-09,7.221,63.8731689453125,30.97929751104908,67.09172821044922
2013-06,7.523,65.24765014648439,29.087726974403854,63.8731689453125
2013-03,7.170000000000001,62.67055130004883,28.24994235646761,65.24765014648439
2012-12,5.7650000000000015,53.82494354248047,26.62931034482759,62.67055130004883
2012-09,5.442,55.23761749267578,25.813751087902517,53.82494354248047
2012-06,4.828999999999999,54.74238586425781,27.24807953004971,55.23761749267578
2012-03,4.651999999999999,51.00441360473633,28.937415578568203,54.74238586425781
2011-12,5.605,50.58958053588867,31.329929491855093,51.00441360473633
2011-09,5.849,46.81480026245117,29.118651787747673,50.58958053588867
2011-06,5.742999999999999,52.8408432006836,27.32583297273907,46.81480026245117
2011-03,6.0749999999999975,47.97434616088867,29.350522987107762,52.8408432006836
2010-12,5.195,48.29008483886719,33.887399463806965,47.97434616088867
2010-09,4.621,48.74582290649414,36.88799076212471,48.29008483886719
2010-06,4.485000000000001,44.38346862792969,38.66208190059393,48.74582290649414
2010-03,4.2989999999999995,47.80888366699219,36.25326749927388,44.38346862792969
2009-12,4.668,43.62572479248047,35.403393867222384,47.80888366699219
2009-09,4.559000000000001,41.79365539550781,32.111724984653165,43.62572479248047
2009-06,4.013,38.84424209594727,32.60730301089045,41.79365539550781
2009-03,3.778000000000002,36.08898162841797,34.98635743519782,38.84424209594727
2008-12,4.553000000000001,38.05870056152344,35.57246627464545,36.08898162841797
2008-09,3.853,49.1377182006836,35.420560747663565,38.05870056152344
2008-06,4.526,43.57439804077149,36.37041640770665,49.1377182006836
2008-03,4.356,49.16072463989258,35.399876007439545,43.57439804077149
2007-12,4.504,51.40334701538086,33.95139513951394,49.16072463989258
2007-09,4.785,49.37267303466797,39.3299620733249,51.40334701538086
2007-06,4.2189999999999985,43.46596908569336,38.83615084525358,49.37267303466797
2007-03,4.4910000000000005,42.3651008605957,38.931092436974794,43.46596908569336
2006-12,4.016,41.49417114257813,38.10874704491727,42.3651008605957
2006-09,3.495,43.089542388916016,32.458800263678306,41.49417114257813
2006-06,3.303,39.46049118041992,29.33060109289617,43.089542388916016
2006-03,3.4319999999999995,37.79342651367188,28.985200845665965,39.46049118041992
2005-12,4.1160000000000005,38.468971252441406,30.05158437730288,37.79342651367188
2005-09,4.411999999999999,36.76498031616211,29.826546003016592,38.468971252441406
2005-06,4.474,34.79800033569336,33.28352633545013,36.76498031616211
2005-03,3.7049999999999987,34.05813980102539,33.3977580208736,34.79800033569336
2004-12,3.667,33.38185501098633,34.39771335238873,34.05813980102539
2004-09,3.317,30.969919204711925,33.52088661551577,33.38185501098633
2004-06,2.9399999999999995,34.14472198486328,33.28767123287671,30.969919204711925
2004-03,3.3960000000000004,33.982898712158196,32.370472260430994,34.14472198486328
2003-12,2.983,29.33104515075684,32.7077497665733,33.982898712158196
2003-09,3.2620000000000005,28.736690521240234,31.322195704057275,29.33104515075684
2003-06,2.8219999999999987,27.802520751953125,31.792547834843912,28.736690521240234
2003-03,2.8020000000000005,24.90093040466309,33.95272127542607,27.802520751953125
