,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2020-09,,2.67B,2.67B,1.565B,,,1.565B,915.00M,1.869B,1.468B,4.252B,825.00M,9.312B,,,,7.051B,-4.613B,2.438B,2.159B,,2.159B,,1.952B,6.549B,15.86B,,2020-09,1.121B,,1.121B,859.00M,859.00M,,,2.011B,3.991B,3.865B,3.865B,,,,,,2.264B,6.129B,10.12B,,2020-09,29.00M,5.741B,1.762B,,-1.717B,5.741B,,2020-09
2020-06,,2.346B,2.346B,1.455B,,,1.455B,1.01B,1.659B,1.593B,4.262B,863.00M,8.926B,,,,6.984B,-4.538B,2.446B,2.153B,,2.153B,,1.946B,6.545B,15.47B,,2020-06,982.00M,,982.00M,1.107B,1.107B,,,1.983B,4.072B,3.625B,3.625B,,,,,,2.247B,5.872B,9.944B,,2020-06,29.00M,5.631B,1.732B,,-1.791B,5.527B,,2020-06
2020-03,,2.446B,2.446B,1.551B,,,1.551B,1.012B,1.762B,1.611B,4.385B,984.00M,9.366B,,,,6.936B,-4.453B,2.483B,2.15B,,2.15B,,1.947B,6.58B,15.95B,,2020-03,1.322B,,1.322B,1.396B,1.396B,,,1.797B,4.515B,3.638B,3.638B,,,,,,2.259B,5.897B,10.41B,,2020-03,29.00M,5.727B,1.711B,,-1.859B,5.534B,,2020-03
2019-12,,1.357B,1.357B,1.603B,,,1.603B,896.00M,1.616B,1.557B,4.069B,894.00M,7.923B,1.991B,,4.941B,6.932B,-4.405B,2.527B,2.15B,,2.15B,,2.418B,7.095B,15.02B,,2019-12,1.378B,,1.74B,561.00M,561.00M,715.00M,715.00M,830.00M,3.846B,3.249B,3.249B,,,,,,2.405B,5.654B,9.50B,,2019-12,29.00M,5.682B,1.674B,,-1.847B,5.518B,,2019-12
2019-09,,1.053B,1.053B,1.748B,,,1.748B,818.00M,1.88B,1.738B,4.436B,856.00M,8.093B,,,,6.868B,-4.371B,2.497B,2.142B,,2.142B,,2.33B,6.969B,15.06B,,2019-09,1.226B,,1.226B,568.00M,568.00M,,,1.972B,3.766B,3.604B,3.604B,,,,,,2.24B,5.844B,9.61B,,2019-09,30.00M,6.009B,1.741B,,-1.729B,5.452B,,2019-09
2019-06,,857.00M,857.00M,1.765B,,,1.765B,797.00M,1.771B,1.743B,4.311B,839.00M,7.772B,,,,6.834B,-4.317B,2.517B,2.147B,,2.147B,,2.36B,7.024B,14.80B,,2019-06,1.231B,,1.231B,457.00M,457.00M,,,1.891B,3.579B,3.613B,3.613B,,,,,,2.268B,5.881B,9.46B,,2019-06,30.00M,5.794B,1.717B,,-1.715B,5.336B,,2019-06
2019-03,,742.00M,742.00M,1.815B,,,1.815B,790.00M,1.518B,1.739B,4.047B,835.00M,7.439B,,,,6.779B,-4.256B,2.523B,2.141B,,2.141B,,2.377B,7.041B,14.48B,,2019-03,1.147B,,1.147B,363.00M,363.00M,,,1.922B,3.432B,3.523B,3.523B,,,,,,2.292B,5.815B,9.247B,,2019-03,30.00M,5.581B,1.689B,,-1.736B,5.233B,,2019-03
2018-12,,1.107B,1.107B,1.784B,,,1.784B,800.00M,1.356B,1.662B,3.818B,785.00M,7.494B,1.927B,,4.891B,6.818B,-4.203B,2.615B,2.218B,,2.218B,,1.937B,6.77B,14.26B,,2018-12,1.099B,,1.48B,258.00M,258.00M,876.00M,876.00M,892.00M,3.506B,3.526B,3.526B,,,,,,2.04B,5.566B,9.072B,,2018-12,30.00M,5.407B,1.646B,,-1.762B,5.192B,,2018-12
2018-09,,1.293B,1.293B,1.812B,,,1.812B,750.00M,1.54B,1.74B,4.03B,706.00M,7.841B,,,,6.758B,-4.165B,2.593B,2.209B,,2.209B,,2.026B,6.828B,14.67B,,2018-09,1.104B,,1.104B,9.00M,9.00M,,,2.31B,3.423B,3.857B,3.857B,,,,,,1.846B,5.703B,9.126B,,2018-09,33.00M,6.419B,1.819B,,-1.297B,5.543B,,2018-09
2018-06,,731.00M,731.00M,1.884B,,,1.884B,717.00M,1.483B,1.725B,3.925B,763.00M,7.71B,,,,6.705B,-4.097B,2.608B,2.207B,,2.207B,,2.033B,6.848B,14.56B,,2018-06,1.147B,,1.147B,9.00M,9.00M,,,2.241B,3.397B,3.879B,3.879B,,,,,,1.92B,5.799B,9.196B,,2018-06,33.00M,5.861B,1.774B,,-1.343B,5.362B,,2018-06
2018-03,,836.00M,836.00M,1.891B,,,1.891B,755.00M,1.512B,1.823B,4.09B,933.00M,7.75B,,,,6.921B,-4.21B,2.711B,2.368B,,2.368B,,2.139B,7.218B,14.97B,,2018-03,1.229B,,1.229B,16.00M,16.00M,,,2.104B,3.349B,3.902B,3.902B,,,,,,2.025B,5.927B,9.276B,,2018-03,33.00M,5.642B,1.71B,,-1.301B,5.692B,,2018-03
2017-12,,1.262B,1.262B,2.182B,,,2.182B,804.00M,2.238B,1.79B,4.15B,435.00M,8.029B,1.948B,,4.893B,6.841B,-4.12B,2.721B,2.364B,,2.364B,,2.226B,7.311B,15.34B,,2017-12,1.205B,,1.534B,14.00M,14.00M,1.007B,1.007B,1.105B,3.66B,3.898B,3.898B,,,,,,2.135B,6.033B,9.693B,,2017-12,33.00M,5.368B,1.669B,,-1.375B,5.647B,,2017-12
2017-09,,1.294B,1.294B,2.168B,,,2.168B,813.00M,2.697B,1.875B,4.518B,408.00M,8.388B,,,,6.913B,-4.212B,2.701B,2.354B,,2.354B,,2.432B,7.487B,15.88B,,2017-09,1.173B,,3.677B,364.00M,364.00M,,,,4.041B,3.919B,3.919B,,,,,,2.097B,6.016B,10.06B,,2017-09,34.00M,5.943B,1.711B,,-1.419B,5.818B,,2017-09
2017-06,,1.129B,1.129B,2.076B,,,2.076B,798.00M,2.752B,1.995B,4.655B,357.00M,8.217B,,,,6.813B,-4.144B,2.669B,2.34B,,2.34B,,2.549B,7.558B,15.78B,,2017-06,1.20B,,3.643B,362.00M,362.00M,,,,4.005B,3.642B,3.642B,,,,,,2.446B,6.088B,10.09B,,2017-06,34.00M,5.789B,1.674B,,-1.486B,5.682B,,2017-06
2017-03,,997.00M,997.00M,2.098B,,,2.098B,814.00M,2.886B,2.006B,4.709B,361.00M,8.165B,,,,6.693B,-4.056B,2.637B,2.332B,,2.332B,,2.569B,7.538B,15.70B,,2017-03,1.23B,,3.561B,462.00M,462.00M,,,,4.023B,3.653B,3.653B,,,,,,2.445B,6.098B,10.12B,,2017-03,34.00M,5.641B,1.648B,,-1.555B,5.582B,,2017-03
