,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,225.00M,,,,,,,99.00M,99.00M,2.00M,,,13.00M,4.00M,-10.00M,-331.00M,,28.00M,,,87.00M,-39.00M,105.00M,,2008-03,-81.00M,1.00M,1.00M,-100.00M,-541.00M,-716.00M,,2008-03,-135.00M,718.00M,583.00M,,-96.00M,-96.00M,,-57.00M,6.00M,434.00M,,2008-03,531.00M,7.00M,361.00M,,2008-03,,1.142B,-559.00M,,2008-03,,Restated
2007-12,247.00M,,,0.00,0.00,,,95.00M,95.00M,-25.00M,,,11.00M,12.00M,-85.00M,68.00M,,114.00M,,,-47.00M,44.00M,445.00M,,2007-12,-166.00M,1.00M,1.00M,-1.106B,-355.00M,-1.631B,,2007-12,523.00M,279.00M,802.00M,,0.00,0.00,,-57.00M,22.00M,774.00M,,2007-12,942.00M,1.00M,531.00M,,2007-12,,796.00M,-273.00M,,2007-12,AOR,Restated
2007-09,226.00M,,,0.00,0.00,,,77.00M,77.00M,12.00M,,,30.00M,6.00M,-150.00M,-84.00M,,250.00M,,-36.00M,125.00M,6.00M,484.00M,,2007-09,-77.00M,2.00M,144.00M,0.00,367.00M,132.00M,,2007-09,309.00M,-691.00M,-315.00M,-69.00M,-83.00M,-152.00M,,0.00,81.00M,-383.00M,,2007-09,697.00M,12.00M,942.00M,,2007-09,-69.00M,1.43B,-1.121B,,2007-09,,Restated
2007-06,210.00M,,,,,,,79.00M,79.00M,10.00M,,,,19.00M,82.00M,-159.00M,,37.00M,,48.00M,-145.00M,9.00M,190.00M,,2007-06,-81.00M,2.00M,-79.00M,,,77.00M,,2007-06,,,-119.00M,43.00M,-50.00M,-7.00M,,-48.00M,,-162.00M,,2007-06,585.00M,7.00M,697.00M,,2007-06,43.00M,,,,2007-06,,
2007-03,196.00M,,,,,,,74.00M,74.00M,,,,,15.00M,-185.00M,-288.00M,,81.00M,,-12.00M,54.00M,-5.00M,-70.00M,,2007-03,-61.00M,1.00M,-60.00M,,,16.00M,,2007-03,,,52.00M,26.00M,-171.00M,-145.00M,,-49.00M,,-142.00M,,2007-03,780.00M,1.00M,585.00M,,2007-03,26.00M,,,,2007-03,,
2006-12,300.00M,,,,,,,80.00M,80.00M,25.00M,,,,30.00M,-35.00M,29.00M,,346.00M,,-205.00M,-40.00M,-144.00M,442.00M,,2006-12,-207.00M,3.00M,227.00M,,,-649.00M,,2006-12,,,196.00M,-153.00M,-12.00M,-165.00M,,-49.00M,,159.00M,,2006-12,822.00M,6.00M,780.00M,,2006-12,-153.00M,,,,2006-12,AOR,Restated
2006-09,71.00M,,,,,-130.00M,-8.00M,72.00M,72.00M,10.00M,,,,11.00M,11.00M,-58.00M,,-87.00M,,147.00M,94.00M,31.00M,302.00M,,2006-09,-90.00M,1.00M,-89.00M,,,121.00M,,2006-09,,,236.00M,10.00M,-151.00M,-141.00M,,-48.00M,,64.00M,,2006-09,325.00M,10.00M,822.00M,,2006-09,10.00M,,,,2006-09,,
2006-06,167.00M,,,,,130.00M,8.00M,72.00M,72.00M,7.00M,,,,13.00M,-137.00M,-165.00M,,80.00M,,17.00M,19.00M,83.00M,156.00M,,2006-06,-74.00M,1.00M,-73.00M,,,-403.00M,,2006-06,,,395.00M,36.00M,-372.00M,-336.00M,,-50.00M,,22.00M,,2006-06,545.00M,5.00M,325.00M,,2006-06,36.00M,,,,2006-06,,
2006-03,168.00M,,,,,,,66.00M,66.00M,-5.00M,,,,16.00M,-177.00M,-233.00M,,177.00M,,41.00M,34.00M,-18.00M,69.00M,,2006-03,-60.00M,2.00M,-58.00M,,,-478.00M,,2006-03,,,373.00M,107.00M,-226.00M,-119.00M,,-97.00M,,156.00M,,2006-03,796.00M,2.00M,545.00M,,2006-03,107.00M,,,,2006-03,,
2005-12,431.00M,,,,-129.00M,-207.00M,-14.00M,82.00M,82.00M,0.00,,,,122.00M,13.00M,35.00M,,-1.00M,,-15.00M,-70.00M,-237.00M,288.00M,,2005-12,-163.00M,2.00M,204.00M,-7.00M,,-422.00M,,2005-12,,,523.00M,26.00M,-187.00M,-161.00M,,0.00,,366.00M,,2005-12,601.00M,-3.00M,796.00M,,2005-12,26.00M,,,,2005-12,AOR,Restated
2005-09,-117.00M,,,,34.00M,70.00M,5.00M,75.00M,75.00M,12.00M,,,,9.00M,-53.00M,-115.00M,,-14.00M,,107.00M,12.00M,327.00M,277.00M,,2005-09,-71.00M,4.00M,-67.00M,1.00M,,-397.00M,,2005-09,,,262.00M,12.00M,-166.00M,-154.00M,,-47.00M,,65.00M,,2005-09,621.00M,1.00M,601.00M,,2005-09,12.00M,,,,2005-09,,
2005-06,118.00M,,,,27.00M,70.00M,5.00M,75.00M,75.00M,6.00M,,,,27.00M,-41.00M,-17.00M,,74.00M,52.00M,77.00M,0.00,33.00M,431.00M,,2005-06,-73.00M,,-73.00M,-23.00M,,11.00M,,2005-06,,,-184.00M,21.00M,-127.00M,-106.00M,,-47.00M,,-331.00M,,2005-06,524.00M,-14.00M,621.00M,,2005-06,21.00M,,,,2005-06,,
2005-03,84.00M,,,,68.00M,67.00M,4.00M,71.00M,71.00M,-1.00M,,,,,-106.00M,-91.00M,,191.00M,-52.00M,-169.00M,84.00M,-39.00M,40.00M,,2005-03,-58.00M,,-58.00M,,,-387.00M,,2005-03,,,349.00M,47.00M,-117.00M,-70.00M,,-95.00M,,183.00M,,2005-03,697.00M,-9.00M,524.00M,,2005-03,47.00M,,,,2005-03,,
2004-12,124.00M,,,,-133.00M,20.00M,4.00M,24.00M,24.00M,4.00M,,,,67.00M,-83.00M,94.00M,,219.00M,-67.00M,-211.00M,25.00M,-31.00M,90.00M,,2004-12,-52.00M,16.00M,214.00M,,-699.00M,-116.00M,,2004-12,,,105.00M,42.00M,-224.00M,-182.00M,,0.00,,-77.00M,,2004-12,802.00M,26.00M,697.00M,,2004-12,42.00M,,,,2004-12,AOR,Restated
2004-09,101.00M,,,,30.00M,82.00M,4.00M,86.00M,86.00M,4.00M,,,,8.00M,38.00M,-20.00M,,-47.00M,28.00M,141.00M,,0.00,369.00M,,2004-09,-69.00M,-23.00M,-92.00M,,0.00,-472.00M,,2004-09,,,143.00M,53.00M,-120.00M,-67.00M,,-45.00M,,31.00M,,2004-09,866.00M,10.00M,802.00M,,2004-09,53.00M,,,,2004-09,,
2004-06,109.00M,,,,31.00M,82.00M,4.00M,86.00M,86.00M,21.00M,,,,1.00M,47.00M,-114.00M,,66.00M,-36.00M,148.00M,-46.00M,16.00M,329.00M,,2004-06,-64.00M,11.00M,-53.00M,,0.00,-231.00M,,2004-06,,,89.00M,42.00M,-1.00M,41.00M,,-45.00M,,85.00M,,2004-06,685.00M,-2.00M,866.00M,,2004-06,42.00M,,,,2004-06,,
2004-03,41.00M,,,,72.00M,81.00M,3.00M,84.00M,84.00M,,,,,9.00M,-110.00M,-161.00M,,168.00M,75.00M,-78.00M,46.00M,16.00M,162.00M,,2004-03,-65.00M,12.00M,-53.00M,,38.00M,1.00M,,2004-03,,,-250.00M,50.00M,-70.00M,-20.00M,,-45.00M,,-315.00M,,2004-03,838.00M,-1.00M,685.00M,,2004-03,50.00M,,,,2004-03,,
2003-12,92.00M,,,,-180.00M,89.00M,5.00M,94.00M,94.00M,-83.00M,,,,112.00M,336.00M,213.00M,-42.00M,10.00M,,61.00M,,,530.00M,,2003-12,-97.00M,-98.00M,102.00M,,45.00M,347.00M,,2003-12,,,-399.00M,55.00M,0.00,55.00M,,-89.00M,,-619.00M,,2003-12,232.00M,21.00M,838.00M,,2003-12,55.00M,,,,2003-12,AOR,Restated
2003-09,49.00M,,,,78.00M,81.00M,4.00M,85.00M,85.00M,24.00M,,,,16.00M,-51.00M,59.00M,42.00M,3.00M,-100.00M,9.00M,,83.00M,297.00M,,2003-09,-77.00M,28.00M,-49.00M,,,-452.00M,,2003-09,,,-123.00M,9.00M,1.00M,10.00M,,-44.00M,,21.00M,,2003-09,371.00M,-5.00M,232.00M,,2003-09,9.00M,,,,2003-09,,
2003-06,85.00M,,,,50.00M,82.00M,4.00M,86.00M,86.00M,0.00,,,,-7.00M,9.00M,145.00M,,-131.00M,-56.00M,58.00M,,-19.00M,220.00M,,2003-06,-74.00M,85.00M,11.00M,,-1.00M,380.00M,,2003-06,,,-636.00M,1.00M,-21.00M,-20.00M,,-44.00M,,-700.00M,,2003-06,457.00M,14.00M,371.00M,,2003-06,1.00M,,,,2003-06,,
2003-03,66.00M,,,,37.00M,84.00M,5.00M,89.00M,89.00M,18.00M,,,,16.00M,-126.00M,-138.00M,,12.00M,156.00M,-128.00M,,-64.00M,-62.00M,,2003-03,-49.00M,9.00M,-40.00M,,1.00M,-340.00M,,2003-03,,,637.00M,2.00M,-44.00M,-42.00M,,-45.00M,,550.00M,,2003-03,307.00M,2.00M,457.00M,,2003-03,2.00M,,,,2003-03,,
2002-12,622.00M,,,,-652.00M,87.00M,4.00M,91.00M,91.00M,276.00M,,,,120.00M,154.00M,141.00M,,-303.00M,126.00M,70.00M,-302.00M,,454.00M,,2002-12,-85.00M,20.00M,230.00M,27.00M,,5.00M,,2002-12,,,-330.00M,4.00M,-44.00M,-40.00M,,-45.00M,,-415.00M,,2002-12,203.00M,,307.00M,,2002-12,4.00M,,,,2002-12,AOR,Restated
2002-09,71.00M,,,,73.00M,86.00M,7.00M,93.00M,93.00M,34.00M,,,,-8.00M,-32.00M,8.00M,,-14.00M,-34.00M,-32.00M,-18.00M,,141.00M,,2002-09,-64.00M,16.00M,-48.00M,-2.00M,,-326.00M,,2002-09,,,-189.00M,1.00M,-40.00M,-39.00M,,0.00,,-228.00M,,2002-09,616.00M,,203.00M,,2002-09,1.00M,,,,2002-09,,
2002-06,-383.00M,,,,514.00M,75.00M,8.00M,83.00M,83.00M,-9.00M,,,,8.00M,-140.00M,60.00M,,72.00M,11.00M,36.00M,,,252.00M,,2002-06,-78.00M,0.00,-78.00M,,,-112.00M,,2002-06,,,281.00M,3.00M,-97.00M,-94.00M,,-91.00M,,96.00M,,2002-06,380.00M,,616.00M,,2002-06,3.00M,,,,2002-06,,
2002-03,57.00M,,,,40.00M,84.00M,7.00M,91.00M,91.00M,25.00M,,,,,-2.00M,-112.00M,,-129.00M,-103.00M,-74.00M,,,-207.00M,,2002-03,-68.00M,26.00M,-42.00M,,,-256.00M,,2002-03,,,680.00M,16.00M,-67.00M,-51.00M,,-46.00M,,583.00M,,2002-03,260.00M,,380.00M,,2002-03,16.00M,,,,2002-03,,
2001-12,257.00M,,,,-800.00M,100.00M,23.00M,123.00M,123.00M,131.00M,,,,412.00M,186.00M,252.00M,,112.00M,144.00M,47.00M,,,874.00M,,2001-12,-133.00M,,482.00M,0.00,244.00M,724.00M,,2001-12,,,-1.591B,-24.00M,-3.00M,-27.00M,,-46.00M,,-1.637B,,2001-12,299.00M,,260.00M,,2001-12,-24.00M,,,,2001-12,AOR,Restated
2001-09,-330.00M,,,,357.00M,97.00M,32.00M,129.00M,129.00M,-61.00M,,,,-21.00M,18.00M,61.00M,,-40.00M,9.00M,8.00M,,,130.00M,,2001-09,-126.00M,,-126.00M,-46.00M,6.00M,-186.00M,,2001-09,,,157.00M,3.00M,-2.00M,1.00M,,-46.00M,,112.00M,,2001-09,243.00M,,299.00M,,2001-09,3.00M,,,,2001-09,,
2001-06,126.00M,,,,48.00M,105.00M,30.00M,135.00M,135.00M,13.00M,,,,11.00M,-5.00M,-20.00M,,-59.00M,-12.00M,-3.00M,,,234.00M,,2001-06,-150.00M,,-150.00M,-392.00M,,-674.00M,,2001-06,,,508.00M,8.00M,0.00,8.00M,,-46.00M,,470.00M,,2001-06,213.00M,,243.00M,,2001-06,8.00M,,,,2001-06,,
2001-03,113.00M,,,,53.00M,98.00M,29.00M,127.00M,127.00M,13.00M,,,,-3.00M,-199.00M,-190.00M,,24.00M,-141.00M,-52.00M,,,-255.00M,,2001-03,-123.00M,,-123.00M,-158.00M,,-184.00M,,2001-03,,,438.00M,13.00M,-42.00M,-29.00M,,-46.00M,,363.00M,,2001-03,289.00M,,213.00M,,2001-03,13.00M,,,,2001-03,,
2000-12,-218.00M,,,,-49.00M,382.00M,112.00M,124.00M,124.00M,0.00,,,,515.00M,159.00M,165.00M,,-8.00M,41.00M,82.00M,,,642.00M,,2000-12,-169.00M,,358.00M,-10.00M,-243.00M,-178.00M,,2000-12,,,-207.00M,-11.00M,-69.00M,-80.00M,,-46.00M,,-319.00M,,2000-12,144.00M,,289.00M,,2000-12,-11.00M,,,,2000-12,,Restated
2000-09,158.00M,,,,10.00M,,,123.00M,123.00M,36.00M,,,,-13.00M,12.00M,60.00M,,-21.00M,-24.00M,-121.00M,,,220.00M,,2000-09,-112.00M,,-112.00M,-84.00M,0.00,261.00M,,2000-09,,,-486.00M,3.00M,-37.00M,-34.00M,,-47.00M,,-567.00M,,2000-09,230.00M,,144.00M,,2000-09,3.00M,,,,2000-09,,
2000-06,179.00M,,,,10.00M,-94.00M,-27.00M,126.00M,126.00M,21.00M,,,,-6.00M,34.00M,-50.00M,,-101.00M,42.00M,-26.00M,,,229.00M,,2000-06,-127.00M,,-127.00M,19.00M,-25.00M,-557.00M,,2000-06,,,566.00M,3.00M,-97.00M,-94.00M,,-48.00M,,424.00M,,2000-06,134.00M,,230.00M,,2000-06,3.00M,,,,2000-06,,
2000-03,158.00M,,,,7.00M,94.00M,27.00M,121.00M,121.00M,-48.00M,,,,2.00M,-136.00M,-170.00M,,-8.00M,-59.00M,65.00M,,,-68.00M,,2000-03,-119.00M,,-119.00M,-19.00M,-109.00M,-448.00M,,2000-03,,,634.00M,5.00M,-150.00M,-145.00M,,-48.00M,,441.00M,,2000-03,209.00M,,134.00M,,2000-03,5.00M,,,,2000-03,,
1999-12,201.00M,,,,-20.00M,,,122.00M,122.00M,20.00M,,,,-7.00M,70.00M,152.00M,,113.00M,-10.00M,-28.00M,,,613.00M,,1999-12,-182.00M,-205.00M,-387.00M,-841.00M,,-1.427B,,1999-12,,,853.00M,3.00M,-239.00M,-236.00M,,-4.00M,,613.00M,,1999-12,410.00M,,209.00M,,1999-12,3.00M,,,,1999-12,,
1999-09,146.00M,,,,8.00M,,,111.00M,111.00M,8.00M,,,,-8.00M,47.00M,-38.00M,,22.00M,17.00M,53.00M,,,366.00M,,1999-09,-128.00M,-221.00M,-349.00M,-733.00M,,-1.073B,,1999-09,,,937.00M,4.00M,-34.00M,-30.00M,,-48.00M,,859.00M,,1999-09,258.00M,,410.00M,,1999-09,4.00M,,,,1999-09,,
1999-06,1.777B,,,,-1.608B,,,108.00M,108.00M,35.00M,,,,-5.00M,-15.00M,-71.00M,,13.00M,-52.00M,-44.00M,,,138.00M,,1999-06,-72.00M,-469.00M,-541.00M,,,-1.001B,,1999-06,,,845.00M,17.00M,-105.00M,-88.00M,,-49.00M,,708.00M,,1999-06,0.00,,258.00M,,1999-06,17.00M,,,,1999-06,,
1999-03,145.00M,,,,7.00M,,,99.00M,99.00M,,,,,10.00M,-68.00M,-30.00M,,1.00M,-99.00M,-66.00M,,,-1.00M,,1999-03,-150.00M,3.845B,3.695B,,,3.544B,,1999-03,,,-2.745B,26.00M,-373.00M,-347.00M,,-91.00M,,-3.183B,,1999-03,53.00M,,0.00,,1999-03,26.00M,,,,1999-03,,
1998-12,160.00M,,,,-71.00M,,,100.00M,100.00M,-16.00M,,,,23.00M,15.00M,67.00M,,58.00M,32.00M,38.00M,,125.00M,531.00M,,1998-12,285.00M,-43.00M,242.00M,,,-1.033B,,1998-12,,,904.00M,27.00M,-431.00M,-404.00M,,-5.00M,,495.00M,,1998-12,60.00M,,53.00M,,1998-12,27.00M,,,,1998-12,,
1998-09,142.00M,,,,121.00M,,,93.00M,93.00M,-11.00M,,,,12.00M,-18.00M,-26.00M,,41.00M,-17.00M,35.00M,,-125.00M,247.00M,,1998-09,-564.00M,0.00,-564.00M,,,-27.00M,,1998-09,,,61.00M,5.00M,-281.00M,-276.00M,,-45.00M,,-260.00M,,1998-09,0.00,,60.00M,,1998-09,5.00M,,,,1998-09,,
1998-06,164.00M,,,,-71.00M,,,86.00M,86.00M,11.00M,,,,-5.00M,-25.00M,-44.00M,,-40.00M,-3.00M,71.00M,,,144.00M,,1998-06,113.00M,160.00M,273.00M,,,-216.00M,,1998-06,,,189.00M,9.00M,,9.00M,,-46.00M,,152.00M,,1998-06,0.00,,0.00,,1998-06,9.00M,,,,1998-06,,
