,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,189.00M,,,,,,,105.00M,105.00M,2.00M,,,,42.00M,63.00M,-128.00M,,15.00M,-119.00M,-263.00M,9.00M,,-85.00M,,2018-03,-77.00M,,,,,6.00M,,2018-03,-19.00M,2.00M,-17.00M,,-344.00M,-344.00M,-5.00M,-5.00M,,-358.00M,,2018-03,1.262B,11.00M,836.00M,,2018-03,,,-19.00M,,2018-03,AOR,Restated
2017-12,-106.00M,0.00,,,0.00,,,115.00M,115.00M,206.00M,,22.00M,,9.00M,-16.00M,324.00M,,22.00M,-27.00M,-69.00M,118.00M,-3.00M,595.00M,,2017-12,-147.00M,,,-1.00M,,-134.00M,,2017-12,-371.00M,,-371.00M,,-131.00M,-131.00M,-5.00M,-5.00M,,-497.00M,,2017-12,1.294B,4.00M,1.262B,,2017-12,,354.00M,-725.00M,,2017-12,AOR,Restated
2017-09,159.00M,0.00,,,0.00,,,114.00M,114.00M,119.00M,,4.00M,,-259.00M,-95.00M,149.00M,,-38.00M,16.00M,24.00M,-95.00M,-1.00M,97.00M,,2017-09,-115.00M,,,-1.00M,,-101.00M,,2017-09,265.00M,,265.00M,,-122.00M,-122.00M,-5.00M,-5.00M,,155.00M,,2017-09,1.129B,14.00M,1.294B,,2017-09,,307.00M,-42.00M,,2017-09,AOR,Restated
2017-06,153.00M,,,,,,,112.00M,112.00M,8.00M,,10.00M,,70.00M,-22.00M,61.00M,,-38.00M,-3.00M,90.00M,17.00M,2.00M,460.00M,,2017-06,-85.00M,,,-11.00M,,-66.00M,,2017-06,-23.00M,-100.00M,-123.00M,,-143.00M,-143.00M,-5.00M,-5.00M,,-269.00M,,2017-06,997.00M,7.00M,1.129B,,2017-06,,13.00M,-36.00M,,2017-06,AOR,Restated
2017-03,100.00M,,,,,,,106.00M,106.00M,13.00M,,11.00M,,56.00M,-103.00M,-122.00M,,-102.00M,-30.00M,-158.00M,38.00M,-25.00M,-216.00M,,2017-03,-76.00M,,,-318.00M,,-344.00M,,2017-03,324.00M,100.00M,424.00M,,-186.00M,-186.00M,-6.00M,-6.00M,,251.00M,,2017-03,1.298B,8.00M,997.00M,,2017-03,,362.00M,-38.00M,,2017-03,AOR,Restated
2016-12,215.00M,,,,,,,118.00M,118.00M,18.00M,,4.00M,,49.00M,59.00M,285.00M,,359.00M,-71.00M,,27.00M,0.00,782.00M,,2016-12,-140.00M,,,-7.00M,,-44.00M,,2016-12,-19.00M,-110.00M,-129.00M,,-26.00M,-26.00M,-6.00M,-6.00M,,-154.00M,,2016-12,739.00M,-25.00M,1.298B,,2016-12,,-105.00M,-24.00M,,2016-12,AOR,Restated
2016-09,299.00M,,,,,,,108.00M,108.00M,-2.00M,,36.00M,,43.00M,-12.00M,-183.00M,,86.00M,28.00M,,-228.00M,-1.00M,174.00M,,2016-09,-99.00M,,,0.00,,-94.00M,,2016-09,-185.00M,110.00M,-75.00M,,0.00,0.00,-5.00M,-5.00M,,-82.00M,,2016-09,743.00M,-2.00M,739.00M,,2016-09,,268.00M,-343.00M,,2016-09,AOR,Restated
2016-06,178.00M,,,,,,,114.00M,114.00M,13.00M,,0.00,,78.00M,63.00M,-141.00M,,-147.00M,-33.00M,,-5.00M,-1.00M,119.00M,,2016-06,-119.00M,,,-15.00M,,-73.00M,,2016-06,-44.00M,-42.00M,-86.00M,,0.00,0.00,-5.00M,-5.00M,,-76.00M,,2016-06,778.00M,-5.00M,743.00M,,2016-06,,-42.00M,-44.00M,,2016-06,AOR,Restated
2016-03,151.00M,,,,,,,109.00M,109.00M,19.00M,,0.00,,32.00M,-143.00M,-313.00M,,-83.00M,61.00M,,17.00M,0.00,-150.00M,,2016-03,-88.00M,,,-164.00M,,-225.00M,,2016-03,316.00M,42.00M,358.00M,,-215.00M,-215.00M,-6.00M,-6.00M,,144.00M,,2016-03,1.005B,4.00M,778.00M,,2016-03,,404.00M,-46.00M,,2016-03,AOR,Restated
2015-12,225.00M,,,,,,,129.00M,129.00M,15.00M,,7.00M,,61.00M,108.00M,415.00M,,-250.00M,-42.00M,,7.00M,0.00,675.00M,,2015-12,-134.00M,,,0.00,,-118.00M,,2015-12,-154.00M,,-154.00M,,-8.00M,-8.00M,-5.00M,-5.00M,,-160.00M,,2015-12,614.00M,-6.00M,1.005B,,2015-12,,6.00M,-160.00M,,2015-12,AOR,Restated
