,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-10,722.00M,722.00M,765.00M,,765.00M,375.00M,535.00M,910.00M,,66.00M,2.463B,,,,,2.352B,,2.352B,,2.352B,3.987B,3.34B,7.327B,,,,275.00M,9.954B,12.42B,,1.049B,108.00M,86.00M,1.243B,579.00M,1.822B,,,,,1.084B,,1.084B,,,,2.906B,4.996B,,4.996B,939.00M,939.00M,,,4.00M,803.00M,6.738B,9.644B,,12.00M,3.387B,370.00M,991.00M,,,-9.00M,2.769B,,AOR,
2020-07,859.00M,859.00M,530.00M,45.00M,575.00M,297.00M,574.00M,871.00M,,80.00M,2.385B,0.00,75.00M,1.473B,3.463B,254.00M,274.00M,5.539B,-2.917B,2.622B,3.986B,3.35B,7.336B,,,,19.00M,9.987B,12.37B,,1.049B,107.00M,24.00M,1.18B,363.00M,1.543B,,280.00M,,919.00M,1.199B,70.00M,1.269B,,,11.00M,3.075B,4.987B,191.00M,5.178B,914.00M,994.00M,462.00M,,6.00M,94.00M,6.728B,9.803B,,12.00M,3.19B,394.00M,1.023B,,,-10.00M,2.563B,,AOR,
2020-04,1.242B,1.242B,662.00M,,662.00M,291.00M,440.00M,731.00M,,111.00M,2.746B,,,,,2.34B,,2.34B,,2.34B,3.981B,3.362B,7.343B,,,,289.00M,9.972B,12.72B,,993.00M,108.00M,45.00M,1.146B,619.00M,1.765B,,485.00M,300.00M,716.00M,1.501B,3.00M,1.504B,,,,3.269B,5.191B,,5.191B,959.00M,959.00M,,,6.00M,718.00M,6.868B,10.14B,,12.00M,3.212B,386.00M,1.028B,,,-7.00M,2.575B,,AOR,
2020-01,58.00M,58.00M,660.00M,,660.00M,294.00M,485.00M,779.00M,,59.00M,1.556B,,,,,2.336B,,2.336B,,2.336B,3.988B,3.373B,7.361B,,,,401.00M,10.10B,11.65B,,923.00M,108.00M,3.00M,1.034B,600.00M,1.634B,,401.00M,,500.00M,901.00M,1.00M,902.00M,,,,2.536B,4.919B,,4.919B,956.00M,956.00M,,,5.00M,744.00M,6.619B,9.155B,,12.00M,3.151B,374.00M,1.048B,,,5.00M,2.494B,,AOR,
2019-10,61.00M,61.00M,729.00M,,729.00M,328.00M,559.00M,887.00M,,61.00M,2.053B,,,,,2.352B,,2.352B,,2.352B,3.988B,3.383B,7.371B,,,,1.334B,11.06B,13.11B,,890.00M,108.00M,56.00M,1.054B,567.00M,1.621B,,,,,1.631B,,1.631B,,,183.00M,3.435B,6.706B,,6.706B,942.00M,942.00M,,,10.00M,737.00M,8.426B,11.86B,,12.00M,2.05B,356.00M,1.053B,,,-126.00M,1.239B,,AOR,Restated
2019-07,31.00M,31.00M,525.00M,49.00M,574.00M,271.00M,592.00M,863.00M,,71.00M,1.967B,0.00,83.00M,1.474B,3.473B,29.00M,185.00M,5.244B,-2.76B,2.484B,4.017B,3.415B,7.432B,77.00M,,,1.167B,11.18B,13.15B,,814.00M,107.00M,15.00M,936.00M,367.00M,1.303B,,853.00M,,497.00M,1.35B,21.00M,1.371B,,,477.00M,3.385B,7.10B,3.00M,7.103B,924.00M,1.003B,389.00M,,9.00M,91.00M,8.651B,12.04B,,12.00M,1.993B,372.00M,1.076B,,,-198.00M,1.103B,,AOR,Restated
2019-04,202.00M,202.00M,753.00M,,753.00M,322.00M,562.00M,884.00M,,102.00M,2.161B,,,,,2.769B,,2.769B,,2.769B,4.702B,3.587B,8.289B,,,,549.00M,11.61B,13.77B,,841.00M,107.00M,18.00M,966.00M,672.00M,1.638B,,,,,1.773B,,1.773B,,,100.00M,3.511B,7.507B,,7.507B,990.00M,990.00M,,,9.00M,519.00M,9.02B,12.53B,,12.00M,2.107B,360.00M,1.077B,,,-174.00M,1.228B,,AOR,Restated
2019-01,203.00M,203.00M,927.00M,,927.00M,465.00M,611.00M,1.076B,,89.00M,2.295B,,,,,3.036B,,3.036B,,3.036B,4.721B,3.752B,8.473B,,,,220.00M,11.73B,14.02B,,930.00M,107.00M,24.00M,1.061B,784.00M,1.845B,,,,,1.454B,,1.454B,,,,3.299B,8.003B,,8.003B,904.00M,904.00M,,,9.00M,540.00M,9.447B,12.75B,,12.00M,2.13B,349.00M,1.079B,,,-143.00M,1.269B,,AOR,Restated
2018-10,205.00M,205.00M,995.00M,,995.00M,504.00M,722.00M,1.226B,,95.00M,2.521B,,,,,3.162B,,3.162B,,3.162B,4.689B,3.991B,8.68B,,,,224.00M,12.07B,14.59B,,951.00M,107.00M,55.00M,1.113B,704.00M,1.817B,,,,,1.845B,,1.845B,,,,3.662B,8.001B,,8.001B,960.00M,960.00M,,,9.00M,549.00M,9.51B,13.17B,,12.00M,2.295B,339.00M,1.084B,,,-156.00M,1.406B,,AOR,Restated
2018-07,49.00M,49.00M,510.00M,53.00M,563.00M,312.00M,575.00M,887.00M,,71.00M,2.296B,0.00,82.00M,1.439B,3.554B,,164.00M,5.239B,-2.773B,2.466B,3.864B,3.664B,7.528B,92.00M,,2.00M,2.084B,12.23B,14.53B,,705.00M,107.00M,10.00M,822.00M,351.00M,1.173B,,1.14B,,385.00M,1.525B,0.00,1.525B,,,734.00M,3.594B,7.991B,0.00,7.991B,960.00M,1.05B,347.00M,,9.00M,103.00M,9.562B,13.16B,,12.00M,2.224B,349.00M,1.103B,,,-118.00M,1.364B,,AOR,Restated
