,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,457.60M,457.60M,492.53M,,492.53M,99.57M,,,142.59M,1.192B,,,16.41B,-2.650B,13.76B,731.26M,,731.26M,,,,790.19M,,15.28B,16.48B,,,,,,,285.00M,,,0.171M,0.171M,,,,512.67M,797.84M,,5.116B,8.437M,5.125B,2.238B,,2.884B,,,,8.465B,9.263B,,0.641M,2.610B,4.600B,,2.532M,7.213B,,AOR,
2020-09,20.81M,20.81M,140.26M,39.59M,230.60M,118.78M,40.34M,,14.46M,471.26M,227.15M,418.06M,16.18B,-2.602B,13.58B,731.26M,,731.26M,103.95M,,74.99M,,23.37M,14.89B,15.36B,,141.08M,148.29M,42.05M,331.42M,106.20M,437.62M,,,35.88M,35.88M,56.48M,76.47M,,145.76M,782.40M,20.35M,4.523B,209.54M,4.733B,2.154B,10.06M,2.164B,337.30M,0.00,55.51M,7.785B,8.568B,,0.629M,2.471B,4.377B,,-57.59M,6.791B,,AOR,
2020-06,208.06M,208.06M,236.47M,,236.47M,84.89M,,,72.74M,602.16M,,,15.44B,-2.562B,12.88B,730.71M,,730.71M,,,,657.27M,,14.27B,14.87B,,200.12M,,,200.12M,,200.12M,,,0.157M,0.157M,,,,502.41M,702.69M,,4.523B,8.479M,4.531B,2.123B,,2.717B,,,,7.707B,8.410B,,0.617M,2.477B,4.100B,,-116.73M,6.461B,,AOR,
2020-03,320.10M,320.10M,377.82M,,377.82M,68.06M,,,63.58M,829.56M,,,15.04B,-2.497B,12.55B,730.71M,,730.71M,,,,607.89M,,13.89B,14.72B,,190.09M,,,190.09M,,190.09M,,200.05M,,200.05M,,,,543.25M,933.39M,,4.329B,,4.329B,2.116B,,2.701B,,,,7.479B,8.412B,,0.612M,2.430B,3.986B,,-112.64M,6.304B,,AOR,
2019-12,189.27M,189.27M,435.62M,,435.62M,115.26M,,,71.98M,812.13M,,,14.69B,-2.441B,12.25B,730.71M,,730.71M,,,,594.87M,,13.58B,14.39B,,308.11M,,,308.11M,,308.11M,,0.05M,,0.05M,,,,537.01M,845.17M,,4.324B,,4.324B,2.052B,,2.640B,,,,7.415B,8.260B,,0.611M,2.261B,3.980B,,-113.53M,6.128B,,AOR,Restated
2019-09,24.55M,24.55M,126.98M,40.50M,230.57M,136.05M,38.90M,,2.609M,458.03M,,421.69M,14.18B,-2.393B,11.79B,730.71M,,730.71M,101.88M,10.10M,0.225M,,18.79M,12.91B,13.37B,,176.58M,135.60M,36.82M,349.00M,103.01M,452.00M,464.92M,464.92M,0.00,464.92M,54.62M,68.73M,,142.38M,1.209B,17.05M,3.529B,0.00,3.529B,2.005B,12.57M,2.018B,279.08M,1.249M,74.14M,6.408B,7.617B,,0.597M,2.152B,3.712B,,-114.58M,5.750B,,AOR,Restated
2019-06,46.16M,46.16M,285.43M,,285.43M,106.01M,,,65.92M,503.53M,,,13.69B,-2.347B,11.34B,730.42M,,730.42M,,,,306.55M,,12.38B,12.88B,,206.50M,,,206.50M,,206.50M,,199.94M,,199.94M,,,,494.93M,901.37M,,3.529B,,3.529B,1.990B,,2.166B,177.60M,,,6.338B,7.239B,,0.591M,2.157B,3.600B,,-115.66M,5.642B,,AOR,Restated
2019-03,108.35M,108.35M,419.61M,,419.61M,78.15M,,,65.07M,671.18M,,,13.27B,-2.300B,10.97B,730.42M,,730.42M,,,,301.62M,,12.00B,12.67B,,244.04M,,,244.04M,,244.04M,,125.00M,,125.00M,,,,495.10M,864.14M,,3.529B,,3.529B,1.965B,,2.135B,176.59M,,,6.303B,7.167B,,0.585M,2.139B,3.486B,,-116.81M,5.508B,,AOR,Restated
2018-12,218.20M,218.20M,478.37M,,478.37M,146.55M,,,69.62M,912.74M,,,12.95B,-2.25B,10.70B,730.42M,,730.42M,,,,274.40M,,11.70B,12.62B,,301.73M,,,301.73M,,301.73M,,575.00M,,575.00M,,,,578.76M,1.455B,,3.085B,,3.085B,1.910B,,2.082B,176.58M,,,5.812B,7.268B,,0.584M,1.985B,3.476B,,-114.12M,5.348B,,AOR,Restated
2018-09,13.77M,13.77M,138.79M,48.29M,253.30M,173.84M,33.23M,,1.42M,478.85M,,349.72M,12.57B,-2.196B,10.37B,730.42M,,730.42M,99.38M,10.10M,0.25M,,15.53M,11.40B,11.87B,,135.16M,123.46M,48.72M,307.34M,72.89M,380.23M,1.151B,1.151B,,1.151B,52.65M,147.35M,,174.20M,1.915B,12.89M,2.494B,,2.494B,1.894B,11.01M,1.905B,177.52M,0.103M,55.43M,5.189B,7.104B,,0.556M,1.878B,2.975B,,-83.65M,4.770B,,AOR,Restated
