,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,217.68M,-0.816M,-0.816M,115.28M,115.28M,64.59M,,-2.976M,,-236.69M,157.07M,,-456.81M,,,,0.511M,2.706M,-453.59M,,597.39M,0.00,597.39M,216.00M,,216.00M,-79.02M,-79.02M,4.007M,-5.062M,733.31M,,20.81M,436.79M,457.60M,,216.00M,597.39M,0.00,,,,,AOR,
2020-09,65.33M,-1.295M,-1.295M,111.75M,111.75M,17.33M,,-9.474M,,-50.71M,142.51M,,-530.00M,,,,1.183M,3.569M,-525.25M,,0.00,0.00,0.00,266.26M,,266.26M,-71.77M,-71.77M,5.423M,-4.426M,195.48M,,208.06M,-187.26M,20.81M,,266.26M,0.00,464.92M,,,,,AOR,
2020-06,117.79M,-0.015M,-0.015M,107.10M,107.10M,6.37M,,-1.209M,,31.67M,261.71M,,-410.94M,,,,0.439M,1.467M,-409.03M,,200.00M,-199.92M,0.077M,100.00M,,100.00M,-70.60M,-70.60M,5.804M,0.00,35.28M,,320.10M,-112.04M,208.06M,,100.00M,200.00M,-199.92M,,,,,AOR,
2020-03,239.65M,-2.833M,-2.833M,105.92M,105.92M,63.94M,,7.76M,,46.90M,461.33M,,-465.55M,,,,0.471M,2.078M,-463.00M,,0.00,199.92M,199.92M,-0.958M,,-0.958M,-70.52M,-70.52M,4.054M,0.00,132.50M,,189.27M,130.83M,320.10M,,-0.958M,0.00,199.92M,,,,,AOR,
2019-12,178.67M,4.143M,4.143M,105.06M,105.06M,46.73M,,-0.616M,,-161.54M,172.44M,,-529.19M,,,,-1.602M,2.553M,-528.24M,,799.45M,-464.92M,334.54M,259.00M,,259.00M,-69.56M,-69.56M,4.267M,-7.738M,520.51M,,24.55M,164.72M,189.27M,,259.00M,799.45M,-464.92M,,,,,AOR,Restated
2019-09,58.41M,1.976M,1.976M,100.92M,100.92M,11.78M,,-10.18M,,-14.18M,159.84M,,-494.28M,,,,1.257M,4.762M,-488.26M,,-125.00M,389.97M,264.97M,100.37M,,100.37M,-63.74M,-63.74M,5.195M,0.00,306.80M,,46.16M,-21.61M,24.55M,,100.37M,0.00,375.84M,,,,,AOR,Restated
2019-06,80.47M,-1.643M,-1.643M,97.70M,97.70M,23.34M,,4.315M,,43.93M,248.10M,,-421.61M,,,,-4.818M,-0.549M,-426.98M,,0.00,74.94M,74.94M,99.65M,,99.65M,-61.65M,-61.65M,3.784M,-0.027M,116.69M,,108.35M,-62.19M,46.16M,,99.65M,0.00,74.94M,,,,,AOR,Restated
2019-03,214.89M,2.125M,2.125M,96.77M,96.77M,56.55M,,-0.897M,,26.71M,396.14M,,-361.18M,,,,1.74M,2.314M,-353.13M,,-1.773M,0.00,-1.773M,-0.649M,,-0.649M,-61.61M,-61.61M,6.103M,-94.94M,-152.86M,,218.20M,-109.84M,108.35M,,-0.649M,448.23M,-1.026B,,,,,AOR,Restated
2018-12,157.65M,-2.458M,-2.458M,96.06M,96.06M,40.34M,,6.231M,,-133.14M,164.68M,,-416.40M,,,,-0.963M,2.074M,-415.29M,,596.99M,-575.78M,21.21M,494.73M,,494.73M,-58.72M,-58.72M,4.241M,-6.432M,455.04M,,13.77M,204.43M,218.20M,,494.73M,596.99M,,,,,,AOR,Restated
2018-09,38.75M,-0.912M,-0.912M,92.66M,92.66M,25.16M,,-4.705M,,-74.44M,89.37M,,-379.12M,,,,-0.468M,3.245M,-376.34M,,0.00,331.00M,331.00M,0.00,,0.00,-54.90M,-54.90M,3.713M,0.00,279.82M,,20.93M,-7.159M,13.77M,,0.00,0.00,202.97M,,,,,AOR,Restated
