,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.520B,1.520B,767.98M,751.79M,172.73M,279.35M,452.08M,-104.86M,99.74M,1.452M,-98.28M,452.08M,299.71M,1.452M,99.74M,-98.28M,-104.69M,-98.28M,96.73M,29.90M,66.83M,,,-0.144M,66.69M,139.14M,557.16M,360.69M,196.47M,0.75,,,1.5659999999999998,0.75,0.74,,,1.5490000000000002,0.74,88.81M,89.52M,2.66
2020-06,1.470B,1.470B,739.34M,730.78M,178.12M,256.89M,435.01M,-15.14M,108.48M,1.685M,-106.80M,435.01M,295.76M,1.685M,108.48M,-106.80M,-10.86M,-106.80M,178.10M,44.75M,133.35M,,,-0.046M,133.30M,144.65M,635.18M,348.59M,286.58M,1.53,,,1.66,1.53,1.52,,,1.649,1.52,87.30M,87.90M,2.66
2020-03,1.445B,1.445B,736.28M,708.26M,180.45M,261.60M,442.05M,-19.17M,107.34M,4.273M,-103.06M,442.05M,266.21M,4.273M,107.34M,-103.06M,-14.00M,-103.06M,149.15M,30.19M,118.96M,,,-0.165M,118.79M,134.09M,592.36M,335.87M,256.49M,1.39,,,1.569,1.39,1.38,,,1.558,1.38,85.55M,86.14M,2.66
2019-12,1.417B,1.417B,725.64M,691.50M,160.56M,245.50M,406.06M,-25.22M,117.62M,7.532M,-110.08M,406.06M,285.44M,7.532M,117.62M,-110.08M,-12.89M,-110.08M,162.47M,37.63M,124.84M,,,0.16M,125.00M,144.38M,610.63M,330.54M,280.08M,1.47,,,1.6969999999999998,1.47,1.46,,,1.685,1.46,85.30M,86.05M,2.46
2019-09,1.397B,1.397B,704.34M,692.47M,161.57M,241.81M,403.39M,-3.402M,118.67M,8.201M,-110.47M,403.39M,289.08M,8.201M,118.67M,-110.47M,0.026M,-110.47M,178.64M,57.83M,120.81M,,,0.039M,120.85M,123.15M,619.20M,321.89M,297.31M,1.42,,,1.4469999999999998,1.42,1.41,,,1.4369999999999998,1.41,85.01M,85.57M,2.46
2019-06,1.385B,1.385B,698.18M,686.80M,159.20M,232.66M,391.86M,-3.16M,120.55M,7.762M,-112.78M,391.86M,294.94M,7.762M,120.55M,-112.78M,9.02M,-112.78M,191.18M,47.32M,143.85M,,,-0.325M,143.53M,145.90M,630.95M,319.22M,311.72M,1.7,,,1.7280000000000002,1.7,1.69,,,1.7180000000000002,1.69,84.40M,84.77M,2.46
2019-03,1.363B,1.363B,682.03M,681.19M,169.72M,215.05M,384.76M,-17.30M,122.85M,4.202M,-118.64M,384.76M,296.43M,4.202M,122.85M,-118.64M,-17.47M,-118.64M,160.32M,42.57M,117.75M,,,0.331M,118.08M,130.78M,596.34M,313.18M,283.16M,1.44,,,1.595,1.44,1.44,,,1.595,1.44,81.81M,82.09M,2.46
2018-12,1.310B,1.310B,670.94M,639.15M,161.80M,206.15M,367.95M,-12.64M,129.98M,3.002M,-126.98M,367.95M,271.20M,3.002M,129.98M,-126.98M,-8.146M,-126.98M,136.08M,26.05M,110.02M,,,0.00,110.02M,120.25M,572.92M,306.86M,266.05M,1.37,,,1.4969999999999999,1.37,1.36,,,1.486,1.36,80.52M,80.92M,2.28
2018-09,1.284B,1.284B,660.31M,623.44M,157.92M,206.90M,364.82M,8.625M,130.57M,2.912M,-127.65M,364.82M,258.62M,2.912M,130.57M,-127.65M,12.37M,-127.65M,143.34M,18.51M,124.82M,,,0.00,124.82M,117.31M,579.63M,305.73M,273.90M,1.56,,,1.466,1.56,1.55,,,1.456,1.55,79.87M,80.28M,2.28
2018-06,1.262B,1.262B,651.80M,610.14M,154.20M,210.49M,364.69M,-49.63M,134.67M,3.958M,-130.72M,364.69M,245.45M,3.958M,134.67M,-130.72M,-40.76M,-130.72M,73.97M,6.356M,67.62M,,,0.00,67.62M,112.98M,515.98M,307.33M,208.65M,0.85,,,1.421,0.85,0.85,,,1.419,0.85,79.48M,79.75M,2.28
