,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,66.83M,,91.71M,310.47M,50.22M,360.69M,360.69M,,7.306M,75.25M,,7.994M,-23.87M,,61.41M,-67.52M,-48.87M,6.265M,-72.58M,532.16M,-565.28M,,-565.28M,0.00,3.969M,,-603.21M,-1.998B,-1.998B,196.48M,,196.48M,-240.69M,-240.69M,31.73M,-77.78M,-2.089B,4.807B,-2.160B,18.51M,2.666B,196.48M,0.00,-1.998B,,,
2020-06,133.35M,,1.526M,299.23M,49.36M,348.59M,348.59M,,,75.84M,,10.61M,-29.54M,,0.117M,41.86M,-60.90M,45.66M,-2.803M,574.69M,-481.95M,,-481.95M,0.039M,-1.341M,,-529.44M,2.142B,2.142B,1.683B,,1.683B,-236.01M,-236.01M,0.00,-26.27M,3.563B,1.187B,3.608B,12.41M,4.807B,1.683B,3.087B,-944.38M,,,
2020-03,118.96M,,7.64M,287.38M,48.49M,335.87M,335.87M,,0.00,64.50M,,7.944M,15.31M,,-25.68M,-101.88M,47.75M,42.49M,-22.01M,516.83M,-400.94M,,-400.94M,-478.29M,-38.94M,,-954.54M,-131.19M,-131.19M,101.79M,,101.79M,-233.48M,-233.48M,30.39M,-4.619M,-237.10M,1.887B,-674.82M,-25.29M,1.187B,101.79M,250.00M,-381.19M,,,
2019-12,124.84M,,8.911M,281.86M,48.69M,330.54M,330.54M,,-0.233M,62.13M,,5.324M,96.48M,,-34.59M,-38.11M,-25.65M,0.156M,-1.708M,529.67M,-714.56M,,-714.56M,0.00,-5.776M,358.66M,-466.55M,658.48M,658.48M,0.00,,0.00,-210.36M,-210.36M,0.00,,381.47M,1.420B,444.60M,21.88M,1.887B,0.00,2.798B,-2.139B,,,
2019-09,120.81M,,-0.778M,273.05M,48.84M,321.89M,321.89M,,1.189M,63.87M,,4.38M,3.331M,,10.65M,-56.31M,-43.75M,72.22M,-13.86M,498.99M,-556.82M,,-556.82M,0.00,-2.905M,0.117M,-576.46M,-37.26M,-37.26M,99.42M,,99.42M,-212.75M,-212.75M,24.42M,,-126.16M,1.637B,-203.63M,-13.53M,1.420B,99.42M,0.00,-37.26M,,,
2019-06,143.85M,,0.00,270.01M,49.22M,319.22M,319.22M,,0.386M,61.52M,,6.806M,-42.37M,,7.476M,2.109M,-10.64M,52.06M,8.633M,542.92M,-444.17M,,-444.17M,-34.14M,-3.063M,,-523.09M,-179.83M,-179.83M,348.12M,,348.12M,-208.45M,-208.45M,0.00,,-40.16M,1.656B,-20.33M,2.106M,1.637B,348.12M,0.00,-179.83M,,,
2019-03,117.75M,,0.382M,263.64M,49.54M,313.18M,313.18M,,14.45M,49.02M,,8.152M,-84.35M,,-11.46M,-7.833M,-39.83M,57.09M,-86.38M,421.14M,-363.97M,,-363.97M,0.00,-8.779M,,-378.47M,-49.49M,-49.49M,1.213B,,1.213B,-204.60M,-204.60M,27.59M,,986.93M,627.60M,1.030B,-1.695M,1.656B,1.213B,0.00,-49.49M,,,
2018-12,110.02M,,12.16M,256.89M,49.97M,306.86M,306.86M,,0.00,40.87M,,9.629M,32.20M,,30.71M,-25.23M,16.85M,22.21M,76.73M,558.63M,-680.66M,,-680.66M,-0.502M,1.402M,0.00,-725.57M,-32.09M,-32.09M,114.30M,,114.30M,-183.86M,-183.86M,0.033M,0.725M,-100.90M,898.40M,-267.84M,-2.963M,627.60M,114.30M,0.00,-32.09M,,,
2018-09,124.82M,,-7.505M,253.93M,51.79M,305.73M,305.73M,,0.00,47.59M,,8.19M,-46.68M,,29.11M,-25.94M,-9.409M,-10.01M,-62.94M,417.16M,-545.54M,,-545.54M,1.808M,6.452M,12.15M,-619.96M,0.768M,0.768M,266.25M,,266.25M,-185.98M,-185.98M,24.24M,-1.215M,104.06M,1.002B,-98.73M,-5.104M,898.40M,266.25M,424.65M,-423.88M,,,
2018-06,67.62M,,19.22M,256.30M,51.04M,307.33M,307.33M,,0.00,49.72M,,6.856M,32.83M,,10.82M,10.23M,41.26M,-7.485M,87.66M,538.73M,-520.24M,,-520.24M,-830.99M,13.24M,,-1.365B,-32.88M,-32.88M,7.622M,,7.622M,-181.76M,-181.76M,0.013M,0.728M,-206.28M,2.069B,-1.033B,-33.74M,1.002B,7.622M,0.00,-32.88M,,,
