,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,435.00M,,435.00M,1.537B,,1.537B,,,1.284B,,,226.00M,3.482B,,,,,4.371B,,4.371B,,4.371B,5.799B,2.491B,8.29B,391.00M,,1.462B,14.51B,18.00B,,2.471B,,2.471B,776.00M,3.247B,102.00M,,,627.00M,729.00M,117.00M,846.00M,1.145B,5.238B,6.746B,520.00M,7.266B,562.00M,562.00M,769.00M,524.00M,525.00M,9.122B,14.36B,,105.00M,8.326B,972.00M,4.559B,,,-1.732B,3.112B,,AOR,
2020-09,1.329B,250.00M,1.579B,1.392B,217.00M,1.626B,334.00M,929.00M,1.263B,,,285.00M,4.753B,9.10B,,,,657.00M,,9.757B,-5.616B,4.141B,5.78B,2.498B,8.278B,398.00M,219.00M,507.00M,14.17B,18.92B,,2.449B,29.00M,2.478B,1.123B,3.601B,,,116.00M,1.417B,1.533B,120.00M,1.653B,780.00M,6.034B,7.00B,523.00M,7.523B,587.00M,587.00M,704.00M,542.00M,434.00M,9.302B,15.34B,,105.00M,8.318B,948.00M,4.57B,,,-1.757B,3.044B,,AOR,
2020-06,1.047B,200.00M,1.247B,1.429B,250.00M,1.692B,327.00M,903.00M,1.23B,,,323.00M,4.492B,8.921B,,,,662.00M,,9.583B,-5.485B,4.098B,5.768B,2.486B,8.254B,399.00M,223.00M,504.00M,14.06B,18.55B,,2.393B,146.00M,2.539B,947.00M,3.486B,,,121.00M,1.396B,1.517B,115.00M,1.632B,738.00M,5.856B,6.929B,532.00M,7.461B,597.00M,597.00M,728.00M,536.00M,421.00M,9.289B,15.14B,,105.00M,8.166B,929.00M,4.613B,,,-1.717B,2.87B,,AOR,
2020-03,1.016B,,1.016B,1.451B,251.00M,1.748B,312.00M,877.00M,1.189B,,,337.00M,4.29B,8.825B,,,,596.00M,,9.421B,-5.385B,4.036B,5.772B,2.503B,8.275B,402.00M,222.00M,764.00M,13.95B,18.24B,,2.329B,99.00M,2.428B,857.00M,3.285B,,565.00M,92.00M,626.00M,1.283B,112.00M,1.395B,915.00M,5.595B,7.163B,474.00M,7.637B,592.00M,592.00M,720.00M,538.00M,402.00M,9.433B,15.03B,,105.00M,8.01B,911.00M,4.625B,,,-1.727B,2.674B,,AOR,
2019-12,397.00M,,397.00M,1.305B,215.00M,1.576B,303.00M,923.00M,1.226B,,,232.00M,3.431B,0.00,116.00M,2.021B,6.348B,541.00M,566.00M,9.592B,-5.439B,4.153B,5.861B,2.576B,8.437B,404.00M,231.00M,667.00M,14.13B,17.56B,,2.387B,42.00M,2.429B,931.00M,3.36B,,3.00M,104.00M,620.00M,727.00M,114.00M,841.00M,577.00M,4.778B,7.195B,433.00M,7.628B,596.00M,596.00M,738.00M,567.00M,429.00M,9.472B,14.25B,,105.00M,7.859B,921.00M,4.69B,,,-1.448B,2.747B,,AOR,
2019-09,453.00M,,453.00M,1.39B,239.00M,1.643B,320.00M,880.00M,1.20B,,,196.00M,3.492B,8.804B,,,,464.00M,,9.268B,-5.311B,3.957B,5.842B,2.572B,8.414B,405.00M,256.00M,700.00M,14.01B,17.50B,,2.338B,294.00M,2.632B,902.00M,3.534B,,25.00M,160.00M,6.00M,191.00M,105.00M,296.00M,559.00M,4.389B,7.683B,366.00M,8.049B,589.00M,589.00M,641.00M,561.00M,446.00M,9.822B,14.21B,,105.00M,7.91B,909.00M,4.714B,,,-1.483B,2.727B,,AOR,Restated
2019-06,340.00M,,340.00M,1.40B,225.00M,1.643B,327.00M,907.00M,1.234B,,,175.00M,3.504B,,,,,9.229B,,9.229B,-5.288B,3.941B,5.871B,2.587B,8.458B,407.00M,256.00M,1.836B,15.16B,18.67B,,2.401B,10.00M,2.411B,846.00M,3.257B,,355.00M,213.00M,508.00M,1.076B,103.00M,1.179B,553.00M,4.989B,8.262B,321.00M,8.583B,778.00M,778.00M,655.00M,562.00M,330.00M,10.47B,15.46B,,105.00M,7.858B,895.00M,4.739B,,,-1.469B,2.65B,,AOR,Restated
2019-03,272.00M,,272.00M,1.384B,227.00M,1.633B,356.00M,963.00M,1.319B,,,149.00M,3.373B,,,,,9.717B,,9.717B,-5.546B,4.171B,6.054B,3.349B,9.403B,410.00M,245.00M,612.00M,15.09B,18.46B,,2.37B,29.00M,2.399B,787.00M,3.186B,,409.00M,196.00M,509.00M,1.114B,108.00M,1.222B,570.00M,4.978B,8.183B,339.00M,8.522B,755.00M,755.00M,665.00M,564.00M,330.00M,10.39B,15.37B,,105.00M,7.762B,877.00M,4.744B,,,-1.467B,2.533B,,AOR,Restated
2018-12,321.00M,,321.00M,1.153B,194.00M,1.375B,339.00M,991.00M,1.33B,,,131.00M,3.157B,0.00,120.00M,2.061B,6.409B,,583.00M,9.173B,-5.442B,3.731B,6.05B,3.361B,9.411B,413.00M,246.00M,594.00M,14.62B,17.78B,,2.427B,48.00M,2.475B,866.00M,3.341B,,15.00M,161.00M,510.00M,686.00M,0.00,686.00M,502.00M,4.529B,8.207B,0.00,8.207B,730.00M,730.00M,685.00M,558.00M,355.00M,10.09B,14.62B,,105.00M,7.652B,895.00M,4.551B,,,-1.50B,2.601B,,AOR,Restated
2018-09,309.00M,,309.00M,1.382B,217.00M,1.612B,341.00M,978.00M,1.319B,,,163.00M,3.403B,,,,,9.134B,,9.134B,-5.495B,3.639B,6.055B,3.372B,9.427B,422.00M,246.00M,611.00M,14.71B,18.11B,,2.367B,33.00M,2.40B,854.00M,3.254B,,76.00M,126.00M,6.00M,208.00M,,208.00M,568.00M,4.03B,8.715B,,8.715B,752.00M,752.00M,552.00M,567.00M,329.00M,10.47B,14.50B,,105.00M,7.929B,883.00M,4.357B,,,-1.512B,3.048B,,AOR,Restated
