,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-05,2.582B,,,,,50.00M,50.00M,,,,909.00M,,,,,,11.92B,15.46B,,-312.00M,-312.00M,476.00M,-7.975B,-351.00M,-8.162B,,11.29B,-8.718B,2.571B,,,-1.345B,,,,-303.00M,649.00M,7.836B,,16.64B,15.13B,16.00M,31.79B,,,18.56B,-7.267B,,,,,,
2007-02,2.672B,,,,,204.00M,204.00M,,,,634.00M,,,,,,-33.68B,-30.16B,,-295.00M,-295.00M,-1.167B,,955.00M,-507.00M,,14.95B,4.523B,19.47B,,,-944.00M,,,,-305.00M,-468.00M,26.70B,,20.61B,-3.97B,,16.64B,,,21.84B,-6.893B,,,,,,
2006-11,2.206B,,40.00M,,40.00M,338.00M,338.00M,,,,445.00M,,,,,,-19.39B,-16.25B,,,-334.00M,-1.03B,,-1.185B,-2.549B,,8.831B,-11.71B,-2.877B,,,-742.00M,,,0.00,-303.00M,21.65B,20.86B,,18.55B,2.06B,,20.61B,,,14.59B,-5.755B,,,,,,
2006-08,1.851B,,3.00M,,3.00M,173.00M,173.00M,,,,734.00M,,,,,,-5.401B,-2.64B,,,-663.00M,0.00,,-1.435B,-2.098B,,3.677B,1.27B,4.947B,,,-908.00M,,,1.097B,-283.00M,1.023B,8.491B,,14.79B,3.753B,,18.55B,,,7.57B,-3.893B,,,,,,
2006-05,1.841B,,-3.00M,,-3.00M,186.00M,186.00M,,,,582.00M,,,,,,-23.52B,-20.92B,,129.00M,2.119B,0.00,,-1.768B,351.00M,,1.077B,9.727B,10.80B,,,17.00M,,,,-291.00M,193.00M,9.952B,,25.41B,-10.62B,,14.79B,,,10.10B,-9.022B,,,,,,
2006-02,1.574B,,,,,179.00M,179.00M,,,,1.043B,,,,,,-23.79B,-20.99B,,-129.00M,-129.00M,-1.676B,,3.756B,1.951B,,13.62B,-1.711B,11.91B,,,-1.10B,,,,-290.00M,-154.00M,15.03B,,29.41B,-4.005B,,25.41B,,,15.59B,-1.973B,,,,,,
2005-11,2.465B,,,,,125.00M,125.00M,,,,-31.82B,,,,,,29.76B,-538.00M,,-124.00M,-124.00M,0.00,,-2.184B,-2.308B,,27.96B,-19.75B,8.205B,,,-1.161B,,,,-291.00M,-1.015B,4.579B,,27.68B,1.733B,,29.41B,,,30.12B,-2.165B,,,,,,
2005-08,144.00M,,,,,212.00M,212.00M,,,,2.109B,,,,,,-2.492B,-27.00M,,-416.00M,-416.00M,-44.00M,,-1.255B,-1.715B,,-375.00M,10.82B,10.44B,,,-182.00M,,,,-293.00M,-9.199B,4.337B,,25.09B,2.595B,,27.68B,,,7.407B,-7.782B,,,,,,
2005-05,928.00M,,,,,247.00M,247.00M,,,,415.00M,,,,,,-18.05B,-16.46B,,86.00M,86.00M,-279.00M,,-996.00M,-1.189B,,-280.00M,9.265B,8.985B,,,-863.00M,,,,-295.00M,-1.467B,8.663B,,34.07B,-8.982B,,25.09B,,,3.164B,-3.444B,,,,,,
2005-02,1.402B,,,,,231.00M,231.00M,,,,146.00M,,,,,,-16.11B,-14.33B,,-86.00M,-86.00M,,,1.177B,1.091B,,9.26B,-5.511B,3.749B,,,-1.16B,,,,-301.00M,12.04B,14.50B,,32.81B,1.257B,,34.07B,,,12.60B,-3.344B,,,,,,
2004-11,1.20B,,,,,342.00M,342.00M,,,,46.68B,,,,,,-35.65B,12.37B,,-298.00M,-298.00M,0.00,,-1.711B,-2.009B,,7.732B,-32.03B,-24.30B,,,-606.00M,,,,-274.00M,,-23.80B,,46.24B,-13.43B,,32.81B,,,8.913B,-1.181B,,,,,,
2004-08,837.00M,,,,,169.00M,169.00M,,,,-2.916B,,,,,,8.487B,6.577B,,-85.00M,-85.00M,-758.00M,,-1.489B,-2.332B,,5.624B,3.692B,9.316B,,,-212.00M,,,,-274.00M,,9.928B,,32.07B,14.17B,,46.24B,,,7.629B,-2.005B,,,,,,
2004-05,1.223B,,,,,127.00M,127.00M,,,,-42.37B,,,,,,16.30B,-24.72B,,-125.00M,-125.00M,,,-1.838B,-1.963B,,3.457B,35.53B,38.98B,,,-99.00M,,,,-275.00M,-12.60B,25.19B,,33.56B,-1.49B,,32.07B,,,7.54B,-4.083B,,,,,,
2004-02,1.226B,,,,,167.00M,167.00M,,,,325.00M,,,,,,-20.46B,-18.74B,,-61.00M,-61.00M,,,3.269B,3.208B,,8.873B,-1.182B,7.691B,,,107.00M,,,,-273.00M,12.60B,19.40B,,29.69B,3.868B,,33.56B,,,13.52B,-4.646B,,,,,,
2003-11,1.014B,,,,-22.00M,79.00M,79.00M,,,,-108.00M,,,,,,3.256B,4.424B,,-79.00M,-79.00M,,,-1.245B,-1.324B,,2.829B,1.761B,4.59B,,,50.00M,,,-2.00B,-247.00M,400.00M,2.32B,,24.27B,5.42B,,29.69B,,,5.304B,-2.475B,,,,,,
2003-08,1.269B,,,,22.00M,558.00M,558.00M,,,,-7.546B,,,,,,7.45B,1.753B,,-142.00M,-142.00M,,,-139.00M,-281.00M,,-291.00M,-4.408B,-4.699B,,,39.00M,,,500.00M,-249.00M,-400.00M,-5.258B,,28.06B,-3.786B,,24.27B,,,1.81B,-2.101B,,,,,,
2003-05,599.00M,,,,,,,,,,2.50B,,,,,,8.963B,12.06B,,-175.00M,-175.00M,,,2.222B,2.047B,,3.818B,-19.12B,-15.30B,,,-144.00M,,,700.00M,-249.00M,,-15.36B,,29.31B,-1.251B,,28.06B,,,8.076B,-4.258B,,,,,,
2003-02,905.00M,,,,,,,,,,534.00M,,,,,,-17.32B,-15.88B,,-207.00M,-207.00M,,,1.528B,1.321B,,4.089B,9.723B,13.81B,,,-73.00M,,,800.00M,-249.00M,,14.66B,,29.21B,97.00M,,29.31B,,,8.296B,-4.207B,,,,,,
2002-11,732.00M,,,,125.00M,,,,,,7.11B,,,,,,-16.72B,-7.907B,,-267.00M,-267.00M,,,-1.824B,-2.091B,,167.00M,20.09B,20.26B,,,-636.00M,,,345.00M,-248.00M,,11.24B,,27.96B,1.247B,,29.21B,,,705.00M,-538.00M,,,,,,
2002-08,611.00M,,,,-198.00M,,,,,,27.22B,,,,,,-5.616B,22.02B,,-223.00M,-223.00M,,,-1.71B,-1.933B,,-1.146B,-13.14B,-14.28B,,,-178.00M,,,0.00,-250.00M,,-14.34B,,22.21B,5.753B,,27.96B,,,497.00M,-1.643B,,,,,,
2002-05,797.00M,,,,146.00M,,,,,,-32.99B,,,,,,20.11B,-11.94B,,-276.00M,-276.00M,,,5.00M,-271.00M,,5.058B,3.577B,8.635B,,,116.00M,,,-345.00M,-251.00M,,8.952B,,25.48B,-3.263B,,22.21B,,,7.023B,-1.965B,,,,,,
2002-02,848.00M,,,,-73.00M,,,,,,567.00M,,,,,,-8.566B,-7.224B,,-358.00M,-358.00M,,,-1.002B,-1.36B,,492.00M,7.416B,7.908B,,,-458.00M,,,,-251.00M,,7.463B,,26.60B,-1.121B,,25.48B,,,2.818B,-2.326B,,,,,,
2001-11,870.00M,,,,,,,,,,55.18B,,,,,,-36.78B,19.58B,,-651.00M,-651.00M,0.00,,468.00M,-183.00M,,-338.00M,-37.28B,-37.62B,,,-1.129B,,,1.01B,-253.00M,,-16.97B,,24.17B,2.43B,,26.60B,,,726.00M,-1.064B,,,,,,
2001-08,705.00M,,,,,,,,,,-15.71B,,,,,,14.18B,-829.00M,,-910.00M,-910.00M,0.00,,497.00M,-413.00M,,-1.264B,-947.00M,-2.211B,,,593.00M,,,-200.00M,-260.00M,,-1.688B,,27.10B,-2.93B,,24.17B,,,1.61B,-2.874B,,,,,,
2001-05,930.00M,,,,,,,,,,-34.59B,,,,,,-1.477B,-35.13B,,-233.00M,-233.00M,-183.00M,,348.00M,-68.00M,,8.815B,32.50B,41.32B,,,-414.00M,,,,-264.00M,,40.62B,,21.68B,5.418B,,27.10B,,,13.12B,-4.304B,,,,,,
2001-02,1.016B,,,,,,,,,,-3.037B,,,,,,-5.69B,-7.711B,,-204.00M,-204.00M,,,-19.00M,-223.00M,,84.00M,10.81B,10.89B,,,-436.00M,,,,-263.00M,,10.79B,,18.82B,2.859B,,21.68B,,,3.043B,-2.959B,,,,,,
2000-11,1.208B,,,,,,,,,,-63.99B,,,,,,57.09B,-5.179B,,-544.00M,-544.00M,0.00,,-2.191B,-2.735B,,1.956B,-3.25B,-1.294B,,,-1.628B,,,,-230.00M,12.15B,9.478B,,17.26B,1.564B,,18.82B,,,1.283B,673.00M,,,,,,
2000-08,1.246B,,7.10B,,7.10B,,,,,,16.56B,,,,,,-30.88B,-5.974B,,-231.00M,-231.00M,0.00,,2.522B,2.291B,,3.129B,2.173B,5.302B,,,-599.00M,,,,-230.00M,144.00M,4.982B,,15.96B,1.299B,,17.26B,,,8.57B,-5.441B,,,,,,
2000-05,1.458B,,8.524B,,8.524B,,,,,,-13.81B,,,,,,15.84B,12.01B,,-9.00M,-9.00M,-199.00M,,1.049B,841.00M,,3.783B,-15.05B,-11.26B,,,-953.00M,,,,-231.00M,-16.00M,-12.22B,,15.33B,627.00M,,15.96B,,,6.595B,-2.812B,,,,,,
2000-02,1.544B,,-15.62B,,-15.62B,,,,,,-1.561B,,,,,,12.40B,-3.237B,,-112.00M,-112.00M,,,-2.97B,-3.082B,,4.256B,5.561B,9.817B,,,-581.00M,,,,-233.00M,-128.00M,9.323B,,12.32B,3.004B,,15.33B,,,6.027B,-1.771B,,,,,,
1999-11,1.633B,,,,,,,,,,401.00M,,,,,,-24.64B,-22.22B,,-1.109B,-1.109B,0.00,,-3.881B,-4.99B,,-731.00M,5.254B,4.523B,,,-255.00M,,,,-142.00M,20.92B,26.16B,,13.38B,-1.057B,,12.32B,,,325.00M,-1.056B,,,,,,
1999-08,970.00M,,3.046B,,3.046B,,,,,,-1.128B,,,,,,-1.997B,891.00M,,117.00M,117.00M,-223.00M,,-2.144B,-2.25B,,55.00M,8.606B,8.661B,,,-1.151B,,,,-143.00M,-3.714B,4.13B,,10.61B,2.771B,,13.38B,,,674.00M,-619.00M,,,,,,
1999-05,1.151B,,15.73B,,15.73B,,,,,,1.621B,,,,,,-2.706B,15.80B,,-320.00M,-320.00M,,,760.00M,440.00M,,1.614B,-16.88B,-15.27B,,,-537.00M,,,,-144.00M,3.714B,-11.85B,,6.225B,4.386B,,10.61B,,,3.497B,-1.883B,,,,,,
1999-02,1.037B,,-18.78B,,-18.78B,,,,,,367.00M,,,,,,-6.036B,-23.41B,,-357.00M,-357.00M,,,227.00M,-130.00M,,-4.00M,13.02B,13.01B,,,-208.00M,,,,-146.00M,,12.88B,,16.88B,-10.65B,,6.225B,,,3.056B,-3.06B,,,,,,
1998-11,1.224B,,11.12B,,11.12B,,,,,,14.14B,,,,,,-8.223B,18.78B,,-75.00M,-75.00M,,,1.265B,1.19B,,-929.00M,3.933B,3.004B,,,-865.00M,,,-400.00M,-124.00M,-13.73B,-12.91B,,9.82B,7.058B,,16.88B,,,526.00M,-1.455B,,,,,,
1998-08,626.00M,,6.195B,,6.195B,,,,,,-10.94B,,,,,,3.971B,-148.00M,,-90.00M,-90.00M,,,-23.00M,-113.00M,,-87.00M,2.165B,2.078B,,,-723.00M,,,0.00,-130.00M,-275.00M,810.00M,,0.00,549.00M,,9.82B,,,1.343B,-1.43B,,,,,,
1998-05,852.00M,,-7.051B,,-7.051B,,,,,,-506.00M,,,,,,17.67B,10.97B,,-108.00M,-108.00M,,,2.634B,2.526B,,2.459B,-11.69B,-9.235B,,,-1.388B,,,400.00M,-131.00M,,-10.42B,,0.00,3.073B,,0.00,,,4.985B,-2.526B,,,,,,
1998-02,691.00M,,-10.26B,,-10.26B,,,,,,552.00M,,,,,,-5.211B,-14.23B,,-85.00M,-85.00M,,,-325.00M,-410.00M,,1.259B,11.22B,12.48B,,,37.00M,,,,-134.00M,,12.58B,,8.255B,-2.057B,,0.00,,,2.917B,-1.658B,,,,,,
1997-03,276.30M,,,,,22.60M,22.60M,44.20M,,,347.00M,,99.40M,,,-428.80M,-329.40M,360.70M,,,,,,,819.10M,,-418.10M,-1.460B,-1.878B,,,-7.40M,,,,-34.60M,,-1.994B,,1.999B,-814.30M,,0.00,,,,-418.10M,,,,,,
1996-12,-559.60M,,9.392B,,9.392B,83.30M,83.30M,-83.40M,,,377.40M,,,,,,-5.305B,3.904B,,114.00M,114.00M,,,1.449B,-1.236B,,-4.426B,-32.60M,-4.458B,,,433.60M,,,-195.00M,92.00M,542.00M,-2.564B,,0.00,104.70M,,0.00,,,-6.781B,2.355B,,,,,,
1996-09,1.026B,,-9.392B,,-9.392B,-39.90M,-39.90M,11.20M,,,429.10M,,,,,,6.274B,-1.691B,,-114.00M,-114.00M,,,-1.449B,-3.022B,,4.614B,2.414B,7.029B,,,-710.60M,,,195.00M,-162.70M,-542.00M,5.609B,,0.00,896.00M,,0.00,,,7.047B,-2.433B,,,,,,
1996-06,238.80M,,,,,20.30M,20.30M,-5.30M,,,284.90M,,,,,,-634.80M,-96.10M,,,,,,,-993.10M,,2.827B,-1.754B,1.073B,,,-169.50M,,,,-36.40M,-96.90M,1.156B,,0.00,67.20M,,0.00,,,-109.90M,2.936B,,,,,,
1996-03,245.80M,,,,,19.60M,19.60M,-5.90M,,,228.00M,,,,,,-396.00M,91.50M,,,,,,,2.452B,,-1.673B,-1.152B,-2.824B,,,-134.90M,,,,-26.90M,96.90M,-3.077B,,1.464B,-533.20M,,0.00,,,1.264B,-2.936B,,,,,,
1995-12,178.10M,,,,,19.20M,19.20M,-24.60M,,,575.10M,,0.90M,,,267.20M,268.10M,689.40M,,,,,,,-4.331B,,824.50M,3.09B,3.914B,,,-99.20M,,,,-27.10M,-107.40M,4.173B,,0.00,531.50M,,0.00,,,-141.20M,965.70M,,,,,,
1995-09,218.70M,,,,,19.20M,19.20M,-30.80M,,,-265.70M,,23.00M,,,-645.70M,-622.70M,-681.30M,,,,,,,-873.60M,,-261.10M,653.00M,391.90M,,,33.20M,,,,-26.80M,1.176B,1.690B,,0.00,135.30M,,0.00,,,704.60M,-965.70M,,,,,,
1995-06,237.50M,,,,,16.30M,16.30M,-12.40M,,,713.40M,,-203.60M,,,873.50M,669.90M,1.625B,,,,,,,-1.034B,,496.80M,-286.70M,210.10M,,,-3.40M,,,,-27.20M,-935.30M,-554.30M,,0.00,36.80M,,0.00,,,496.80M,,,,,,,
1995-03,222.10M,,,,,15.30M,15.30M,-25.60M,,,-221.90M,,153.50M,,,-299.40M,-145.90M,-156.00M,,,,,,,213.30M,,373.30M,-1.358B,-984.70M,,,-11.20M,,,,-21.20M,214.10M,-630.50M,,1.334B,-573.20M,,0.00,,,373.30M,,,,,,,
1994-12,140.00M,,,,,22.90M,22.90M,-102.10M,,,246.80M,,20.60M,,,166.20M,186.80M,494.40M,,,,,,,-1.757B,,1.047B,772.10M,1.819B,,,,,,,-21.40M,92.10M,1.892B,,0.00,630.00M,,0.00,,,1.047B,,,,,,,
1994-09,184.50M,,,,,10.00M,10.00M,-30.70M,,,137.10M,,-31.50M,,,1.112B,1.081B,1.382B,,,,,,,-1.261B,,430.40M,-167.40M,263.00M,,,,,,,-21.30M,-359.60M,14.00M,,0.00,134.80M,,0.00,,,430.40M,,,,,,,
1994-06,206.90M,,,,,13.40M,13.40M,-6.20M,,,98.10M,,-158.20M,,,173.90M,15.70M,327.90M,,,,,,,-1.413B,,280.60M,616.90M,897.50M,,,,,,,-21.30M,-81.90M,822.00M,,0.00,-262.80M,,0.00,,,280.60M,,,,,,,
1994-03,209.50M,,,,,12.50M,12.50M,-16.60M,,,103.40M,,79.60M,,,301.60M,381.20M,690.00M,,,,,,,29.90M,,578.30M,-878.50M,-300.20M,,,,,,,-17.10M,-476.90M,-718.10M,,830.30M,1.80M,,0.00,,,578.30M,,,,,,,
1993-12,138.50M,,,,,14.20M,14.20M,-53.90M,,,154.30M,,-9.20M,,,582.50M,573.30M,826.40M,,,,,,,-883.70M,,3.084B,-2.592B,492.00M,,,0.00,,,,-17.00M,-237.80M,381.80M,,0.00,324.50M,,0.00,,,3.084B,,,,,,,
1993-09,171.60M,,,,,16.50M,16.50M,-20.40M,,,114.90M,,-40.40M,,,-1.790B,-1.830B,-1.548B,,,,,,,-1.088B,,0.00,513.00M,513.00M,,,0.00,,,,-17.00M,1.884B,2.605B,,0.00,-31.20M,,0.00,,,0.00,,,,,,,
1993-06,157.10M,,,,,8.40M,8.40M,0.30M,,,98.40M,,-93.60M,,,1.635B,1.542B,1.806B,,,,,,,-2.272B,,346.70M,2.366B,2.713B,,,9.20M,,,,-560.00M,-1.476B,549.80M,,0.00,83.40M,,0.00,,,346.70M,,,,,,,
1993-03,136.40M,,,,,12.20M,12.20M,-28.40M,,,90.00M,,104.90M,,,-49.20M,55.70M,265.90M,,,,,,,1.472B,,1.882B,-4.917B,-3.035B,,,847.90M,,,,-96.30M,66.20M,-2.419B,,1.135B,-681.70M,,0.00,,,1.882B,,,,,,,
1993-01,141.90M,,-284.80M,,-284.80M,,,,,,1.988B,-958.00M,-833.70M,-958.00M,-833.70M,,-3.583B,-1.849B,,-20.80M,-20.80M,,,,-20.80M,,,394.50M,394.50M,,,,-0.10M,,-0.10M,-29.90M,1.295B,1.660B,,,-209.90M,,,,-0.10M,,,,,,,AOR,
1992-10,110.50M,,-3.389B,,-3.389B,,,,,,-352.80M,1.504B,-1.137B,1.504B,-1.137B,,733.00M,-2.898B,,-5.20M,-5.20M,,,,-5.20M,,,1.98B,1.98B,,,,0.00,,0.00,-30.20M,267.80M,2.218B,,,-685.90M,,,,0.00,,,,,,,AOR,
1992-07,119.00M,,2.999B,,2.999B,,,,,,-4.172B,-10.20M,4.208B,-10.20M,4.208B,,8.396B,7.343B,,-18.90M,-18.90M,,,,-18.90M,,,-1.608B,-1.608B,,,,-125.00M,,-125.00M,-30.40M,-3.667B,-5.431B,,,1.893B,,,,-125.00M,,,,,,,AOR,
1992-04,139.10M,,4.738B,,4.738B,,,,,,2.702B,-1.987B,-700.80M,-1.987B,-700.80M,,-5.376B,2.203B,,-21.40M,-21.40M,,,,-21.40M,,,-3.827B,-3.827B,,,,20.50M,,20.50M,-12.40M,1.541B,-2.278B,,1.268B,-95.90M,,,,20.50M,,,,,,,AOR,
1991-12,132.40M,,-66.30M,,-66.30M,,,,,,-5.607B,5.495B,241.30M,5.495B,241.30M,,11.47B,5.862B,,-61.90M,-61.90M,,,,-61.90M,,,-981.90M,-981.90M,,,,189.30M,,189.30M,-32.90M,-3.103B,-3.929B,,,1.871B,,,,189.30M,,,,,,,AOR,
1991-09,121.70M,,-3.499B,,-3.499B,,,,,,9.920B,-10.27B,362.10M,-10.27B,362.10M,,-19.82B,-13.28B,,-49.80M,-49.80M,,,,-49.80M,,,3.304B,3.304B,,,,133.20M,,133.20M,-19.70M,9.676B,13.09B,,,-236.40M,,,,133.20M,,,,,,,AOR,
1991-06,100.90M,,1.284B,,1.284B,,,,,,-1.493B,1.073B,428.90M,1.073B,428.90M,,3.004B,2.897B,,-55.40M,-55.40M,,,,-55.40M,,,-2.548B,-2.548B,,,,,,,-16.70M,-627.20M,-3.192B,,,-350.40M,,,,,,,,,,,AOR,
1991-03,120.10M,,2.280B,,2.280B,,,,,,652.90M,-722.60M,78.20M,-722.60M,78.20M,,-1.289B,1.765B,,-44.30M,-44.30M,,,,-44.30M,,,1.537B,1.537B,,,,,,,-16.20M,-3.123B,-1.603B,,1.144B,117.50M,,,,,,,,,,,AOR,
1990-12,58.30M,,-8.900B,,-8.900B,,,,,,-4.162B,1.431B,2.443B,1.431B,2.443B,,7.748B,-5.233B,,-50.30M,-50.30M,,,,-50.30M,,,-338.20M,-338.20M,,,,,,,-15.80M,5.042B,4.688B,,,-595.20M,,,,,,,,,,,AOR,
1990-09,71.90M,,1.431B,,1.431B,,,,,,-4.098B,6.927B,-2.818B,6.927B,-2.818B,,8.218B,5.624B,,-44.90M,-44.90M,,,,-44.90M,,,-4.607B,-4.607B,,,,,,,-17.90M,106.60M,-4.519B,,,1.060B,,,,,,,,,,,AOR,
1990-06,58.10M,,,,,,,,,,1.615B,-3.982B,2.377B,-3.982B,2.377B,,-3.209B,-1.536B,,-41.90M,-41.90M,,,,-41.90M,,,1.120B,1.120B,,,,,,,-17.80M,365.70M,1.468B,,,-109.50M,,,,,,,,,,,AOR,
1990-03,82.10M,,,,,,,,,,3.626B,-4.187B,565.60M,-4.187B,565.60M,,-7.242B,-3.534B,,-28.20M,-28.20M,,,,-28.20M,,,3.958B,3.958B,,,,,,,-18.00M,-48.00M,3.892B,,458.50M,330.50M,,,,,,,,,,,AOR,
