,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-09,1.791B,,,0.00,0.00,451.00M,451.00M,,,257.00M,96.00M,-1.786B,2.457B,,,2.337B,3.008B,5.61B,,-454.00M,-454.00M,,-7.007B,-38.00M,-11.52B,,5.323B,,5.323B,,-1.299B,-1.299B,0.00,,0.00,-608.00M,-2.974B,10.17B,,74.83B,4.255B,1.837B,80.92B,,0.00,12.60B,-7.276B,-1.299B,235.00M,1.50B,,AOR,Restated
2017-06,1.791B,,2.00M,9.00M,6.00M,455.00M,455.00M,,,249.00M,-84.00M,-4.457B,9.154B,,,-21.36B,-16.67B,-14.25B,,-373.00M,-373.00M,,9.557B,-100.00M,4.863B,,8.879B,,8.879B,,-548.00M,-548.00M,0.00,,0.00,-443.00M,3.951B,4.643B,,78.88B,-4.743B,692.00M,74.83B,,0.00,15.16B,-6.283B,-548.00M,470.00M,1.185B,,AOR,Restated
2017-03,1.971B,,-2.00M,-9.00M,-6.00M,434.00M,434.00M,,,269.00M,-74.00M,-1.687B,-3.556B,,,2.714B,-2.529B,90.00M,,-350.00M,-350.00M,,-774.00M,61.00M,-2.168B,,6.895B,,6.895B,,-1.161B,-1.161B,994.00M,,994.00M,-511.00M,259.00M,2.722B,,77.36B,644.00M,877.00M,78.88B,,994.00M,18.43B,-11.54B,-1.161B,262.00M,737.00M,,AOR,Restated
2016-12,1.68B,,127.00M,-39.00M,-14.00M,379.00M,379.00M,,,342.00M,-66.00M,2.429B,-1.936B,,,-6.881B,-6.388B,-2.482B,,-335.00M,-335.00M,,-2.514B,224.00M,-4.52B,,7.404B,1.233B,8.637B,,-1.025B,-1.025B,0.00,,0.00,-435.00M,1.628B,12.82B,,42.55B,5.823B,-2.484B,77.36B,,0.00,16.10B,-8.694B,-1.025B,327.00M,1.05B,,AOR,Restated
2016-09,1.64B,,-45.00M,40.00M,30.00M,478.00M,478.00M,,,302.00M,-254.00M,7.737B,-6.10B,,,-12.28B,-10.65B,-8.443B,,-296.00M,-296.00M,,605.00M,102.00M,-2.574B,,-102.00M,60.00M,-42.00M,,-1.279B,-1.279B,0.00,,0.00,-520.00M,-213.00M,-2.904B,,56.13B,-13.92B,340.00M,42.55B,,0.00,6.90B,-7.002B,-1.279B,164.00M,702.00M,,AOR,Restated
2016-06,1.646B,,-70.00M,14.00M,3.00M,464.00M,464.00M,,,275.00M,125.00M,-11.44B,7.757B,,,13.29B,9.615B,12.13B,,-330.00M,-330.00M,,-1.759B,10.00M,-3.298B,,-494.00M,-229.00M,-723.00M,,-653.00M,-653.00M,0.00,,0.00,-355.00M,222.00M,-6.407B,,53.64B,2.426B,69.00M,56.13B,,0.00,7.445B,-7.939B,-653.00M,218.00M,469.00M,,AOR,Restated
2016-03,1.157B,,-12.00M,-15.00M,-19.00M,415.00M,415.00M,,,217.00M,93.00M,899.00M,2.192B,,,-905.00M,2.186B,4.177B,,-315.00M,-315.00M,,-5.16B,-136.00M,-9.116B,,5.222B,-1.064B,4.158B,,-976.00M,-976.00M,0.00,,0.00,-436.00M,-454.00M,3.849B,,54.08B,-1.09B,645.00M,53.64B,,0.00,13.18B,-7.961B,-976.00M,122.00M,613.00M,,AOR,Restated
2015-12,936.00M,,-10.00M,4.00M,-28.00M,410.00M,410.00M,,,268.00M,58.00M,-6.276B,-5.718B,,,12.58B,591.00M,3.50B,,-409.00M,-409.00M,,-8.642B,-41.00M,-12.60B,,-5.739B,279.00M,-5.46B,,-638.00M,-638.00M,0.00,,0.00,-359.00M,-859.00M,1.492B,,53.52B,-7.605B,-968.00M,85.55B,,0.00,4.023B,-9.762B,-638.00M,136.00M,1.216B,,AOR,Restated
2015-09,1.049B,,-19.00M,-35.00M,-46.00M,369.00M,369.00M,,,225.00M,227.00M,6.443B,11.83B,,,-19.62B,-1.343B,490.00M,,-344.00M,-344.00M,,2.475B,36.00M,-64.00M,,2.598B,-1.14B,1.458B,,-662.00M,-662.00M,0.00,,0.00,-423.00M,-1.438B,6.958B,,46.36B,7.384B,-225.00M,53.52B,,0.00,7.25B,-4.652B,-662.00M,199.00M,429.00M,,AOR,Restated
2015-06,1.831B,,-30.00M,-45.00M,-13.00M,333.00M,333.00M,,,316.00M,-19.00M,5.389B,-9.534B,,,6.324B,2.179B,4.602B,,-300.00M,-300.00M,,2.432B,-145.00M,-4.429B,,3.941B,243.00M,4.184B,,-634.00M,-634.00M,0.00,,0.00,-363.00M,-822.00M,5.753B,,40.29B,5.926B,140.00M,46.36B,,0.00,11.57B,-7.629B,-634.00M,223.00M,447.00M,,AOR,Restated
