,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,518.68M,55.60M,574.28M,362.67M,,383.42M,,29.74M,,,3.157M,990.60M,,,,,186.15M,186.15M,,186.15M,840.03M,342.00M,1.182B,75.28M,24.46M,,33.65M,1.502B,2.492B,11.07M,0.00,11.07M,81.69M,92.76M,,5.78M,5.78M,436.50M,436.50M,,535.04M,,12.87M,12.87M,45.98M,0.118M,46.10M,,,58.97M,594.02M,0.481M,1.058B,872.96M,33.32M,-0.046M,1.898B
2020-06,351.34M,52.35M,403.69M,405.73M,,433.67M,,33.34M,,,3.245M,873.94M,,,,,191.63M,191.63M,,191.63M,840.03M,354.12M,1.194B,101.76M,21.12M,,,1.509B,2.383B,8.64M,0.00,8.64M,56.37M,65.01M,,6.217M,6.217M,423.04M,423.04M,,494.26M,,14.13M,14.13M,44.71M,0.167M,44.88M,,,59.01M,553.27M,0.481M,1.019B,844.00M,33.88M,-0.046M,1.829B
2020-03,301.98M,38.25M,340.24M,318.14M,,334.80M,,33.96M,,,3.22M,712.22M,,,,,193.45M,193.45M,,193.45M,840.03M,366.51M,1.207B,85.78M,21.39M,,,1.507B,2.219B,12.96M,0.00,12.96M,59.76M,72.72M,,6.373M,6.373M,365.96M,365.96M,,445.06M,,15.55M,15.55M,45.77M,0.167M,45.94M,,,61.49M,506.54M,0.481M,964.89M,798.09M,50.58M,-0.046M,1.713B
2019-12,232.68M,39.40M,272.08M,374.09M,,380.57M,,24.72M,,,2.328M,679.70M,0.00,18.65M,137.45M,128.34M,18.99M,303.44M,-112.58M,190.85M,840.12M,378.91M,1.219B,79.60M,22.43M,,,1.512B,2.192B,14.98M,,14.98M,75.23M,90.21M,,6.387M,6.387M,412.50M,412.50M,,509.09M,,16.82M,16.82M,48.44M,0.199M,48.64M,,,65.46M,574.56M,0.481M,917.34M,739.48M,40.19M,-0.046M,1.617B
2019-09,161.44M,32.93M,194.37M,347.98M,,347.99M,,24.54M,,,2.907M,569.81M,,,,,190.12M,190.12M,,190.12M,826.04M,377.58M,1.204B,71.10M,20.44M,,,1.485B,2.055B,9.06M,0.00,9.06M,69.78M,78.84M,,6.413M,6.413M,391.56M,391.56M,,476.81M,,18.13M,18.13M,40.30M,0.241M,40.54M,,,58.68M,535.49M,0.481M,870.55M,692.59M,43.97M,-0.046M,1.520B
2019-06,11.19M,31.18M,42.37M,381.38M,,381.38M,,26.88M,,,2.939M,453.57M,,,,,190.50M,190.50M,,190.50M,835.91M,377.48M,1.213B,71.46M,20.51M,,,1.496B,1.949B,8.062M,0.249M,8.311M,70.89M,79.20M,,6.039M,6.039M,368.49M,368.49M,,453.73M,15.00M,18.77M,33.77M,39.75M,0.551M,40.30M,,,74.07M,527.80M,0.481M,830.16M,715.92M,124.88M,-0.046M,1.422B
2019-03,39.44M,36.96M,76.40M,298.98M,,298.98M,,23.84M,,,3.06M,402.27M,,,,,184.68M,184.68M,,184.68M,834.57M,389.63M,1.224B,75.32M,22.82M,,,1.507B,1.909B,6.011M,7.868M,13.88M,63.82M,77.70M,,5.777M,5.777M,319.90M,319.90M,,403.38M,85.00M,18.96M,103.96M,42.78M,0.442M,43.22M,,,147.18M,550.56M,0.481M,798.16M,731.07M,170.92M,-0.046M,1.359B
2018-12,134.28M,44.31M,178.58M,298.91M,,303.61M,,33.26M,,,3.406M,518.86M,0.00,9.958M,122.24M,112.32M,,244.52M,-89.35M,155.18M,753.72M,276.85M,1.031B,70.34M,16.02M,,,1.272B,1.791B,6.91M,,6.91M,66.48M,73.39M,,0.00,0.00,350.51M,350.51M,,423.90M,,0.00,0.00,41.79M,0.424M,42.22M,,,42.22M,466.12M,0.481M,771.92M,731.44M,178.95M,-0.046M,1.325B
2018-09,219.45M,52.35M,271.80M,281.52M,,294.80M,,32.79M,,,2.299M,601.69M,,,,,,,,156.50M,749.50M,282.81M,1.032B,61.16M,12.97M,,,1.263B,1.865B,4.597M,,4.597M,66.02M,70.62M,,,,326.42M,326.42M,,397.04M,,,,44.96M,0.493M,45.46M,,,45.46M,442.50M,0.481M,740.37M,724.94M,43.62M,-0.046M,1.422B
2018-06,93.25M,59.46M,152.71M,299.25M,,312.35M,,34.98M,,,1.944M,501.99M,,,,,,,,154.46M,740.15M,293.19M,1.033B,,12.39M,,57.58M,1.258B,1.760B,4.839M,,4.839M,52.96M,57.80M,,,,316.08M,316.08M,,373.88M,,,,44.80M,0.785M,45.59M,,,45.59M,419.47M,0.481M,701.45M,686.78M,48.38M,-0.046M,1.340B
