,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,994.62M,994.62M,329.77M,664.85M,521.51M,22.74M,31.23M,-46.54M,30.54M,-30.54M,,575.48M,89.37M,30.54M,-30.54M,-44.67M,-30.54M,14.17M,-2.797M,16.96M,,16.96M,50.94M,98.68M,53.97M,44.70M,0.19,,,0.5701,0.19,0.19,,,0.5676,0.19,89.38M,89.96M
2020-06,973.14M,973.14M,322.55M,650.58M,494.84M,22.73M,31.21M,-2.157M,30.30M,-30.30M,,548.78M,101.81M,30.30M,-30.30M,-12.56M,-30.30M,58.96M,3.879M,55.08M,,55.08M,57.09M,143.19M,53.94M,89.25M,0.62,,,0.6426,0.62,0.61,,,0.6324,0.61,89.32M,89.78M
2020-03,1.019B,1.019B,341.28M,677.61M,496.64M,22.52M,32.18M,-1.56M,26.35M,-26.35M,,551.34M,126.28M,26.35M,-26.35M,-3.075M,-26.35M,96.85M,21.76M,75.10M,,75.10M,76.31M,177.90M,54.70M,123.20M,0.84,,,0.8536,0.84,0.83,,,0.8434,0.83,89.22M,90.07M
2019-12,1.203B,1.203B,450.87M,752.62M,557.52M,21.49M,32.17M,-5.307M,29.16M,-26.14M,,611.18M,141.45M,29.16M,-26.14M,-4.728M,-26.14M,110.58M,42.88M,67.70M,,67.70M,70.95M,193.40M,53.66M,139.74M,0.76,,,0.7963,0.76,0.75,,,0.7859,0.75,89.43M,90.62M
2019-09,1.001B,1.001B,365.06M,635.45M,512.16M,20.70M,31.69M,-1.742M,24.07M,-24.07M,,564.56M,70.89M,24.07M,-24.07M,6.282M,-24.07M,53.10M,11.71M,41.39M,,41.39M,42.75M,129.57M,52.40M,77.17M,0.46,,,0.4751,0.46,0.46,,,0.4749,0.46,89.85M,90.89M
2019-06,1.071B,1.071B,388.00M,682.88M,514.98M,20.10M,32.16M,0.358M,24.75M,-24.75M,,567.24M,115.64M,24.75M,-24.75M,0.111M,-24.75M,91.01M,-12.40M,103.41M,,103.41M,103.14M,168.02M,52.26M,115.76M,1.15,,,1.147,1.15,1.13,,,1.127,1.13,90.11M,91.19M
2019-03,970.44M,970.44M,346.64M,623.80M,518.77M,19.78M,33.68M,-4.847M,24.85M,-24.85M,,572.23M,51.57M,24.85M,-24.85M,-5.671M,-24.85M,21.05M,0.258M,20.80M,,20.80M,25.58M,99.36M,53.46M,45.90M,0.23,,,0.2833,0.23,0.23,,,0.2826,0.23,89.88M,91.00M
2018-12,1.089B,1.089B,407.84M,681.04M,488.06M,18.14M,34.38M,-3.908M,27.13M,-24.56M,,540.58M,140.46M,27.13M,-24.56M,-4.934M,-24.56M,110.97M,26.95M,84.02M,,84.02M,86.98M,190.61M,52.52M,138.09M,0.93,,,0.9627,0.93,0.92,,,0.9522,0.92,90.40M,91.76M
2018-09,910.08M,921.67M,336.11M,585.56M,447.54M,17.34M,50.85M,-4.074M,26.98M,-26.98M,,515.72M,69.84M,26.98M,-26.98M,-4.901M,-26.98M,37.95M,26.20M,11.75M,,11.75M,14.73M,133.12M,68.19M,64.94M,0.13,,,0.1627,0.13,0.13,,,0.1623,0.13,90.85M,92.15M
2018-06,978.02M,1.001B,367.64M,633.70M,460.80M,16.71M,50.13M,5.498M,37.60M,-37.60M,,527.64M,106.06M,37.60M,-37.60M,6.618M,-37.60M,75.07M,28.80M,46.27M,,46.27M,42.88M,179.51M,66.84M,112.68M,0.51,,,0.4728,0.51,0.5,,,0.4632,0.5,91.05M,92.16M
2018-03,892.91M,963.56M,357.21M,606.36M,487.74M,16.41M,51.65M,-59.27M,35.06M,-35.06M,,555.80M,50.56M,35.06M,-35.06M,-58.37M,-35.06M,-42.87M,-23.28M,-19.59M,,-19.59M,23.68M,60.24M,68.06M,-7.812M,-0.22,,,0.2554,-0.22,-0.22,,,0.2554,-0.22,91.00M,91.00M
2017-12,839.86M,1.015B,398.38M,616.13M,465.37M,18.26M,53.26M,-16.35M,39.32M,-36.31M,,536.89M,79.24M,39.32M,-36.31M,-14.55M,-36.31M,28.38M,-78.93M,107.31M,,107.31M,117.11M,139.22M,71.52M,67.70M,1.18,,,1.288,1.18,1.16,,,1.262,1.16,91.11M,96.40M
2017-09,828.08M,828.08M,332.21M,495.88M,421.16M,17.34M,51.22M,-30.50M,38.76M,-38.76M,,489.73M,6.151M,38.76M,-38.76M,-29.33M,-38.76M,-61.94M,-13.76M,-48.18M,,-48.18M,-24.45M,45.39M,68.56M,-23.18M,-0.53,,,-0.2682,-0.53,-0.53,,,-0.2682,-0.53,90.62M,90.62M
2017-06,843.73M,843.73M,352.00M,491.73M,408.23M,18.06M,65.50M,-98.33M,43.96M,-43.96M,,491.78M,-0.056M,43.96M,-43.96M,-98.74M,-43.96M,-142.75M,-50.47M,-92.28M,,-92.28M,-28.76M,-15.24M,83.56M,-98.80M,-1.03,,,-0.3186,-1.03,-1.03,,,-0.3186,-1.03,89.30M,89.30M
2017-03,625.17M,625.17M,237.61M,387.56M,304.24M,10.24M,6.29M,-13.27M,5.906M,-5.906M,,320.77M,66.79M,5.906M,-5.906M,-12.38M,-5.906M,48.50M,12.06M,36.43M,,36.43M,46.40M,70.93M,16.53M,54.40M,0.44,,,0.5603,0.44,0.43,,,0.5485,0.43,82.84M,84.10M
2016-12,703.22M,703.22M,279.06M,424.15M,289.86M,9.782M,6.183M,-9.64M,8.271M,-5.822M,,305.83M,118.33M,8.271M,-5.822M,-6.32M,-5.822M,106.18M,39.70M,66.48M,,66.48M,72.52M,130.42M,15.96M,114.46M,0.8,,,0.873,0.8,0.79,,,0.8619,0.79,82.64M,84.00M
2016-09,574.06M,574.06M,223.12M,350.94M,269.90M,9.531M,6.221M,-16.56M,5.932M,-5.932M,,285.65M,65.28M,5.932M,-5.932M,-14.60M,-5.932M,44.75M,14.26M,30.48M,,30.48M,41.76M,66.43M,15.75M,50.68M,0.37,,,0.5064,0.37,0.36,,,0.4945,0.36,82.64M,83.80M
2016-06,610.00M,610.00M,231.42M,378.58M,272.01M,9.025M,6.21M,-8.033M,7.356M,-7.356M,,287.24M,91.33M,7.356M,-7.356M,-6.785M,-7.356M,77.19M,25.56M,51.63M,,51.63M,57.00M,99.78M,15.24M,84.55M,0.63,,,0.6951,0.63,0.62,,,0.6842,0.62,82.56M,83.71M
2016-03,557.27M,557.27M,212.04M,345.22M,257.41M,8.834M,6.183M,-8.368M,6.006M,-6.006M,,272.43M,72.80M,6.006M,-6.006M,-6.484M,-6.006M,60.31M,15.32M,44.99M,,44.99M,51.23M,81.33M,15.02M,66.31M,0.55,,,0.6257,0.55,0.54,,,0.6148,0.54,82.45M,83.46M
2015-12,643.77M,643.77M,257.22M,386.55M,258.81M,8.85M,6.359M,-10.91M,7.779M,-6.013M,,274.02M,112.53M,7.779M,-6.013M,-9.853M,-6.013M,96.67M,30.90M,65.76M,,65.76M,73.19M,119.66M,15.21M,104.45M,0.8,,,0.8898,0.8,0.78,,,0.8685,0.78,82.68M,83.92M
