,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,16.96M,0.00,0.476M,45.29M,,,53.97M,53.97M,-4.735M,,19.62M,0.00,15.50M,,2.095M,108.00M,-23.31M,48.81M,,,-38.29M,95.21M,,243.91M,-14.98M,,-14.98M,0.00,,,-14.98M,-0.248M,-0.248M,,-2.255M,-2.255M,,4.094M,-43.86M,-42.27M,356.63M,186.66M,10.42M,553.72M,,1.20B,-1.200B,-2.255M
2020-06,55.08M,0.00,,0.00,,,53.94M,53.94M,-27.35M,,20.39M,,15.68M,,14.08M,125.46M,26.86M,175.58M,,,-116.54M,211.36M,,343.17M,-21.33M,,-21.33M,0.00,,,-21.33M,-200.13M,-200.13M,,-0.698M,-0.698M,,4.078M,-10.52M,-207.26M,227.85M,114.58M,14.21M,356.63M,,1.127B,-1.327B,-0.698M
2020-03,75.10M,0.00,,0.00,,,54.70M,54.70M,25.54M,,22.86M,,25.13M,,1.637M,135.66M,-12.66M,-269.47M,,,-2.747M,-149.21M,,55.75M,-24.54M,,-24.54M,0.00,,,-24.54M,-0.967M,-0.967M,,-73.16M,-73.16M,,5.641M,,-68.49M,280.84M,-37.28M,-15.71M,227.85M,,0.00,-0.967M,-73.16M
2019-12,67.70M,0.00,,-9.12M,,,53.66M,53.66M,-4.997M,,22.77M,9.12M,11.12M,,1.632M,-281.86M,19.93M,127.68M,,,65.20M,-69.05M,,82.84M,-53.32M,,-53.32M,-23.69M,,,-62.89M,0.033M,0.033M,,-57.61M,-57.61M,,4.394M,,-53.18M,306.73M,-33.23M,7.342M,280.84M,,-281.00M,281.03M,-57.61M
2019-09,41.39M,0.00,,0.00,,,52.40M,52.40M,-1.376M,,21.14M,-9.12M,12.95M,,1.627M,74.29M,-17.68M,6.892M,,,37.01M,100.52M,,219.52M,-36.22M,,-36.22M,0.00,,,-36.22M,0.035M,0.035M,,-94.88M,-94.88M,,4.158M,,-90.68M,218.45M,92.62M,-4.342M,306.73M,,28.00M,-27.96M,-94.88M
2019-06,103.41M,0.00,,0.00,,,52.26M,52.26M,-23.88M,,21.62M,,13.12M,,1.622M,62.45M,7.843M,28.97M,,,-39.92M,59.34M,,227.48M,-39.42M,,-39.42M,0.00,,,-39.42M,-120.96M,-120.96M,,-1.719M,-1.719M,,3.994M,,-118.69M,149.27M,69.37M,-0.19M,218.45M,,223.00M,-343.96M,-1.719M
2019-03,20.80M,2.075M,,2.075M,,,53.46M,53.46M,-25.53M,,20.94M,,31.82M,,1.616M,78.39M,8.891M,-218.15M,,,61.30M,-69.58M,,35.60M,-20.06M,,-20.06M,-2.295M,,,-22.36M,16.32M,16.32M,,-44.84M,-44.84M,,5.083M,,-23.44M,158.66M,-10.20M,0.804M,149.27M,,35.00M,-18.68M,-44.84M
2018-12,84.02M,-6.947M,,-6.947M,-203.08M,,52.52M,52.52M,6.27M,,,,10.15M,,1.61M,-287.68M,13.84M,134.56M,,,36.80M,-102.48M,,45.15M,-62.24M,,-62.24M,6.07M,,,-56.17M,109.32M,109.32M,,-156.43M,-156.43M,,3.555M,,-43.56M,213.29M,-54.58M,-0.045M,158.66M,,0.00,109.32M,-156.43M
2018-09,11.75M,-13.04M,,-13.04M,68.19M,,68.19M,68.19M,13.27M,,,0.00,10.72M,,1.604M,91.46M,18.51M,49.24M,,,-2.441M,156.77M,,249.26M,-24.50M,,-24.50M,98.31M,,,73.81M,-261.68M,-261.68M,,-8.129M,-8.129M,,3.507M,,-266.30M,159.96M,56.77M,-3.432M,213.29M,,0.00,-261.68M,-8.129M
2018-06,46.27M,-25.46M,,-25.46M,66.84M,,66.84M,66.84M,21.16M,,,,14.34M,,8.733M,24.45M,-29.06M,4.517M,,,42.23M,42.14M,,174.02M,-22.45M,,-22.45M,406.54M,,-1.00M,383.10M,-553.80M,-553.80M,,-67.88M,-67.88M,,3.503M,,-618.17M,227.63M,-61.05M,-6.622M,159.96M,,0.00,-553.80M,-67.88M
