,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2008-05,471.80M,,471.80M,2.395B,,2.395B,7.064B,252.80M,10.18B,,,,,,,12.08B,-2.777B,9.308B,1.418B,,1.418B,,,678.20M,11.40B,21.59B,,2008-05,4.173B,,6.343B,,,,,1.136B,,1.136B,23.20M,7.502B,,,,149.60M,149.60M,,,,1.401B,1.550B,9.053B,,13.46B,573.40M,1.530B,-48.70M,12.54B,,Restated
2008-02,255.30M,,255.30M,2.340B,,2.340B,7.328B,220.30M,10.14B,,,,,,,11.95B,-3.010B,8.941B,1.079B,,1.079B,,,584.40M,10.61B,20.75B,,2008-02,4.185B,,6.281B,,,,,727.80M,,727.80M,221.80M,7.230B,,,,77.70M,77.70M,,,,1.377B,1.454B,8.685B,,12.98B,572.60M,1.512B,-58.70M,12.06B,,
2007-11,295.10M,,295.10M,2.247B,,2.247B,7.553B,240.10M,10.34B,,,,,,,11.44B,-2.944B,8.497B,1.066B,,1.066B,,,576.90M,10.14B,20.48B,,2007-11,4.107B,,6.201B,,,,,1.166B,,1.166B,177.90M,7.545B,,,,106.50M,106.50M,,,,1.334B,1.440B,8.986B,,12.39B,568.60M,1.487B,-61.60M,11.49B,,
2007-08,254.80M,,254.80M,2.236B,,2.236B,6.790B,228.70M,9.510B,0.00,2.326B,3.693B,4.749B,207.90M,,10.98B,-2.777B,8.200B,1.060B,,1.060B,,,543.00M,9.803B,19.31B,,2007-08,3.733B,,4.744B,,,,,878.50M,,878.50M,1.122B,6.744B,,,,158.20M,158.20M,,,,1.307B,1.465B,8.209B,,12.03B,558.80M,1.506B,-55.50M,11.10B,,
2007-05,567.40M,190.70M,758.10M,2.004B,,2.004B,6.456B,200.30M,9.418B,,,,,,,10.46B,-2.706B,7.754B,,,,,,772.80M,8.527B,17.94B,,2007-05,3.709B,,5.651B,,,,,,,,51.20M,5.702B,,,,114.30M,114.30M,,,,1.226B,1.340B,7.043B,,11.72B,562.80M,1.407B,-59.10M,10.90B,,
2007-02,694.20M,263.90M,958.10M,1.979B,,1.979B,6.531B,225.40M,9.694B,,,,,,,10.01B,-2.555B,7.452B,,,,,,523.30M,7.975B,17.67B,,2007-02,3.884B,,5.607B,,,,,,,,209.00M,5.816B,,,,87.30M,87.30M,,,,1.200B,1.287B,7.103B,,11.24B,563.30M,1.251B,-66.40M,10.57B,,
2006-11,669.70M,99.70M,769.40M,2.304B,,2.304B,6.999B,228.90M,10.30B,,,,,,,9.681B,-2.478B,7.203B,,,,,,521.50M,7.725B,18.03B,,2006-11,4.552B,,6.353B,,,,,,,,245.80M,6.599B,,,,107.70M,107.70M,,,,1.165B,1.273B,7.872B,,10.67B,561.20M,1.086B,-66.40M,10.15B,,
2006-08,919.90M,415.10M,1.335B,2.063B,,2.063B,6.050B,257.30M,9.705B,0.00,1.855B,3.075B,4.145B,211.90M,,9.287B,-2.338B,6.949B,168.40M,,168.40M,,,308.40M,7.426B,17.13B,,2006-08,4.039B,,4.917B,,,,,,,,838.60M,5.755B,,,,141.10M,141.10M,,,,1.119B,1.26B,7.015B,,10.31B,558.50M,764.20M,-70.30M,10.12B,,
2006-05,802.40M,1.001B,1.803B,2.042B,,2.042B,5.544B,162.00M,9.550B,,,,,,,8.926B,-2.269B,6.656B,,,,,,234.90M,6.891B,16.44B,,2006-05,3.731B,,5.36B,,,,,,,,43.10M,5.403B,,,,177.60M,177.60M,,,,1.072B,1.249B,6.652B,,9.978B,589.10M,781.90M,-75.70M,9.789B,,
2006-02,578.80M,646.00M,1.225B,1.848B,,1.848B,5.616B,220.70M,8.910B,,,,,,,8.649B,-2.148B,6.501B,,,,,,228.00M,6.729B,15.64B,,2006-02,3.270B,,4.776B,,,,,,,,193.20M,4.970B,,,,171.20M,171.20M,,,,1.045B,1.216B,6.186B,,9.574B,597.40M,716.70M,-81.70M,9.453B,,
2005-11,584.10M,311.40M,895.50M,1.473B,,1.473B,6.240B,208.30M,8.816B,,,,,,,8.476B,-2.105B,6.371B,,,,,,214.40M,6.586B,15.40B,,2005-11,3.303B,,4.861B,,,,,,,,235.10M,5.096B,,,,186.30M,186.30M,,,,1.014B,1.200B,6.296B,,9.116B,583.90M,589.80M,-84.50M,9.106B,,
2005-08,576.80M,494.80M,1.072B,1.396B,,1.396B,5.593B,255.90M,8.316B,0.00,1.600B,2.658B,3.700B,192.10M,,8.150B,-1.985B,6.165B,,,,,,127.30M,6.292B,14.61B,,2005-08,2.918B,,4.410B,,,,,,,,70.90M,4.481B,,,,240.40M,240.40M,,,,997.70M,1.238B,5.719B,,8.836B,565.00M,514.90M,-76.80M,8.890B,,
2005-05,541.20M,829.00M,1.370B,1.516B,,1.516B,5.205B,191.90M,8.282B,,,,,,,7.853B,-1.921B,5.932B,,,,,,127.70M,6.059B,14.34B,,2005-05,2.827B,,4.282B,,,,,,,,106.50M,4.388B,,,,271.80M,271.80M,,,,965.30M,1.237B,5.625B,,8.573B,577.60M,430.40M,-83.90M,8.716B,,
2005-02,453.10M,994.10M,1.447B,1.483B,,1.483B,5.160B,176.10M,8.266B,,,,,,,7.595B,-1.814B,5.780B,,,,,,127.50M,5.908B,14.17B,,2005-02,2.811B,,4.103B,,,,,,,,203.90M,4.307B,,,,264.70M,264.70M,,,,937.30M,1.202B,5.509B,,8.216B,595.50M,138.00M,-87.90M,8.665B,,
2004-11,1.313B,,1.313B,1.316B,,1.316B,5.582B,173.50M,8.385B,,,,,,,7.394B,-1.756B,5.638B,,,,,,126.20M,5.765B,14.15B,,2004-11,3.203B,,4.439B,,,,,,,,206.30M,4.645B,,,,330.70M,330.70M,,,,755.90M,1.087B,5.732B,,7.870B,625.80M,157.40M,-0.90M,8.418B,,
2004-08,444.00M,1.252B,1.696B,1.169B,,1.169B,4.739B,161.20M,7.764B,0.00,1.336B,2.379B,3.212B,166.60M,,7.094B,-1.648B,5.446B,,,,,,131.30M,5.578B,13.34B,,2004-08,2.642B,,4.012B,,,,,,,,65.90M,4.078B,,,,274.10M,274.10M,,,,850.40M,1.124B,5.202B,,7.503B,632.60M,76.30M,,8.140B,,
2004-05,1.577B,,1.577B,1.298B,,1.298B,4.360B,152.60M,7.388B,,,,,,,6.915B,-1.660B,5.255B,,,,,,111.00M,5.366B,12.75B,,2004-05,2.277B,,3.684B,,,,,,,,139.40M,3.824B,,,,279.30M,279.30M,,,,645.90M,925.20M,4.749B,,7.318B,670.80M,64.00M,,8.005B,,
2004-02,1.107B,,1.107B,1.273B,,1.273B,4.519B,132.40M,7.032B,,,,,,,6.716B,-1.561B,5.155B,,,,,,112.30M,5.268B,12.30B,,2004-02,2.186B,,3.432B,,,,,,,,245.60M,3.677B,,,,249.00M,249.00M,,,,630.10M,879.10M,4.556B,,7.018B,684.70M,39.50M,,7.743B,,
2003-11,868.10M,,868.10M,1.101B,,1.101B,4.839B,129.30M,6.937B,,,,,,,6.559B,-1.509B,5.050B,,,,,,110.20M,5.160B,12.10B,,2003-11,2.537B,,2.537B,,,,,,,,1.346B,3.883B,,,,238.50M,238.50M,,,,600.60M,839.10M,4.722B,,6.628B,696.80M,30.70M,,7.375B,,
2003-08,1.268B,,1.268B,1.018B,,1.018B,4.203B,120.50M,6.609B,0.00,1.220B,2.209B,2.819B,114.60M,,6.362B,-1.422B,4.94B,,,,,,107.80M,5.048B,11.66B,,2003-08,2.408B,,3.566B,,,,,,,,105.80M,3.671B,,,,228.00M,228.00M,,,,561.70M,789.70M,4.461B,,6.418B,697.80M,,,7.196B,,
2003-05,854.40M,,854.40M,1.008B,,1.008B,4.020B,145.40M,6.028B,,,,,,,6.324B,-1.502B,4.822B,,,,,,109.50M,4.932B,10.96B,,2003-05,1.956B,,3.084B,,,,,,,,140.20M,3.224B,,,,215.70M,215.70M,,,,549.40M,765.10M,3.989B,,6.185B,705.00M,,,6.970B,,
2003-02,683.20M,,683.20M,1.057B,,1.057B,4.06B,133.20M,5.934B,,,,,,,6.179B,-1.476B,4.703B,,,,,,114.80M,4.818B,10.75B,,2003-02,1.916B,,3.065B,,,,,,,,223.10M,3.288B,,,,202.70M,202.70M,,,,537.10M,739.80M,4.028B,,5.927B,716.20M,,,6.724B,,
2002-11,294.30M,,294.30M,1.002B,,1.002B,4.134B,127.60M,5.558B,,,,,,,6.092B,-1.398B,4.694B,,,,,,116.30M,4.810B,10.37B,,2002-11,1.991B,,1.991B,,,,,,,,1.264B,3.255B,,,,189.60M,189.60M,,,,523.60M,713.20M,3.968B,,5.595B,725.10M,,,6.40B,,
2002-08,449.90M,,449.90M,954.80M,,954.80M,3.645B,116.60M,5.166B,0.00,1.148B,2.035B,2.574B,161.90M,,5.918B,-1.326B,4.591B,,,,,,120.90M,4.712B,9.879B,,2002-08,1.836B,,2.854B,,,,,,,,100.90M,2.955B,,,,176.50M,176.50M,,,,516.90M,693.40M,3.649B,,5.402B,748.40M,,,6.230B,,
2002-05,286.20M,,286.20M,998.10M,,998.10M,3.343B,103.80M,4.731B,,,,,,,5.958B,-1.361B,4.597B,,,,,,127.30M,4.725B,9.456B,,2002-05,1.577B,,1.577B,,,,,,,,1.158B,2.735B,,,,181.60M,181.60M,,,,531.80M,713.40M,3.448B,,5.191B,736.50M,,,6.008B,,
2002-02,16.10M,,16.10M,966.60M,,966.60M,3.476B,102.00M,4.561B,,,,,,,5.779B,-1.287B,4.492B,,,,,,127.40M,4.619B,9.18B,,2002-02,1.535B,,1.535B,,,,,104.40M,,104.40M,1.100B,2.739B,,,,156.20M,156.20M,,,,524.00M,680.20M,3.419B,,4.969B,711.50M,,,5.761B,,
2001-11,34.30M,,34.30M,917.50M,,917.50M,4.024B,97.60M,5.073B,,,,,,,5.721B,-1.224B,4.497B,,,,,,126.40M,4.624B,9.697B,,2001-11,1.859B,,1.859B,,,,,689.00M,,689.00M,1.068B,3.616B,,,,146.60M,146.60M,,,,504.00M,650.60M,4.267B,,4.680B,670.00M,,,5.430B,,
2001-08,16.90M,,16.90M,798.30M,,798.30M,3.482B,96.30M,4.394B,0.00,1.166B,1.947B,2.253B,136.20M,,5.503B,-1.158B,4.345B,,,,,,94.60M,4.440B,8.834B,,2001-08,1.547B,,2.484B,,,,,440.70M,,440.70M,86.60M,3.012B,,,,137.00M,137.00M,,,,478.00M,615.00M,3.627B,,4.531B,596.70M,,,5.207B,,
2001-05,98.70M,,98.70M,785.80M,,785.80M,3.264B,101.50M,4.250B,,,,,,,5.260B,-1.165B,4.095B,,,,,,101.30M,4.197B,8.446B,,2001-05,1.445B,,1.445B,,,,,357.80M,,357.80M,1.017B,2.820B,,,,127.90M,127.90M,,,,493.30M,621.20M,3.441B,,4.350B,575.80M,,,5.005B,,
2001-02,74.60M,,74.60M,774.10M,,774.10M,3.206B,106.60M,4.162B,,,,,,,5.020B,-1.105B,3.914B,,,,,,99.70M,4.014B,8.176B,,2001-02,1.435B,,1.435B,,,,,324.80M,,324.80M,1.020B,2.780B,,,,114.00M,114.00M,,,,484.30M,598.30M,3.378B,,4.172B,546.20M,,,4.798B,,
2000-11,14.20M,,14.20M,719.00M,,719.00M,3.261B,91.80M,4.086B,,,,,,,4.759B,-1.054B,3.706B,,,,,,119.50M,3.825B,7.911B,,2000-11,1.539B,,1.539B,461.20M,,,,461.20M,,461.20M,894.70M,2.895B,,,,107.80M,107.80M,,,,474.10M,581.90M,3.476B,,3.911B,444.80M,,,4.435B,,
2000-08,12.80M,,12.80M,,,614.50M,2.831B,92.00M,3.550B,,,,,,,4.420B,-991.50M,3.428B,,,,,,125.40M,3.554B,7.104B,,2000-08,1.364B,,1.364B,,,,,,,,939.70M,2.304B,,,,101.60M,101.60M,,,,464.40M,566.00M,2.870B,,3.788B,367.20M,,,4.234B,,
2000-05,47.00M,,47.00M,,,623.20M,2.595B,82.90M,3.348B,,,,,,,4.210B,-1.032B,3.178B,,,,,,104.20M,3.282B,6.631B,,2000-05,1.200B,,1.200B,,,,,,,,866.10M,2.066B,,,,70.10M,70.10M,,,,466.50M,536.60M,2.602B,,3.605B,344.20M,,,4.028B,,
2000-02,11.80M,,11.80M,,,626.90M,2.634B,81.00M,3.354B,,,,,,,3.948B,-980.00M,2.968B,,,,,,93.50M,3.061B,6.415B,,2000-02,1.083B,,1.083B,,,,,7.10M,,7.10M,960.00M,2.050B,,,,71.70M,71.70M,,,,457.10M,528.80M,2.579B,,3.446B,311.20M,,,3.836B,,
1999-11,12.00M,,12.00M,,,565.40M,2.957B,90.00M,3.624B,,,,,,,3.685B,-929.50M,2.755B,,,,,,92.70M,2.848B,6.472B,,1999-11,1.414B,,1.414B,,,,,98.00M,,98.00M,847.40M,2.359B,,,,73.30M,73.30M,,,,438.80M,512.10M,2.871B,,3.241B,281.80M,,,3.601B,,
1999-08,141.80M,,141.80M,,,486.50M,2.463B,130.80M,3.222B,,,,,,,3.473B,-878.80M,2.594B,,,,,,91.10M,2.685B,5.907B,,1999-08,1.130B,,1.130B,,,,,,,,793.50M,1.924B,,,,74.80M,74.80M,,,,423.80M,498.60M,2.422B,,3.147B,258.90M,,,3.484B,,
1999-05,255.30M,,255.30M,,,514.80M,2.163B,78.80M,3.012B,,,,,,,3.342B,-899.00M,2.443B,,,,,,137.30M,2.580B,5.592B,,1999-05,994.30M,,994.30M,,,,,,,,776.40M,1.771B,,,,78.30M,78.30M,,,,405.10M,483.40M,2.254B,,3.019B,240.90M,,,3.338B,,
1999-02,263.60M,,263.60M,,,480.20M,2.140B,82.30M,2.966B,,,,,,,3.215B,-906.80M,2.309B,,,,,,138.10M,2.447B,5.413B,,1999-02,1.045B,,1.045B,,,,,,,,709.20M,1.755B,,,,91.50M,91.50M,,,,423.20M,514.70M,2.269B,,2.892B,172.90M,,,3.143B,,
1998-11,113.00M,,113.00M,,,435.00M,2.238B,97.00M,2.883B,,,,,,,3.086B,-864.00M,2.222B,,,,,,135.00M,2.357B,5.24B,,1998-11,1.05B,,1.05B,,,,,100.00M,,100.00M,641.00M,1.791B,,,,90.00M,90.00M,,,,417.00M,507.00M,2.298B,,2.725B,,,,2.942B,,
1998-08,144.40M,,144.40M,,,373.20M,2.027B,78.60M,2.623B,,,,,,,2.960B,-816.70M,2.143B,,,,,,135.10M,2.278B,4.902B,,1998-08,906.90M,,906.90M,,,,,,,,673.20M,1.580B,,,,89.10M,89.10M,,,,383.50M,472.60M,2.053B,,2.653B,118.10M,,,2.849B,,
1998-05,111.00M,,111.00M,,,388.00M,1.838B,83.00M,2.42B,,,,,,,2.899B,-872.00M,2.027B,,,,,,133.00M,2.16B,4.58B,,1998-05,795.00M,,795.00M,,,,,,,,644.00M,1.439B,,,,101.00M,101.00M,,,,338.00M,439.00M,1.878B,,2.531B,,,,2.702B,,
