,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2018-02,1.749B,,1.749B,7.281B,,7.281B,10.32B,1.012B,20.36B,,,,,14.04B,,14.04B,,14.04B,17.02B,12.22B,29.24B,6.431B,,745.00M,50.46B,70.82B,,2018-02,13.30B,443.00M,19.42B,,2.14B,449.00M,551.00M,3.14B,,3.14B,,22.56B,12.53B,,12.53B,1.946B,1.946B,,,823.00M,5.601B,20.08B,42.64B,,31.51B,10.41B,12.42B,-2.163B,27.36B,AOR,Restated
2017-11,1.83B,,1.83B,6.858B,,6.858B,10.01B,983.00M,19.68B,,,,,13.69B,,13.69B,,13.69B,15.93B,10.59B,26.52B,6.028B,,697.00M,46.94B,66.62B,,2017-11,13.57B,496.00M,19.25B,,990.00M,,278.00M,1.268B,,1.268B,,20.52B,12.74B,,12.74B,2.319B,2.319B,,,827.00M,4.289B,19.34B,39.86B,,30.56B,10.36B,12.46B,-2.543B,25.93B,AOR,Restated
2017-08,3.301B,,3.301B,6.528B,,6.528B,8.899B,1.025B,19.75B,0.00,3.47B,7.431B,11.31B,,745.00M,22.96B,-9.318B,13.64B,15.63B,10.16B,25.79B,6.32B,,506.00M,46.26B,66.01B,,2017-08,12.49B,329.00M,18.30B,,0.00,0.00,251.00M,251.00M,,251.00M,,18.55B,12.68B,,12.68B,2.281B,2.281B,,,808.00M,4.223B,19.19B,37.74B,,30.14B,10.34B,9.971B,-3.051B,27.47B,AOR,Restated
2017-05,12.25B,,12.25B,6.339B,,6.339B,8.681B,879.00M,28.15B,,,,,13.54B,,13.54B,,13.54B,15.52B,10.21B,25.72B,6.323B,,439.00M,46.02B,74.17B,,2017-05,11.53B,282.00M,16.88B,1.248B,,,3.59B,4.838B,,4.838B,,21.71B,14.37B,,14.37B,2.403B,2.403B,,,884.00M,4.201B,20.98B,42.69B,,29.74B,10.39B,6.242B,-3.303B,30.60B,AOR,Restated
2017-02,11.82B,,11.82B,5.674B,,5.674B,9.23B,783.00M,27.51B,,,,,13.53B,,13.53B,,13.53B,15.21B,9.65B,24.86B,6.164B,,440.00M,45.00B,72.50B,,2017-02,11.26B,326.00M,16.52B,,,,1.153B,1.153B,,1.153B,,17.68B,17.76B,,17.76B,2.339B,2.339B,,,354.00M,4.309B,24.41B,42.08B,,28.99B,10.16B,5.285B,-3.809B,30.07B,AOR,Restated
2016-11,9.598B,,9.598B,6.138B,,6.138B,10.04B,893.00M,26.67B,,,,,13.71B,,13.71B,,13.71B,15.20B,9.728B,24.93B,6.136B,,468.00M,45.24B,71.91B,,2016-11,11.37B,382.00M,16.63B,,,,1.095B,1.095B,,1.095B,,17.73B,17.78B,,17.78B,2.516B,2.516B,,,367.00M,4.198B,24.49B,42.22B,,28.33B,10.13B,5.341B,-3.81B,29.32B,AOR,Restated
2016-08,9.807B,,9.807B,6.26B,,6.26B,8.956B,860.00M,25.88B,0.00,3.738B,7.557B,10.85B,,789.00M,22.94B,-8.60B,14.34B,15.53B,10.30B,25.83B,6.174B,,467.00M,46.80B,72.69B,,2016-08,11.00B,206.00M,12.60B,,,,323.00M,323.00M,,323.00M,4.086B,17.01B,18.70B,,18.70B,2.644B,2.644B,,,401.00M,4.045B,25.39B,42.41B,,27.68B,10.11B,4.934B,-2.992B,29.88B,AOR,Restated
2016-05,3.291B,,3.291B,6.508B,,6.508B,8.931B,983.00M,19.71B,,,,,14.49B,,14.49B,,14.49B,16.10B,11.56B,27.66B,,,5.469B,47.62B,67.33B,,2016-05,10.34B,248.00M,15.44B,0.00,,,374.00M,374.00M,,374.00M,,15.81B,13.15B,,13.15B,3.058B,3.058B,,,433.00M,3.999B,20.21B,36.02B,,27.06B,10.06B,4.975B,-1.277B,30.88B,AOR,Restated
2016-02,3.586B,,3.586B,6.733B,,6.733B,9.025B,1.034B,20.38B,,,,,14.55B,,14.55B,,14.55B,15.80B,11.12B,26.92B,,,4.537B,46.01B,66.38B,,2016-02,9.873B,297.00M,15.22B,749.00M,,,303.00M,1.052B,,1.052B,,16.27B,12.97B,,12.97B,3.107B,3.107B,,,412.00M,4.114B,20.20B,36.47B,,26.35B,10.04B,5.026B,-1.868B,29.51B,AOR,Restated
2015-11,2.57B,,2.57B,6.821B,,6.821B,9.884B,956.00M,20.23B,,,,,14.88B,,14.88B,,14.88B,16.20B,12.04B,28.24B,,,5.313B,48.43B,68.66B,,2015-11,10.64B,262.00M,15.79B,749.00M,,,334.00M,1.083B,,1.083B,,16.87B,13.19B,,13.19B,3.313B,3.313B,,,445.00M,4.122B,20.63B,37.50B,,25.81B,9.997B,4.446B,-658.00M,30.71B,AOR,Restated
2015-08,3.00B,,3.00B,6.849B,,6.849B,8.678B,1.13B,19.66B,0.00,3.687B,7.705B,10.40B,,821.00M,22.61B,-7.54B,15.07B,16.37B,12.35B,28.72B,2.389B,2.14B,805.00M,49.12B,68.78B,,2015-08,10.09B,176.00M,11.62B,747.00M,,,321.00M,1.068B,,1.068B,3.868B,16.56B,13.32B,,13.32B,3.538B,3.538B,,,439.00M,4.072B,20.92B,37.48B,,25.09B,9.953B,3.977B,-214.00M,30.86B,AOR,Restated
2015-05,4.449B,,4.449B,6.899B,,6.899B,8.764B,917.00M,21.03B,,,,,15.24B,,15.24B,,15.24B,17.36B,11.23B,28.59B,0.00,,5.784B,49.62B,70.64B,,2015-05,9.932B,184.00M,14.96B,747.00M,,,445.00M,1.192B,,1.192B,,16.16B,15.06B,,15.06B,3.532B,3.532B,,,366.00M,3.971B,22.56B,38.72B,,25.46B,9.889B,3.654B,-141.00M,31.56B,AOR,Restated
2015-02,3.005B,,3.005B,7.017B,,7.017B,9.379B,1.314B,20.72B,,,,,15.65B,,15.65B,,15.65B,17.04B,12.22B,29.27B,0.00,,5.727B,50.64B,71.36B,,2015-02,10.29B,196.00M,15.63B,750.00M,,,311.00M,1.061B,,1.061B,,16.69B,16.00B,,16.00B,3.689B,3.689B,,,212.00M,3.951B,23.64B,40.33B,,24.53B,9.838B,3.491B,-68.00M,30.81B,AOR,Restated
2014-11,12.86B,,12.86B,3.579B,,3.579B,6.518B,322.00M,23.28B,,,,,12.10B,,12.10B,,12.10B,2.356B,1.121B,3.477B,7.335B,0.00,2.417B,25.33B,48.61B,,2014-11,5.189B,318.00M,9.103B,750.00M,,,24.00M,774.00M,,774.00M,,9.877B,13.76B,,13.76B,1.131B,1.131B,,,131.00M,3.081B,17.97B,27.84B,,22.72B,1.179B,3.558B,222.00M,20.64B,AOR,Restated
2014-08,2.646B,,2.646B,3.218B,,3.218B,6.076B,302.00M,12.24B,0.00,3.418B,6.901B,8.247B,,530.00M,19.10B,-6.839B,12.26B,2.359B,1.18B,3.539B,8.297B,553.00M,362.00M,25.01B,37.25B,,2014-08,4.315B,105.00M,5.543B,750.00M,,,24.00M,774.00M,,774.00M,2.578B,8.895B,3.716B,,3.716B,1.08B,1.08B,,,104.00M,2.942B,7.738B,16.63B,,22.33B,1.172B,3.197B,136.00M,20.51B,AOR,Restated
2014-05,2.126B,,2.126B,3.029B,,3.029B,6.439B,334.00M,11.93B,,,,,12.09B,,12.09B,,12.09B,2.365B,1.232B,3.597B,7.035B,924.00M,1.819B,25.46B,37.39B,,2014-05,4.235B,24.00M,7.629B,749.00M,,,31.00M,780.00M,,780.00M,,8.409B,3.747B,,3.747B,1.01B,1.01B,,,68.00M,2.74B,7.497B,15.91B,,22.79B,1.128B,2.776B,202.00M,21.42B,AOR,Restated
2014-02,1.777B,,1.777B,2.774B,,2.774B,7.213B,272.00M,12.04B,,,,,12.14B,,12.14B,,12.14B,2.455B,1.30B,3.755B,6.804B,904.00M,1.446B,25.04B,37.08B,,2014-02,4.488B,154.00M,7.922B,550.00M,0.00,,27.00M,577.00M,,577.00M,,8.499B,4.489B,,4.489B,878.00M,878.00M,,,49.00M,2.382B,7.749B,16.25B,,22.37B,1.086B,2.869B,126.00M,20.78B,AOR,Restated
2013-11,969.00M,,969.00M,2.727B,,2.727B,7.729B,297.00M,11.72B,,,,,12.35B,,12.35B,,12.35B,2.491B,1.308B,3.799B,6.439B,856.00M,1.314B,24.76B,36.48B,,2013-11,4.762B,278.00M,8.25B,550.00M,,,21.00M,571.00M,,571.00M,,8.821B,4.501B,,4.501B,778.00M,778.00M,,,35.00M,2.325B,7.604B,16.42B,,21.92B,1.053B,3.042B,22.00M,20.02B,AOR,Restated
2013-08,2.106B,,2.106B,2.632B,,2.632B,6.852B,284.00M,11.87B,0.00,3.519B,6.587B,7.86B,,215.00M,18.18B,-6.043B,12.14B,2.41B,1.307B,3.717B,6.486B,1.027B,239.00M,23.61B,35.48B,,2013-08,4.635B,521.00M,6.608B,550.00M,,,20.00M,570.00M,,570.00M,1.705B,8.883B,4.477B,,4.477B,600.00M,600.00M,785.00M,340.00M,0.00,942.00M,7.144B,16.03B,,21.52B,1.074B,3.114B,-98.00M,19.45B,AOR,Restated
