,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,19.98B,19.98B,8.63B,11.35B,,1.757B,3.655B,,14.00M,-122.00M,148.00M,43.00M,-105.00M,5.412B,5.936B,43.00M,148.00M,-105.00M,1.657B,-105.00M,7.488B,1.631B,5.857B,5.857B,4.574B,10.64B,3.003B,7.636B,,1.43,,1.117,1.43,,1.42,,1.109,1.42,,4.097B,4.121B,0.33,,AOR,
2020-09,18.33B,18.33B,8.592B,9.741B,,1.435B,3.272B,,32.00M,-15.00M,160.00M,53.00M,-107.00M,4.707B,5.034B,53.00M,160.00M,-107.00M,114.00M,-107.00M,5.041B,765.00M,4.276B,4.276B,4.207B,8.324B,3.123B,5.201B,,1.02,,1.004,1.02,,1.02,,1.004,1.02,,4.188B,4.211B,0.33,,AOR,
2020-06,19.73B,19.73B,9.221B,10.51B,,1.447B,3.354B,,59.00M,-60.00M,186.00M,83.00M,-103.00M,4.801B,5.706B,83.00M,186.00M,-103.00M,332.00M,-103.00M,5.935B,830.00M,5.105B,5.105B,4.883B,9.184B,3.063B,6.121B,,1.20,,1.148,1.20,,1.19,,1.138,1.19,,4.246B,4.284B,0.33,,AOR,
2020-03,19.83B,19.83B,7.812B,12.02B,,1.541B,3.275B,,200.00M,-305.00M,135.00M,93.00M,-42.00M,4.816B,7.20B,93.00M,135.00M,-42.00M,-544.00M,-42.00M,6.614B,953.00M,5.661B,5.661B,5.895B,9.799B,3.05B,6.749B,,1.33,,1.385,1.33,,1.31,,1.364,1.31,,4.266B,4.312B,0.33,,AOR,
2019-12,20.21B,20.21B,8.331B,11.88B,,1.592B,3.384B,,-37.00M,-148.00M,108.00M,109.00M,1.00M,4.976B,6.902B,109.00M,108.00M,1.00M,1.165B,1.00M,8.068B,1.163B,6.905B,6.905B,6.467B,11.14B,2.968B,8.176B,,1.60,,1.499,1.60,,1.58,,1.480,1.58,,4.318B,4.371B,0.315,,AOR,Restated
2019-09,19.19B,19.19B,7.895B,11.30B,,1.536B,3.208B,,81.00M,-121.00M,107.00M,114.00M,7.00M,4.744B,6.551B,114.00M,107.00M,7.00M,161.00M,7.00M,6.719B,729.00M,5.99B,5.99B,5.799B,9.505B,2.679B,6.826B,,1.36,,1.317,1.36,,1.35,,1.307,1.35,,4.391B,4.433B,0.315,,AOR,Restated
2019-06,16.50B,16.50B,6.627B,9.878B,,1.639B,3.438B,,55.00M,-223.00M,135.00M,125.00M,-10.00M,5.077B,4.801B,125.00M,135.00M,-10.00M,-67.00M,-10.00M,4.724B,545.00M,4.179B,4.179B,4.191B,7.413B,2.554B,4.859B,,0.94,,0.9428,0.94,,0.92,,0.9227,0.92,,4.466B,4.523B,0.315,,AOR,Restated
2019-03,16.06B,16.06B,6.972B,9.089B,,1.583B,3.332B,,23.00M,-23.00M,138.00M,135.00M,-3.00M,4.915B,4.174B,135.00M,138.00M,-3.00M,376.00M,-3.00M,4.547B,573.00M,3.974B,3.974B,3.595B,7.31B,2.625B,4.685B,,0.88,,0.7956,0.88,,0.87,,0.7869,0.87,,4.492B,4.564B,0.315,,AOR,Restated
2018-12,18.66B,18.66B,7.43B,11.23B,,1.72B,3.433B,,52.00M,-52.00M,131.00M,130.00M,-1.00M,5.003B,6.224B,130.00M,131.00M,-1.00M,-588.00M,-1.00M,5.635B,440.00M,5.195B,5.195B,5.647B,8.259B,2.493B,5.766B,,1.14,,1.239,1.14,,1.12,,1.218,1.12,,4.548B,4.62B,0.30,,AOR,Restated
2018-09,19.16B,19.16B,6.803B,12.36B,,1.605B,3.428B,50.00M,328.00M,-256.00M,109.00M,109.00M,0.00,5.083B,7.277B,109.00M,109.00M,0.00,-135.00M,0.00,7.142B,744.00M,6.398B,6.398B,6.401B,9.525B,2.274B,7.251B,,1.40,,1.401,1.40,,1.38,,1.381,1.38,,4.574B,4.648B,0.30,,AOR,Restated
2018-06,16.96B,16.96B,6.543B,10.42B,,1.725B,3.371B,50.00M,26.00M,-26.00M,116.00M,108.00M,-8.00M,5.146B,5.273B,108.00M,116.00M,-8.00M,264.00M,-8.00M,5.529B,523.00M,5.006B,5.006B,5.220B,7.767B,2.122B,5.645B,,1.08,,1.126,1.08,,1.05,,1.095,1.05,,4.649B,4.747B,0.30,,AOR,Restated
2018-03,16.07B,16.07B,6.335B,9.731B,,1.90B,3.311B,50.00M,17.00M,-17.00M,112.00M,91.00M,-21.00M,5.261B,4.47B,91.00M,112.00M,-21.00M,562.00M,-21.00M,5.011B,557.00M,4.454B,4.454B,3.882B,7.319B,2.196B,5.123B,,0.95,,0.8277,0.95,,0.93,,0.8107,0.93,,4.674B,4.79B,0.30,,AOR,Restated
2017-12,17.05B,17.05B,6.275B,10.78B,,1.842B,3.253B,53.00M,220.00M,-415.00M,153.00M,92.00M,-61.00M,5.148B,5.63B,92.00M,153.00M,-61.00M,466.00M,-61.00M,6.035B,6.722B,-687.00M,-687.00M,-1.219B,8.328B,2.14B,6.188B,,-0.15,,-0.2636,-0.15,,-0.15,,-0.2610,-0.15,,4.683B,4.793B,0.2725,,AOR,Restated
