,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-12,1.935B,1.935B,1.376B,559.00M,66.00M,66.00M,44.00M,,,-11.00M,,54.00M,9.00M,-45.00M,139.00M,249.00M,310.00M,9.00M,54.00M,-45.00M,0.00,-45.00M,265.00M,777.00M,-524.00M,7.00M,,-25.00M,,-542.00M,-543.60M,642.00M,323.00M,319.00M,-1.02,0.01,,-1.01,-1.01,-1.02,0.01,,-1.01,-1.01,533.00M,538.00M,0.075
2017-09,1.879B,1.879B,1.381B,498.00M,58.00M,58.00M,41.00M,,,6.00M,,56.00M,9.00M,-47.00M,76.00M,175.00M,323.00M,9.00M,56.00M,-47.00M,2.00M,-47.00M,278.00M,73.00M,206.00M,-7.00M,,7.00M,,206.00M,215.22M,662.00M,328.00M,334.00M,0.39,-0.01,,0.3942,0.38,0.39,-0.01,,0.3941,0.38,533.00M,536.00M,0.075
2017-06,1.875B,1.875B,1.309B,566.00M,58.00M,58.00M,32.00M,,,23.00M,,64.00M,6.00M,-58.00M,104.00M,194.00M,372.00M,6.00M,64.00M,-58.00M,21.00M,-58.00M,335.00M,166.00M,166.00M,-15.00M,,24.00M,,175.00M,178.60M,709.00M,310.00M,399.00M,0.36,-0.03,,0.3386,0.33,0.36,-0.03,,0.3387,0.33,533.00M,535.00M,0.05
2017-03,1.69B,1.69B,1.257B,433.00M,55.00M,55.00M,26.00M,,,-10.00M,,67.00M,4.00M,-63.00M,70.00M,151.00M,282.00M,4.00M,67.00M,-63.00M,-25.00M,-63.00M,194.00M,111.00M,81.00M,-23.00M,,-11.00M,,47.00M,86.20M,561.00M,300.00M,261.00M,0.13,-0.04,,0.1605,0.09,0.13,-0.04,,0.1604,0.09,532.00M,533.00M,0.05
2016-12,1.758B,1.758B,1.323B,435.00M,55.00M,55.00M,29.00M,,,-1.06B,,69.00M,4.00M,-65.00M,146.00M,230.00M,205.00M,4.00M,69.00M,-65.00M,-1.032B,-65.00M,-892.00M,24.00M,-921.00M,94.00M,,481.00M,,-346.00M,184.00M,-502.00M,321.00M,-823.00M,-0.73,0.08,,0.4474,-0.65,-0.73,0.08,,0.4429,-0.65,530.00M,532.00M,0.05
2016-09,1.791B,1.791B,1.318B,473.00M,63.00M,63.00M,34.00M,,,-11.00M,,64.00M,2.00M,-62.00M,69.00M,166.00M,307.00M,2.00M,64.00M,-62.00M,-22.00M,-62.00M,223.00M,90.00M,135.00M,-448.00M,,-45.00M,,-358.00M,102.00M,622.00M,335.00M,287.00M,0.32,-0.99,,0.3426,-0.67,0.32,-0.99,,0.3425,-0.67,531.00M,533.00M,0.025
2016-06,1.669B,1.669B,1.183B,486.00M,62.00M,62.00M,44.00M,,,-12.00M,,66.00M,,-66.00M,62.00M,168.00M,318.00M,,66.00M,-66.00M,-11.00M,-66.00M,241.00M,238.00M,-2.00M,64.00M,,-39.00M,,23.00M,-31.40M,588.00M,281.00M,307.00M,0.02,0.02,,0.0381,0.04,0.02,0.02,,0.038,0.04,531.00M,533.00M,0.025
2016-03,1.462B,1.462B,1.127B,335.00M,53.00M,53.00M,27.00M,,,91.00M,,74.00M,,-74.00M,56.00M,136.00M,199.00M,,74.00M,-74.00M,83.00M,-74.00M,208.00M,227.00M,-24.00M,159.00M,,-83.00M,,52.00M,-152.00M,558.00M,276.00M,282.00M,-0.02,0.12,,-0.1049,0.1,-0.02,0.12,,-0.1047,0.1,530.00M,531.00M,0.025
2015-12,1.452B,1.452B,1.279B,173.00M,61.00M,61.00M,39.00M,,7.00M,-66.00M,,71.00M,,-65.00M,266.00M,366.00M,-193.00M,,71.00M,-65.00M,-69.00M,-65.00M,-327.00M,89.00M,-427.00M,69.00M,,104.00M,,-254.00M,-280.40M,54.00M,310.00M,-256.00M,-0.48,-0.02,,-0.3998,-0.5,-0.48,-0.02,,-0.3998,-0.5,531.00M,531.00M,0.025
2015-09,1.56B,1.56B,1.217B,343.00M,59.00M,59.00M,31.00M,,32.00M,91.00M,,74.00M,,-74.00M,61.00M,151.00M,192.00M,,74.00M,-74.00M,120.00M,-74.00M,238.00M,61.00M,159.00M,126.00M,,-66.00M,,219.00M,7.16M,539.00M,227.00M,312.00M,0.3,0.12,,0.1377,0.42,0.3,0.12,,0.138,0.42,529.00M,530.00M,0.025
