,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,308.00M,,308.00M,3.039B,,3.039B,303.00M,3.19B,,2.142B,8.679B,155.52B,,155.52B,-48.18B,107.34B,19.30B,,19.30B,9.287B,,,3.539B,152.73B,161.41B,2.486B,768.00M,3.254B,556.00M,3.81B,742.00M,,8.094B,8.094B,8.094B,4.047B,16.69B,12.91B,56.05B,1.379B,57.43B,9.859B,9.859B,,903.00M,1.289B,,1.773B,97.42B,114.11B,1.963B,3.26B,41.05B,1.962B,,,-263.00M,46.01B
2020-06,341.00M,,341.00M,2.802B,,2.802B,293.00M,3.289B,,2.805B,9.237B,153.20B,,153.20B,-47.30B,105.90B,19.30B,,19.30B,8.861B,,,3.458B,150.81B,160.05B,2.398B,657.00M,3.055B,569.00M,3.624B,729.00M,,8.541B,8.541B,8.541B,3.796B,16.69B,12.54B,56.14B,1.377B,57.52B,9.662B,9.662B,,911.00M,1.127B,,1.563B,96.75B,113.44B,1.963B,2.707B,41.00B,1.962B,,,-183.00M,45.48B
2020-03,1.45B,,1.45B,2.637B,,2.637B,302.00M,3.324B,,2.77B,10.18B,151.34B,,151.34B,-46.60B,104.74B,19.30B,,19.30B,9.119B,,,3.315B,149.89B,160.07B,2.364B,493.00M,2.857B,571.00M,3.428B,802.00M,,8.11B,8.11B,8.11B,2.83B,15.17B,12.50B,56.31B,1.414B,57.72B,9.98B,9.98B,,919.00M,1.162B,,1.669B,96.82B,111.99B,1.963B,4.221B,40.93B,1.962B,,,-193.00M,46.92B
2019-12,311.00M,,311.00M,3.06B,,3.06B,349.00M,3.232B,,2.56B,9.163B,16.78B,6.102B,149.56B,-45.77B,103.78B,19.30B,,19.30B,10.08B,,,3.289B,149.68B,158.84B,3.487B,392.00M,3.879B,565.00M,4.444B,881.00M,,6.276B,6.276B,6.276B,3.151B,14.75B,12.44B,54.02B,2.401B,56.42B,9.502B,9.502B,,934.00M,1.129B,,1.581B,96.14B,110.89B,1.963B,4.108B,40.88B,1.962B,,,-130.00M,46.82B
2019-09,379.00M,,379.00M,3.077B,,3.077B,333.00M,3.107B,,3.056B,9.619B,145.76B,,145.76B,-45.15B,100.62B,19.30B,,19.30B,9.559B,,,2.905B,146.30B,155.92B,2.946B,712.00M,3.658B,559.00M,4.217B,861.00M,,5.565B,5.565B,5.565B,2.747B,13.39B,11.74B,54.82B,1.456B,56.27B,9.355B,9.355B,,900.00M,969.00M,,1.649B,95.12B,108.51B,1.964B,4.139B,40.49B,1.963B,,,-153.00M,46.44B
2019-06,336.00M,,336.00M,2.799B,,2.799B,313.00M,3.189B,,3.185B,9.509B,143.42B,,143.42B,-44.48B,98.93B,19.30B,,19.30B,9.336B,,,2.975B,143.94B,153.45B,2.512B,521.00M,3.033B,564.00M,3.597B,739.00M,,6.491B,6.491B,6.491B,2.62B,13.45B,11.89B,54.34B,1.502B,55.84B,9.101B,9.101B,,959.00M,119.00M,,1.583B,94.67B,108.12B,974.00M,3.502B,40.88B,973.00M,,,-148.00M,45.21B
2019-03,377.00M,,377.00M,2.756B,,2.756B,299.00M,3.102B,,2.933B,9.168B,141.41B,,141.41B,-43.99B,97.42B,19.30B,,19.30B,8.976B,,,2.969B,141.97B,151.14B,2.538B,470.00M,3.008B,544.00M,3.552B,779.00M,,5.53B,5.53B,5.53B,2.421B,12.28B,12.26B,53.68B,1.488B,55.17B,8.611B,8.611B,,974.00M,15.00M,,1.587B,93.81B,106.09B,975.00M,3.36B,40.82B,974.00M,,,-128.00M,45.03B
2018-12,442.00M,,442.00M,3.134B,,3.134B,355.00M,3.084B,,3.054B,9.714B,15.17B,5.726B,134.82B,-43.13B,91.69B,19.30B,,19.30B,8.129B,,,2.935B,135.68B,145.39B,3.487B,577.00M,4.064B,559.00M,4.623B,919.00M,,6.816B,6.816B,6.816B,2.683B,15.04B,9.548B,50.18B,941.00M,51.12B,8.374B,8.374B,,988.00M,17.00M,,1.65B,86.52B,101.56B,1.00M,3.113B,40.80B,,,,-92.00M,43.82B
2018-09,303.00M,,303.00M,3.079B,,3.079B,342.00M,3.14B,,2.998B,9.52B,133.06B,,133.06B,-43.20B,89.86B,19.30B,,19.30B,8.749B,,,3.112B,133.64B,143.16B,3.234B,674.00M,3.908B,557.00M,4.465B,902.00M,,6.346B,6.346B,6.346B,2.209B,13.92B,9.354B,50.51B,,50.51B,8.304B,8.304B,,1.001B,18.00M,,1.477B,86.23B,100.15B,1.00M,3.313B,39.75B,,,,-66.00M,43.00B
2018-06,304.00M,,304.00M,2.817B,,2.817B,322.00M,3.177B,,2.178B,8.476B,130.99B,,130.99B,-42.50B,88.50B,19.40B,,19.40B,8.30B,,,3.087B,131.78B,140.26B,2.686B,494.00M,3.18B,530.00M,3.71B,716.00M,,6.181B,6.181B,6.181B,2.184B,12.79B,9.753B,49.86B,,49.86B,7.511B,7.511B,,1.014B,8.00M,,1.457B,84.95B,97.74B,1.00M,2.894B,39.68B,,,,-70.00M,42.51B
2018-03,421.00M,,421.00M,2.743B,,2.743B,305.00M,3.149B,,1.966B,8.279B,129.68B,,129.68B,-42.31B,87.37B,19.40B,,19.40B,8.213B,,,3.062B,130.26B,138.54B,2.391B,422.00M,2.813B,542.00M,3.355B,676.00M,,6.92B,6.92B,6.92B,2.047B,13.00B,9.484B,49.03B,,49.03B,7.392B,7.392B,,1.018B,6.00M,,1.538B,83.74B,96.74B,1.00M,3.021B,38.84B,,,,-69.00M,41.79B
2017-12,358.00M,,358.00M,2.774B,,2.774B,354.00M,3.25B,,2.071B,8.453B,14.68B,6.995B,127.93B,-41.54B,86.39B,19.40B,,19.40B,8.272B,,,2.96B,129.46B,137.91B,3.043B,551.00M,3.594B,525.00M,4.119B,689.00M,,5.407B,5.407B,5.407B,2.267B,12.48B,9.486B,49.04B,,49.04B,7.16B,7.16B,,1.103B,-2.00M,,1.581B,83.70B,96.18B,1.00M,3.013B,38.79B,,,,-67.00M,41.74B
2017-09,282.00M,,282.00M,2.617B,,2.617B,349.00M,3.265B,,1.542B,7.706B,126.02B,,126.02B,-41.16B,84.86B,19.42B,,19.42B,8.18B,,,2.792B,128.62B,136.32B,2.645B,627.00M,3.272B,538.00M,3.81B,619.00M,,4.384B,4.384B,4.384B,2.007B,10.82B,9.586B,48.93B,,48.93B,15.59B,15.59B,,1.105B,11.00M,,1.624B,83.86B,94.68B,1.00M,2.936B,38.77B,,,,-80.00M,41.63B
2017-06,298.00M,,298.00M,2.378B,,2.378B,336.00M,3.369B,,1.628B,7.673B,124.93B,,124.93B,-40.52B,84.40B,19.42B,,19.42B,7.868B,,,2.826B,127.33B,135.00B,2.177B,432.00M,2.609B,506.00M,3.115B,397.00M,,6.96B,6.96B,6.96B,1.994B,12.47B,10.16B,46.04B,,46.04B,15.23B,15.23B,,1.108B,10.00M,,1.651B,81.24B,93.71B,1.00M,2.607B,38.76B,,,,-82.00M,41.28B
2017-03,878.00M,,878.00M,2.305B,,2.305B,314.00M,3.366B,,1.456B,8.005B,123.81B,,123.81B,-40.29B,83.52B,19.42B,,19.42B,7.57B,,,2.754B,126.10B,134.11B,2.203B,363.00M,2.566B,526.00M,3.092B,404.00M,,5.535B,5.535B,5.535B,1.91B,10.94B,10.19B,47.02B,,47.02B,14.98B,14.98B,,1.115B,7.00M,,1.707B,81.98B,92.92B,1.00M,2.521B,38.74B,,,,-85.00M,41.18B
