,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,6.721B,6.721B,3.34B,3.381B,28.00M,-26.00M,324.00M,522.00M,-522.00M,,1.541B,1.84B,522.00M,-522.00M,21.00M,-522.00M,1.339B,105.00M,1.234B,,,70.00M,27.00M,1.304B,1.328B,3.291B,1.43B,1.861B,1.74,,,,1.7730000000000001,1.74,1.74,,,,1.7730000000000001,1.74,735.00M,735.00M,0.965
2020-06,5.421B,5.421B,2.761B,2.66B,6.00M,1.00M,334.00M,554.00M,-554.00M,,1.484B,1.176B,554.00M,-554.00M,-1.83B,-554.00M,-1.208B,-316.00M,-892.00M,,,90.00M,27.00M,-802.00M,-802.74M,696.00M,1.35B,-654.00M,-1.13,,,,-1.131,-1.13,-1.13,,,,-1.131,-1.13,735.00M,735.00M,0.945
2020-03,5.949B,5.949B,2.985B,2.964B,2.00M,-1.00M,345.00M,551.00M,-551.00M,,1.475B,1.489B,551.00M,-551.00M,89.00M,-551.00M,1.027B,137.00M,890.00M,,,48.00M,27.00M,938.00M,938.87M,2.879B,1.301B,1.578B,1.24,0.0,,,1.2409999999999999,1.24,1.24,0.0,,,1.2409999999999999,1.24,734.00M,736.00M,0.945
2019-12,6.103B,6.103B,3.503B,2.60B,8.00M,127.00M,295.00M,547.00M,-516.00M,,1.479B,1.121B,547.00M,-516.00M,104.00M,-516.00M,709.00M,95.00M,614.00M,,,67.00M,12.00M,674.00M,571.02M,2.601B,1.345B,1.256B,0.89,,,,0.7398,0.88,0.89,,,,0.7398,0.88,732.00M,732.00M,0.945
2019-09,6.94B,6.94B,3.51B,3.43B,-20.00M,20.00M,335.00M,572.00M,-572.00M,,1.521B,1.909B,572.00M,-572.00M,174.00M,-572.00M,1.511B,188.00M,1.323B,,,19.00M,17.00M,1.342B,1.324B,3.431B,1.348B,2.083B,1.82,,,,1.796,1.82,1.82,,,,1.796,1.82,729.00M,729.00M,0.945
2019-06,5.873B,5.873B,3.151B,2.722B,4.00M,-1.00M,334.00M,542.00M,-542.00M,,1.423B,1.299B,542.00M,-542.00M,132.00M,-542.00M,889.00M,141.00M,748.00M,,,84.00M,13.00M,832.00M,832.84M,2.676B,1.245B,1.431B,1.12,,,,1.121,1.12,1.12,,,,1.121,1.12,728.00M,728.00M,0.9275
2019-03,6.163B,6.163B,3.355B,2.808B,0.00,-3.00M,343.00M,543.00M,-543.00M,,1.432B,1.376B,543.00M,-543.00M,155.00M,-543.00M,988.00M,95.00M,893.00M,,,7.00M,2.00M,900.00M,902.71M,2.769B,1.238B,1.531B,1.24,0.0,,,1.244,1.24,1.24,0.0,,,1.244,1.24,727.00M,727.00M,0.9275
2018-12,6.115B,6.115B,3.758B,2.357B,63.00M,156.00M,326.00M,544.00M,-524.00M,,1.421B,936.00M,544.00M,-524.00M,21.00M,-524.00M,433.00M,-1.00M,434.00M,20.00M,,10.00M,,464.00M,330.12M,2.226B,1.249B,977.00M,0.61,0.03,,,0.4512,0.64,0.61,0.03,,,0.4512,0.64,717.00M,717.00M,0.9275
2018-09,6.628B,6.628B,3.573B,3.055B,124.00M,-114.00M,323.00M,517.00M,-517.00M,,1.362B,1.693B,517.00M,-517.00M,54.00M,-517.00M,1.23B,168.00M,1.062B,4.00M,,16.00M,,1.082B,1.176B,2.944B,1.197B,1.747B,1.51,0.0,,,1.6480000000000001,1.51,1.51,0.0,,,1.6480000000000001,1.51,713.00M,714.00M,0.9275
2018-06,5.643B,5.643B,3.207B,2.436B,172.00M,-169.00M,315.00M,518.00M,-518.00M,,1.288B,1.148B,518.00M,-518.00M,-23.00M,-518.00M,607.00M,100.00M,507.00M,-5.00M,,-2.00M,,500.00M,646.16M,2.286B,1.161B,1.125B,0.72,-0.01,,,0.9208,0.71,0.72,-0.01,,,0.9205,0.71,703.00M,704.00M,0.89
2018-03,6.135B,6.135B,3.453B,2.682B,43.00M,-143.00M,316.00M,515.00M,-515.00M,,1.283B,1.399B,515.00M,-515.00M,-81.00M,-515.00M,803.00M,181.00M,622.00M,,,-2.00M,,620.00M,730.77M,2.407B,1.089B,1.318B,0.88,,,,1.038,0.88,0.88,,,,1.038,0.88,701.00M,701.00M,0.89
2017-12,5.799B,5.799B,3.286B,2.513B,66.00M,175.00M,309.00M,511.00M,-498.00M,,1.242B,1.271B,511.00M,-498.00M,93.00M,-498.00M,866.00M,161.00M,705.00M,-2.00M,,0.00,,703.00M,562.53M,2.433B,1.056B,1.377B,1.0,0.0,,,0.7965,1.0,1.0,0.0,,,0.7965,1.0,700.00M,700.00M,0.89
2017-09,6.482B,6.482B,3.407B,3.075B,207.00M,-201.00M,313.00M,498.00M,-498.00M,,1.213B,1.862B,498.00M,-498.00M,-43.00M,-498.00M,1.321B,364.00M,957.00M,-2.00M,,-1.00M,,954.00M,1.102B,2.856B,1.037B,1.819B,1.36,0.0,,,1.568,1.36,1.36,0.0,,,1.568,1.36,700.00M,700.00M,0.89
2017-06,5.555B,5.555B,3.058B,2.497B,9.00M,-2.00M,307.00M,486.00M,-486.00M,,1.142B,1.355B,486.00M,-486.00M,149.00M,-486.00M,1.018B,327.00M,691.00M,-2.00M,,-3.00M,,686.00M,689.29M,2.466B,962.00M,1.504B,0.98,0.0,,,0.9818,0.98,0.98,0.0,,,0.9818,0.98,700.00M,700.00M,0.855
2017-03,5.729B,5.729B,3.175B,2.554B,0.00,11.00M,304.00M,491.00M,-491.00M,,1.163B,1.391B,491.00M,-491.00M,161.00M,-491.00M,1.061B,344.00M,717.00M,,,-1.00M,,716.00M,708.56M,2.543B,991.00M,1.552B,1.02,,,,1.0090000000000001,1.02,1.02,,,,1.0090000000000001,1.02,700.00M,700.00M,0.855
2016-12,5.577B,5.577B,3.683B,1.894B,4.00M,202.00M,255.00M,485.00M,-464.00M,,1.147B,747.00M,485.00M,-464.00M,229.00M,-464.00M,512.00M,136.00M,376.00M,-598.00M,,-5.00M,,-227.00M,222.66M,2.03B,1.033B,997.00M,0.52,-0.86,,,0.3072,-0.34,0.52,-0.86,,,0.3072,-0.34,697.00M,697.00M,0.855
2016-09,6.576B,6.576B,3.497B,3.079B,10.00M,-4.00M,302.00M,464.00M,-464.00M,,1.121B,1.958B,464.00M,-464.00M,22.00M,-464.00M,1.516B,515.00M,1.001B,180.00M,,-5.00M,,1.176B,998.64M,2.959B,979.00M,1.98B,1.44,0.26,,,1.444,1.7,1.44,0.26,,,1.444,1.7,689.00M,691.00M,0.855
2016-06,5.213B,5.213B,2.881B,2.332B,1.00M,7.00M,290.00M,478.00M,-478.00M,,1.08B,1.252B,478.00M,-478.00M,103.00M,-478.00M,877.00M,253.00M,624.00M,-112.00M,,-3.00M,,509.00M,616.02M,2.292B,937.00M,1.355B,0.9,-0.16,,,0.8928,0.74,0.9,-0.16,,,0.8928,0.74,689.00M,690.00M,0.825
2016-03,5.377B,5.377B,3.053B,2.324B,3.00M,4.00M,295.00M,489.00M,-489.00M,,1.088B,1.236B,489.00M,-489.00M,82.00M,-489.00M,829.00M,252.00M,577.00M,122.00M,,-5.00M,,694.00M,569.22M,2.249B,931.00M,1.318B,0.83,0.18,,,0.826,1.01,0.83,0.18,,,0.826,1.01,689.00M,689.00M,0.825
2015-12,4.234B,4.234B,2.545B,1.689B,-5.00M,168.00M,293.00M,319.00M,-299.00M,,1.005B,684.00M,319.00M,-299.00M,87.00M,-299.00M,472.00M,138.00M,334.00M,148.00M,,-5.00M,,477.00M,210.12M,1.724B,933.00M,791.00M,0.49,0.2,,,0.3172,0.69,0.49,0.2,,,0.3172,0.69,688.00M,688.00M,0.825
2015-09,6.483B,6.483B,3.621B,2.862B,111.00M,-107.00M,293.00M,402.00M,-402.00M,,1.067B,1.795B,402.00M,-402.00M,-33.00M,-402.00M,1.36B,420.00M,940.00M,-5.00M,,-3.00M,,932.00M,1.011B,2.658B,896.00M,1.762B,1.36,-0.01,,,1.4669999999999999,1.35,1.36,-0.01,,,1.4669999999999999,1.35,688.00M,688.00M,0.825
2015-06,5.589B,5.589B,3.287B,2.302B,0.00,13.00M,279.00M,403.00M,-403.00M,,1.069B,1.233B,403.00M,-403.00M,108.00M,-403.00M,938.00M,334.00M,604.00M,-57.00M,,-4.00M,,543.00M,591.63M,2.242B,901.00M,1.341B,0.87,-0.09,,,0.8579,0.78,0.87,-0.09,,,0.8579,0.78,692.00M,692.00M,0.795
2015-03,6.065B,6.065B,3.582B,2.483B,0.00,14.00M,264.00M,403.00M,-403.00M,,1.041B,1.442B,403.00M,-403.00M,101.00M,-403.00M,1.14B,364.00M,776.00M,91.00M,,-3.00M,,864.00M,763.47M,2.426B,883.00M,1.543B,1.09,0.13,,,1.077,1.22,1.09,0.13,,,1.077,1.22,708.00M,708.00M,0.795
2014-12,4.143B,4.143B,2.638B,1.505B,0.00,134.00M,268.00M,317.00M,-301.00M,,932.00M,573.00M,317.00M,-301.00M,43.00M,-301.00M,315.00M,144.00M,171.00M,-71.00M,,-3.00M,,97.00M,80.90M,1.498B,866.00M,632.00M,0.25,-0.11,,,0.1268,0.14,0.25,-0.11,,,0.1268,0.14,707.00M,707.00M,0.795
2014-09,6.395B,6.395B,3.716B,2.679B,1.00M,3.00M,275.00M,405.00M,-405.00M,,1.063B,1.616B,405.00M,-405.00M,140.00M,-405.00M,1.351B,460.00M,891.00M,378.00M,,5.00M,,1.274B,894.02M,2.649B,893.00M,1.756B,1.25,0.55,,,1.247,1.8,1.25,0.55,,,1.247,1.8,707.00M,707.00M,0.795
2014-06,5.708B,5.708B,3.368B,2.34B,-16.00M,22.00M,311.00M,403.00M,-403.00M,,1.073B,1.267B,403.00M,-403.00M,144.00M,-403.00M,1.008B,282.00M,726.00M,-113.00M,,-4.00M,,609.00M,706.16M,2.275B,864.00M,1.411B,1.02,-0.16,,,0.9976,0.86,1.02,-0.16,,,0.9976,0.86,707.00M,707.00M,0.78
2014-03,6.263B,6.263B,3.701B,2.562B,96.00M,-95.00M,350.00M,404.00M,-404.00M,,1.105B,1.457B,404.00M,-404.00M,36.00M,-404.00M,1.089B,339.00M,750.00M,-843.00M,,-4.00M,,-97.00M,811.36M,2.377B,884.00M,1.493B,1.05,-1.19,,,1.143,-0.14,1.05,-1.19,,,1.143,-0.14,706.00M,706.00M,0.78
2013-12,5.624B,5.624B,3.373B,2.251B,11.00M,227.00M,302.00M,418.00M,-392.00M,,1.03B,1.221B,418.00M,-392.00M,155.00M,-392.00M,984.00M,296.00M,688.00M,4.00M,,-4.00M,,688.00M,525.28M,2.266B,864.00M,1.402B,0.97,0.01,,,0.7452,0.98,0.96,0.01,,,0.7352,0.97,706.00M,706.00M,0.78
2013-09,6.217B,6.217B,3.563B,2.654B,2.00M,-3.00M,319.00M,378.00M,-378.00M,,991.00M,1.663B,378.00M,-378.00M,84.00M,-378.00M,1.369B,423.00M,946.00M,62.00M,,-4.00M,,1.004B,944.07M,2.568B,821.00M,1.747B,1.33,0.09,,,1.3330000000000002,1.42,1.33,0.09,,,1.3330000000000002,1.42,706.00M,706.00M,0.78
2013-06,5.879B,5.879B,3.672B,2.207B,386.00M,-385.00M,323.00M,381.00M,-381.00M,,1.001B,1.206B,381.00M,-381.00M,-315.00M,-381.00M,510.00M,165.00M,345.00M,-3.00M,,-3.00M,,339.00M,601.88M,1.673B,782.00M,891.00M,0.48,0.0,,,0.8481,0.48,0.48,0.0,,,0.8481,0.48,706.00M,706.00M,0.765
